Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-10-15 08:00:00 to 2020-10-29 08:00:00,2020-10-30 08:00:00 to 2020-11-01 08:00:00,165,0.062,1,0.0957198335644898,1.9540716658693729,100.0,211.66200399398804,201
2,2020-10-18 08:00:00 to 2020-11-01 08:00:00,2020-11-02 08:00:00 to 2020-11-04 08:00:00,40,0.022,2,-7.808662911700885,9.064142410246395,50.0,210.69784903526303,202
3,2020-10-21 08:00:00 to 2020-11-04 08:00:00,2020-11-05 08:00:00 to 2020-11-07 08:00:00,35,0.024,1,0.56805874947544,1.5481800498438918,100.0,208.87868881225583,203
4,2020-10-24 08:00:00 to 2020-11-07 08:00:00,2020-11-08 08:00:00 to 2020-11-10 08:00:00,35,0.024,3,4.230108898010112,0.7971924352204224,66.66666666666666,210.85969996452332,205
5,2020-10-27 08:00:00 to 2020-11-10 08:00:00,2020-11-11 08:00:00 to 2020-11-13 08:00:00,35,0.024,3,-7.364634459757418,10.774847782235076,33.33333333333333,210.5334701538086,207
6,2020-10-30 08:00:00 to 2020-11-13 08:00:00,2020-11-14 08:00:00 to 2020-11-16 08:00:00,285,0.076,0,0.0,0.0,0.0,206.36326789855957,208
7,2020-11-02 08:00:00 to 2020-11-16 08:00:00,2020-11-17 08:00:00 to 2020-11-19 08:00:00,255,0.02,1,-3.0693008447400647,6.3123205609451984,0.0,205.17556619644165,209
8,2020-11-05 08:00:00 to 2020-11-19 08:00:00,2020-11-20 08:00:00 to 2020-11-22 08:00:00,255,0.034,1,0.9422101798518816,0.7138309305435515,100.0,206.63267493247983,211
9,2020-11-08 08:00:00 to 2020-11-22 08:00:00,2020-11-23 08:00:00 to 2020-11-25 08:00:00,265,0.032,0,0.0,0.0,0.0,205.7268090248108,213
10,2020-11-11 08:00:00 to 2020-11-25 08:00:00,2020-11-26 08:00:00 to 2020-11-28 08:00:00,140,0.034,1,-8.079116924423852,16.587606919315483,0.0,207.473708152771,214
11,2020-11-14 08:00:00 to 2020-11-28 08:00:00,2020-11-29 08:00:00 to 2020-12-01 08:00:00,10,0.02,0,0.0,0.0,0.0,205.073135137558,215
12,2020-11-17 08:00:00 to 2020-12-01 08:00:00,2020-12-02 08:00:00 to 2020-12-04 08:00:00,195,0.02,1,1.412752903907076,0.4257535124953925,100.0,207.9641630649567,217
13,2020-11-20 08:00:00 to 2020-12-04 08:00:00,2020-12-05 08:00:00 to 2020-12-07 08:00:00,10,0.02,1,-2.3179478348957128,3.6006081017658107,0.0,208.84637308120728,219
14,2020-11-23 08:00:00 to 2020-12-07 08:00:00,2020-12-08 08:00:00 to 2020-12-10 08:00:00,15,0.02,2,0.8961659560861881,2.2556289426187033,100.0,208.45206689834595,220
15,2020-11-26 08:00:00 to 2020-12-10 08:00:00,2020-12-11 08:00:00 to 2020-12-13 08:00:00,35,0.03,2,0.6753968938600702,1.1852045016077315,50.0,203.0459840297699,221
16,2020-11-29 08:00:00 to 2020-12-13 08:00:00,2020-12-14 08:00:00 to 2020-12-16 08:00:00,175,0.052,0,0.0,0.0,0.0,201.44140791893005,223
17,2020-12-02 08:00:00 to 2020-12-16 08:00:00,2020-12-17 08:00:00 to 2020-12-19 08:00:00,205,0.054,0,0.0,0.0,0.0,205.4280457496643,225
18,2020-12-05 08:00:00 to 2020-12-19 08:00:00,2020-12-20 08:00:00 to 2020-12-22 08:00:00,300,0.054,2,-1.1205882627603203,3.965426018056169,50.0,204.8432478904724,226
19,2020-12-08 08:00:00 to 2020-12-22 08:00:00,2020-12-23 08:00:00 to 2020-12-25 08:00:00,300,0.05,1,-8.367032490368,18.45921770721245,0.0,208.11426496505737,227
