Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-12-27 13:30:00 to 2024-01-10 13:30:00,2024-01-11 13:30:00 to 2024-01-13 13:30:00,200,0.06,1,3.6116232189973743,0.1158295815531066,100.0,221.17966103553772,785
2,2023-12-30 13:30:00 to 2024-01-13 13:30:00,2024-01-14 13:30:00 to 2024-01-16 13:30:00,200,0.06,0,0.0,0.0,0.0,220.9117691516876,786
3,2024-01-02 13:30:00 to 2024-01-16 13:30:00,2024-01-17 13:30:00 to 2024-01-19 13:30:00,85,0.034,1,-11.903755415156446,15.971330015657276,0.0,221.13881587982175,787
4,2024-01-05 13:30:00 to 2024-01-19 13:30:00,2024-01-20 13:30:00 to 2024-01-22 13:30:00,60,0.044,1,-0.0782413080248079,1.7721043966990198,0.0,214.14429116249084,789
5,2024-01-08 13:30:00 to 2024-01-22 13:30:00,2024-01-23 13:30:00 to 2024-01-25 13:30:00,65,0.05,1,3.0962362625139033,2.109644897225483,100.0,214.76509070396423,791
6,2024-01-11 13:30:00 to 2024-01-25 13:30:00,2024-01-26 13:30:00 to 2024-01-28 13:30:00,25,0.034,0,0.0,0.0,0.0,210.15170907974243,792
7,2024-01-14 13:30:00 to 2024-01-28 13:30:00,2024-01-29 13:30:00 to 2024-01-31 13:30:00,40,0.04,1,-2.3541780605384517,3.838128413248545,0.0,209.8361897468567,793
8,2024-01-17 13:30:00 to 2024-01-31 13:30:00,2024-02-01 13:30:00 to 2024-02-03 13:30:00,200,0.076,1,-0.8552365752910192,1.843009387908387,0.0,211.1831338405609,795
9,2024-01-20 13:30:00 to 2024-02-03 13:30:00,2024-02-04 13:30:00 to 2024-02-06 13:30:00,115,0.062,0,0.0,0.0,0.0,207.27147388458252,797
10,2024-01-23 13:30:00 to 2024-02-06 13:30:00,2024-02-07 13:30:00 to 2024-02-09 13:30:00,165,0.02,0,0.0,0.0,0.0,204.5567171573639,798
11,2024-01-26 13:30:00 to 2024-02-09 13:30:00,2024-02-10 13:30:00 to 2024-02-12 13:30:00,55,0.02,3,2.268008274718686,0.9424385767583215,66.66666666666666,202.48621010780337,799
12,2024-01-29 13:30:00 to 2024-02-12 13:30:00,2024-02-13 13:30:00 to 2024-02-15 13:30:00,50,0.02,2,-1.076734583009875,2.612652640858972,50.0,201.13758492469788,801
13,2024-02-01 13:30:00 to 2024-02-15 13:30:00,2024-02-16 13:30:00 to 2024-02-18 13:30:00,145,0.024,2,3.9475702402089334,0.4051835451604098,100.0,202.09220504760745,803
14,2024-02-04 13:30:00 to 2024-02-18 13:30:00,2024-02-19 13:30:00 to 2024-02-21 13:30:00,10,0.02,4,-7.79572915244511,10.41431539931344,25.0,198.6765902042389,804
15,2024-02-07 13:30:00 to 2024-02-21 13:30:00,2024-02-22 13:30:00 to 2024-02-24 13:30:00,60,0.02,2,-0.6034256113582341,6.043538168460704,50.0,201.7691819667816,805
16,2024-02-10 13:30:00 to 2024-02-24 13:30:00,2024-02-25 13:30:00 to 2024-02-27 13:30:00,50,0.036,1,0.924338305734218,1.282764060386309,100.0,203.5037760734558,807
17,2024-02-13 13:30:00 to 2024-02-27 13:30:00,2024-02-28 13:30:00 to 2024-03-01 13:30:00,50,0.036,3,7.964095156273743,3.470243469957803,100.0,208.87597012519836,809
18,2024-02-16 13:30:00 to 2024-03-01 13:30:00,2024-03-02 13:30:00 to 2024-03-04 13:30:00,55,0.034,1,2.015742729306494,0.0294095388891198,100.0,209.6189770698547,810
19,2024-02-19 13:30:00 to 2024-03-04 13:30:00,2024-03-05 13:30:00 to 2024-03-07 13:30:00,115,0.024,3,7.623631998213441,5.648091642898876,100.0,211.48289108276367,811
20,2024-02-22 13:30:00 to 2024-03-07 13:30:00,2024-03-08 13:30:00 to 2024-03-10 13:30:00,110,0.048,1,-0.0671053571428638,0.0671053571428638,0.0,210.1007969379425,813
21,2024-02-25 13:30:00 to 2024-03-10 13:30:00,2024-03-11 13:30:00 to 2024-03-13 13:30:00,120,0.02,5,2.787707816346137,4.344903731255946,80.0,211.74793100357056,815
22,2024-02-28 13:30:00 to 2024-03-13 13:30:00,2024-03-14 13:30:00 to 2024-03-16 13:30:00,20,0.022,5,-9.03779297157842,15.477652326947949,60.0,211.58941102027893,816
23,2024-03-02 13:30:00 to 2024-03-16 13:30:00,2024-03-17 13:30:00 to 2024-03-19 13:30:00,145,0.076,2,0.7363648874932369,7.642880472827622,50.0,216.8534801006317,817
