Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-08-31 07:00:00 to 2020-09-14 07:00:00,2020-09-15 07:00:00 to 2020-09-17 07:00:00,95,0.076,1,4.871683869179433,9.23556206309907,100.0,232.0780882835388,178
2,2020-09-03 07:00:00 to 2020-09-17 07:00:00,2020-09-18 07:00:00 to 2020-09-20 07:00:00,215,0.07,1,-1.2506496726489422,4.121341990659244,0.0,227.3494772911072,179
3,2020-09-06 07:00:00 to 2020-09-20 07:00:00,2020-09-21 07:00:00 to 2020-09-23 07:00:00,10,0.022,9,-3.135493520569944,9.49042064643076,77.77777777777779,222.48659420013428,181
4,2020-09-09 07:00:00 to 2020-09-23 07:00:00,2020-09-24 07:00:00 to 2020-09-26 07:00:00,10,0.022,4,4.124405607985609,0.660579494190434,100.0,223.31833505630493,183
5,2020-09-12 07:00:00 to 2020-09-26 07:00:00,2020-09-27 07:00:00 to 2020-09-29 07:00:00,110,0.064,2,2.960409936166252,2.954348205904975,50.0,230.3714771270752,184
6,2020-09-15 07:00:00 to 2020-09-29 07:00:00,2020-09-30 07:00:00 to 2020-10-02 07:00:00,90,0.034,2,-6.540320245586118,8.395627395339101,0.0,227.2264928817749,185
7,2020-09-18 07:00:00 to 2020-10-02 07:00:00,2020-10-03 07:00:00 to 2020-10-05 07:00:00,55,0.062,2,5.892349436261593,4.656512889306287,100.0,227.56071019172668,187
8,2020-09-21 07:00:00 to 2020-10-05 07:00:00,2020-10-06 07:00:00 to 2020-10-08 07:00:00,55,0.062,3,-3.8404329961415713,11.124896929896336,33.33333333333333,223.67337918281555,189
9,2020-09-24 07:00:00 to 2020-10-08 07:00:00,2020-10-09 07:00:00 to 2020-10-11 07:00:00,20,0.036,2,-1.4506363680218055,4.582664405785463,0.0,225.21066427230835,190
10,2020-09-27 07:00:00 to 2020-10-11 07:00:00,2020-10-12 07:00:00 to 2020-10-14 07:00:00,20,0.034,1,0.8826475300053243,0.6165805550499378,100.0,221.56842494010925,191
11,2020-09-30 07:00:00 to 2020-10-14 07:00:00,2020-10-15 07:00:00 to 2020-10-17 07:00:00,15,0.032,0,0.0,0.0,0.0,224.33447289466855,193
12,2020-10-03 07:00:00 to 2020-10-17 07:00:00,2020-10-18 07:00:00 to 2020-10-20 07:00:00,15,0.032,0,0.0,0.0,0.0,223.70969820022583,195
13,2020-10-06 07:00:00 to 2020-10-20 07:00:00,2020-10-21 07:00:00 to 2020-10-23 07:00:00,190,0.07,1,2.222667087156842,2.5594105738491897,100.0,223.4677541255951,196
14,2020-10-09 07:00:00 to 2020-10-23 07:00:00,2020-10-24 07:00:00 to 2020-10-26 07:00:00,300,0.06,0,0.0,0.0,0.0,220.45095419883728,197
15,2020-10-12 07:00:00 to 2020-10-26 07:00:00,2020-10-27 07:00:00 to 2020-10-29 07:00:00,50,0.026,2,2.8520574980832865,3.5278948718624172,100.0,216.42795395851135,199
16,2020-10-15 07:00:00 to 2020-10-29 07:00:00,2020-10-30 07:00:00 to 2020-11-01 07:00:00,35,0.032,3,-0.7573685069231578,6.088973054672411,66.66666666666666,212.53069615364075,201
17,2020-10-18 07:00:00 to 2020-11-01 07:00:00,2020-11-02 07:00:00 to 2020-11-04 07:00:00,20,0.02,3,0.39298282447784,2.3120086680489105,66.66666666666666,216.22200512886047,202
18,2020-10-21 07:00:00 to 2020-11-04 07:00:00,2020-11-05 07:00:00 to 2020-11-07 07:00:00,15,0.03,6,9.3399408582694,2.7146654548793223,83.33333333333334,216.66874313354492,203
19,2020-10-24 07:00:00 to 2020-11-07 07:00:00,2020-11-08 07:00:00 to 2020-11-10 07:00:00,20,0.022,7,9.122735250310887,1.201582746288678,100.0,218.46826004981995,205
20,2020-10-27 07:00:00 to 2020-11-10 07:00:00,2020-11-11 07:00:00 to 2020-11-13 07:00:00,20,0.022,7,4.578376646287288,7.0532218977548276,71.42857142857143,219.5357780456543,207
21,2020-10-30 07:00:00 to 2020-11-13 07:00:00,2020-11-14 07:00:00 to 2020-11-16 07:00:00,45,0.03,2,2.61993851179599,4.183635517921525,50.0,217.20293998718265,208
22,2020-11-02 07:00:00 to 2020-11-16 07:00:00,2020-11-17 07:00:00 to 2020-11-19 07:00:00,300,0.02,0,0.0,0.0,0.0,222.97553181648257,209
23,2020-11-05 07:00:00 to 2020-11-19 07:00:00,2020-11-20 07:00:00 to 2020-11-22 07:00:00,20,0.02,8,-0.860291865250856,6.35614507866484,50.0,218.5772171020508,211
24,2020-11-08 07:00:00 to 2020-11-22 07:00:00,2020-11-23 07:00:00 to 2020-11-25 07:00:00,15,0.02,7,3.85867644917218,3.6488398648812983,85.71428571428571,218.6021068096161,213
25,2020-11-11 07:00:00 to 2020-11-25 07:00:00,2020-11-26 07:00:00 to 2020-11-28 07:00:00,20,0.026,6,12.08219350145944,6.1695063491493505,83.33333333333334,215.44267177581787,214
26,2020-11-14 07:00:00 to 2020-11-28 07:00:00,2020-11-29 07:00:00 to 2020-12-01 07:00:00,20,0.022,1,1.0836404037682952,0.1862237657755881,100.0,215.96813106536865,215
27,2020-11-17 07:00:00 to 2020-12-01 07:00:00,2020-12-02 07:00:00 to 2020-12-04 07:00:00,20,0.026,4,4.6991862389688865,0.9346576111958822,100.0,222.91139888763428,217
28,2020-11-20 07:00:00 to 2020-12-04 07:00:00,2020-12-05 07:00:00 to 2020-12-07 07:00:00,20,0.03,0,0.0,0.0,0.0,220.84184622764587,219
29,2020-11-23 07:00:00 to 2020-12-07 07:00:00,2020-12-08 07:00:00 to 2020-12-10 07:00:00,45,0.022,2,-7.530516926579948,12.104601695414903,0.0,216.82243704795837,220
30,2020-11-26 07:00:00 to 2020-12-10 07:00:00,2020-12-11 07:00:00 to 2020-12-13 07:00:00,20,0.02,3,1.1133077023477016,3.2289210682008704,66.66666666666666,213.41394805908203,221
31,2020-11-29 07:00:00 to 2020-12-13 07:00:00,2020-12-14 07:00:00 to 2020-12-16 07:00:00,20,0.02,2,0.2018248713063439,0.6004110396362922,50.0,214.70589303970337,223
32,2020-12-02 07:00:00 to 2020-12-16 07:00:00,2020-12-17 07:00:00 to 2020-12-19 07:00:00,20,0.02,5,4.075806728776952,1.157053422262926,100.0,212.48982191085815,225
