normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
74,TRXUSDT,8,2020-02-20 08:00:00 to 2020-02-22 08:00:00,-0.085614947109243,73
75,LTCUSDT,11,2020-02-23 08:00:00 to 2020-02-25 08:00:00,0.3551549755301675,74
77,XTZUSDT,3,2020-02-27 08:00:00 to 2020-02-29 08:00:00,9.22326642364873,76
79,ETHUSDT,28,2020-03-02 07:45:00 to 2020-03-04 07:45:00,0.7639718718809673,78
81,NEOUSDT,2,2020-03-06 08:45:00 to 2020-03-08 08:45:00,-2.0119817920781133,80
83,XTZUSDT,7,2020-03-10 08:00:00 to 2020-03-12 08:00:00,-8.214196486948204,82
85,EOSUSDT,18,2020-03-14 08:00:00 to 2020-03-16 08:00:00,0.0,84
87,LTCUSDT,19,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,86
89,IOSTUSDT,6,2020-03-22 08:00:00 to 2020-03-24 08:00:00,0.0,88
90,LINKUSDT,18,2020-03-23 08:00:00 to 2020-03-25 08:00:00,0.0,89
91,ATOMUSDT,12,2020-03-26 12:00:00 to 2020-03-28 12:00:00,-1.01955386949925,90
92,ONTUSDT,11,2020-03-27 08:00:00 to 2020-03-29 08:00:00,0.8395108603666995,91
93,XRPUSDT,24,2020-03-30 08:15:00 to 2020-04-01 08:15:00,1.5616460502143128,92
95,BTCUSDT,65,2020-04-02 17:45:00 to 2020-04-04 17:45:00,1.397289108210789,94
97,ATOMUSDT,16,2020-04-07 12:00:00 to 2020-04-09 12:00:00,3.1814437111729967,96
99,QTUMUSDT,13,2020-04-11 08:00:00 to 2020-04-13 08:00:00,1.4764108588754243,98
101,ADAUSDT,21,2020-04-15 08:00:00 to 2020-04-17 08:00:00,2.5724806701031047,100
102,BNBUSDT,18,2020-04-16 08:00:00 to 2020-04-18 08:00:00,1.0321407896585697,101
103,EOSUSDT,30,2020-04-19 08:00:00 to 2020-04-21 08:00:00,1.2130562826789535,102
105,XRPUSDT,32,2020-04-23 08:15:00 to 2020-04-25 08:15:00,0.0,104
106,ADAUSDT,24,2020-04-24 08:00:00 to 2020-04-26 08:00:00,1.9030681928884587,105
107,XMRUSDT,24,2020-04-27 08:00:00 to 2020-04-29 08:00:00,0.0,106
108,LINKUSDT,30,2020-04-28 08:00:00 to 2020-04-30 08:00:00,0.0,107
109,XLMUSDT,30,2020-05-01 08:00:00 to 2020-05-03 08:00:00,1.8151164021164183,108
110,VETUSDT,22,2020-05-02 08:00:00 to 2020-05-04 08:00:00,-2.9165971790356524,109
111,LTCUSDT,35,2020-05-05 08:00:00 to 2020-05-07 08:00:00,1.7767253333475126,110
113,XTZUSDT,27,2020-05-09 08:00:00 to 2020-05-11 08:00:00,-2.488283132183369,112
114,BNBUSDT,26,2020-05-10 08:00:00 to 2020-05-12 08:00:00,2.562127715945753,113
115,XLMUSDT,34,2020-05-13 08:00:00 to 2020-05-15 08:00:00,0.5968986188657073,114
116,QTUMUSDT,24,2020-05-14 08:00:00 to 2020-05-16 08:00:00,0.0,115
117,VETUSDT,27,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0.0,116
118,IOSTUSDT,25,2020-05-18 08:00:00 to 2020-05-20 08:00:00,0.0,117
119,IOTAUSDT,29,2020-05-21 08:00:00 to 2020-05-23 08:00:00,-0.0105019079048906,118
121,BNBUSDT,31,2020-05-25 08:00:00 to 2020-05-27 08:00:00,0.0,120
123,NEOUSDT,30,2020-05-29 08:45:00 to 2020-05-31 08:45:00,0.0,122
125,IOTAUSDT,33,2020-06-02 08:00:00 to 2020-06-04 08:00:00,2.125540503432494,124
127,LINKUSDT,43,2020-06-06 08:00:00 to 2020-06-08 08:00:00,1.610404590395465,126
129,VETUSDT,35,2020-06-10 08:00:00 to 2020-06-12 08:00:00,11.3178381804355,128
131,XTZUSDT,39,2020-06-14 08:00:00 to 2020-06-16 08:00:00,1.02656692913386,130
133,ETHUSDT,64,2020-06-18 07:45:00 to 2020-06-20 07:45:00,0.0,132
134,BCHUSDT,57,2020-06-19 08:45:00 to 2020-06-21 08:45:00,0.0,133
135,ONTUSDT,40,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0.0,134
137,ETCUSDT,50,2020-06-26 08:00:00 to 2020-06-28 08:00:00,-5.817192386907136,136
138,ATOMUSDT,43,2020-06-27 12:00:00 to 2020-06-29 12:00:00,5.271766054448908,137
139,LINKUSDT,51,2020-06-30 08:00:00 to 2020-07-02 08:00:00,0.0,138
140,ZECUSDT,45,2020-07-01 08:00:00 to 2020-07-03 08:00:00,0.7912849802371603,139
141,BCHUSDT,62,2020-07-04 08:45:00 to 2020-07-06 08:45:00,0.0,140
142,ETCUSDT,53,2020-07-05 08:00:00 to 2020-07-07 08:00:00,0.0,141
143,IOTAUSDT,45,2020-07-08 08:00:00 to 2020-07-10 08:00:00,-0.5185015523971197,142
145,BNBUSDT,47,2020-07-12 08:00:00 to 2020-07-14 08:00:00,2.3101855287092987,144
146,XRPUSDT,59,2020-07-13 08:15:00 to 2020-07-15 08:15:00,0.0734169629253301,145
147,QTUMUSDT,45,2020-07-16 08:00:00 to 2020-07-18 08:00:00,-0.1310104774799765,146
149,ETCUSDT,58,2020-07-20 08:00:00 to 2020-07-22 08:00:00,0.0,148
150,ATOMUSDT,51,2020-07-21 12:00:00 to 2020-07-23 12:00:00,4.198701650624899,149
151,DASHUSDT,53,2020-07-24 08:00:00 to 2020-07-26 08:00:00,0.0,150
153,NEOUSDT,50,2020-07-28 08:45:00 to 2020-07-30 08:45:00,0.0,152
155,THETAUSDT,18,2020-08-01 08:00:00 to 2020-08-03 08:00:00,-2.0560794766062465,154
157,BNBUSDT,55,2020-08-05 08:00:00 to 2020-08-07 08:00:00,0.0,156
159,QTUMUSDT,53,2020-08-09 08:00:00 to 2020-08-11 08:00:00,0.0,158
161,ETCUSDT,66,2020-08-13 08:00:00 to 2020-08-15 08:00:00,1.0847857793983713,160
163,ZRXUSDT,14,2020-08-17 09:00:00 to 2020-08-19 09:00:00,-1.010982887598748,162
165,ALGOUSDT,18,2020-08-21 09:00:00 to 2020-08-23 09:00:00,-7.106619310766218,164
167,BANDUSDT,5,2020-08-25 07:00:00 to 2020-08-27 07:00:00,2.060279350029523,166
168,LINKUSDT,70,2020-08-26 08:00:00 to 2020-08-28 08:00:00,3.593030823490262,167
169,ZILUSDT,20,2020-08-29 09:00:00 to 2020-08-31 09:00:00,0.0,168
170,ONTUSDT,63,2020-08-30 08:00:00 to 2020-09-01 08:00:00,0.0,169
171,DOGEUSDT,14,2020-09-02 09:00:00 to 2020-09-04 09:00:00,-9.438621984918536,170
172,BANDUSDT,8,2020-09-03 07:00:00 to 2020-09-05 07:00:00,3.4951066196205463,171
173,BTCUSDT,117,2020-09-05 17:45:00 to 2020-09-07 17:45:00,1.7962991181946564,172
175,ATOMUSDT,68,2020-09-10 12:00:00 to 2020-09-12 12:00:00,0.0,174
176,KNCUSDT,23,2020-09-11 08:45:00 to 2020-09-13 08:45:00,0.0,175
177,TRXUSDT,77,2020-09-14 08:00:00 to 2020-09-16 08:00:00,-2.014902472822432,176
