Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top1,2019-10-01 17:45:00,2025-03-05 15:00:00,157301.47958415255,288.55593113592954,-39.877798047789945,3944.5878981492638,2.751824669759758,2.2034290320556673,7.23600462568473,45.32861321474744,58.35777126099707,8.802658179051319,3.545119068722287,-0.5643931322340109,6.281293776006466,341,650
top2,2019-12-12 17:45:00,2025-03-06 15:15:00,55281.25437997636,234.66806401761997,-32.95776412227311,1677.3363076112576,2.4792982778411794,1.9506546169659094,7.120266506763105,47.80984761694278,56.49546827794561,3.878665563531736,3.0077679720189554,-1.0070269901154862,2.986779899190213,331,643
top5,2020-02-19 08:00:00,2025-03-05 19:15:00,38574.25358760877,226.09063693731787,-17.62057181076917,2189.160147687905,3.205204594336955,2.696390602009863,12.831061293887068,36.035210531593606,55.35714285714286,8.57580765133194,2.7930462636161497,-0.4038543665734053,6.915973912364473,280,610
top7,2020-01-29 17:45:00,2025-03-04 21:30:00,26666.988471489894,199.53936681876274,-23.843420137217308,1118.4212800857904,3.6340209797593905,2.73221488973669,8.36873928616058,31.63852652173983,54.779411764705884,8.583541341751484,2.2453808735848275,-0.31688718218740725,7.08574218144585,272,607
top3,2020-01-17 17:45:00,2025-03-07 13:15:00,23700.459623492054,190.3747340319371,-36.82383182798341,643.617419670091,2.7960442535093555,2.036910182718824,5.169878434195603,38.570221683676,54.23728813559322,8.030003521888188,2.5078726710079478,-0.3701484722774454,6.77531547159316,295,627
top4,2020-02-06 08:00:00,2025-03-05 07:45:00,9498.863410874374,145.87868265958375,-27.8354676375298,341.25036211237625,2.5189599646566028,1.7713504780430067,5.240748406285063,36.30305203781392,50.836120401337794,4.459681506934193,2.5640592800631063,-0.5944980996116337,4.31298145736399,299,619
top10,2020-02-10 17:45:00,2025-03-03 12:30:00,6084.1519866656945,126.06390595288097,-26.737858355180066,227.54821668381604,2.7367152390472413,1.6213131790335635,4.714809401645961,33.735709733394046,47.69230769230769,6.4665933393405375,2.5115164251528492,-0.35411412385670615,7.092392694760589,260,568
top8,2020-02-03 08:00:00,2025-03-05 23:00:00,4664.650178228267,113.8202890377182,-36.57692430522287,127.52986389186898,2.3457394899709914,1.477786162044491,3.1118059049449833,36.17864481225654,52.51798561151079,6.452104471881941,2.2144399582085943,-0.37961332041894424,5.833409522523396,278,592
top9,2020-02-03 08:00:00,2025-03-06 06:45:00,4324.295841938194,110.72600626877995,-17.872079614165038,241.95817919873448,2.803221014694696,2.0355780105601795,6.1954740947450135,31.02085496634301,50.19607843137255,5.553961048158769,2.1415743695332825,-0.3886302300517801,5.510570727470029,255,580
top6,2020-01-26 08:15:00,2025-03-06 06:00:00,3130.077929445829,97.50180611203281,-34.352643749265866,91.1160710742305,1.8734686027614247,1.1818512877827703,2.838262080312712,40.478454402994814,48.88059701492538,3.9867701918620804,2.6076912856267107,-0.6254400699974675,4.169370353321414,268,606
