Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-01-08 12:30:00 to 2024-01-22 12:30:00,2024-01-23 12:30:00 to 2024-01-25 12:30:00,210,0.024,1,-1.1549212954143149,10.731822271700702,0.0,214.40309405326843,791
2,2024-01-11 12:30:00 to 2024-01-25 12:30:00,2024-01-26 12:30:00 to 2024-01-28 12:30:00,40,0.026,1,0.409616627497071,1.5984446555294496,100.0,206.76640486717224,792
3,2024-01-14 12:30:00 to 2024-01-28 12:30:00,2024-01-29 12:30:00 to 2024-01-31 12:30:00,25,0.032,3,2.6446941395581782,1.0777818275448372,100.0,206.36868715286255,793
4,2024-01-17 12:30:00 to 2024-01-31 12:30:00,2024-02-01 12:30:00 to 2024-02-03 12:30:00,290,0.024,1,-2.777038836270076,5.531948956718907,0.0,207.0638689994812,795
5,2024-01-20 12:30:00 to 2024-02-03 12:30:00,2024-02-04 12:30:00 to 2024-02-06 12:30:00,290,0.024,1,-4.536940833516292,5.159443019983988,0.0,203.14823389053345,797
6,2024-01-23 12:30:00 to 2024-02-06 12:30:00,2024-02-07 12:30:00 to 2024-02-09 12:30:00,70,0.024,1,0.913368108665436,0.5361078437463694,100.0,202.0433878898621,798
7,2024-01-26 12:30:00 to 2024-02-09 12:30:00,2024-02-10 12:30:00 to 2024-02-12 12:30:00,20,0.022,3,2.622219144373994,1.8800946715885347,66.66666666666666,202.42077803611755,799
8,2024-01-29 12:30:00 to 2024-02-12 12:30:00,2024-02-13 12:30:00 to 2024-02-15 12:30:00,20,0.02,6,3.64636510841643,3.81123533091928,83.33333333333334,201.86091208457947,801
9,2024-02-01 12:30:00 to 2024-02-15 12:30:00,2024-02-16 12:30:00 to 2024-02-18 12:30:00,40,0.02,2,-4.019906832129127,9.106501960996528,50.0,197.70862412452695,803
10,2024-02-04 12:30:00 to 2024-02-18 12:30:00,2024-02-19 12:30:00 to 2024-02-21 12:30:00,25,0.024,6,-2.9897339357841703,7.877245247935745,33.33333333333333,198.09880304336548,804
11,2024-02-07 12:30:00 to 2024-02-21 12:30:00,2024-02-22 12:30:00 to 2024-02-24 12:30:00,285,0.054,1,-1.0746512616364634,2.279653995788912,0.0,201.9427540302277,805
12,2024-02-10 12:30:00 to 2024-02-24 12:30:00,2024-02-25 12:30:00 to 2024-02-27 12:30:00,290,0.04,2,3.8506009999417072,1.2924473465685444,100.0,207.61636900901792,807
13,2024-02-13 12:30:00 to 2024-02-27 12:30:00,2024-02-28 12:30:00 to 2024-03-01 12:30:00,300,0.038,2,8.91698051530444,3.156025646184452,100.0,208.3627531528473,809
14,2024-02-16 12:30:00 to 2024-03-01 12:30:00,2024-03-02 12:30:00 to 2024-03-04 12:30:00,295,0.04,1,0.1071687281598497,0.3465970894730724,0.0,209.1497039794922,810
15,2024-02-19 12:30:00 to 2024-03-04 12:30:00,2024-03-05 12:30:00 to 2024-03-07 12:30:00,105,0.034,3,8.30227041888318,5.1323106131013,100.0,207.0176661014557,811
16,2024-02-22 12:30:00 to 2024-03-07 12:30:00,2024-03-08 12:30:00 to 2024-03-10 12:30:00,155,0.024,5,6.577925054688058,1.502083439284228,80.0,206.1754128932953,813
17,2024-02-25 12:30:00 to 2024-03-10 12:30:00,2024-03-11 12:30:00 to 2024-03-13 12:30:00,25,0.022,4,1.1753277102769606,4.1514167007300715,75.0,207.1888108253479,815
18,2024-02-28 12:30:00 to 2024-03-13 12:30:00,2024-03-14 12:30:00 to 2024-03-16 12:30:00,25,0.022,5,6.705105062216445,5.260556108646113,80.0,206.15208792686465,816
19,2024-03-02 12:30:00 to 2024-03-16 12:30:00,2024-03-17 12:30:00 to 2024-03-19 12:30:00,175,0.026,2,-0.584790812537085,12.21515701170198,50.0,211.06379199028015,817
20,2024-03-05 12:30:00 to 2024-03-19 12:30:00,2024-03-20 12:30:00 to 2024-03-22 12:30:00,175,0.026,2,5.983564565848883,6.56602171258299,100.0,209.82997393608093,819
21,2024-03-08 12:30:00 to 2024-03-22 12:30:00,2024-03-23 12:30:00 to 2024-03-25 12:30:00,185,0.026,1,1.1327529015487197,1.016726341442685,100.0,212.43278694152832,821
22,2024-03-11 12:30:00 to 2024-03-25 12:30:00,2024-03-26 12:30:00 to 2024-03-28 12:30:00,300,0.06,0,0.0,0.0,0.0,211.51401805877688,822
23,2024-03-14 12:30:00 to 2024-03-28 12:30:00,2024-03-29 12:30:00 to 2024-03-31 12:30:00,90,0.028,2,1.1858665053035655,1.6533767287143228,100.0,206.08259201049805,823
24,2024-03-17 12:30:00 to 2024-03-31 12:30:00,2024-04-01 12:30:00 to 2024-04-03 12:30:00,170,0.02,1,-3.891845578886987,8.051085328556942,0.0,203.0707490444183,825
25,2024-03-20 12:30:00 to 2024-04-03 12:30:00,2024-04-04 12:30:00 to 2024-04-06 12:30:00,115,0.02,2,2.9237893021055608,4.636768593437839,50.0,195.5734350681305,827
26,2024-03-23 12:30:00 to 2024-04-06 12:30:00,2024-04-07 12:30:00 to 2024-04-09 12:30:00,115,0.02,2,1.1217313833138178,0.8946991655179511,50.0,194.74902486801147,828
27,2024-03-26 12:30:00 to 2024-04-09 12:30:00,2024-04-10 12:30:00 to 2024-04-12 12:30:00,115,0.032,1,-0.1500315794145717,3.626419568819801,0.0,199.29794096946716,829
28,2024-03-29 12:30:00 to 2024-04-12 12:30:00,2024-04-13 12:30:00 to 2024-04-15 12:30:00,205,0.074,1,-8.731760925231029,29.468258184154458,0.0,199.97539567947388,831
29,2024-04-01 12:30:00 to 2024-04-15 12:30:00,2024-04-16 12:30:00 to 2024-04-18 12:30:00,10,0.062,0,0.0,0.0,0.0,203.20384001731873,833
30,2024-04-04 12:30:00 to 2024-04-18 12:30:00,2024-04-19 12:30:00 to 2024-04-21 12:30:00,10,0.062,0,0.0,0.0,0.0,201.43887495994568,834
31,2024-04-07 12:30:00 to 2024-04-21 12:30:00,2024-04-22 12:30:00 to 2024-04-24 12:30:00,10,0.02,0,0.0,0.0,0.0,207.79707598686215,835
32,2024-04-10 12:30:00 to 2024-04-24 12:30:00,2024-04-25 12:30:00 to 2024-04-27 12:30:00,270,0.02,2,1.3168385865366692,5.914449954788915,50.0,202.60976099967957,837
33,2024-04-13 12:30:00 to 2024-04-27 12:30:00,2024-04-28 12:30:00 to 2024-04-30 12:30:00,205,0.022,1,-7.094240768450908,8.115705018091067,0.0,203.7183380126953,839
34,2024-04-16 12:30:00 to 2024-04-30 12:30:00,2024-05-01 12:30:00 to 2024-05-03 12:30:00,105,0.036,1,1.8174991754228904,0.3401183458490461,100.0,199.4105350971222,840
35,2024-04-19 12:30:00 to 2024-05-03 12:30:00,2024-05-04 12:30:00 to 2024-05-06 12:30:00,270,0.052,0,0.0,0.0,0.0,199.98262000083923,841
36,2024-04-22 12:30:00 to 2024-05-06 12:30:00,2024-05-07 12:30:00 to 2024-05-09 12:30:00,250,0.048,1,-1.0410356177395987,5.065100770992409,0.0,200.84177923202515,843
37,2024-04-25 12:30:00 to 2024-05-09 12:30:00,2024-05-10 12:30:00 to 2024-05-12 12:30:00,90,0.032,1,1.132293319958062,0.9695040509004232,100.0,200.8291199207306,845
38,2024-04-28 12:30:00 to 2024-05-12 12:30:00,2024-05-13 12:30:00 to 2024-05-15 12:30:00,90,0.032,2,1.2610524857343262,6.310988280321292,50.0,195.87485480308533,846
39,2024-05-01 12:30:00 to 2024-05-15 12:30:00,2024-05-16 12:30:00 to 2024-05-18 12:30:00,300,0.054,0,0.0,0.0,0.0,201.64937210083008,847
40,2024-05-04 12:30:00 to 2024-05-18 12:30:00,2024-05-19 12:30:00 to 2024-05-21 12:30:00,300,0.054,1,1.7739495904221625,1.4800642656361302,100.0,201.51411032676697,849
41,2024-05-07 12:30:00 to 2024-05-21 12:30:00,2024-05-22 12:30:00 to 2024-05-24 12:30:00,100,0.04,2,4.103666160636676,1.9909354580647416,50.0,201.43869614601135,851
42,2024-05-10 12:30:00 to 2024-05-24 12:30:00,2024-05-25 12:30:00 to 2024-05-27 12:30:00,250,0.04,0,0.0,0.0,0.0,201.56779289245603,852
43,2024-05-13 12:30:00 to 2024-05-27 12:30:00,2024-05-28 12:30:00 to 2024-05-30 12:30:00,90,0.038,0,0.0,0.0,0.0,199.20935201644895,853
44,2024-05-16 12:30:00 to 2024-05-30 12:30:00,2024-05-31 12:30:00 to 2024-06-02 12:30:00,65,0.032,1,0.9571641104562696,0.4304249667389781,100.0,199.98535799980164,855
45,2024-05-19 12:30:00 to 2024-06-02 12:30:00,2024-06-03 12:30:00 to 2024-06-05 12:30:00,45,0.02,2,2.2241434867713723,0.3418590853040594,100.0,198.66434288024905,857
46,2024-05-22 12:30:00 to 2024-06-05 12:30:00,2024-06-06 12:30:00 to 2024-06-08 12:30:00,40,0.02,4,-7.721745073228157,15.958693900793486,50.0,195.55752992630005,858
47,2024-05-25 12:30:00 to 2024-06-08 12:30:00,2024-06-09 12:30:00 to 2024-06-11 12:30:00,60,0.026,2,1.3739444308821114,1.0096008845173252,100.0,196.29788398742676,859
48,2024-05-28 12:30:00 to 2024-06-11 12:30:00,2024-06-12 12:30:00 to 2024-06-14 12:30:00,70,0.026,2,1.3631463497236838,1.647572644983278,100.0,198.71182489395144,861
