Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-05-13 12:30:00 to 2024-05-27 12:30:00,2024-05-28 12:30:00 to 2024-05-30 12:30:00,185,0.036,2,11.546947323037092,7.950245780212541,100.0,210.90144991874695,853
2,2024-05-16 12:30:00 to 2024-05-30 12:30:00,2024-05-31 12:30:00 to 2024-06-02 12:30:00,210,0.028,1,2.09901255912575,1.1043307748884552,100.0,202.12419295310977,855
3,2024-05-19 12:30:00 to 2024-06-02 12:30:00,2024-06-03 12:30:00 to 2024-06-05 12:30:00,230,0.024,1,3.3209593611642054,6.606284132807406,100.0,206.6694443225861,857
4,2024-05-22 12:30:00 to 2024-06-05 12:30:00,2024-06-06 12:30:00 to 2024-06-08 12:30:00,185,0.026,3,-3.71321647262208,13.797598857001642,66.66666666666666,206.8184552192688,858
5,2024-05-25 12:30:00 to 2024-06-08 12:30:00,2024-06-09 12:30:00 to 2024-06-11 12:30:00,230,0.02,1,-16.776182583545033,18.951006285000936,0.0,208.20352482795715,859
6,2024-05-28 12:30:00 to 2024-06-11 12:30:00,2024-06-12 12:30:00 to 2024-06-14 12:30:00,90,0.07,1,0.4646089030206713,2.4374656612792145,100.0,206.07201886177063,861
7,2024-05-31 12:30:00 to 2024-06-14 12:30:00,2024-06-15 12:30:00 to 2024-06-17 12:30:00,90,0.07,1,-2.6307893291486835,3.3533272348479732,0.0,206.4660348892212,863
8,2024-06-03 12:30:00 to 2024-06-17 12:30:00,2024-06-18 12:30:00 to 2024-06-20 12:30:00,10,0.024,1,0.4574296397301077,4.377335777213758,100.0,207.0978798866272,864
9,2024-06-06 12:30:00 to 2024-06-20 12:30:00,2024-06-21 12:30:00 to 2024-06-23 12:30:00,10,0.024,2,-0.0366555576638165,1.0196992948158417,50.0,207.1036410331726,865
10,2024-06-09 12:30:00 to 2024-06-23 12:30:00,2024-06-24 12:30:00 to 2024-06-26 12:30:00,10,0.026,0,0.0,0.0,0.0,208.2389771938324,867
11,2024-06-12 12:30:00 to 2024-06-26 12:30:00,2024-06-27 12:30:00 to 2024-06-29 12:30:00,45,0.074,0,0.0,0.0,0.0,204.90672516822815,869
12,2024-06-15 12:30:00 to 2024-06-29 12:30:00,2024-06-30 12:30:00 to 2024-07-02 12:30:00,245,0.02,1,3.0655679453809355,2.0583377396432083,100.0,205.76144886016849,870
13,2024-06-18 12:30:00 to 2024-07-02 12:30:00,2024-07-03 12:30:00 to 2024-07-05 12:30:00,200,0.024,1,-24.68765209260192,26.6035181968991,0.0,201.4555730819702,871
14,2024-06-21 12:30:00 to 2024-07-05 12:30:00,2024-07-06 12:30:00 to 2024-07-08 12:30:00,25,0.058,0,0.0,0.0,0.0,201.23978805541992,873
15,2024-06-24 12:30:00 to 2024-07-08 12:30:00,2024-07-09 12:30:00 to 2024-07-11 12:30:00,25,0.048,0,0.0,0.0,0.0,199.94808411598208,875
16,2024-06-27 12:30:00 to 2024-07-11 12:30:00,2024-07-12 12:30:00 to 2024-07-14 12:30:00,25,0.048,0,0.0,0.0,0.0,200.43801712989807,876
17,2024-06-30 12:30:00 to 2024-07-14 12:30:00,2024-07-15 12:30:00 to 2024-07-17 12:30:00,25,0.048,0,0.0,0.0,0.0,200.51637816429135,877
18,2024-07-03 12:30:00 to 2024-07-17 12:30:00,2024-07-18 12:30:00 to 2024-07-20 12:30:00,220,0.02,3,5.901572790453264,1.1584023107794623,100.0,202.36212706565857,879
19,2024-07-06 12:30:00 to 2024-07-20 12:30:00,2024-07-21 12:30:00 to 2024-07-23 12:30:00,145,0.022,3,-7.5329029766547855,10.726455727611178,66.66666666666666,199.9665937423706,881
20,2024-07-09 12:30:00 to 2024-07-23 12:30:00,2024-07-24 12:30:00 to 2024-07-26 12:30:00,30,0.022,3,2.5973279324333816,1.060252233748967,100.0,201.59476399421692,882
