Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-03-12 07:00:00 to 2021-03-26 07:00:00,2021-03-27 07:00:00 to 2021-03-29 07:00:00,10,0.026,3,2.289949957594745,1.0011839704093384,100.0,229.7439160346985,275
2,2021-03-15 07:00:00 to 2021-03-29 07:00:00,2021-03-30 07:00:00 to 2021-04-01 07:00:00,200,0.02,3,5.07974457931352,2.9287668177168693,66.66666666666666,224.53708696365356,276
3,2021-03-18 07:00:00 to 2021-04-01 07:00:00,2021-04-02 07:00:00 to 2021-04-04 07:00:00,25,0.024,4,2.9838968149662106,3.8459793902209265,75.0,222.71382021903992,277
4,2021-03-21 07:00:00 to 2021-04-04 07:00:00,2021-04-05 07:00:00 to 2021-04-07 07:00:00,25,0.024,4,1.455155852268217,3.1496704749464604,75.0,221.81764197349548,279
5,2021-03-24 07:00:00 to 2021-04-07 07:00:00,2021-04-08 07:00:00 to 2021-04-10 07:00:00,10,0.024,4,1.1382096152759913,2.0908516637863057,75.0,220.04104804992676,281
6,2021-03-27 07:00:00 to 2021-04-10 07:00:00,2021-04-11 07:00:00 to 2021-04-13 07:00:00,65,0.022,3,6.254217992203757,2.5149145233555648,100.0,217.52647590637207,282
7,2021-03-30 07:00:00 to 2021-04-13 07:00:00,2021-04-14 07:00:00 to 2021-04-16 07:00:00,15,0.024,4,6.0642225668910035,0.7337068697279142,100.0,219.8219583034515,283
8,2021-04-02 07:00:00 to 2021-04-16 07:00:00,2021-04-17 07:00:00 to 2021-04-19 07:00:00,20,0.02,8,-12.957026811192716,26.543157330059675,75.0,217.13675689697263,285
9,2021-04-05 07:00:00 to 2021-04-19 07:00:00,2021-04-20 07:00:00 to 2021-04-22 07:00:00,20,0.02,9,7.732774548365779,6.346385344475712,77.77777777777779,221.78975987434387,287
10,2021-04-08 07:00:00 to 2021-04-22 07:00:00,2021-04-23 07:00:00 to 2021-04-25 07:00:00,10,0.048,3,0.5354211777126148,12.015938953645982,66.66666666666666,221.32493114471436,288
11,2021-04-11 07:00:00 to 2021-04-25 07:00:00,2021-04-26 07:00:00 to 2021-04-28 07:00:00,10,0.048,1,1.344728785357729,0.4223261231281139,0.0,225.17984700202945,289
12,2021-04-14 07:00:00 to 2021-04-28 07:00:00,2021-04-29 07:00:00 to 2021-05-01 07:00:00,10,0.048,2,0.6916276916538118,1.0520567754350372,100.0,225.20405387878415,291
13,2021-04-17 07:00:00 to 2021-05-01 07:00:00,2021-05-02 07:00:00 to 2021-05-04 07:00:00,270,0.04,1,0.0699990725489988,6.559970304392846,0.0,225.11498284339905,293
14,2021-04-20 07:00:00 to 2021-05-04 07:00:00,2021-05-05 07:00:00 to 2021-05-07 07:00:00,55,0.02,4,5.03274781832095,4.710587748883885,100.0,224.2145552635193,294
15,2021-04-23 07:00:00 to 2021-05-07 07:00:00,2021-05-08 07:00:00 to 2021-05-10 07:00:00,45,0.02,5,7.60238097347681,3.160826765619935,100.0,218.3982670307159,295
16,2021-04-26 07:00:00 to 2021-05-10 07:00:00,2021-05-11 07:00:00 to 2021-05-13 07:00:00,80,0.028,4,6.612815502046597,11.930065425518238,75.0,218.93438911437988,297
17,2021-04-29 07:00:00 to 2021-05-13 07:00:00,2021-05-14 07:00:00 to 2021-05-16 07:00:00,20,0.024,5,2.985092631554107,5.200788071065222,80.0,220.32479286193848,299
18,2021-05-02 07:00:00 to 2021-05-16 07:00:00,2021-05-17 07:00:00 to 2021-05-19 07:00:00,220,0.054,2,-3.421838898936439,9.577389785181092,50.0,228.92462301254272,300
19,2021-05-05 07:00:00 to 2021-05-19 07:00:00,2021-05-20 07:00:00 to 2021-05-22 07:00:00,15,0.048,4,-2.926017923477557,15.322804305385024,50.0,233.79908776283264,301
