Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-05-16 14:00:00 to 2024-05-30 14:00:00,2024-05-31 14:00:00 to 2024-06-02 14:00:00,10,0.02,7,8.142832883520459,3.0613709782930147,85.71428571428571,205.3806798458099,855
2,2024-05-19 14:00:00 to 2024-06-02 14:00:00,2024-06-03 14:00:00 to 2024-06-05 14:00:00,30,0.02,10,13.558206605840208,7.840571254529315,70.0,202.68006420135495,857
3,2024-05-22 14:00:00 to 2024-06-05 14:00:00,2024-06-06 14:00:00 to 2024-06-08 14:00:00,30,0.02,5,11.523239854741911,2.974917927949724,80.0,201.88861894607544,858
4,2024-05-25 14:00:00 to 2024-06-08 14:00:00,2024-06-09 14:00:00 to 2024-06-11 14:00:00,30,0.02,4,-6.640087258330131,8.694337064451851,25.0,204.29357814788816,859
5,2024-05-28 14:00:00 to 2024-06-11 14:00:00,2024-06-12 14:00:00 to 2024-06-14 14:00:00,35,0.02,4,4.084620439185891,3.2942557931942757,75.0,209.55569410324097,861
6,2024-05-31 14:00:00 to 2024-06-14 14:00:00,2024-06-15 14:00:00 to 2024-06-17 14:00:00,35,0.02,4,-1.5698996294223069,6.47933737242753,50.0,210.40578985214233,863
7,2024-06-03 14:00:00 to 2024-06-17 14:00:00,2024-06-18 14:00:00 to 2024-06-20 14:00:00,25,0.026,6,-1.469131372988595,9.635022611063436,66.66666666666666,209.2023890018463,864
8,2024-06-06 14:00:00 to 2024-06-20 14:00:00,2024-06-21 14:00:00 to 2024-06-23 14:00:00,25,0.034,1,1.4268556388808793,0.0183205634675262,100.0,209.1940400600433,865
9,2024-06-09 14:00:00 to 2024-06-23 14:00:00,2024-06-24 14:00:00 to 2024-06-26 14:00:00,30,0.034,1,1.854446425495735,1.9722972911591927,100.0,205.02031993865967,867
10,2024-06-12 14:00:00 to 2024-06-26 14:00:00,2024-06-27 14:00:00 to 2024-06-29 14:00:00,30,0.034,0,0.0,0.0,0.0,204.01577806472775,869
11,2024-06-15 14:00:00 to 2024-06-29 14:00:00,2024-06-30 14:00:00 to 2024-07-02 14:00:00,280,0.054,1,2.3169625738673494,1.4984510059528202,100.0,207.79554629325867,870
12,2024-06-18 14:00:00 to 2024-07-02 14:00:00,2024-07-03 14:00:00 to 2024-07-05 14:00:00,255,0.046,1,-19.155724170683733,26.024604931997356,0.0,203.30281615257263,871
13,2024-06-21 14:00:00 to 2024-07-05 14:00:00,2024-07-06 14:00:00 to 2024-07-08 14:00:00,70,0.078,1,3.50051145958987,0.9309104834594484,100.0,198.98125982284543,873
14,2024-06-24 14:00:00 to 2024-07-08 14:00:00,2024-07-09 14:00:00 to 2024-07-11 14:00:00,70,0.08,0,0.0,0.0,0.0,199.64666509628296,875
15,2024-06-27 14:00:00 to 2024-07-11 14:00:00,2024-07-12 14:00:00 to 2024-07-14 14:00:00,70,0.08,0,0.0,0.0,0.0,200.33228611946103,876
16,2024-06-30 14:00:00 to 2024-07-14 14:00:00,2024-07-15 14:00:00 to 2024-07-17 14:00:00,70,0.08,0,0.0,0.0,0.0,202.5556800365448,877
17,2024-07-03 14:00:00 to 2024-07-17 14:00:00,2024-07-18 14:00:00 to 2024-07-20 14:00:00,150,0.02,3,3.880168106666788,2.4537887133027008,100.0,205.3689260482788,879
18,2024-07-06 14:00:00 to 2024-07-20 14:00:00,2024-07-21 14:00:00 to 2024-07-23 14:00:00,140,0.02,2,-5.589949935986079,8.979316171656109,50.0,202.14826488494873,881
19,2024-07-09 14:00:00 to 2024-07-23 14:00:00,2024-07-24 14:00:00 to 2024-07-26 14:00:00,60,0.028,2,3.8271320986012873,1.652179548175454,100.0,201.2013099193573,882
20,2024-07-12 14:00:00 to 2024-07-26 14:00:00,2024-07-27 14:00:00 to 2024-07-29 14:00:00,60,0.028,2,1.671555933053933,0.4145684775859568,100.0,198.4345200061798,883
21,2024-07-15 14:00:00 to 2024-07-29 14:00:00,2024-07-30 14:00:00 to 2024-08-01 14:00:00,60,0.028,5,5.220289119513217,0.8040695005368668,100.0,200.72042226791385,885
22,2024-07-18 14:00:00 to 2024-08-01 14:00:00,2024-08-02 14:00:00 to 2024-08-04 14:00:00,175,0.056,1,1.072693126334234,5.47024444907286,100.0,201.78565096855164,887
23,2024-07-21 14:00:00 to 2024-08-04 14:00:00,2024-08-05 14:00:00 to 2024-08-07 14:00:00,165,0.054,2,7.083106404862664,11.55561579152728,100.0,202.7963399887085,888
24,2024-07-24 14:00:00 to 2024-08-07 14:00:00,2024-08-08 14:00:00 to 2024-08-10 14:00:00,180,0.056,1,5.153897547169818,1.1064977551610269,100.0,208.77076411247253,889
25,2024-07-27 14:00:00 to 2024-08-10 14:00:00,2024-08-11 14:00:00 to 2024-08-13 14:00:00,160,0.052,1,0.6226821086261953,2.0085688736353853,100.0,205.77693605422976,891
26,2024-07-30 14:00:00 to 2024-08-13 14:00:00,2024-08-14 14:00:00 to 2024-08-16 14:00:00,160,0.052,1,-2.153381354721405,4.4230800407602,0.0,205.70171904563904,893
27,2024-08-02 14:00:00 to 2024-08-16 14:00:00,2024-08-17 14:00:00 to 2024-08-19 14:00:00,200,0.04,1,-0.0481955521472445,0.5749826896836564,0.0,208.4492151737213,894
28,2024-08-05 14:00:00 to 2024-08-19 14:00:00,2024-08-20 14:00:00 to 2024-08-22 14:00:00,200,0.04,0,0.0,0.0,0.0,199.82065200805664,895
29,2024-08-08 14:00:00 to 2024-08-22 14:00:00,2024-08-23 14:00:00 to 2024-08-25 14:00:00,300,0.044,1,-9.885236489979633,12.742055603036002,0.0,202.50799322128296,897
30,2024-08-11 14:00:00 to 2024-08-25 14:00:00,2024-08-26 14:00:00 to 2024-08-28 14:00:00,175,0.08,1,2.3972859955982857,1.7160047545739403,100.0,200.40420293807983,899
31,2024-08-14 14:00:00 to 2024-08-28 14:00:00,2024-08-29 14:00:00 to 2024-08-31 14:00:00,170,0.056,1,1.7798008615078107,4.564756621877524,100.0,202.5463171005249,900
32,2024-08-17 14:00:00 to 2024-08-31 14:00:00,2024-09-01 14:00:00 to 2024-09-03 14:00:00,180,0.056,0,0.0,0.0,0.0,201.50068283081055,901
33,2024-08-20 14:00:00 to 2024-09-03 14:00:00,2024-09-04 14:00:00 to 2024-09-06 14:00:00,170,0.08,1,0.3979681093393993,2.6833749510188523,100.0,200.92810773849487,903
34,2024-08-23 14:00:00 to 2024-09-06 14:00:00,2024-09-07 14:00:00 to 2024-09-09 14:00:00,180,0.056,0,0.0,0.0,0.0,206.75697708129883,905
35,2024-08-26 14:00:00 to 2024-09-09 14:00:00,2024-09-10 14:00:00 to 2024-09-12 14:00:00,20,0.02,2,0.2385386246032794,1.036509190946599,50.0,204.13139605522156,906
36,2024-08-29 14:00:00 to 2024-09-12 14:00:00,2024-09-13 14:00:00 to 2024-09-15 14:00:00,25,0.02,0,0.0,0.0,0.0,201.3655607700348,907
37,2024-09-01 14:00:00 to 2024-09-15 14:00:00,2024-09-16 14:00:00 to 2024-09-18 14:00:00,275,0.026,2,0.1825232452133786,4.837134742495927,50.0,197.62721419334412,909
38,2024-09-04 14:00:00 to 2024-09-18 14:00:00,2024-09-19 14:00:00 to 2024-09-21 14:00:00,190,0.038,1,0.0420881292562262,0.984321285092318,0.0,195.30404496192932,911
39,2024-09-07 14:00:00 to 2024-09-21 14:00:00,2024-09-22 14:00:00 to 2024-09-24 14:00:00,295,0.028,1,2.891951966569432,3.1792276751400292,100.0,197.0331599712372,912
40,2024-09-10 14:00:00 to 2024-09-24 14:00:00,2024-09-25 14:00:00 to 2024-09-27 14:00:00,290,0.024,0,0.0,0.0,0.0,197.62642192840576,913
41,2024-09-13 14:00:00 to 2024-09-27 14:00:00,2024-09-28 14:00:00 to 2024-09-30 14:00:00,300,0.022,1,-3.4363478725389904,7.006856537821741,0.0,197.0919449329376,915
42,2024-09-16 14:00:00 to 2024-09-30 14:00:00,2024-10-01 14:00:00 to 2024-10-03 14:00:00,170,0.044,2,-7.720744577005935,11.747434571644304,50.0,198.24010682106015,917
43,2024-09-19 14:00:00 to 2024-10-03 14:00:00,2024-10-04 14:00:00 to 2024-10-06 14:00:00,105,0.05,0,0.0,0.0,0.0,201.49536728858948,918
44,2024-09-22 14:00:00 to 2024-10-06 14:00:00,2024-10-07 14:00:00 to 2024-10-09 14:00:00,105,0.05,1,-0.942172985781981,2.6660517750048687,0.0,199.29990315437317,919
45,2024-09-25 14:00:00 to 2024-10-09 14:00:00,2024-10-10 14:00:00 to 2024-10-12 14:00:00,100,0.048,0,0.0,0.0,0.0,202.2302269935608,921
46,2024-09-28 14:00:00 to 2024-10-12 14:00:00,2024-10-13 14:00:00 to 2024-10-15 14:00:00,70,0.02,3,1.3199674782502553,1.2873253036486916,100.0,203.29093313217163,923
47,2024-10-01 14:00:00 to 2024-10-15 14:00:00,2024-10-16 14:00:00 to 2024-10-18 14:00:00,50,0.02,5,3.416052673166851,2.540217782484318,80.0,202.73418712615967,924
48,2024-10-04 14:00:00 to 2024-10-18 14:00:00,2024-10-19 14:00:00 to 2024-10-21 14:00:00,50,0.02,2,-1.397063502080964,2.322358163504856,50.0,198.57029914855957,925
49,2024-10-07 14:00:00 to 2024-10-21 14:00:00,2024-10-22 14:00:00 to 2024-10-24 14:00:00,50,0.02,3,0.8512187236103635,2.974710911231097,100.0,198.78518795967105,927
50,2024-10-10 14:00:00 to 2024-10-24 14:00:00,2024-10-25 14:00:00 to 2024-10-27 14:00:00,35,0.02,3,-4.244618148560312,8.810817654390423,66.66666666666666,198.27464985847473,929
51,2024-10-13 14:00:00 to 2024-10-27 14:00:00,2024-10-28 14:00:00 to 2024-10-30 14:00:00,240,0.054,0,0.0,0.0,0.0,200.1943290233612,930
52,2024-10-16 14:00:00 to 2024-10-30 14:00:00,2024-10-31 14:00:00 to 2024-11-02 14:00:00,240,0.064,1,1.4697029425502115,2.1115962621343702,100.0,198.3541669845581,931
53,2024-10-19 14:00:00 to 2024-11-02 14:00:00,2024-11-03 14:00:00 to 2024-11-05 14:00:00,240,0.068,2,3.1005555235773317,3.355322750828608,100.0,197.02285289764404,933
54,2024-10-22 14:00:00 to 2024-11-05 14:00:00,2024-11-06 14:00:00 to 2024-11-08 14:00:00,250,0.064,0,0.0,0.0,0.0,198.3124270439148,935
55,2024-10-25 14:00:00 to 2024-11-08 14:00:00,2024-11-09 14:00:00 to 2024-11-11 14:00:00,35,0.02,3,1.591110202382024,3.5081901691467263,66.66666666666666,198.1501152515411,936
56,2024-10-28 14:00:00 to 2024-11-11 14:00:00,2024-11-12 14:00:00 to 2024-11-14 14:00:00,175,0.054,2,4.689874942577735,2.5476559059434836,100.0,198.54435420036316,937
57,2024-10-31 14:00:00 to 2024-11-14 14:00:00,2024-11-15 14:00:00 to 2024-11-17 14:00:00,290,0.022,5,11.654659163635388,3.0036961997569795,80.0,202.8259139060974,939
58,2024-11-03 14:00:00 to 2024-11-17 14:00:00,2024-11-18 14:00:00 to 2024-11-20 14:00:00,300,0.024,1,0.4000299129250197,2.5123167707740808,0.0,203.24854493141177,941
59,2024-11-06 14:00:00 to 2024-11-20 14:00:00,2024-11-21 14:00:00 to 2024-11-23 14:00:00,300,0.024,2,6.703396002959416,4.47842066213688,100.0,208.4709599018097,942
60,2024-11-09 14:00:00 to 2024-11-23 14:00:00,2024-11-24 14:00:00 to 2024-11-26 14:00:00,295,0.024,1,-0.8147475580403262,3.925589770893168,0.0,211.9129660129547,943
61,2024-11-12 14:00:00 to 2024-11-26 14:00:00,2024-11-27 14:00:00 to 2024-11-29 14:00:00,60,0.022,2,1.3524576776292996,0.4335555900742729,100.0,207.4143707752228,945
