Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-14 12:00:00 to 2023-11-28 12:00:00,2023-11-29 12:00:00 to 2023-12-01 12:00:00,120,0.056,0,0.0,0.0,0.0,210.41318321228027,763
2,2023-11-17 12:00:00 to 2023-12-01 12:00:00,2023-12-02 12:00:00 to 2023-12-04 12:00:00,225,0.02,1,1.079579652425782,0.0403963849853211,100.0,205.02781796455383,765
3,2023-11-20 12:00:00 to 2023-12-04 12:00:00,2023-12-05 12:00:00 to 2023-12-07 12:00:00,40,0.02,5,0.5995541710536236,7.172141836148115,60.0,203.34814286231995,766
4,2023-11-23 12:00:00 to 2023-12-07 12:00:00,2023-12-08 12:00:00 to 2023-12-10 12:00:00,35,0.02,2,-1.1024444448910435,3.4789058655698244,0.0,203.43973875045776,767
5,2023-11-26 12:00:00 to 2023-12-10 12:00:00,2023-12-11 12:00:00 to 2023-12-13 12:00:00,110,0.022,4,10.74931128115193,3.84621410846842,100.0,204.2388641834259,769
6,2023-11-29 12:00:00 to 2023-12-13 12:00:00,2023-12-14 12:00:00 to 2023-12-16 12:00:00,45,0.02,2,5.503721234857985,2.958988133140112,100.0,206.00233697891235,771
7,2023-12-02 12:00:00 to 2023-12-16 12:00:00,2023-12-17 12:00:00 to 2023-12-19 12:00:00,45,0.02,5,-3.832644340549468,8.616113998717084,40.0,210.19828391075137,772
8,2023-12-05 12:00:00 to 2023-12-19 12:00:00,2023-12-20 12:00:00 to 2023-12-22 12:00:00,55,0.022,2,-7.675923406158162,8.059313363084451,0.0,209.93232202529907,773
9,2023-12-08 12:00:00 to 2023-12-22 12:00:00,2023-12-23 12:00:00 to 2023-12-25 12:00:00,120,0.034,1,-2.185870961397104,4.913434203447123,0.0,210.75192213058472,775
10,2023-12-11 12:00:00 to 2023-12-25 12:00:00,2023-12-26 12:00:00 to 2023-12-28 12:00:00,290,0.02,2,-0.7553903940223609,8.583099104554341,50.0,208.2769470214844,777
11,2023-12-14 12:00:00 to 2023-12-28 12:00:00,2023-12-29 12:00:00 to 2023-12-31 12:00:00,290,0.02,1,5.253152351851386,8.23663902953667,100.0,210.8741056919098,778
12,2023-12-17 12:00:00 to 2023-12-31 12:00:00,2024-01-01 12:00:00 to 2024-01-03 12:00:00,235,0.038,1,-8.307153367595346,9.913805197365985,0.0,207.85433983802795,779
13,2023-12-20 12:00:00 to 2024-01-03 12:00:00,2024-01-04 12:00:00 to 2024-01-06 12:00:00,270,0.034,2,12.292607786924057,2.2803114475093933,100.0,204.99217700958252,781
