Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-06 05:00:00 to 2024-09-20 05:00:00,2024-09-21 05:00:00 to 2024-09-23 05:00:00,185,0.034,1,-0.5099756728905596,5.138293408913843,0.0,206.388671875,911
2,2024-09-09 05:00:00 to 2024-09-23 05:00:00,2024-09-24 05:00:00 to 2024-09-26 05:00:00,195,0.036,0,0.0,0.0,0.0,204.42717909812927,913
3,2024-09-12 05:00:00 to 2024-09-26 05:00:00,2024-09-27 05:00:00 to 2024-09-29 05:00:00,195,0.036,1,0.3500899795501027,1.0042361724895432,0.0,207.78677487373352,915
4,2024-09-15 05:00:00 to 2024-09-29 05:00:00,2024-09-30 05:00:00 to 2024-10-02 05:00:00,195,0.03,1,-10.69131609811233,15.655146406339824,0.0,207.92166686058044,916
5,2024-09-18 05:00:00 to 2024-10-02 05:00:00,2024-10-03 05:00:00 to 2024-10-05 05:00:00,50,0.026,1,1.3688540540540637,0.7755391320733154,100.0,204.15981006622312,917
6,2024-09-21 05:00:00 to 2024-10-05 05:00:00,2024-10-06 05:00:00 to 2024-10-08 05:00:00,65,0.02,1,0.2615820389720465,0.6047265054107701,0.0,202.6234471797943,919
7,2024-09-24 05:00:00 to 2024-10-08 05:00:00,2024-10-09 05:00:00 to 2024-10-11 05:00:00,65,0.046,0,0.0,0.0,0.0,204.0959141254425,921
8,2024-09-27 05:00:00 to 2024-10-11 05:00:00,2024-10-12 05:00:00 to 2024-10-14 05:00:00,65,0.046,0,0.0,0.0,0.0,204.9491581916809,922
9,2024-09-30 05:00:00 to 2024-10-14 05:00:00,2024-10-15 05:00:00 to 2024-10-17 05:00:00,260,0.022,1,-1.1473699140880125,2.038318124260128,0.0,205.79066610336304,923
10,2024-10-03 05:00:00 to 2024-10-17 05:00:00,2024-10-18 05:00:00 to 2024-10-20 05:00:00,35,0.02,0,0.0,0.0,0.0,202.26529264450073,925
11,2024-10-06 05:00:00 to 2024-10-20 05:00:00,2024-10-21 05:00:00 to 2024-10-23 05:00:00,55,0.026,2,1.4200591434566925,1.2297606762491466,100.0,204.11758995056152,927
12,2024-10-09 05:00:00 to 2024-10-23 05:00:00,2024-10-24 05:00:00 to 2024-10-26 05:00:00,55,0.026,1,0.8943077141524555,1.2832330434782488,0.0,204.13479089736936,928
13,2024-10-12 05:00:00 to 2024-10-26 05:00:00,2024-10-27 05:00:00 to 2024-10-29 05:00:00,50,0.026,0,0.0,0.0,0.0,204.22086191177368,929
14,2024-10-15 05:00:00 to 2024-10-29 05:00:00,2024-10-30 05:00:00 to 2024-11-01 05:00:00,240,0.04,1,0.498637198622273,0.5346578645235422,0.0,209.02915716171265,931
15,2024-10-18 05:00:00 to 2024-11-01 05:00:00,2024-11-02 05:00:00 to 2024-11-04 05:00:00,135,0.022,1,-2.926902946017908,6.457137315656037,0.0,203.25371408462524,933
