Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-08-14 07:00:00 to 2020-08-28 07:00:00,2020-08-29 07:00:00 to 2020-08-31 07:00:00,195,0.036,0,0.0,0.0,0.0,231.77110815048215,169
2,2020-08-17 07:00:00 to 2020-08-31 07:00:00,2020-09-01 07:00:00 to 2020-09-03 07:00:00,185,0.02,1,-13.209313098975237,13.673826211965212,0.0,225.16286897659305,171
3,2020-08-20 07:00:00 to 2020-09-03 07:00:00,2020-09-04 07:00:00 to 2020-09-06 07:00:00,10,0.024,7,-12.720657000347549,23.88406765726194,71.42857142857143,219.4770131111145,173
4,2020-08-23 07:00:00 to 2020-09-06 07:00:00,2020-09-07 07:00:00 to 2020-09-09 07:00:00,30,0.074,1,3.4559825327510953,1.9195582737813124,100.0,215.06592202186584,174
5,2020-08-26 07:00:00 to 2020-09-09 07:00:00,2020-09-10 07:00:00 to 2020-09-12 07:00:00,25,0.052,0,0.0,0.0,0.0,219.80722188949585,175
6,2020-08-29 07:00:00 to 2020-09-12 07:00:00,2020-09-13 07:00:00 to 2020-09-15 07:00:00,25,0.052,1,-4.249509739486457,6.846733734406632,0.0,216.15090107917783,177
7,2020-09-01 07:00:00 to 2020-09-15 07:00:00,2020-09-16 07:00:00 to 2020-09-18 07:00:00,20,0.058,0,0.0,0.0,0.0,225.67392206192017,179
8,2020-09-04 07:00:00 to 2020-09-18 07:00:00,2020-09-19 07:00:00 to 2020-09-21 07:00:00,145,0.056,2,0.8552626646734643,2.6241338279750615,50.0,225.6994240283966,180
9,2020-09-07 07:00:00 to 2020-09-21 07:00:00,2020-09-22 07:00:00 to 2020-09-24 07:00:00,150,0.062,1,1.853543290609468,1.8778195134710949,0.0,216.01979303359985,181
10,2020-09-10 07:00:00 to 2020-09-24 07:00:00,2020-09-25 07:00:00 to 2020-09-27 07:00:00,155,0.08,0,0.0,0.0,0.0,225.2060270309448,183
11,2020-09-13 07:00:00 to 2020-09-27 07:00:00,2020-09-28 07:00:00 to 2020-09-30 07:00:00,275,0.034,2,-0.3242195193454062,3.209607316348224,50.0,224.13972878456116,185
12,2020-09-16 07:00:00 to 2020-09-30 07:00:00,2020-10-01 07:00:00 to 2020-10-03 07:00:00,130,0.046,1,1.2435902831942438,8.349534190528589,100.0,219.76467299461365,186
13,2020-09-19 07:00:00 to 2020-10-03 07:00:00,2020-10-04 07:00:00 to 2020-10-06 07:00:00,235,0.054,1,-3.2429428815907886,3.741248390834105,0.0,220.81573581695557,187
14,2020-09-22 07:00:00 to 2020-10-06 07:00:00,2020-10-07 07:00:00 to 2020-10-09 07:00:00,75,0.054,1,1.9453248081841412,2.2357334207932107,100.0,220.5526840686798,189
15,2020-09-25 07:00:00 to 2020-10-09 07:00:00,2020-10-10 07:00:00 to 2020-10-12 07:00:00,200,0.058,0,0.0,0.0,0.0,224.07020807266235,191
16,2020-09-28 07:00:00 to 2020-10-12 07:00:00,2020-10-13 07:00:00 to 2020-10-15 07:00:00,65,0.036,2,0.389745134520399,1.8705876344783916,50.0,216.7525041103363,192
17,2020-10-01 07:00:00 to 2020-10-15 07:00:00,2020-10-16 07:00:00 to 2020-10-18 07:00:00,40,0.032,2,5.928995693669203,1.780366735303183,50.0,213.6403157711029,193
18,2020-10-04 07:00:00 to 2020-10-18 07:00:00,2020-10-19 07:00:00 to 2020-10-21 07:00:00,45,0.032,3,3.201291799102546,0.6509778470983685,100.0,218.27008986473083,195
19,2020-10-07 07:00:00 to 2020-10-21 07:00:00,2020-10-22 07:00:00 to 2020-10-24 07:00:00,40,0.032,2,1.4078235121922262,1.303450502964567,100.0,217.78089308738708,197
20,2020-10-10 07:00:00 to 2020-10-24 07:00:00,2020-10-25 07:00:00 to 2020-10-27 07:00:00,40,0.032,0,0.0,0.0,0.0,217.82959985733032,198
21,2020-10-13 07:00:00 to 2020-10-27 07:00:00,2020-10-28 07:00:00 to 2020-10-30 07:00:00,50,0.036,1,-11.767932282003713,13.014406132922188,0.0,220.51796102523804,199
22,2020-10-16 07:00:00 to 2020-10-30 07:00:00,2020-10-31 07:00:00 to 2020-11-02 07:00:00,300,0.06,1,-4.347770472229259,7.756307137335107,0.0,214.79043984413147,201
23,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,100,0.054,1,0.5740855254097187,2.4394158482923043,100.0,215.95954585075376,203
24,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,100,0.08,0,0.0,0.0,0.0,214.6526699066162,204
25,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,20,0.042,1,1.8349716862941567,0.8496088495257681,100.0,218.5855269432068,205
26,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,15,0.028,3,2.2631393676924016,1.7221071863630193,66.66666666666666,217.30305886268616,207
27,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,15,0.022,2,-3.594327265196298,6.62628877349588,50.0,220.88703989982605,209
28,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,95,0.024,3,6.098099183461835,4.869029250973602,100.0,214.343581199646,210
29,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,15,0.022,7,6.0466223487575,2.9441149099180124,100.0,223.75696301460263,211
30,2020-11-09 07:00:00 to 2020-11-23 07:00:00,2020-11-24 07:00:00 to 2020-11-26 07:00:00,260,0.02,2,-19.317784511886067,26.040843841436004,50.0,223.4389820098877,213
31,2020-11-12 07:00:00 to 2020-11-26 07:00:00,2020-11-27 07:00:00 to 2020-11-29 07:00:00,30,0.024,3,-0.5414463079165398,4.44398794256297,66.66666666666666,219.43274593353271,215
32,2020-11-15 07:00:00 to 2020-11-29 07:00:00,2020-11-30 07:00:00 to 2020-12-02 07:00:00,30,0.024,2,4.911395255275056,3.844033616950578,100.0,221.74935698509216,216
33,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,30,0.024,4,2.7456752330824745,4.707488644300231,100.0,220.40549182891849,217
34,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,25,0.026,1,0.7178387223974642,0.1852491841860973,100.0,219.86539912223816,219
35,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,185,0.02,2,-5.104707945145655,9.416556023418403,50.0,221.19170713424683,221
36,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,155,0.022,0,0.0,0.0,0.0,213.36754202842712,222
37,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,75,0.024,1,0.5571912660785346,4.146755927003762,100.0,221.1740119457245,223
38,2020-12-03 07:00:00 to 2020-12-17 07:00:00,2020-12-18 07:00:00 to 2020-12-20 07:00:00,75,0.024,2,2.2187083041324147,1.431440239995292,100.0,220.1956212520599,225
39,2020-12-06 07:00:00 to 2020-12-20 07:00:00,2020-12-21 07:00:00 to 2020-12-23 07:00:00,200,0.056,1,2.945551020408184,1.3635263941057971,100.0,218.6365931034088,227
40,2020-12-09 07:00:00 to 2020-12-23 07:00:00,2020-12-24 07:00:00 to 2020-12-26 07:00:00,255,0.022,5,16.361962825288774,6.868972820725923,100.0,212.61623311042783,228
41,2020-12-12 07:00:00 to 2020-12-26 07:00:00,2020-12-27 07:00:00 to 2020-12-29 07:00:00,235,0.024,4,4.5615840072090394,5.323378605718838,75.0,217.15280890464783,229
42,2020-12-15 07:00:00 to 2020-12-29 07:00:00,2020-12-30 07:00:00 to 2021-01-01 07:00:00,220,0.028,2,0.8932030738555113,6.41169518196097,50.0,229.0677540302277,231
43,2020-12-18 07:00:00 to 2021-01-01 07:00:00,2021-01-02 07:00:00 to 2021-01-04 07:00:00,220,0.028,0,0.0,0.0,0.0,227.46292996406555,233
44,2020-12-21 07:00:00 to 2021-01-04 07:00:00,2021-01-05 07:00:00 to 2021-01-07 07:00:00,220,0.02,1,1.3587029702970177,0.0568344254721961,100.0,228.8691608905792,234
45,2020-12-24 07:00:00 to 2021-01-07 07:00:00,2021-01-08 07:00:00 to 2021-01-10 07:00:00,60,0.028,4,7.507014324822194,13.468323376725312,100.0,223.8962299823761,235
46,2020-12-27 07:00:00 to 2021-01-10 07:00:00,2021-01-11 07:00:00 to 2021-01-13 07:00:00,65,0.022,5,9.752129159205396,15.574319892380904,80.0,227.76395893096924,237
