Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-23 09:30:00 to 2024-09-06 09:30:00,2024-09-07 09:30:00 to 2024-09-09 09:30:00,115,0.032,0,0.0,0.0,0.0,227.78455710411072,905
2,2024-08-26 09:30:00 to 2024-09-09 09:30:00,2024-09-10 09:30:00 to 2024-09-12 09:30:00,35,0.022,2,-0.2084093283765469,1.3363285267759806,50.0,226.81622290611267,906
3,2024-08-29 09:30:00 to 2024-09-12 09:30:00,2024-09-13 09:30:00 to 2024-09-15 09:30:00,35,0.024,2,1.3869572411530862,0.5076608906414364,100.0,220.78976202011108,907
4,2024-09-01 09:30:00 to 2024-09-15 09:30:00,2024-09-16 09:30:00 to 2024-09-18 09:30:00,55,0.026,0,0.0,0.0,0.0,216.3741550445557,909
5,2024-09-04 09:30:00 to 2024-09-18 09:30:00,2024-09-19 09:30:00 to 2024-09-21 09:30:00,200,0.026,1,0.0136529894490013,2.042070428601901,0.0,213.04856204986572,911
6,2024-09-07 09:30:00 to 2024-09-21 09:30:00,2024-09-22 09:30:00 to 2024-09-24 09:30:00,80,0.042,0,0.0,0.0,0.0,213.16060495376587,912
7,2024-09-10 09:30:00 to 2024-09-24 09:30:00,2024-09-25 09:30:00 to 2024-09-27 09:30:00,85,0.03,1,0.400322709163338,0.7589053801108651,0.0,215.2809178829193,913
8,2024-09-13 09:30:00 to 2024-09-27 09:30:00,2024-09-28 09:30:00 to 2024-09-30 09:30:00,255,0.022,2,3.022605665411029,0.0991847017516018,100.0,215.5984299182892,915
9,2024-09-16 09:30:00 to 2024-09-30 09:30:00,2024-10-01 09:30:00 to 2024-10-03 09:30:00,220,0.02,1,-1.042114498991632,7.769449568433693,0.0,214.60012793540955,917
10,2024-09-19 09:30:00 to 2024-10-03 09:30:00,2024-10-04 09:30:00 to 2024-10-06 09:30:00,300,0.022,3,-6.679529238064225,18.12971018770171,33.33333333333333,215.83436012268064,918
11,2024-09-22 09:30:00 to 2024-10-06 09:30:00,2024-10-07 09:30:00 to 2024-10-09 09:30:00,275,0.076,1,1.940386277001271,0.6033143264273412,0.0,208.93617391586304,919
12,2024-09-25 09:30:00 to 2024-10-09 09:30:00,2024-10-10 09:30:00 to 2024-10-12 09:30:00,275,0.076,0,0.0,0.0,0.0,213.1995449066162,921
13,2024-09-28 09:30:00 to 2024-10-12 09:30:00,2024-10-13 09:30:00 to 2024-10-15 09:30:00,275,0.076,1,0.8628700641241995,1.8556584542693235,0.0,214.5579349994659,923
14,2024-10-01 09:30:00 to 2024-10-15 09:30:00,2024-10-16 09:30:00 to 2024-10-18 09:30:00,270,0.066,0,0.0,0.0,0.0,215.14198398590088,924
15,2024-10-04 09:30:00 to 2024-10-18 09:30:00,2024-10-19 09:30:00 to 2024-10-21 09:30:00,225,0.03,0,0.0,0.0,0.0,213.0086340904236,925
16,2024-10-07 09:30:00 to 2024-10-21 09:30:00,2024-10-22 09:30:00 to 2024-10-24 09:30:00,125,0.032,1,-3.838747137052924,5.162158544297684,0.0,209.2214367389679,927
17,2024-10-10 09:30:00 to 2024-10-24 09:30:00,2024-10-25 09:30:00 to 2024-10-27 09:30:00,295,0.064,1,0.1725242494226404,1.896692221167392,0.0,210.4768259525299,929
18,2024-10-13 09:30:00 to 2024-10-27 09:30:00,2024-10-28 09:30:00 to 2024-10-30 09:30:00,115,0.036,0,0.0,0.0,0.0,208.27478003501892,930
19,2024-10-16 09:30:00 to 2024-10-30 09:30:00,2024-10-31 09:30:00 to 2024-11-02 09:30:00,235,0.046,1,1.2853674971479632,2.8401913515831474,0.0,206.9364297389984,931
20,2024-10-19 09:30:00 to 2024-11-02 09:30:00,2024-11-03 09:30:00 to 2024-11-05 09:30:00,235,0.046,0,0.0,0.0,0.0,206.68589305877688,933
21,2024-10-22 09:30:00 to 2024-11-05 09:30:00,2024-11-06 09:30:00 to 2024-11-08 09:30:00,240,0.046,0,0.0,0.0,0.0,208.4327690601349,935
22,2024-10-25 09:30:00 to 2024-11-08 09:30:00,2024-11-09 09:30:00 to 2024-11-11 09:30:00,55,0.026,1,2.130965365239299,0.7106520549998272,100.0,203.47452306747437,936
23,2024-10-28 09:30:00 to 2024-11-11 09:30:00,2024-11-12 09:30:00 to 2024-11-14 09:30:00,25,0.02,3,-4.72434474579306,7.061733387116728,0.0,207.16488790512085,937
24,2024-10-31 09:30:00 to 2024-11-14 09:30:00,2024-11-15 09:30:00 to 2024-11-17 09:30:00,65,0.022,3,5.570231338190588,1.7123378150034874,100.0,204.24546122550964,939
25,2024-11-03 09:30:00 to 2024-11-17 09:30:00,2024-11-18 09:30:00 to 2024-11-20 09:30:00,70,0.02,3,3.2385881082928605,1.9041854828541145,66.66666666666666,204.04767489433289,941
26,2024-11-06 09:30:00 to 2024-11-20 09:30:00,2024-11-21 09:30:00 to 2024-11-23 09:30:00,75,0.02,3,4.292758503893182,3.484670800663969,100.0,209.54058504104617,942
27,2024-11-09 09:30:00 to 2024-11-23 09:30:00,2024-11-24 09:30:00 to 2024-11-26 09:30:00,265,0.02,0,0.0,0.0,0.0,214.77921891212463,943
28,2024-11-12 09:30:00 to 2024-11-26 09:30:00,2024-11-27 09:30:00 to 2024-11-29 09:30:00,75,0.02,1,0.5265646620542793,1.0376156532635594,100.0,213.76939392089844,945
29,2024-11-15 09:30:00 to 2024-11-29 09:30:00,2024-11-30 09:30:00 to 2024-12-02 09:30:00,80,0.02,1,-2.5995299200656334,5.071122485014208,0.0,211.35825610160828,947
30,2024-11-18 09:30:00 to 2024-12-02 09:30:00,2024-12-03 09:30:00 to 2024-12-05 09:30:00,260,0.026,0,0.0,0.0,0.0,208.3064193725586,948
