Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top5,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-27 04:45:00,10000.0,9957.394673099961,10358.295939841839,9729.354938385442,-0.42605326900038154,-6.071857814346249,35.741272884777004,1,100.0,9957.394673099961
top5,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,9957.394673099961,10291.033518162165,10300.368714650074,9957.394673099961,3.3506640644016317,-2.5279019305014527,19.682302357708977,5,60.0,10291.033518162165
top5,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,10291.033518162165,11424.045041052334,11424.045041052334,10291.033518162165,11.009696167936568,-1.9328748568926524,19.498741177893937,4,75.0,11424.045041052334
top5,2020,5,May,2020-05,2020-05-01 05:00:00,2020-05-28 08:00:00,11631.404756377642,12004.203934804082,12004.203934804082,11631.404756377642,3.2051088087363677,0.0,7.945522465292214,3,33.33333333333333,11790.19811497711
top5,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,12004.203934804082,12805.968604357731,12805.968604357731,12004.203934804082,6.679032394885209,-1.7616448101142268,17.046523753637317,4,25.0,12577.669266497578
top5,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,12805.968604357731,13385.189479909439,13385.189479909439,12805.968604357731,4.523054002760918,-0.4783970258305792,8.332683309055685,3,66.66666666666666,13146.564039709927
top5,2020,8,August,2020-08,2020-08-03 00:45:00,2020-08-31 00:30:00,13233.175511136349,15701.9160278798,15701.9160278798,13233.175511136347,18.655692389675394,-2.632277916567116,27.347585875861263,8,50.0,15599.146586769893
top5,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-29 08:00:00,15816.075812514602,14443.547124783905,15961.799343248702,14021.566702319016,-8.678060879328065,-12.155475702996721,45.51849145887256,5,20.0,14245.443149314377
top5,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 08:00:00,14443.547124783905,13546.692143598862,14983.111607315366,13546.692143598862,-6.209381763612032,-9.586923606810648,57.0490307991417,5,20.0,13360.889200255131
top5,2020,11,November,2020-11,2020-11-04 07:00:00,2020-11-30 20:45:00,13546.692143598862,17515.049274539146,17526.95690269783,13467.281266901173,29.29391979144833,-9.078239859766423,43.165786888953384,8,87.5,17274.81736600215
top5,2020,12,December,2020-12,2020-12-01 13:45:00,2020-12-30 07:00:00,17562.808082717154,21607.21728640107,21607.21728640107,17562.808082717154,23.028260541455523,-2.733806196569921,22.385546177661148,8,75.0,21252.90731710573
top5,2021,1,January,2021-01,2021-01-03 07:00:00,2021-01-31 09:00:00,21607.21728640107,21200.581501120898,23717.098936020637,19851.60903164452,-1.8819442591346491,-16.298325165331907,61.16183096299689,6,50.0,20852.939447952253
top5,2021,2,February,2021-02,2021-02-01 01:45:00,2021-02-28 08:00:00,21472.37148472436,28808.035996895756,30753.369863811888,21472.37148472436,34.16327124085969,-8.695915325435088,46.18146543759536,11,81.81818181818183,27976.985713248414
top5,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-31 13:00:00,28808.035996895756,31483.895361277177,32111.26930379577,28205.425919985915,9.288586575876812,-8.613135172647912,48.43059731291286,6,66.66666666666666,30575.652252544176
top5,2021,4,April,2021-04,2021-04-01 09:00:00,2021-04-29 09:00:00,31483.895361277177,33086.46525609074,36463.213256047326,31483.895361277177,5.090125845052218,-11.45529375129809,55.14670879672315,8,75.0,32131.99143014422
top5,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,33086.46525609074,39162.85509701247,39162.85509701247,29893.25399137967,18.365182844072937,-9.651110325613422,52.26347011262503,6,66.66666666666666,38033.09040773205
top5,2021,6,June,2021-06,2021-06-04 09:00:00,2021-06-30 18:45:00,39162.85509701247,38882.79698551276,41071.33417850938,37880.7184308352,-0.715111579086769,-7.768473587458169,31.274408176592782,5,60.0,37761.11137434182
top5,2021,7,July,2021-07,2021-07-01 06:00:00,2021-07-30 07:00:00,39027.830035405255,41523.331173616214,41523.331173616214,35367.76285055093,6.394158055795285,-10.381365918803587,53.31338382106632,6,50.0,40175.61651924213
top5,2021,8,August,2021-08,2021-08-01 18:45:00,2021-08-31 17:30:00,41918.105668355405,51376.63138029083,51376.63138029083,41918.105668355405,22.56429664729771,-2.997706305561121,27.233474855416972,6,66.66666666666666,49240.96181052467
top5,2021,9,September,2021-09,2021-09-01 03:30:00,2021-09-30 00:00:00,52266.53752762491,58751.48933084717,58751.48933084717,51662.70495431245,12.407463953001873,-2.333453223998194,27.09459002487821,7,28.57142857142857,55350.51639727693
