Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top6,2020,2,February,2020-02,2020-02-10 17:45:00,2020-02-11 15:30:00,10000.0,10118.175691108605,10118.175691108603,10000.0,1.1817569110860404,0.0,0.0,1,100.0,10118.175691108605,,,
top6,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10118.175691108605,7922.234466766973,10316.790923972818,7115.656414710652,-21.70293629385508,-31.02839374038089,102.53811766689931,5,40.0,7922.234466766973,,,
top6,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,7922.234466766973,8582.731578871644,8582.731578871644,7922.234466766973,8.337257813756892,0.0,16.045460912565073,5,20.0,8582.731578871644,,,
top6,2020,5,May,2020-05,2020-05-04 08:15:00,2020-05-28 08:15:00,8582.731578871644,8900.198374848764,8900.198374848764,8582.731578871644,3.6989016032918487,-0.5265690496765285,9.632710357316787,2,0.0,8900.198374848764,,,
top6,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,8900.198374848764,9516.962527080063,9516.962527080063,8900.198374848764,6.929779834730687,-0.6569745152733786,8.31767029979806,4,75.0,9516.962527080063,,,
top6,2020,7,July,2020-07,2020-07-03 08:15:00,2020-07-31 08:00:00,9516.962527080063,10668.330563636264,10668.330563636264,9516.962527080063,12.098062099961403,0.0,23.90836352321942,4,25.0,10668.330563636264,,,
top6,2020,8,August,2020-08,2020-08-01 09:00:00,2020-08-29 08:00:00,10668.330563636264,12857.88421510895,13315.45143613838,11047.979212462196,20.52386395802104,-6.697185989115684,48.261485191329555,7,57.14285714285714,12857.88421510895,,,
top6,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-29 07:00:00,12857.88421510895,14124.997364746185,14627.65672013533,12281.302961932246,9.854756260351794,-7.774952522708489,56.423952809943636,5,80.0,14124.997364746183,,,
top6,2020,10,October,2020-10,2020-10-02 04:00:00,2020-10-31 07:00:00,14124.997364746185,16113.35798410256,16777.364561536866,14707.066674302087,14.076891966854577,-0.7521005817912041,14.897372356585247,6,66.66666666666666,16113.357984102558,,,
top6,2020,11,November,2020-11,2020-11-01 08:00:00,2020-11-29 07:00:00,16113.35798410256,16020.12854118769,21514.419862843493,16391.755766935294,-0.5785848176826369,-22.46923977632198,68.26567415498366,10,50.0,16020.128541187689,,,
top6,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-31 16:30:00,16020.12854118769,17508.25369193037,18926.66694820772,17236.14518467877,9.28909619493199,-2.631610357193437,18.47009656215644,5,60.0,17508.253691930367,,,
top6,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 09:00:00,17508.25369193037,21046.634283733627,22751.705822754586,18926.66694820772,20.20978593332876,-5.25984450541711,30.553063119276153,7,71.42857142857143,21046.634283733623,,,
