Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top3,2020,1,January,2020-01,2020-01-10 07:45:00,2020-01-31 20:45:00,10000.0,10169.048469367805,10169.048469367805,10000.0,1.6904846936780515,0.0,8.911853238288291,2,50.0
top3,2020,2,February,2020-02,2020-02-03 07:45:00,2020-02-28 16:15:00,10169.048469367805,10403.261466929054,10502.308778120883,10033.278477706828,2.303194819719545,-4.465973247626942,18.743241241615333,3,33.33333333333333
top3,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-29 08:45:00,10403.261466929054,7291.351478064751,10631.961139024117,6846.015247730297,-29.91283069022882,-35.60910204419091,104.25549503950442,5,0.0
top3,2020,4,April,2020-04,2020-04-01 17:45:00,2020-04-30 08:00:00,7291.351478064751,7819.095221208888,7819.095221208888,7291.351478064751,7.237941343683629,-1.0717373102222427,16.52113698281027,4,50.0
top3,2020,5,May,2020-05,2020-05-02 13:45:00,2020-05-31 17:45:00,7865.852088163181,8166.549795545344,8167.407529162272,7865.852088163181,3.8228243299243347,-0.0105019079048696,8.857581007674495,5,20.0
top3,2020,6,June,2020-06,2020-06-03 02:15:00,2020-06-30 08:45:00,8161.133478545167,9149.730491696959,9351.856190159642,8161.133478545167,12.11347683199544,-3.197425517884467,33.452074839057765,5,20.0
top3,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,9149.730491696959,9618.721107974463,9618.721107974463,9149.730491696959,5.125731481414619,0.0,10.624129931444694,3,33.33333333333333
top3,2020,8,August,2020-08,2020-08-01 08:00:00,2020-08-29 08:00:00,9618.721107974463,13133.115129400663,13347.189466565267,9618.721107974463,36.537019651319014,-6.896493879060095,47.37552142496478,11,72.72727272727273
top3,2020,9,September,2020-09,2020-09-01 09:00:00,2020-09-29 08:00:00,13133.115129400663,14241.788679628495,14433.289342944128,13010.709958924877,8.441817035060328,-4.654016275568395,23.05494094882031,6,66.66666666666666
top3,2020,10,October,2020-10,2020-10-01 00:00:00,2020-10-31 07:00:00,14312.403725299655,14744.55235128507,15008.53264927766,14312.403725299655,3.0193993565281962,-3.445514579388431,19.223699752870054,8,62.5
top3,2020,11,November,2020-11,2020-11-02 15:45:00,2020-11-30 11:15:00,14864.801264823094,15990.044064232905,17796.96663200353,14864.801264823094,7.569847583987888,-11.89978768057135,43.795157589536934,6,66.66666666666666
top3,2020,12,December,2020-12,2020-12-01 07:45:00,2020-12-31 08:00:00,16173.319588704948,17675.982426566134,18506.29169178934,16173.319588704948,9.290998237063274,-6.993677290379974,28.156332528722388,7,57.14285714285714
top3,2021,1,January,2021-01,2021-01-03 07:00:00,2021-01-31 09:00:00,17675.982426566134,22028.708045488358,22028.708045488358,17675.982426566134,24.625084557564914,-5.303743902546065,30.933746408335967,5,80.0
top3,2021,2,February,2021-02,2021-02-01 10:15:00,2021-02-28 07:00:00,22176.95921922098,28787.8971645842,28787.8971645842,22176.95921922098,29.809938684621184,-7.445106814431989,37.64697846739244,6,100.0
top3,2021,3,March,2021-03,2021-03-02 21:00:00,2021-03-31 06:15:00,29156.09306461511,31232.815979705898,33366.16950902174,28862.045348423286,7.122775025063888,-8.126524606708108,29.760186363545284,7,42.857142857142854
top3,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 08:45:00,31232.815979705898,28521.230440207644,34963.30877316744,28521.230440207644,-8.68184777594232,-18.42525367022403,47.29232118384617,6,50.0
top3,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,28521.230440207644,37010.9050590748,37301.62193597654,28091.957198388354,29.766158359349348,-3.503574165374057,54.564415555702716,4,75.0
top3,2021,6,June,2021-06,2021-06-04 08:45:00,2021-06-30 17:45:00,37010.9050590748,39605.12795938672,43070.454609197775,37010.9050590748,7.009347369839136,-8.853132639184313,49.48926062588916,9,66.66666666666666
top3,2021,7,July,2021-07,2021-07-01 11:15:00,2021-07-31 09:00:00,39903.61816146943,35656.78997618303,40441.42708310423,33961.6531943601,-10.642714573153922,-16.022614324239004,102.50242303460533,9,44.44444444444444
top3,2021,8,August,2021-08,2021-08-01 12:45:00,2021-08-31 08:00:00,34975.90292613395,37605.4532536602,39572.702863349485,34975.90292613395,7.518177109193225,-5.48076758400291,25.173282960845466,5,80.0
top3,2021,9,September,2021-09,2021-09-01 12:00:00,2021-09-30 10:15:00,38016.0151334306,50017.579693918145,50148.53930080685,38016.0151334306,31.569759529934505,-3.7998475899697737,37.348349404572396,6,66.66666666666666
top3,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-31 05:00:00,50017.579693918145,48603.96279859496,50825.81055117758,47737.4177987566,-2.826240101927746,-6.076425971232102,25.679519736636646,5,0.0
top3,2021,11,November,2021-11,2021-11-03 09:00:00,2021-11-29 01:30:00,48603.96279859496,51827.74671049355,52280.214668977445,48556.9320242232,6.632759401239152,-7.1217814776181605,36.69065657222655,5,60.0
top3,2021,12,December,2021-12,2021-12-01 03:30:00,2021-12-29 03:30:00,51827.74671049355,48104.790639450024,52380.28990119639,41718.70186161344,-7.183326128067491,-20.354198229321817,77.95060812280678,6,33.33333333333333
top3,2022,1,January,2022-01,2022-01-02 03:30:00,2022-01-30 03:30:00,48104.790639450024,46313.12309035563,49336.63645351036,45904.12074922311,-3.7245096076253925,-6.957336273869597,23.558032478294006,5,0.0
top3,2022,2,February,2022-02,2022-02-03 08:00:00,2022-02-27 08:00:00,46313.12309035563,49940.89985975087,49940.89985975087,46313.12309035563,7.8331507946841405,-2.9086461512066952,21.376450894927885,3,33.33333333333333
top3,2022,3,March,2022-03,2022-03-03 07:00:00,2022-03-31 07:00:00,49940.89985975087,53299.928642698054,53299.928642698054,49940.89985975087,6.726007725892713,0.0,13.001001868255385,4,50.0
top3,2022,4,April,2022-04,2022-04-01 14:30:00,2022-04-28 07:30:00,56467.702952585714,56196.96314682546,58068.1386507821,55733.87550705034,-0.47945956999098094,-4.019869067561932,18.50339634214036,5,40.0
top3,2022,5,May,2022-05,2022-05-02 07:00:00,2022-05-30 03:30:00,56196.96314682546,51275.0564241955,56466.930331506264,51073.272089666745,-8.758314412418555,-9.551888530462715,44.27074313967474,4,0.0
top3,2022,6,June,2022-06,2022-06-01 05:00:00,2022-06-29 07:45:00,51669.72912994735,59626.90581079656,59626.90581079656,51669.72912994735,15.400074308183843,-3.9330408323096644,25.636611308240532,5,40.0
top3,2022,7,July,2022-07,2022-07-01 02:15:00,2022-07-29 08:00:00,58561.78589097911,58365.65631126991,59968.03644939663,56818.76908095035,-0.33491051668800287,-5.2515765979827655,23.947251257509997,4,25.0
top3,2022,8,August,2022-08,2022-08-02 03:30:00,2022-08-31 03:30:00,58365.65631126991,59131.65335227382,61813.29415665113,58050.73075479919,1.3124105671300512,-5.089584470967578,25.13185507589657,6,33.33333333333333
top3,2022,9,September,2022-09,2022-09-03 15:00:00,2022-09-28 13:30:00,59131.65335227382,60374.02717204148,60374.02717204148,57923.490464387534,2.1010300732947407,-3.7380659493253976,19.55207740048258,4,25.0
top3,2022,10,October,2022-10,2022-10-01 07:00:00,2022-10-31 09:45:00,60374.027172041475,63581.37444082974,63581.37444082974,60374.027172041475,5.312462028826781,-1.5907165161540449,13.416736418665023,4,50.0
top3,2022,11,November,2022-11,2022-11-02 02:45:00,2022-11-30 07:00:00,63581.37444082974,62336.91843665322,65109.96319395256,60724.457543758435,-1.957265024735566,-6.735536982459012,26.408701177546877,3,33.33333333333333
top3,2022,12,December,2022-12,2022-12-01 07:00:00,2022-12-29 02:00:00,62336.91843665322,68080.71243664899,68080.71243664899,62336.91843665322,9.214112830798026,0.0,35.75694744269661,2,0.0
top3,2023,1,January,2023-01,2023-01-01 03:30:00,2023-01-31 07:45:00,68080.71243664899,74609.13753402924,74609.13753402924,62586.204286970045,9.589243214008869,-8.070579688471591,29.50628574869712,6,83.33333333333334
