Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-20 18:30:00 to 2025-01-03 18:30:00,2025-01-04 18:30:00 to 2025-01-06 18:30:00,130,0.022,4,9.787179751800176,3.379879784729494,100.0,204.70645093917847,965
2,2024-12-23 18:30:00 to 2025-01-06 18:30:00,2025-01-07 18:30:00 to 2025-01-09 18:30:00,110,0.03,3,-14.643156631759322,22.504853549177984,33.33333333333333,206.2240493297577,966
3,2024-12-26 18:30:00 to 2025-01-09 18:30:00,2025-01-10 18:30:00 to 2025-01-12 18:30:00,135,0.062,1,11.016956773639777,5.165408872734663,100.0,205.28022599220276,967
4,2024-12-29 18:30:00 to 2025-01-12 18:30:00,2025-01-13 18:30:00 to 2025-01-15 18:30:00,135,0.062,1,-3.955195275955939,16.6062210237269,0.0,213.34918308258057,969
5,2025-01-01 18:30:00 to 2025-01-15 18:30:00,2025-01-16 18:30:00 to 2025-01-18 18:30:00,145,0.066,1,-8.175186383312775,15.974853052888127,0.0,211.3888688087463,971
6,2025-01-04 18:30:00 to 2025-01-18 18:30:00,2025-01-19 18:30:00 to 2025-01-21 18:30:00,200,0.08,2,15.752674990074883,11.597864542661684,100.0,208.6774971485138,972
7,2025-01-07 18:30:00 to 2025-01-21 18:30:00,2025-01-22 18:30:00 to 2025-01-24 18:30:00,295,0.064,2,4.642565974287136,2.5371253418467727,50.0,212.4977829456329,973
8,2025-01-10 18:30:00 to 2025-01-24 18:30:00,2025-01-25 18:30:00 to 2025-01-27 18:30:00,295,0.064,1,-20.43167164182896,26.793675849413003,0.0,210.6619169712067,975
9,2025-01-13 18:30:00 to 2025-01-27 18:30:00,2025-01-28 18:30:00 to 2025-01-30 18:30:00,295,0.064,2,-0.3645209137756683,17.20776033318428,50.0,214.0048789978027,977
10,2025-01-16 18:30:00 to 2025-01-30 18:30:00,2025-01-31 18:30:00 to 2025-02-02 18:30:00,75,0.08,3,-8.29619428077367,13.88073140828962,33.33333333333333,215.7131819725037,978
11,2025-01-19 18:30:00 to 2025-02-02 18:30:00,2025-02-03 18:30:00 to 2025-02-05 18:30:00,75,0.08,2,11.39437113981261,12.236928795932664,100.0,211.72551488876343,979
12,2025-01-22 18:30:00 to 2025-02-05 18:30:00,2025-02-06 18:30:00 to 2025-02-08 18:30:00,35,0.076,1,-1.4457977824921,3.8071849718490625,0.0,213.11199116706848,981
13,2025-01-25 18:30:00 to 2025-02-08 18:30:00,2025-02-09 18:30:00 to 2025-02-11 18:30:00,35,0.076,2,1.6009364981107503,1.94997210884354,50.0,213.82126593589783,983
14,2025-01-28 18:30:00 to 2025-02-11 18:30:00,2025-02-12 18:30:00 to 2025-02-14 18:30:00,40,0.076,0,0.0,0.0,0.0,210.48275685310364,984
15,2025-01-31 18:30:00 to 2025-02-14 18:30:00,2025-02-15 18:30:00 to 2025-02-17 18:30:00,265,0.068,2,0.4758382591369446,7.709284927919603,50.0,212.9207890033722,985
16,2025-02-03 18:30:00 to 2025-02-17 18:30:00,2025-02-18 18:30:00 to 2025-02-20 18:30:00,280,0.07,1,-1.1479325008584238,10.919596540286165,0.0,211.95576691627505,987
17,2025-02-06 18:30:00 to 2025-02-20 18:30:00,2025-02-21 18:30:00 to 2025-02-23 18:30:00,275,0.07,0,0.0,0.0,0.0,209.58765482902527,989
18,2025-02-09 18:30:00 to 2025-02-23 18:30:00,2025-02-24 18:30:00 to 2025-02-26 18:30:00,275,0.07,1,4.469600224272872,12.137552214603607,100.0,210.31790208816528,990
19,2025-02-12 18:30:00 to 2025-02-26 18:30:00,2025-02-27 18:30:00 to 2025-03-01 18:30:00,275,0.072,1,5.016765816860298,1.2960758207393464,100.0,206.37716817855835,991
20,2025-02-15 18:30:00 to 2025-03-01 18:30:00,2025-03-02 18:30:00 to 2025-03-04 18:30:00,280,0.024,2,-12.842792031205644,18.74967345414556,50.0,205.20556688308716,993
21,2025-02-18 18:30:00 to 2025-03-04 18:30:00,2025-03-05 18:30:00 to 2025-03-07 18:30:00,275,0.072,1,-14.22473453658482,21.21063023107324,0.0,202.5395619869232,995
