Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-08 15:45:00 to 2024-11-22 15:45:00,2024-11-23 15:45:00 to 2024-11-25 15:45:00,10,0.022,3,3.782168629570587,0.2211567537769459,100.0,204.35847806930545,943
2,2024-11-11 15:45:00 to 2024-11-25 15:45:00,2024-11-26 15:45:00 to 2024-11-28 15:45:00,15,0.022,1,-0.3574843316065926,2.306874694647155,0.0,205.06788420677185,945
3,2024-11-14 15:45:00 to 2024-11-28 15:45:00,2024-11-29 15:45:00 to 2024-12-01 15:45:00,15,0.022,0,0.0,0.0,0.0,204.07988929748535,946
4,2024-11-17 15:45:00 to 2024-12-01 15:45:00,2024-12-02 15:45:00 to 2024-12-04 15:45:00,15,0.022,4,3.5272574908511887,1.3426565677949922,100.0,202.70431089401245,947
5,2024-11-20 15:45:00 to 2024-12-04 15:45:00,2024-12-05 15:45:00 to 2024-12-07 15:45:00,20,0.02,6,6.788488556555385,2.600850183698675,100.0,199.25488901138303,949
6,2024-11-23 15:45:00 to 2024-12-07 15:45:00,2024-12-08 15:45:00 to 2024-12-10 15:45:00,20,0.02,6,-8.3176903551565,9.579994919666865,50.0,200.77440404891968,951
7,2024-11-26 15:45:00 to 2024-12-10 15:45:00,2024-12-11 15:45:00 to 2024-12-13 15:45:00,40,0.052,0,0.0,0.0,0.0,195.3429412841797,952
8,2024-11-29 15:45:00 to 2024-12-13 15:45:00,2024-12-14 15:45:00 to 2024-12-16 15:45:00,40,0.052,0,0.0,0.0,0.0,204.6389937400818,953
9,2024-12-02 15:45:00 to 2024-12-16 15:45:00,2024-12-17 15:45:00 to 2024-12-19 15:45:00,40,0.052,1,2.83221150278292,0.1673941997851761,100.0,199.2999358177185,955
10,2024-12-05 15:45:00 to 2024-12-19 15:45:00,2024-12-20 15:45:00 to 2024-12-22 15:45:00,40,0.052,1,0.9420039687061764,5.989161646690281,100.0,204.83152985572815,957
11,2024-12-08 15:45:00 to 2024-12-22 15:45:00,2024-12-23 15:45:00 to 2024-12-25 15:45:00,200,0.08,0,0.0,0.0,0.0,204.769593000412,958
