Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-18 13:30:00 to 2024-10-02 13:30:00,2024-10-03 13:30:00 to 2024-10-05 13:30:00,285,0.024,1,-0.4590984745424975,7.141207764200877,0.0,205.57377886772156,917
2,2024-09-21 13:30:00 to 2024-10-05 13:30:00,2024-10-06 13:30:00 to 2024-10-08 13:30:00,65,0.02,2,1.676737136419724,1.4331015940003855,100.0,201.50016379356384,919
3,2024-09-24 13:30:00 to 2024-10-08 13:30:00,2024-10-09 13:30:00 to 2024-10-11 13:30:00,65,0.032,1,1.0274894810659134,0.1795313649692811,100.0,204.51266193389893,921
4,2024-09-27 13:30:00 to 2024-10-11 13:30:00,2024-10-12 13:30:00 to 2024-10-14 13:30:00,65,0.032,0,0.0,0.0,0.0,206.0895040035248,922
5,2024-09-30 13:30:00 to 2024-10-14 13:30:00,2024-10-15 13:30:00 to 2024-10-17 13:30:00,295,0.044,1,-0.2397107161710301,0.881097307759992,0.0,204.0974998474121,923
6,2024-10-03 13:30:00 to 2024-10-17 13:30:00,2024-10-18 13:30:00 to 2024-10-20 13:30:00,80,0.02,2,1.1240581049764296,0.7232377019088171,100.0,201.42831087112427,925
7,2024-10-06 13:30:00 to 2024-10-20 13:30:00,2024-10-21 13:30:00 to 2024-10-23 13:30:00,80,0.02,3,3.235065566130106,2.113265598281598,66.66666666666666,202.1547179222107,927
8,2024-10-09 13:30:00 to 2024-10-23 13:30:00,2024-10-24 13:30:00 to 2024-10-26 13:30:00,80,0.02,2,3.3656300497124905,1.7182232749009647,100.0,200.13847279548645,928
9,2024-10-12 13:30:00 to 2024-10-26 13:30:00,2024-10-27 13:30:00 to 2024-10-29 13:30:00,80,0.02,1,0.167461741424795,1.1727989571040405,100.0,201.90564894676208,929
10,2024-10-15 13:30:00 to 2024-10-29 13:30:00,2024-10-30 13:30:00 to 2024-11-01 13:30:00,70,0.02,1,-2.890555367906454,5.045549539519816,0.0,201.6009681224823,931
11,2024-10-18 13:30:00 to 2024-11-01 13:30:00,2024-11-02 13:30:00 to 2024-11-04 13:30:00,65,0.024,2,2.6704483628088567,1.1975696203207329,100.0,205.34618496894836,933
12,2024-10-21 13:30:00 to 2024-11-04 13:30:00,2024-11-05 13:30:00 to 2024-11-07 13:30:00,65,0.024,0,0.0,0.0,0.0,203.32191944122312,934
13,2024-10-24 13:30:00 to 2024-11-07 13:30:00,2024-11-08 13:30:00 to 2024-11-10 13:30:00,55,0.022,2,1.533787253790415,0.6716745226465031,100.0,202.84537172317505,935
14,2024-10-27 13:30:00 to 2024-11-10 13:30:00,2024-11-11 13:30:00 to 2024-11-13 13:30:00,65,0.024,2,5.444738260397208,2.1480225208553607,100.0,202.0727591514587,937
15,2024-10-30 13:30:00 to 2024-11-13 13:30:00,2024-11-14 13:30:00 to 2024-11-16 13:30:00,65,0.024,1,1.724530139462713,4.764436257568765,100.0,204.32048320770264,939
16,2024-11-02 13:30:00 to 2024-11-16 13:30:00,2024-11-17 13:30:00 to 2024-11-19 13:30:00,55,0.022,3,1.925435019461984,5.52431075215396,66.66666666666666,200.8754360675812,940
17,2024-11-05 13:30:00 to 2024-11-19 13:30:00,2024-11-20 13:30:00 to 2024-11-22 13:30:00,165,0.022,2,7.1750629171172475,5.404586711548059,100.0,203.7970139980316,941
18,2024-11-08 13:30:00 to 2024-11-22 13:30:00,2024-11-23 13:30:00 to 2024-11-25 13:30:00,165,0.022,1,1.7471159344943952,0.0413820102598865,100.0,207.50382280349731,943
19,2024-11-11 13:30:00 to 2024-11-25 13:30:00,2024-11-26 13:30:00 to 2024-11-28 13:30:00,155,0.026,2,8.157695541261983,3.995236084203052,100.0,211.92621302604675,945
20,2024-11-14 13:30:00 to 2024-11-28 13:30:00,2024-11-29 13:30:00 to 2024-12-01 13:30:00,185,0.02,1,1.6578289817805123,3.610438489364438,0.0,208.10198283195496,946
21,2024-11-17 13:30:00 to 2024-12-01 13:30:00,2024-12-02 13:30:00 to 2024-12-04 13:30:00,210,0.022,1,0.5496789900433577,7.953055231920486,100.0,208.30084919929504,947
22,2024-11-20 13:30:00 to 2024-12-04 13:30:00,2024-12-05 13:30:00 to 2024-12-07 13:30:00,65,0.03,1,1.865921859487225,0.6014363137300642,100.0,205.03912782669067,949
23,2024-11-23 13:30:00 to 2024-12-07 13:30:00,2024-12-08 13:30:00 to 2024-12-10 13:30:00,70,0.022,5,-11.415617112610798,18.999635434181844,0.0,211.93096113204956,951
24,2024-11-26 13:30:00 to 2024-12-10 13:30:00,2024-12-11 13:30:00 to 2024-12-13 13:30:00,60,0.048,1,-0.1502721730294615,2.2570318361158694,0.0,206.96968483924863,952
25,2024-11-29 13:30:00 to 2024-12-13 13:30:00,2024-12-14 13:30:00 to 2024-12-16 13:30:00,60,0.05,1,0.6118371481596113,0.4387994613198032,0.0,210.5228717327118,953
26,2024-12-02 13:30:00 to 2024-12-16 13:30:00,2024-12-17 13:30:00 to 2024-12-19 13:30:00,60,0.05,1,1.0816166375264584,1.7592997955537315,100.0,210.700825214386,955
27,2024-12-05 13:30:00 to 2024-12-19 13:30:00,2024-12-20 13:30:00 to 2024-12-22 13:30:00,65,0.05,2,2.0607645452747967,5.386580177566484,50.0,210.3378541469574,957
28,2024-12-08 13:30:00 to 2024-12-22 13:30:00,2024-12-23 13:30:00 to 2024-12-25 13:30:00,70,0.058,0,0.0,0.0,0.0,213.76692461967468,958
29,2024-12-11 13:30:00 to 2024-12-25 13:30:00,2024-12-26 13:30:00 to 2024-12-28 13:30:00,70,0.05,1,-0.424675575203455,2.1158022529718563,0.0,214.22087025642395,959
30,2024-12-14 13:30:00 to 2024-12-28 13:30:00,2024-12-29 13:30:00 to 2024-12-31 13:30:00,70,0.05,1,2.496845628568226,0.0185488958114162,100.0,211.37669825553897,961
31,2024-12-17 13:30:00 to 2024-12-31 13:30:00,2025-01-01 13:30:00 to 2025-01-03 13:30:00,280,0.034,1,1.9475472152314253,0.8025116314296249,100.0,217.0609428882599,963
32,2024-12-20 13:30:00 to 2025-01-03 13:30:00,2025-01-04 13:30:00 to 2025-01-06 13:30:00,295,0.03,0,0.0,0.0,0.0,213.3141279220581,964
33,2024-12-23 13:30:00 to 2025-01-06 13:30:00,2025-01-07 13:30:00 to 2025-01-09 13:30:00,295,0.03,1,-14.425392491467592,15.382140862550424,0.0,216.39328718185425,965
34,2024-12-26 13:30:00 to 2025-01-09 13:30:00,2025-01-10 13:30:00 to 2025-01-12 13:30:00,125,0.02,4,3.5857314039673653,1.0545752543168458,75.0,212.12116980552673,967
35,2024-12-29 13:30:00 to 2025-01-12 13:30:00,2025-01-13 13:30:00 to 2025-01-15 13:30:00,25,0.026,1,-3.0002854172896516,6.8806292260307425,0.0,208.0716302394867,969
36,2025-01-01 13:30:00 to 2025-01-15 13:30:00,2025-01-16 13:30:00 to 2025-01-18 13:30:00,10,0.02,2,0.9108792676570374,0.6592845691382717,50.0,208.92212986946103,970
37,2025-01-04 13:30:00 to 2025-01-18 13:30:00,2025-01-19 13:30:00 to 2025-01-21 13:30:00,10,0.02,6,-9.421023833110011,13.56296216219143,33.33333333333333,213.7701032161713,971
38,2025-01-07 13:30:00 to 2025-01-21 13:30:00,2025-01-22 13:30:00 to 2025-01-24 13:30:00,90,0.054,1,1.5950187546886807,1.7364469570544323,100.0,217.49399709701535,973
39,2025-01-10 13:30:00 to 2025-01-24 13:30:00,2025-01-25 13:30:00 to 2025-01-27 13:30:00,60,0.046,2,-1.401389353087652,6.498809019749729,50.0,214.7330219745636,975
