Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-06-18 09:00:00 to 2020-07-02 09:00:00,2020-07-03 09:00:00 to 2020-07-05 09:00:00,165,0.068,0,0.0,0.0,0.0,210.8534836769104,141
2,2020-06-21 09:00:00 to 2020-07-05 09:00:00,2020-07-06 09:00:00 to 2020-07-08 09:00:00,30,0.02,0,0.0,0.0,0.0,208.02653431892395,143
3,2020-06-24 09:00:00 to 2020-07-08 09:00:00,2020-07-09 09:00:00 to 2020-07-11 09:00:00,30,0.02,3,4.020858821368821,2.0844682104701535,100.0,203.21900510787964,144
4,2020-06-27 09:00:00 to 2020-07-11 09:00:00,2020-07-12 09:00:00 to 2020-07-14 09:00:00,60,0.02,3,1.1506164346963488,1.8991357696021864,66.66666666666666,201.7424910068512,145
5,2020-06-30 09:00:00 to 2020-07-14 09:00:00,2020-07-15 09:00:00 to 2020-07-17 09:00:00,60,0.02,2,-3.560308532698037,8.226260658272562,0.0,204.7417988777161,147
6,2020-07-03 09:00:00 to 2020-07-17 09:00:00,2020-07-18 09:00:00 to 2020-07-20 09:00:00,30,0.022,0,0.0,0.0,0.0,203.86862802505493,149
7,2020-07-06 09:00:00 to 2020-07-20 09:00:00,2020-07-21 09:00:00 to 2020-07-23 09:00:00,60,0.032,0,0.0,0.0,0.0,207.31543922424316,150
8,2020-07-09 09:00:00 to 2020-07-23 09:00:00,2020-07-24 09:00:00 to 2020-07-26 09:00:00,80,0.038,0,0.0,0.0,0.0,202.4622359275818,151
9,2020-07-12 09:00:00 to 2020-07-26 09:00:00,2020-07-27 09:00:00 to 2020-07-29 09:00:00,80,0.038,2,3.1230009366140075,1.617737355228356,100.0,203.6891589164734,153
10,2020-07-15 09:00:00 to 2020-07-29 09:00:00,2020-07-30 09:00:00 to 2020-08-01 09:00:00,65,0.022,3,2.826323895740661,0.904959839025144,100.0,200.88072896003723,155
11,2020-07-18 09:00:00 to 2020-08-01 09:00:00,2020-08-02 09:00:00 to 2020-08-04 09:00:00,50,0.02,2,7.64011604685782,0.6042338162486058,100.0,201.63264322280884,156
12,2020-07-21 09:00:00 to 2020-08-04 09:00:00,2020-08-05 09:00:00 to 2020-08-07 09:00:00,100,0.024,0,0.0,0.0,0.0,203.4388132095337,157
13,2020-07-24 09:00:00 to 2020-08-07 09:00:00,2020-08-08 09:00:00 to 2020-08-10 09:00:00,40,0.02,4,7.392860103169169,3.026551930536686,100.0,203.4412097930908,159
14,2020-07-27 09:00:00 to 2020-08-10 09:00:00,2020-08-11 09:00:00 to 2020-08-13 09:00:00,60,0.02,3,7.169986617011564,7.120098811770551,100.0,202.93013095855713,161
15,2020-07-30 09:00:00 to 2020-08-13 09:00:00,2020-08-14 09:00:00 to 2020-08-16 09:00:00,45,0.02,3,1.5868984707014715,0.9254189247289256,100.0,206.60343503952024,162
16,2020-08-02 09:00:00 to 2020-08-16 09:00:00,2020-08-17 09:00:00 to 2020-08-19 09:00:00,45,0.02,4,2.6351706930659384,3.9425040693090625,75.0,203.96256518363953,163
17,2020-08-05 09:00:00 to 2020-08-19 09:00:00,2020-08-20 09:00:00 to 2020-08-22 09:00:00,40,0.02,1,-7.754509651317221,11.10137447110781,0.0,208.47237300872803,165
18,2020-08-08 09:00:00 to 2020-08-22 09:00:00,2020-08-23 09:00:00 to 2020-08-25 09:00:00,20,0.022,3,0.5942854968298161,2.65569645354058,66.66666666666666,212.77027106285095,167
19,2020-08-11 09:00:00 to 2020-08-25 09:00:00,2020-08-26 09:00:00 to 2020-08-28 09:00:00,20,0.022,4,2.4845082567713144,2.553017646884772,50.0,208.4886291027069,168
20,2020-08-14 09:00:00 to 2020-08-28 09:00:00,2020-08-29 09:00:00 to 2020-08-31 09:00:00,220,0.044,0,0.0,0.0,0.0,212.6069378852844,169
21,2020-08-17 09:00:00 to 2020-08-31 09:00:00,2020-09-01 09:00:00 to 2020-09-03 09:00:00,225,0.044,2,-1.412321886257796,7.563529157327049,50.0,213.17272305488584,171
22,2020-08-20 09:00:00 to 2020-09-03 09:00:00,2020-09-04 09:00:00 to 2020-09-06 09:00:00,15,0.034,5,5.542374734442892,4.635500619383181,80.0,212.7057032585144,173
23,2020-08-23 09:00:00 to 2020-09-06 09:00:00,2020-09-07 09:00:00 to 2020-09-09 09:00:00,25,0.036,3,4.952150373387122,2.468903574243069,100.0,209.19473481178284,174
24,2020-08-26 09:00:00 to 2020-09-09 09:00:00,2020-09-10 09:00:00 to 2020-09-12 09:00:00,25,0.036,0,0.0,0.0,0.0,207.8933401107788,175
25,2020-08-29 09:00:00 to 2020-09-12 09:00:00,2020-09-13 09:00:00 to 2020-09-15 09:00:00,35,0.026,2,-0.7694254760527838,3.523156627692816,0.0,209.21439504623413,177
26,2020-09-01 09:00:00 to 2020-09-15 09:00:00,2020-09-16 09:00:00 to 2020-09-18 09:00:00,25,0.036,0,0.0,0.0,0.0,213.97954416275024,179
27,2020-09-04 09:00:00 to 2020-09-18 09:00:00,2020-09-19 09:00:00 to 2020-09-21 09:00:00,175,0.022,2,-5.306894294069061,6.984994491911601,50.0,208.4170961380005,180
28,2020-09-07 09:00:00 to 2020-09-21 09:00:00,2020-09-22 09:00:00 to 2020-09-24 09:00:00,80,0.034,2,3.816837313432843,0.117389126732729,100.0,203.24627709388733,181
29,2020-09-10 09:00:00 to 2020-09-24 09:00:00,2020-09-25 09:00:00 to 2020-09-27 09:00:00,80,0.02,1,-2.306575149501659,2.474315697639053,0.0,206.1775059700012,183
30,2020-09-13 09:00:00 to 2020-09-27 09:00:00,2020-09-28 09:00:00 to 2020-09-30 09:00:00,60,0.02,1,0.5846383275890367,1.2953596783429244,100.0,205.09582114219663,185
31,2020-09-16 09:00:00 to 2020-09-30 09:00:00,2020-10-01 09:00:00 to 2020-10-03 09:00:00,110,0.02,3,4.074526012253482,10.70866259557182,66.66666666666666,203.06482315063477,186
32,2020-09-19 09:00:00 to 2020-10-03 09:00:00,2020-10-04 09:00:00 to 2020-10-06 09:00:00,215,0.02,1,-0.2817185097220499,0.8382622784810155,0.0,208.12212085723877,187
33,2020-09-22 09:00:00 to 2020-10-06 09:00:00,2020-10-07 09:00:00 to 2020-10-09 09:00:00,20,0.02,1,0.0900403361344615,0.7054756432686434,100.0,200.1310751438141,189
34,2020-09-25 09:00:00 to 2020-10-09 09:00:00,2020-10-10 09:00:00 to 2020-10-12 09:00:00,215,0.06,0,0.0,0.0,0.0,204.34642505645752,191
35,2020-09-28 09:00:00 to 2020-10-12 09:00:00,2020-10-13 09:00:00 to 2020-10-15 09:00:00,215,0.06,1,-0.4007751196172284,2.2489212043347147,0.0,204.8135621547699,192
36,2020-10-01 09:00:00 to 2020-10-15 09:00:00,2020-10-16 09:00:00 to 2020-10-18 09:00:00,30,0.022,2,1.6378384708249358,0.4743380281690042,100.0,205.6454961299896,193
37,2020-10-04 09:00:00 to 2020-10-18 09:00:00,2020-10-19 09:00:00 to 2020-10-21 09:00:00,30,0.02,3,0.4745729918627694,2.932880281566559,66.66666666666666,204.1482470035553,195
38,2020-10-07 09:00:00 to 2020-10-21 09:00:00,2020-10-22 09:00:00 to 2020-10-24 09:00:00,65,0.02,1,1.1149754569190553,0.1876705358249161,100.0,196.83992505073547,197
39,2020-10-10 09:00:00 to 2020-10-24 09:00:00,2020-10-25 09:00:00 to 2020-10-27 09:00:00,40,0.02,1,0.4793420621931363,0.8570868561371792,100.0,201.02017307281497,198
40,2020-10-13 09:00:00 to 2020-10-27 09:00:00,2020-10-28 09:00:00 to 2020-10-30 09:00:00,290,0.03,1,-5.693309106820289,6.559911093658327,0.0,202.54470801353455,199
41,2020-10-16 09:00:00 to 2020-10-30 09:00:00,2020-10-31 09:00:00 to 2020-11-02 09:00:00,95,0.022,0,0.0,0.0,0.0,200.39264607429504,201
42,2020-10-19 09:00:00 to 2020-11-02 09:00:00,2020-11-03 09:00:00 to 2020-11-05 09:00:00,95,0.022,1,1.0829172662573727,1.9345354060962017,100.0,198.8750171661377,203
43,2020-10-22 09:00:00 to 2020-11-05 09:00:00,2020-11-06 09:00:00 to 2020-11-08 09:00:00,100,0.022,1,-2.033476377935749,6.617168415089019,0.0,198.36794304847717,204
44,2020-10-25 09:00:00 to 2020-11-08 09:00:00,2020-11-09 09:00:00 to 2020-11-11 09:00:00,245,0.042,0,0.0,0.0,0.0,197.23355793952945,205
45,2020-10-28 09:00:00 to 2020-11-11 09:00:00,2020-11-12 09:00:00 to 2020-11-14 09:00:00,300,0.02,1,3.5737496676383125,1.5334606493858025,100.0,199.36246514320376,207
46,2020-10-31 09:00:00 to 2020-11-14 09:00:00,2020-11-15 09:00:00 to 2020-11-17 09:00:00,300,0.02,1,3.49829608580807,1.5338371040724086,100.0,203.41139578819275,209
