Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2022-09-09 13:00:00 to 2022-09-23 13:00:00,2022-09-24 13:00:00 to 2022-09-26 13:00:00,30,0.04,3,2.791216106327083,8.816076862092899,66.66666666666666,217.2996859550476,547
2,2022-09-12 13:00:00 to 2022-09-26 13:00:00,2022-09-27 13:00:00 to 2022-09-29 13:00:00,35,0.034,2,0.9373835860828696,4.526583930675398,50.0,213.7191059589386,549
3,2022-09-15 13:00:00 to 2022-09-29 13:00:00,2022-09-30 13:00:00 to 2022-10-02 13:00:00,40,0.024,2,-0.9755434565355792,1.966859533054064,50.0,211.9160840511322,551
4,2022-09-18 13:00:00 to 2022-10-02 13:00:00,2022-10-03 13:00:00 to 2022-10-05 13:00:00,35,0.022,4,-0.258790543684081,5.583821297468247,50.0,207.3110592365265,552
5,2022-09-21 13:00:00 to 2022-10-05 13:00:00,2022-10-06 13:00:00 to 2022-10-08 13:00:00,155,0.04,1,1.7366896551724131,0.9694439468274488,100.0,209.25928711891177,553
6,2022-09-24 13:00:00 to 2022-10-08 13:00:00,2022-10-09 13:00:00 to 2022-10-11 13:00:00,165,0.034,1,3.029382814724595,3.2824914960083333,0.0,206.25883102416992,555
7,2022-09-27 13:00:00 to 2022-10-11 13:00:00,2022-10-12 13:00:00 to 2022-10-14 13:00:00,80,0.024,1,-0.551495204017574,5.045499949938147,0.0,200.5276999473572,557
8,2022-09-30 13:00:00 to 2022-10-14 13:00:00,2022-10-15 13:00:00 to 2022-10-17 13:00:00,115,0.044,0,0.0,0.0,0.0,204.1645150184631,558
9,2022-10-03 13:00:00 to 2022-10-17 13:00:00,2022-10-18 13:00:00 to 2022-10-20 13:00:00,285,0.048,1,1.5480144057622964,2.106640975009605,100.0,201.61836314201355,559
10,2022-10-06 13:00:00 to 2022-10-20 13:00:00,2022-10-21 13:00:00 to 2022-10-23 13:00:00,285,0.048,1,-1.914938513567704,5.312936894112806,0.0,202.65317702293396,561
