Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-09-17 03:30:00 to 2021-10-01 03:30:00,2021-10-02 03:30:00 to 2021-10-04 03:30:00,135,0.034,1,-1.6227328672620025,3.039797965946695,0.0,222.35711002349856,369
2,2021-09-20 03:30:00 to 2021-10-04 03:30:00,2021-10-05 03:30:00 to 2021-10-07 03:30:00,80,0.026,2,2.648619305309294,3.2905877250445985,50.0,220.84290885925293,371
3,2021-09-23 03:30:00 to 2021-10-07 03:30:00,2021-10-08 03:30:00 to 2021-10-10 03:30:00,165,0.02,2,1.4459483138532414,0.5418392937003447,100.0,220.3164808750153,372
4,2021-09-26 03:30:00 to 2021-10-10 03:30:00,2021-10-11 03:30:00 to 2021-10-13 03:30:00,165,0.02,2,5.451690211773148,2.443063736915089,100.0,218.5315518379211,373
5,2021-09-29 03:30:00 to 2021-10-13 03:30:00,2021-10-14 03:30:00 to 2021-10-16 03:30:00,85,0.02,1,0.7427524938871102,2.113160568680905,100.0,209.79481506347656,375
6,2021-10-02 03:30:00 to 2021-10-16 03:30:00,2021-10-17 03:30:00 to 2021-10-19 03:30:00,195,0.02,2,-1.4769796611265884,4.236827527375669,50.0,216.63413619995117,377
7,2021-10-05 03:30:00 to 2021-10-19 03:30:00,2021-10-20 03:30:00 to 2021-10-22 03:30:00,60,0.022,3,9.123628071704516,1.8827056282330965,100.0,210.66481184959412,378
8,2021-10-08 03:30:00 to 2021-10-22 03:30:00,2021-10-23 03:30:00 to 2021-10-25 03:30:00,60,0.022,0,0.0,0.0,0.0,211.238361120224,379
9,2021-10-11 03:30:00 to 2021-10-25 03:30:00,2021-10-26 03:30:00 to 2021-10-28 03:30:00,60,0.022,1,-4.435748579146766,10.712191967698857,0.0,213.3118679523468,381
10,2021-10-14 03:30:00 to 2021-10-28 03:30:00,2021-10-29 03:30:00 to 2021-10-31 03:30:00,300,0.054,0,0.0,0.0,0.0,211.3768680095673,383
11,2021-10-17 03:30:00 to 2021-10-31 03:30:00,2021-11-01 03:30:00 to 2021-11-03 03:30:00,80,0.042,0,0.0,0.0,0.0,212.56644797325137,384
12,2021-10-20 03:30:00 to 2021-11-03 03:30:00,2021-11-04 03:30:00 to 2021-11-06 03:30:00,25,0.026,3,4.198314842609761,3.2966785850722227,66.66666666666666,210.0837230682373,385
13,2021-10-23 03:30:00 to 2021-11-06 03:30:00,2021-11-07 03:30:00 to 2021-11-09 03:30:00,25,0.026,0,0.0,0.0,0.0,211.6638479232788,387
14,2021-10-26 03:30:00 to 2021-11-09 03:30:00,2021-11-10 03:30:00 to 2021-11-12 03:30:00,25,0.026,2,2.8750490481594535,3.1490401869864653,100.0,212.973473072052,389
15,2021-10-29 03:30:00 to 2021-11-12 03:30:00,2021-11-13 03:30:00 to 2021-11-15 03:30:00,80,0.026,1,0.8922416468082884,0.6397793539614411,100.0,210.22132921218872,390
16,2021-11-01 03:30:00 to 2021-11-15 03:30:00,2021-11-16 03:30:00 to 2021-11-18 03:30:00,25,0.02,4,1.775903483162965,5.674648293959874,75.0,212.06637406349185,391
17,2021-11-04 03:30:00 to 2021-11-18 03:30:00,2021-11-19 03:30:00 to 2021-11-21 03:30:00,20,0.02,1,0.903607151456763,0.256381892607751,100.0,216.3318452835083,393
18,2021-11-07 03:30:00 to 2021-11-21 03:30:00,2021-11-22 03:30:00 to 2021-11-24 03:30:00,20,0.02,1,0.0991640268472838,1.2477169651482265,100.0,213.70769715309143,395
19,2021-11-10 03:30:00 to 2021-11-24 03:30:00,2021-11-25 03:30:00 to 2021-11-27 03:30:00,20,0.02,2,3.139576267219236,0.1274063211307944,100.0,216.95783591270447,396
20,2021-11-13 03:30:00 to 2021-11-27 03:30:00,2021-11-28 03:30:00 to 2021-11-30 03:30:00,20,0.022,1,0.7335842178770872,0.5054524493881735,100.0,213.4806604385376,397
21,2021-11-16 03:30:00 to 2021-11-30 03:30:00,2021-12-01 03:30:00 to 2021-12-03 03:30:00,245,0.03,1,0.1522342664557436,0.9697096435784032,0.0,217.1383180618286,399
22,2021-11-19 03:30:00 to 2021-12-03 03:30:00,2021-12-04 03:30:00 to 2021-12-06 03:30:00,230,0.044,2,-6.7517710234379775,32.6201054833992,50.0,214.21305894851685,401
23,2021-11-22 03:30:00 to 2021-12-06 03:30:00,2021-12-07 03:30:00 to 2021-12-09 03:30:00,230,0.03,0,0.0,0.0,0.0,216.0891439914703,402
24,2021-11-25 03:30:00 to 2021-12-09 03:30:00,2021-12-10 03:30:00 to 2021-12-12 03:30:00,100,0.042,2,3.3351007659188694,2.249991996306927,100.0,215.684730052948,403
25,2021-11-28 03:30:00 to 2021-12-12 03:30:00,2021-12-13 03:30:00 to 2021-12-15 03:30:00,75,0.034,1,-0.1428515615148899,4.884602880911954,0.0,218.70311403274536,405
26,2021-12-01 03:30:00 to 2021-12-15 03:30:00,2021-12-16 03:30:00 to 2021-12-18 03:30:00,295,0.042,1,0.6585952558834469,2.261333044686256,0.0,224.75161004066467,407
27,2021-12-04 03:30:00 to 2021-12-18 03:30:00,2021-12-19 03:30:00 to 2021-12-21 03:30:00,75,0.032,1,0.6476433243555039,1.0839612362003237,100.0,214.76051807403564,408
28,2021-12-07 03:30:00 to 2021-12-21 03:30:00,2021-12-22 03:30:00 to 2021-12-24 03:30:00,25,0.024,0,0.0,0.0,0.0,218.60450983047485,409
29,2021-12-10 03:30:00 to 2021-12-24 03:30:00,2021-12-25 03:30:00 to 2021-12-27 03:30:00,225,0.038,0,0.0,0.0,0.0,217.9883897304535,411
30,2021-12-13 03:30:00 to 2021-12-27 03:30:00,2021-12-28 03:30:00 to 2021-12-30 03:30:00,130,0.028,1,-6.260822740635231,7.20827217941698,0.0,210.90714764595032,413
31,2021-12-16 03:30:00 to 2021-12-30 03:30:00,2021-12-31 03:30:00 to 2022-01-02 03:30:00,110,0.02,1,3.1250014295449366,0.9093405587218512,100.0,212.62056708335876,414
32,2021-12-19 03:30:00 to 2022-01-02 03:30:00,2022-01-03 03:30:00 to 2022-01-05 03:30:00,110,0.02,2,2.1510174556572745,0.6009454687771533,50.0,209.8102068901062,415
33,2021-12-22 03:30:00 to 2022-01-05 03:30:00,2022-01-06 03:30:00 to 2022-01-08 03:30:00,50,0.034,2,0.6496206565165631,1.8122772267658065,50.0,209.57664275169373,417
34,2021-12-25 03:30:00 to 2022-01-08 03:30:00,2022-01-09 03:30:00 to 2022-01-11 03:30:00,110,0.026,1,-0.1187360264368908,4.116349887761098,0.0,217.3190038204193,419
35,2021-12-28 03:30:00 to 2022-01-11 03:30:00,2022-01-12 03:30:00 to 2022-01-14 03:30:00,110,0.028,1,-0.102693152117099,0.6532652494824778,0.0,213.54915714263916,420
36,2021-12-31 03:30:00 to 2022-01-14 03:30:00,2022-01-15 03:30:00 to 2022-01-17 03:30:00,110,0.028,0,0.0,0.0,0.0,217.55575394630432,421
37,2022-01-03 03:30:00 to 2022-01-17 03:30:00,2022-01-18 03:30:00 to 2022-01-20 03:30:00,110,0.028,2,1.287817801284782,3.35171416285145,100.0,215.60725712776184,423
38,2022-01-06 03:30:00 to 2022-01-20 03:30:00,2022-01-21 03:30:00 to 2022-01-23 03:30:00,160,0.028,1,-18.81008379778932,23.43407416264931,0.0,216.18308210372925,425
