Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2022-03-17 15:00:00 to 2022-03-31 15:00:00,2022-04-01 15:00:00 to 2022-04-03 15:00:00,270,0.04,2,4.590869348147844,5.51155264237388,50.0,204.35881972312927,459
2,2022-03-20 15:00:00 to 2022-04-03 15:00:00,2022-04-04 15:00:00 to 2022-04-06 15:00:00,55,0.028,3,1.2587328163921667,3.7931824116058386,66.66666666666666,199.84881782531735,461
3,2022-03-23 15:00:00 to 2022-04-06 15:00:00,2022-04-07 15:00:00 to 2022-04-09 15:00:00,80,0.034,1,0.7286764514630704,0.637555344526542,100.0,202.46973967552185,463
4,2022-03-26 15:00:00 to 2022-04-09 15:00:00,2022-04-10 15:00:00 to 2022-04-12 15:00:00,300,0.064,1,2.989908506475349,2.0090535833645067,100.0,205.43981003761292,464
5,2022-03-29 15:00:00 to 2022-04-12 15:00:00,2022-04-13 15:00:00 to 2022-04-15 15:00:00,300,0.062,0,0.0,0.0,0.0,206.07381105422976,465
6,2022-04-01 15:00:00 to 2022-04-15 15:00:00,2022-04-16 15:00:00 to 2022-04-18 15:00:00,300,0.024,1,-3.940953019455974,7.832397909692005,0.0,204.05856466293335,467
7,2022-04-04 15:00:00 to 2022-04-18 15:00:00,2022-04-19 15:00:00 to 2022-04-21 15:00:00,285,0.022,1,1.8410498844637913,0.2737818157538634,100.0,202.92990016937256,469
8,2022-04-07 15:00:00 to 2022-04-21 15:00:00,2022-04-22 15:00:00 to 2022-04-24 15:00:00,250,0.032,1,7.309755999693952,4.3884803811120765,100.0,204.18594622612,470
9,2022-04-10 15:00:00 to 2022-04-24 15:00:00,2022-04-25 15:00:00 to 2022-04-27 15:00:00,250,0.032,0,0.0,0.0,0.0,200.78200697898865,471
10,2022-04-13 15:00:00 to 2022-04-27 15:00:00,2022-04-28 15:00:00 to 2022-04-30 15:00:00,120,0.02,5,7.833573509240304,12.780207401672868,80.0,202.10287404060364,473
11,2022-04-16 15:00:00 to 2022-04-30 15:00:00,2022-05-01 15:00:00 to 2022-05-03 15:00:00,115,0.02,2,-16.055733079600323,22.929119688491923,0.0,200.56539487838745,475
12,2022-04-19 15:00:00 to 2022-05-03 15:00:00,2022-05-04 15:00:00 to 2022-05-06 15:00:00,110,0.07,1,-3.168867206299001,5.7198463400278525,0.0,206.29016494750977,476
13,2022-04-22 15:00:00 to 2022-05-06 15:00:00,2022-05-07 15:00:00 to 2022-05-09 15:00:00,95,0.068,2,0.0170750180782488,4.1698421744501735,50.0,206.4592878818512,477
14,2022-04-25 15:00:00 to 2022-05-09 15:00:00,2022-05-10 15:00:00 to 2022-05-12 15:00:00,25,0.08,6,32.58959272136261,5.389954116647597,100.0,209.1037051677704,479
15,2022-04-28 15:00:00 to 2022-05-12 15:00:00,2022-05-13 15:00:00 to 2022-05-15 15:00:00,20,0.08,0,0.0,0.0,0.0,209.75836372375488,481
16,2022-05-01 15:00:00 to 2022-05-15 15:00:00,2022-05-16 15:00:00 to 2022-05-18 15:00:00,20,0.058,0,0.0,0.0,0.0,212.62836408615112,482
17,2022-05-04 15:00:00 to 2022-05-18 15:00:00,2022-05-19 15:00:00 to 2022-05-21 15:00:00,20,0.058,0,0.0,0.0,0.0,214.50073075294495,483
18,2022-05-07 15:00:00 to 2022-05-21 15:00:00,2022-05-22 15:00:00 to 2022-05-24 15:00:00,20,0.058,0,0.0,0.0,0.0,217.8484148979187,485
19,2022-05-10 15:00:00 to 2022-05-24 15:00:00,2022-05-25 15:00:00 to 2022-05-27 15:00:00,20,0.058,0,0.0,0.0,0.0,213.5183742046356,487
20,2022-05-13 15:00:00 to 2022-05-27 15:00:00,2022-05-28 15:00:00 to 2022-05-30 15:00:00,95,0.06,0,0.0,0.0,0.0,207.98057389259336,488
21,2022-05-16 15:00:00 to 2022-05-30 15:00:00,2022-05-31 15:00:00 to 2022-06-02 15:00:00,30,0.044,1,-1.1580425625437964,3.173653744674116,0.0,204.8259608745575,489
22,2022-05-19 15:00:00 to 2022-06-02 15:00:00,2022-06-03 15:00:00 to 2022-06-05 15:00:00,85,0.062,0,0.0,0.0,0.0,204.21097922325137,491
23,2022-05-22 15:00:00 to 2022-06-05 15:00:00,2022-06-06 15:00:00 to 2022-06-08 15:00:00,85,0.062,0,0.0,0.0,0.0,205.0408990383148,493
