Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-03-29 07:00:00 to 2021-04-12 07:00:00,2021-04-13 07:00:00 to 2021-04-15 07:00:00,15,0.024,4,7.095691037779361,0.7111102983232298,100.0,214.2714412212372,283
2,2021-04-01 07:00:00 to 2021-04-15 07:00:00,2021-04-16 07:00:00 to 2021-04-18 07:00:00,15,0.024,6,-9.21438912719377,25.796181279995928,33.33333333333333,211.33008122444153,285
3,2021-04-04 07:00:00 to 2021-04-18 07:00:00,2021-04-19 07:00:00 to 2021-04-21 07:00:00,20,0.04,3,-0.9982132017749972,7.508909471447296,33.33333333333333,213.5086748600006,286
4,2021-04-07 07:00:00 to 2021-04-21 07:00:00,2021-04-22 07:00:00 to 2021-04-24 07:00:00,35,0.052,3,2.1107506935143827,12.32292536657254,66.66666666666666,213.115718126297,287
5,2021-04-10 07:00:00 to 2021-04-24 07:00:00,2021-04-25 07:00:00 to 2021-04-27 07:00:00,30,0.066,1,1.7172273985239734,2.028246878347318,100.0,219.05525708198547,289
6,2021-04-13 07:00:00 to 2021-04-27 07:00:00,2021-04-28 07:00:00 to 2021-04-30 07:00:00,35,0.052,2,3.3463074242027324,3.018554908569452,100.0,219.3379099369049,291
7,2021-04-16 07:00:00 to 2021-04-30 07:00:00,2021-05-01 07:00:00 to 2021-05-03 07:00:00,35,0.052,1,1.226636842105254,2.0596838341271115,100.0,218.6475450992584,292
8,2021-04-19 07:00:00 to 2021-05-03 07:00:00,2021-05-04 07:00:00 to 2021-05-06 07:00:00,75,0.026,2,-7.841238412008024,10.354321244046696,0.0,214.66979002952576,293
9,2021-04-22 07:00:00 to 2021-05-06 07:00:00,2021-05-07 07:00:00 to 2021-05-09 07:00:00,135,0.024,3,0.6938829571753194,7.075471695973624,66.66666666666666,215.37104678153992,295
10,2021-04-25 07:00:00 to 2021-05-09 07:00:00,2021-05-10 07:00:00 to 2021-05-12 07:00:00,60,0.024,1,-9.280033326169814,15.716551321428764,0.0,209.79822397232056,297
11,2021-04-28 07:00:00 to 2021-05-12 07:00:00,2021-05-13 07:00:00 to 2021-05-15 07:00:00,230,0.08,1,13.348426098877662,5.846548072971617,100.0,209.13732886314392,298
12,2021-05-01 07:00:00 to 2021-05-15 07:00:00,2021-05-16 07:00:00 to 2021-05-18 07:00:00,230,0.08,1,7.224908781519171,5.4102688187788806,0.0,215.847549200058,299
13,2021-05-04 07:00:00 to 2021-05-18 07:00:00,2021-05-19 07:00:00 to 2021-05-21 07:00:00,280,0.08,3,13.320954123922077,19.80151021557025,66.66666666666666,216.4648940563202,301
14,2021-05-07 07:00:00 to 2021-05-21 07:00:00,2021-05-22 07:00:00 to 2021-05-24 07:00:00,10,0.048,5,7.279880575511361,7.326279305098924,80.0,223.01718020439148,303
15,2021-05-10 07:00:00 to 2021-05-24 07:00:00,2021-05-25 07:00:00 to 2021-05-27 07:00:00,10,0.048,4,3.387098481632802,2.133137069651484,100.0,218.6731629371643,304
16,2021-05-13 07:00:00 to 2021-05-27 07:00:00,2021-05-28 07:00:00 to 2021-05-30 07:00:00,10,0.056,3,2.302710403873898,2.9579985422925117,66.66666666666666,218.32846999168396,305
17,2021-05-16 07:00:00 to 2021-05-30 07:00:00,2021-05-31 07:00:00 to 2021-06-02 07:00:00,10,0.056,0,0.0,0.0,0.0,226.19509720802307,307
18,2021-05-19 07:00:00 to 2021-06-02 07:00:00,2021-06-03 07:00:00 to 2021-06-05 07:00:00,25,0.026,4,0.7335350784861293,8.329039558510852,75.0,222.6262331008911,309
19,2021-05-22 07:00:00 to 2021-06-05 07:00:00,2021-06-06 07:00:00 to 2021-06-08 07:00:00,135,0.032,2,-6.427016896046625,9.525610486887944,50.0,217.4543159008026,310
20,2021-05-25 07:00:00 to 2021-06-08 07:00:00,2021-06-09 07:00:00 to 2021-06-11 07:00:00,15,0.026,4,4.250115751974208,1.9903245175026545,100.0,218.4907009601593,311
21,2021-05-28 07:00:00 to 2021-06-11 07:00:00,2021-06-12 07:00:00 to 2021-06-14 07:00:00,275,0.026,1,3.50152467009857,9.22456046734238,100.0,214.70569276809692,313
22,2021-05-31 07:00:00 to 2021-06-14 07:00:00,2021-06-15 07:00:00 to 2021-06-17 07:00:00,210,0.08,0,0.0,0.0,0.0,213.51115083694455,315
23,2021-06-03 07:00:00 to 2021-06-17 07:00:00,2021-06-18 07:00:00 to 2021-06-20 07:00:00,250,0.046,1,3.296198128290271,6.2831270992647825,100.0,214.3290958404541,316
24,2021-06-06 07:00:00 to 2021-06-20 07:00:00,2021-06-21 07:00:00 to 2021-06-23 07:00:00,225,0.044,1,-16.81222137740422,29.975874830892927,0.0,212.05362915992737,317
25,2021-06-09 07:00:00 to 2021-06-23 07:00:00,2021-06-24 07:00:00 to 2021-06-26 07:00:00,40,0.08,0,0.0,0.0,0.0,217.30403304100037,319
26,2021-06-12 07:00:00 to 2021-06-26 07:00:00,2021-06-27 07:00:00 to 2021-06-29 07:00:00,45,0.058,0,0.0,0.0,0.0,212.0450520515442,321
27,2021-06-15 07:00:00 to 2021-06-29 07:00:00,2021-06-30 07:00:00 to 2021-07-02 07:00:00,45,0.058,1,0.0277070063694372,2.939386948883016,100.0,213.89221477508545,322
28,2021-06-18 07:00:00 to 2021-07-02 07:00:00,2021-07-03 07:00:00 to 2021-07-05 07:00:00,40,0.066,0,0.0,0.0,0.0,214.8409938812256,323
29,2021-06-21 07:00:00 to 2021-07-05 07:00:00,2021-07-06 07:00:00 to 2021-07-08 07:00:00,115,0.038,1,-0.0486918195447833,3.672156475833384,0.0,211.5751690864563,325
30,2021-06-24 07:00:00 to 2021-07-08 07:00:00,2021-07-09 07:00:00 to 2021-07-11 07:00:00,230,0.052,1,2.2254587545861613,5.049160290710478,100.0,206.87564992904663,327
31,2021-06-27 07:00:00 to 2021-07-11 07:00:00,2021-07-12 07:00:00 to 2021-07-14 07:00:00,225,0.052,1,-5.077799229120555,7.75452656176102,0.0,208.0880310535431,328
