Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-20 18:45:00 to 2025-01-03 18:45:00,2025-01-04 18:45:00 to 2025-01-06 18:45:00,275,0.038,1,-4.275996301385203,10.501060161999463,0.0,228.18313097953796,965
2,2024-12-23 18:45:00 to 2025-01-06 18:45:00,2025-01-07 18:45:00 to 2025-01-09 18:45:00,210,0.08,2,-14.027425381257528,19.43079225758641,0.0,223.47519707679749,966
3,2024-12-26 18:45:00 to 2025-01-09 18:45:00,2025-01-10 18:45:00 to 2025-01-12 18:45:00,150,0.062,3,15.239585395012128,4.067987752166261,100.0,226.43687176704407,967
4,2024-12-29 18:45:00 to 2025-01-12 18:45:00,2025-01-13 18:45:00 to 2025-01-15 18:45:00,150,0.062,2,19.20129274916377,6.688920690745183,100.0,223.96036100387573,969
5,2025-01-01 18:45:00 to 2025-01-15 18:45:00,2025-01-16 18:45:00 to 2025-01-18 18:45:00,150,0.062,1,15.777377512511794,4.949934565705007,100.0,225.40330600738525,971
6,2025-01-04 18:45:00 to 2025-01-18 18:45:00,2025-01-19 18:45:00 to 2025-01-21 18:45:00,150,0.062,2,4.13836296264848,23.548686914595045,100.0,228.327898979187,972
7,2025-01-07 18:45:00 to 2025-01-21 18:45:00,2025-01-22 18:45:00 to 2025-01-24 18:45:00,50,0.036,6,15.844277813596928,15.110794540519082,66.66666666666666,231.88317489624023,973
8,2025-01-10 18:45:00 to 2025-01-24 18:45:00,2025-01-25 18:45:00 to 2025-01-27 18:45:00,55,0.068,4,-7.674852138352617,23.232202150718475,50.0,229.10862803459167,975
9,2025-01-13 18:45:00 to 2025-01-27 18:45:00,2025-01-28 18:45:00 to 2025-01-30 18:45:00,65,0.08,2,8.480895589203556,11.353865423946612,50.0,231.9524142742157,977
10,2025-01-16 18:45:00 to 2025-01-30 18:45:00,2025-01-31 18:45:00 to 2025-02-02 18:45:00,65,0.08,3,-25.48802312662876,36.66675989232469,33.33333333333333,239.99974298477173,978
11,2025-01-19 18:45:00 to 2025-02-02 18:45:00,2025-02-03 18:45:00 to 2025-02-05 18:45:00,50,0.08,3,-1.9581577692233805,3.9525320905493384,33.33333333333333,244.45135116577148,979
12,2025-01-22 18:45:00 to 2025-02-05 18:45:00,2025-02-06 18:45:00 to 2025-02-08 18:45:00,215,0.034,2,2.290927836767078,19.420176483425617,100.0,236.70386791229248,981
13,2025-01-25 18:45:00 to 2025-02-08 18:45:00,2025-02-09 18:45:00 to 2025-02-11 18:45:00,295,0.058,1,3.168003873466769,0.3472485474499626,100.0,237.02443408966064,983
14,2025-01-28 18:45:00 to 2025-02-11 18:45:00,2025-02-12 18:45:00 to 2025-02-14 18:45:00,10,0.04,4,4.058764960190238,2.9838838484119132,75.0,233.99088978767395,984
15,2025-01-31 18:45:00 to 2025-02-14 18:45:00,2025-02-15 18:45:00 to 2025-02-17 18:45:00,185,0.02,3,-15.223274172326343,17.861949126763555,33.33333333333333,233.68673086166385,985
16,2025-02-03 18:45:00 to 2025-02-17 18:45:00,2025-02-18 18:45:00 to 2025-02-20 18:45:00,275,0.074,1,-6.8641792468832135,20.181803758974336,0.0,230.18349981307983,987
17,2025-02-06 18:45:00 to 2025-02-20 18:45:00,2025-02-21 18:45:00 to 2025-02-23 18:45:00,105,0.064,2,10.405643447377296,6.155783925293855,50.0,225.6179220676422,989
18,2025-02-09 18:45:00 to 2025-02-23 18:45:00,2025-02-24 18:45:00 to 2025-02-26 18:45:00,175,0.062,1,-4.060645703234222,15.320163135720335,0.0,227.49730491638184,990
19,2025-02-12 18:45:00 to 2025-02-26 18:45:00,2025-02-27 18:45:00 to 2025-03-01 18:45:00,110,0.074,2,2.4476167641652684,6.412764114123534,50.0,222.82555603981015,991
20,2025-02-15 18:45:00 to 2025-03-01 18:45:00,2025-03-02 18:45:00 to 2025-03-04 18:45:00,280,0.046,2,-2.478211197686742,19.926479539334046,50.0,223.7733952999115,993
21,2025-02-18 18:45:00 to 2025-03-04 18:45:00,2025-03-05 18:45:00 to 2025-03-07 18:45:00,215,0.054,3,12.705226359860644,4.613773828891663,66.66666666666666,212.71877312660217,995
