Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-17 14:30:00 to 2023-03-03 14:30:00,2023-03-04 14:30:00 to 2023-03-06 14:30:00,45,0.024,1,0.3053051170290018,1.6228531514866218,100.0,203.98600602149963,628
2,2023-02-20 14:30:00 to 2023-03-06 14:30:00,2023-03-07 14:30:00 to 2023-03-09 14:30:00,45,0.024,1,-0.5430223978919639,1.6099192807414724,0.0,201.81400179862976,629
3,2023-02-23 14:30:00 to 2023-03-09 14:30:00,2023-03-10 14:30:00 to 2023-03-12 14:30:00,50,0.024,2,-4.774344867125255,11.948604923670162,0.0,201.9625117778778,631
4,2023-02-26 14:30:00 to 2023-03-12 14:30:00,2023-03-13 14:30:00 to 2023-03-15 14:30:00,220,0.068,0,0.0,0.0,0.0,202.16225600242615,633
5,2023-03-01 14:30:00 to 2023-03-15 14:30:00,2023-03-16 14:30:00 to 2023-03-18 14:30:00,195,0.066,0,0.0,0.0,0.0,205.7358009815216,634
6,2023-03-04 14:30:00 to 2023-03-18 14:30:00,2023-03-19 14:30:00 to 2023-03-21 14:30:00,195,0.066,0,0.0,0.0,0.0,203.93096804618835,635
7,2023-03-07 14:30:00 to 2023-03-21 14:30:00,2023-03-22 14:30:00 to 2023-03-24 14:30:00,160,0.062,0,0.0,0.0,0.0,204.9324278831482,637
8,2023-03-10 14:30:00 to 2023-03-24 14:30:00,2023-03-25 14:30:00 to 2023-03-27 14:30:00,65,0.02,2,0.4064737125059401,1.197156061936722,50.0,202.02297234535217,639
9,2023-03-13 14:30:00 to 2023-03-27 14:30:00,2023-03-28 14:30:00 to 2023-03-30 14:30:00,30,0.02,0,0.0,0.0,0.0,202.88667178153992,640
10,2023-03-16 14:30:00 to 2023-03-30 14:30:00,2023-03-31 14:30:00 to 2023-04-02 14:30:00,30,0.02,0,0.0,0.0,0.0,202.7607369422913,641
11,2023-03-19 14:30:00 to 2023-04-02 14:30:00,2023-04-03 14:30:00 to 2023-04-05 14:30:00,60,0.022,0,0.0,0.0,0.0,198.94961810112,643
12,2023-03-22 14:30:00 to 2023-04-05 14:30:00,2023-04-06 14:30:00 to 2023-04-08 14:30:00,205,0.024,1,0.7285480298738003,0.6460667596677981,100.0,198.7849781513214,645
13,2023-03-25 14:30:00 to 2023-04-08 14:30:00,2023-04-09 14:30:00 to 2023-04-11 14:30:00,140,0.02,1,0.4973464495113876,0.6043145276872929,100.0,195.63963508605957,646
14,2023-03-28 14:30:00 to 2023-04-11 14:30:00,2023-04-12 14:30:00 to 2023-04-14 14:30:00,130,0.02,1,1.929051423245746,1.5817351118163254,100.0,198.72905802726743,647
15,2023-03-31 14:30:00 to 2023-04-14 14:30:00,2023-04-15 14:30:00 to 2023-04-17 14:30:00,130,0.02,2,1.2282297650767942,0.5097628236950996,50.0,194.98307180404663,649
