Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-11 08:00:00 to 2020-02-25 08:00:00,2020-02-26 08:00:00 to 2020-02-28 08:00:00,75,0.062,1,-3.043277915485542,8.345626642148552,0.0,222.62737607955933,77
2,2020-02-14 08:00:00 to 2020-02-28 08:00:00,2020-02-29 08:00:00 to 2020-03-02 08:00:00,25,0.052,0,0.0,0.0,0.0,222.5452539920807,79
3,2020-02-17 08:00:00 to 2020-03-02 08:00:00,2020-03-03 08:00:00 to 2020-03-05 08:00:00,35,0.024,0,0.0,0.0,0.0,221.3968980312347,80
4,2020-02-20 08:00:00 to 2020-03-05 08:00:00,2020-03-06 08:00:00 to 2020-03-08 08:00:00,30,0.03,1,-2.256015479559628,3.1009908118827325,0.0,215.88334202766416,81
5,2020-02-23 08:00:00 to 2020-03-08 08:00:00,2020-03-09 08:00:00 to 2020-03-11 08:00:00,25,0.032,3,5.731654199337518,1.5796683370179845,100.0,219.48036980628967,83
6,2020-02-26 08:00:00 to 2020-03-11 08:00:00,2020-03-12 08:00:00 to 2020-03-14 08:00:00,25,0.03,4,-27.75725338099418,41.92113240932798,25.0,215.084144115448,85
7,2020-02-29 08:00:00 to 2020-03-14 08:00:00,2020-03-15 08:00:00 to 2020-03-17 08:00:00,30,0.054,1,-0.8022903947687701,9.793313506735204,0.0,219.5871479511261,86
8,2020-03-03 08:00:00 to 2020-03-17 08:00:00,2020-03-18 08:00:00 to 2020-03-20 08:00:00,40,0.074,0,0.0,0.0,0.0,227.45512914657593,87
9,2020-03-06 08:00:00 to 2020-03-20 08:00:00,2020-03-21 08:00:00 to 2020-03-23 08:00:00,40,0.074,0,0.0,0.0,0.0,227.13306713104248,89
10,2020-03-09 08:00:00 to 2020-03-23 08:00:00,2020-03-24 08:00:00 to 2020-03-26 08:00:00,40,0.074,0,0.0,0.0,0.0,230.7488613128662,91
11,2020-03-12 08:00:00 to 2020-03-26 08:00:00,2020-03-27 08:00:00 to 2020-03-29 08:00:00,70,0.042,1,0.8395108603666995,2.1760023727677695,100.0,225.28560519218445,92
12,2020-03-15 08:00:00 to 2020-03-29 08:00:00,2020-03-30 08:00:00 to 2020-04-01 08:00:00,150,0.034,0,0.0,0.0,0.0,220.71148777008057,93
13,2020-03-18 08:00:00 to 2020-04-01 08:00:00,2020-04-02 08:00:00 to 2020-04-04 08:00:00,175,0.038,0,0.0,0.0,0.0,220.2756381034851,95
14,2020-03-21 08:00:00 to 2020-04-04 08:00:00,2020-04-05 08:00:00 to 2020-04-07 08:00:00,160,0.036,0,0.0,0.0,0.0,212.5384533405304,97
15,2020-03-24 08:00:00 to 2020-04-07 08:00:00,2020-04-08 08:00:00 to 2020-04-10 08:00:00,25,0.022,2,-1.205539892452398,3.3516235499623512,50.0,210.56240391731265,98
