Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-24 10:15:00 to 2025-02-07 10:15:00,2025-02-08 10:15:00 to 2025-02-10 10:15:00,10,0.02,11,17.36774129252979,1.36904671215741,90.9090909090909,330.37456607818604,981
2,2025-01-27 10:15:00 to 2025-02-10 10:15:00,2025-02-11 10:15:00 to 2025-02-13 10:15:00,10,0.044,3,1.56360068774733,4.30781120764609,66.66666666666666,241.63130807876587,983
3,2025-01-30 10:15:00 to 2025-02-13 10:15:00,2025-02-14 10:15:00 to 2025-02-16 10:15:00,290,0.07,2,4.551163739396161,10.651997402023966,50.0,223.55479788780212,985
4,2025-02-02 10:15:00 to 2025-02-16 10:15:00,2025-02-17 10:15:00 to 2025-02-19 10:15:00,50,0.078,1,4.481371914893589,1.7222400000000198,100.0,228.36183977127075,986
5,2025-02-05 10:15:00 to 2025-02-19 10:15:00,2025-02-20 10:15:00 to 2025-02-22 10:15:00,135,0.058,2,10.099651450790716,5.224682728416106,100.0,230.95113015174863,987
6,2025-02-08 10:15:00 to 2025-02-22 10:15:00,2025-02-23 10:15:00 to 2025-02-25 10:15:00,130,0.058,1,-5.742539845227857,15.082444704669005,0.0,226.81887316703796,989
7,2025-02-11 10:15:00 to 2025-02-25 10:15:00,2025-02-26 10:15:00 to 2025-02-28 10:15:00,130,0.058,1,-3.4417516025093757,4.64567972412956,0.0,225.2550778388977,991
8,2025-02-14 10:15:00 to 2025-02-28 10:15:00,2025-03-01 10:15:00 to 2025-03-03 10:15:00,110,0.06,2,-1.434921872945306,11.560864397738188,50.0,223.2443211078644,992
9,2025-02-17 10:15:00 to 2025-03-03 10:15:00,2025-03-04 10:15:00 to 2025-03-06 10:15:00,255,0.076,1,9.470033236184063,8.938777984372017,100.0,219.28765892982483,993
10,2025-02-20 10:15:00 to 2025-03-06 10:15:00,2025-03-07 10:15:00 to 2025-03-09 10:15:00,300,0.08,1,-1.0526472090108656,7.555367734812033,0.0,218.86625003814697,995
