Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-21 11:30:00 to 2024-12-05 11:30:00,2024-12-06 11:30:00 to 2024-12-08 11:30:00,135,0.026,1,1.8482300319488787,0.175051272517715,100.0,211.570219039917,949
2,2024-11-24 11:30:00 to 2024-12-08 11:30:00,2024-12-09 11:30:00 to 2024-12-11 11:30:00,220,0.022,1,-20.248076560844503,27.198650496537272,0.0,205.90610599517825,951
3,2024-11-27 11:30:00 to 2024-12-11 11:30:00,2024-12-12 11:30:00 to 2024-12-14 11:30:00,15,0.024,1,-0.0166183699870816,0.9653617892813408,0.0,205.80333590507507,953
4,2024-11-30 11:30:00 to 2024-12-14 11:30:00,2024-12-15 11:30:00 to 2024-12-17 11:30:00,15,0.026,0,0.0,0.0,0.0,205.0643436908722,954
5,2024-12-03 11:30:00 to 2024-12-17 11:30:00,2024-12-18 11:30:00 to 2024-12-20 11:30:00,25,0.036,3,-4.365375687091983,6.525408502532526,66.66666666666666,205.4048118591309,955
6,2024-12-06 11:30:00 to 2024-12-20 11:30:00,2024-12-21 11:30:00 to 2024-12-23 11:30:00,25,0.054,0,0.0,0.0,0.0,206.32852387428284,957
7,2024-12-09 11:30:00 to 2024-12-23 11:30:00,2024-12-24 11:30:00 to 2024-12-26 11:30:00,80,0.06,0,0.0,0.0,0.0,207.0585000514984,959
8,2024-12-12 11:30:00 to 2024-12-26 11:30:00,2024-12-27 11:30:00 to 2024-12-29 11:30:00,55,0.046,0,0.0,0.0,0.0,209.6881070137024,960
9,2024-12-15 11:30:00 to 2024-12-29 11:30:00,2024-12-30 11:30:00 to 2025-01-01 11:30:00,55,0.046,0,0.0,0.0,0.0,204.6783950328827,961
10,2024-12-18 11:30:00 to 2025-01-01 11:30:00,2025-01-02 11:30:00 to 2025-01-04 11:30:00,195,0.022,0,0.0,0.0,0.0,202.95501589775083,963
11,2024-12-21 11:30:00 to 2025-01-04 11:30:00,2025-01-05 11:30:00 to 2025-01-07 11:30:00,300,0.024,0,0.0,0.0,0.0,198.45505595207217,965
12,2024-12-24 11:30:00 to 2025-01-07 11:30:00,2025-01-08 11:30:00 to 2025-01-10 11:30:00,225,0.03,1,-6.663778525738945,11.889506941318066,0.0,197.7046909332275,966
13,2024-12-27 11:30:00 to 2025-01-10 11:30:00,2025-01-11 11:30:00 to 2025-01-13 11:30:00,20,0.02,1,-5.312079549354912,5.898449675213889,0.0,196.60011267662048,967
14,2024-12-30 11:30:00 to 2025-01-13 11:30:00,2025-01-14 11:30:00 to 2025-01-16 11:30:00,20,0.03,0,0.0,0.0,0.0,198.44752192497253,969
15,2025-01-02 11:30:00 to 2025-01-16 11:30:00,2025-01-17 11:30:00 to 2025-01-19 11:30:00,20,0.03,1,1.5888765803732532,0.1872936403130436,100.0,199.50387597084045,971
16,2025-01-05 11:30:00 to 2025-01-19 11:30:00,2025-01-20 11:30:00 to 2025-01-22 11:30:00,20,0.02,6,-0.5144200673878367,6.6244698303456975,66.66666666666666,200.22083187103271,972
17,2025-01-08 11:30:00 to 2025-01-22 11:30:00,2025-01-23 11:30:00 to 2025-01-25 11:30:00,125,0.068,0,0.0,0.0,0.0,201.5701310634613,973
18,2025-01-11 11:30:00 to 2025-01-25 11:30:00,2025-01-26 11:30:00 to 2025-01-28 11:30:00,105,0.06,1,1.0863585029546994,2.34546628273645,100.0,202.47448015213013,975
19,2025-01-14 11:30:00 to 2025-01-28 11:30:00,2025-01-29 11:30:00 to 2025-01-31 11:30:00,105,0.06,0,0.0,0.0,0.0,200.2777338027954,977
