Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-18 13:00:00 to 2025-01-01 13:00:00,2025-01-02 13:00:00 to 2025-01-04 13:00:00,55,0.052,1,1.4833738226696913,0.754900587173913,100.0,217.98160219192505,963
2,2024-12-21 13:00:00 to 2025-01-04 13:00:00,2025-01-05 13:00:00 to 2025-01-07 13:00:00,40,0.038,0,0.0,0.0,0.0,212.37920689582825,965
3,2024-12-24 13:00:00 to 2025-01-07 13:00:00,2025-01-08 13:00:00 to 2025-01-10 13:00:00,80,0.068,1,-4.780280469540521,10.981775273439114,0.0,210.78147196769712,966
4,2024-12-27 13:00:00 to 2025-01-10 13:00:00,2025-01-11 13:00:00 to 2025-01-13 13:00:00,70,0.064,2,2.6775633474085043,3.787697378809206,50.0,211.2750179767609,967
5,2024-12-30 13:00:00 to 2025-01-13 13:00:00,2025-01-14 13:00:00 to 2025-01-16 13:00:00,70,0.064,0,0.0,0.0,0.0,209.13036799430847,969
6,2025-01-02 13:00:00 to 2025-01-16 13:00:00,2025-01-17 13:00:00 to 2025-01-19 13:00:00,20,0.03,2,-14.374340821147324,17.38398674959489,0.0,212.93862581253052,971
7,2025-01-05 13:00:00 to 2025-01-19 13:00:00,2025-01-20 13:00:00 to 2025-01-22 13:00:00,60,0.08,1,2.1273729303547952,2.2295731931668707,100.0,214.64719223976135,972
8,2025-01-08 13:00:00 to 2025-01-22 13:00:00,2025-01-23 13:00:00 to 2025-01-25 13:00:00,70,0.064,2,3.127961181858955,2.2146461300861735,100.0,215.07684516906735,973
9,2025-01-11 13:00:00 to 2025-01-25 13:00:00,2025-01-26 13:00:00 to 2025-01-28 13:00:00,70,0.066,1,3.728009896729763,3.532118384712719,100.0,217.0686318874359,975
10,2025-01-14 13:00:00 to 2025-01-28 13:00:00,2025-01-29 13:00:00 to 2025-01-31 13:00:00,70,0.066,2,6.303192363219187,2.22058495271884,100.0,216.2332339286804,977
11,2025-01-17 13:00:00 to 2025-01-31 13:00:00,2025-02-01 13:00:00 to 2025-02-03 13:00:00,75,0.078,2,-0.5304605372564584,9.159731818319154,0.0,218.1527318954468,978
12,2025-01-20 13:00:00 to 2025-02-03 13:00:00,2025-02-04 13:00:00 to 2025-02-06 13:00:00,80,0.08,1,2.6422921597633287,1.7278109104408816,100.0,213.7410910129547,979
13,2025-01-23 13:00:00 to 2025-02-06 13:00:00,2025-02-07 13:00:00 to 2025-02-09 13:00:00,80,0.078,0,0.0,0.0,0.0,218.2258207798004,981
14,2025-01-26 13:00:00 to 2025-02-09 13:00:00,2025-02-10 13:00:00 to 2025-02-12 13:00:00,80,0.078,0,0.0,0.0,0.0,216.25001215934753,983
15,2025-01-29 13:00:00 to 2025-02-12 13:00:00,2025-02-13 13:00:00 to 2025-02-15 13:00:00,80,0.078,0,0.0,0.0,0.0,215.9760479927063,984
16,2025-02-01 13:00:00 to 2025-02-15 13:00:00,2025-02-16 13:00:00 to 2025-02-18 13:00:00,195,0.052,2,-0.0646866101622436,3.2133446157510472,50.0,216.7782118320465,985
17,2025-02-04 13:00:00 to 2025-02-18 13:00:00,2025-02-19 13:00:00 to 2025-02-21 13:00:00,230,0.04,1,-2.3077832472992306,6.471830139817838,0.0,211.19687581062317,987
18,2025-02-07 13:00:00 to 2025-02-21 13:00:00,2025-02-22 13:00:00 to 2025-02-24 13:00:00,30,0.03,2,-0.5023543589429027,2.3266133250203054,0.0,209.7936782836914,989
19,2025-02-10 13:00:00 to 2025-02-24 13:00:00,2025-02-25 13:00:00 to 2025-02-27 13:00:00,50,0.032,2,6.809592510636595,1.301953328207541,100.0,207.02761125564575,990
20,2025-02-13 13:00:00 to 2025-02-27 13:00:00,2025-02-28 13:00:00 to 2025-03-02 13:00:00,50,0.03,2,0.0834295841824859,1.8008925881954636,50.0,208.47764110565183,991
21,2025-02-16 13:00:00 to 2025-03-02 13:00:00,2025-03-03 13:00:00 to 2025-03-05 13:00:00,50,0.036,1,-9.923023310342051,13.900716255194956,0.0,203.87756276130676,993
22,2025-02-19 13:00:00 to 2025-03-05 13:00:00,2025-03-06 13:00:00 to 2025-03-08 13:00:00,45,0.05,0,0.0,0.0,0.0,200.92841410636905,995
