normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
81,ZECUSDT,6,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0.0,0,0,0.0,0.0,0.0,80,8,2,2,2,2.0
86,VETUSDT,6,2020-03-15 08:00:00 to 2020-03-17 08:00:00,7.722493400819874,1,1,100.0,0.0,999.0,85,8,8,1,17,8.5
87,ZECUSDT,10,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,0,0,0.0,0.0,0.0,86,8,3,3,4,3.25
93,QTUMUSDT,9,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0.0,0,0,0.0,0.0,0.0,92,8,8,5,4,6.25
96,ETHUSDT,39,2020-04-04 07:45:00 to 2020-04-06 07:45:00,0.0,0,0,0.0,0.0,0.0,95,8,2,2,7,3.25
98,LTCUSDT,26,2020-04-08 08:00:00 to 2020-04-10 08:00:00,0.0,0,0,0.0,0.0,0.0,97,8,5,5,15,7.5
99,ONTUSDT,16,2020-04-11 08:00:00 to 2020-04-13 08:00:00,1.2321742532271474,1,1,100.0,0.0,999.0,98,8,8,4,1,5.25
104,ONTUSDT,19,2020-04-20 08:00:00 to 2020-04-22 08:00:00,0.0,0,0,0.0,0.0,0.0,103,8,4,4,6,4.5
105,LTCUSDT,31,2020-04-23 08:00:00 to 2020-04-25 08:00:00,0.0,0,0,0.0,0.0,0.0,104,8,8,5,5,6.5
108,BNBUSDT,22,2020-04-28 08:00:00 to 2020-04-30 08:00:00,0.0,0,0,0.0,0.0,0.0,107,8,1,1,8,2.75
110,BCHUSDT,41,2020-05-02 08:45:00 to 2020-05-04 08:45:00,0.0,0,0,0.0,0.0,0.0,109,8,8,8,16,10.0
111,ZECUSDT,26,2020-05-05 08:00:00 to 2020-05-07 08:00:00,0.0,0,0,0.0,0.0,0.0,110,8,8,1,1,4.5
112,XMRUSDT,27,2020-05-06 08:00:00 to 2020-05-08 08:00:00,-1.9925532508200727,0,1,0.0,-1.9925532508200727,1.0,111,8,13,7,3,9.0
114,ETHUSDT,51,2020-05-10 07:45:00 to 2020-05-12 07:45:00,1.5549994930209365,1,1,100.0,-2.9206413233873962,0.532417137485896,113,8,1,1,5,2.0
117,TRXUSDT,37,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0.0,0,0,0.0,0.0,0.0,116,8,8,1,1,4.5
120,BNBUSDT,30,2020-05-22 08:00:00 to 2020-05-24 08:00:00,0.0,0,0,0.0,0.0,0.0,119,8,12,7,5,9.0
122,ONTUSDT,31,2020-05-26 08:00:00 to 2020-05-28 08:00:00,0.0,0,0,0.0,0.0,0.0,121,8,5,5,12,6.75
123,QTUMUSDT,29,2020-05-29 08:00:00 to 2020-05-31 08:00:00,0.0,0,0,0.0,0.0,0.0,122,8,1,1,2,1.25
126,BNBUSDT,34,2020-06-03 08:00:00 to 2020-06-05 08:00:00,0.0,0,0,0.0,0.0,0.0,125,8,3,3,12,5.25
128,XRPUSDT,47,2020-06-07 08:15:00 to 2020-06-09 08:15:00,0.0,0,0,0.0,0.0,0.0,127,8,3,3,14,5.75
129,BCHUSDT,54,2020-06-10 08:45:00 to 2020-06-12 08:45:00,0.0,0,0,0.0,0.0,0.0,128,8,8,1,1,4.5
131,IOSTUSDT,34,2020-06-14 08:00:00 to 2020-06-16 08:00:00,-1.063662762312656,0,1,0.0,-1.063662762312656,1.0,130,8,8,4,4,6.0
132,EOSUSDT,49,2020-06-15 08:00:00 to 2020-06-17 08:00:00,-1.4894075163751852,0,1,0.0,-1.4894075163751852,1.0,131,8,2,2,14,5.0
135,QTUMUSDT,37,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0.0,0,0,0.0,0.0,0.0,134,8,1,1,2,1.25
