Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top4,2020-01-22 07:45:00,2025-03-06 06:45:00,37583.1646870364,218.7458432373929,-27.1876155836668,1382.3633989298721,2.8071266457720343,2.06702654112879,8.045789913581329,40.80742081793562,55.048859934853425,9.87066942086801,2.7035114936267113,-0.33542021370336883,8.060073254909975,307,635
top2,2019-12-17 07:45:00,2025-03-06 06:00:00,19394.98967376177,174.82242506899897,-28.314848754026144,684.9759234897541,2.6184128976627172,2.0333601586282115,6.174231287184277,38.452081068365764,50.65359477124183,6.3969964671692425,2.4691266322260828,-0.3962068719655924,6.231912687371328,306,645
top1,2019-10-01 17:45:00,2025-03-05 12:15:00,17973.84594488356,160.7037393647559,-23.038965023090363,780.149886371615,2.382930180946966,1.7032278552394913,6.975302024361496,40.20058664675885,55.82089552238806,4.921723939702549,2.505520325812464,-0.6432215274223925,3.895268144791323,335,657
top6,2020-03-01 08:00:00,2025-03-04 21:30:00,16565.743108091356,177.77733695279906,-31.0283937403809,533.8898057920544,3.0519793152370966,2.1750451396059285,5.729504995981681,35.97499449610761,47.63636363636364,5.529413947161295,2.4805828102455507,-0.40811581988744866,6.078134415200207,275,620
top3,2020-01-10 07:45:00,2025-03-04 14:00:00,10312.825136613634,146.59092302592728,-36.198003468085425,284.9003853404818,2.459705434353945,1.7941882151054926,4.0496963639216075,36.473086609052444,50.6578947368421,3.397606641453332,2.638480669964009,-0.7972789202394751,3.309357118298701,304,650
top7,2020-02-03 08:00:00,2025-03-05 07:45:00,8971.012861794225,142.80368098898336,-21.734885522907376,412.7471871125923,2.607043955437519,1.8716662611662886,6.570252272020302,35.77600001795427,48.73646209386281,7.193137933829195,2.4508919671189915,-0.32393002476197275,7.566115456324042,277,626
top10,2020-02-11 08:00:00,2025-03-05 19:15:00,7457.84857283129,134.99428176851512,-26.506174875171794,281.36268654203366,2.8808737028487723,1.9801536280773744,5.092937113870912,34.27671131527238,47.61904761904761,5.275685004358929,2.6050831713628755,-0.44890046061411565,5.80325350479482,231,575
top9,2020-02-27 08:00:00,2025-03-04 14:15:00,6846.309226368779,132.91352038555084,-18.664008675126798,366.81879790876525,3.1409853499540543,2.5494152559482735,7.121381194099121,29.76794390988334,49.38775510204081,5.24312573184365,2.22318097985543,-0.41375974069635696,5.373120584699275,245,592
top8,2020-03-05 08:00:00,2025-03-04 20:30:00,4589.2249337763815,115.9977021755576,-17.730191282649077,258.83674127460984,2.5631565199983215,1.9707362929889862,6.542383007964161,32.58650956696269,47.03703703703704,6.756866443261481,2.49230804145104,-0.3275850453810526,7.608125207766869,270,608
top5,2020-02-03 08:00:00,2025-03-05 16:00:00,2743.1612390964115,93.17263683713941,-29.32172562185247,93.55388132586673,2.076801351846787,1.2580477413717426,3.1775973228431367,35.588011602305464,53.41365461847389,13.367003928971378,2.180452746793233,-0.18702783881275112,11.658439516997587,249,618
