Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-11 12:15:00 to 2024-11-25 12:15:00,2024-11-26 12:15:00 to 2024-11-28 12:15:00,40,0.054,1,1.5837597103519876,0.9901944862154016,100.0,234.24260926246643,945
2,2024-11-14 12:15:00 to 2024-11-28 12:15:00,2024-11-29 12:15:00 to 2024-12-01 12:15:00,240,0.076,1,2.1204139501682584,4.518431432265381,0.0,226.92153000831604,946
3,2024-11-17 12:15:00 to 2024-12-01 12:15:00,2024-12-02 12:15:00 to 2024-12-04 12:15:00,205,0.072,1,-5.665328520008898,11.224474149979288,0.0,227.87657594680783,947
4,2024-11-20 12:15:00 to 2024-12-04 12:15:00,2024-12-05 12:15:00 to 2024-12-07 12:15:00,250,0.044,0,0.0,0.0,0.0,225.1810760498047,949
5,2024-11-23 12:15:00 to 2024-12-07 12:15:00,2024-12-08 12:15:00 to 2024-12-10 12:15:00,110,0.02,2,-17.610934145898135,20.86544640505847,0.0,213.95133113861084,951
6,2024-11-26 12:15:00 to 2024-12-10 12:15:00,2024-12-11 12:15:00 to 2024-12-13 12:15:00,100,0.08,0,0.0,0.0,0.0,213.59481406211853,952
7,2024-11-29 12:15:00 to 2024-12-13 12:15:00,2024-12-14 12:15:00 to 2024-12-16 12:15:00,100,0.08,1,0.8068084819925752,3.432635398067148,100.0,213.7512891292572,953
8,2024-12-02 12:15:00 to 2024-12-16 12:15:00,2024-12-17 12:15:00 to 2024-12-19 12:15:00,70,0.068,1,-5.602849154682408,6.70618928336792,0.0,210.91105198860168,955
9,2024-12-05 12:15:00 to 2024-12-19 12:15:00,2024-12-20 12:15:00 to 2024-12-22 12:15:00,10,0.028,3,2.0974373748877406,4.991875853782494,66.66666666666666,213.6928777694702,957
10,2024-12-08 12:15:00 to 2024-12-22 12:15:00,2024-12-23 12:15:00 to 2024-12-25 12:15:00,10,0.028,0,0.0,0.0,0.0,218.0262920856476,958
11,2024-12-11 12:15:00 to 2024-12-25 12:15:00,2024-12-26 12:15:00 to 2024-12-28 12:15:00,10,0.028,0,0.0,0.0,0.0,212.69330883026123,959
12,2024-12-14 12:15:00 to 2024-12-28 12:15:00,2024-12-29 12:15:00 to 2024-12-31 12:15:00,35,0.062,0,0.0,0.0,0.0,218.14051485061648,961
13,2024-12-17 12:15:00 to 2024-12-31 12:15:00,2025-01-01 12:15:00 to 2025-01-03 12:15:00,285,0.036,1,0.9161722207047204,0.1977652280797701,0.0,218.08821988105777,963
14,2024-12-20 12:15:00 to 2025-01-03 12:15:00,2025-01-04 12:15:00 to 2025-01-06 12:15:00,140,0.02,1,-3.054938223422996,5.933544500900317,0.0,210.94610691070557,964
15,2024-12-23 12:15:00 to 2025-01-06 12:15:00,2025-01-07 12:15:00 to 2025-01-09 12:15:00,280,0.036,2,-16.71234562882946,20.405897206822015,50.0,211.32361602783203,965
16,2024-12-26 12:15:00 to 2025-01-09 12:15:00,2025-01-10 12:15:00 to 2025-01-12 12:15:00,200,0.032,3,4.705703526488506,5.288345974424619,66.66666666666666,215.84826397895813,967
17,2024-12-29 12:15:00 to 2025-01-12 12:15:00,2025-01-13 12:15:00 to 2025-01-15 12:15:00,165,0.034,2,-4.755208788652999,14.85247303214531,0.0,209.41778802871704,969
18,2025-01-01 12:15:00 to 2025-01-15 12:15:00,2025-01-16 12:15:00 to 2025-01-18 12:15:00,15,0.042,1,-5.917259707405374,8.265270480482304,0.0,213.99455904960632,970
19,2025-01-04 12:15:00 to 2025-01-18 12:15:00,2025-01-19 12:15:00 to 2025-01-21 12:15:00,15,0.062,2,-2.1247248136304187,6.481144527966531,50.0,218.5309488773346,971
20,2025-01-07 12:15:00 to 2025-01-21 12:15:00,2025-01-22 12:15:00 to 2025-01-24 12:15:00,50,0.078,0,0.0,0.0,0.0,219.01842498779297,973
21,2025-01-10 12:15:00 to 2025-01-24 12:15:00,2025-01-25 12:15:00 to 2025-01-27 12:15:00,80,0.08,0,0.0,0.0,0.0,213.86384677886963,975
22,2025-01-13 12:15:00 to 2025-01-27 12:15:00,2025-01-28 12:15:00 to 2025-01-30 12:15:00,65,0.026,1,-12.07032218198685,23.242346685882765,0.0,212.37034702301025,976
