Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-17 13:15:00 to 2025-01-31 13:15:00,2025-02-01 13:15:00 to 2025-02-03 13:15:00,10,0.08,2,4.303772538186604,2.904898086304282,50.0,223.08881306648257,978
2,2025-01-20 13:15:00 to 2025-02-03 13:15:00,2025-02-04 13:15:00 to 2025-02-06 13:15:00,10,0.058,3,-9.79250606865373,12.666616246350443,33.33333333333333,213.52044081687927,979
3,2025-01-23 13:15:00 to 2025-02-06 13:15:00,2025-02-07 13:15:00 to 2025-02-09 13:15:00,130,0.058,3,13.532401012215962,5.75769247175246,66.66666666666666,224.32360410690308,981
4,2025-01-26 13:15:00 to 2025-02-09 13:15:00,2025-02-10 13:15:00 to 2025-02-12 13:15:00,105,0.04,3,12.808140212987873,6.018879950185152,100.0,229.92265486717224,983
5,2025-01-29 13:15:00 to 2025-02-12 13:15:00,2025-02-13 13:15:00 to 2025-02-15 13:15:00,130,0.03,3,-5.244615202123896,15.885624578721696,33.33333333333333,228.51886177062988,984
6,2025-02-01 13:15:00 to 2025-02-15 13:15:00,2025-02-16 13:15:00 to 2025-02-18 13:15:00,75,0.03,3,-2.857192211275906,12.50825038500212,66.66666666666666,230.91753697395325,985
7,2025-02-04 13:15:00 to 2025-02-18 13:15:00,2025-02-19 13:15:00 to 2025-02-21 13:15:00,210,0.07,2,8.93184762664183,4.031200213790573,100.0,221.9783799648285,987
8,2025-02-07 13:15:00 to 2025-02-21 13:15:00,2025-02-22 13:15:00 to 2025-02-24 13:15:00,210,0.07,0,0.0,0.0,0.0,218.86501574516296,989
9,2025-02-10 13:15:00 to 2025-02-24 13:15:00,2025-02-25 13:15:00 to 2025-02-27 13:15:00,145,0.024,4,6.884822731975455,12.148316770983016,75.0,220.48421812057495,990
10,2025-02-13 13:15:00 to 2025-02-27 13:15:00,2025-02-28 13:15:00 to 2025-03-02 13:15:00,205,0.038,2,-5.727001036535566,19.33970247606199,50.0,218.98417711257937,991
11,2025-02-16 13:15:00 to 2025-03-02 13:15:00,2025-03-03 13:15:00 to 2025-03-05 13:15:00,10,0.02,11,9.097169414736326,6.036791984550507,90.9090909090909,208.867094039917,993
12,2025-02-19 13:15:00 to 2025-03-05 13:15:00,2025-03-06 13:15:00 to 2025-03-08 13:15:00,195,0.042,1,-18.432791503448044,23.708232119042883,0.0,212.78683423995972,995
