Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-24 11:30:00 to 2025-01-07 11:30:00,2025-01-08 11:30:00 to 2025-01-10 11:30:00,140,0.058,1,1.928523949035898,3.544528599221576,100.0,213.33326172828671,966
2,2024-12-27 11:30:00 to 2025-01-10 11:30:00,2025-01-11 11:30:00 to 2025-01-13 11:30:00,35,0.02,1,-8.62153574173988,9.2724866014747,0.0,210.1686728000641,967
3,2024-12-30 11:30:00 to 2025-01-13 11:30:00,2025-01-14 11:30:00 to 2025-01-16 11:30:00,15,0.038,1,-1.302854354821375,2.5222248646414673,0.0,209.367418050766,969
4,2025-01-02 11:30:00 to 2025-01-16 11:30:00,2025-01-17 11:30:00 to 2025-01-19 11:30:00,145,0.072,0,0.0,0.0,0.0,213.24669408798215,971
5,2025-01-05 11:30:00 to 2025-01-19 11:30:00,2025-01-20 11:30:00 to 2025-01-22 11:30:00,265,0.054,0,0.0,0.0,0.0,210.064532995224,972
6,2025-01-08 11:30:00 to 2025-01-22 11:30:00,2025-01-23 11:30:00 to 2025-01-25 11:30:00,105,0.02,5,5.370960869002556,4.32457686618533,100.0,208.1826438903809,973
7,2025-01-11 11:30:00 to 2025-01-25 11:30:00,2025-01-26 11:30:00 to 2025-01-28 11:30:00,285,0.02,0,0.0,0.0,0.0,206.56146001815796,975
8,2025-01-14 11:30:00 to 2025-01-28 11:30:00,2025-01-29 11:30:00 to 2025-01-31 11:30:00,300,0.02,2,-8.949283297922522,27.998903520517377,50.0,209.18967866897583,977
9,2025-01-17 11:30:00 to 2025-01-31 11:30:00,2025-02-01 11:30:00 to 2025-02-03 11:30:00,45,0.02,4,5.08821672595408,1.8396064937128325,100.0,208.89186596870425,978
10,2025-01-20 11:30:00 to 2025-02-03 11:30:00,2025-02-04 11:30:00 to 2025-02-06 11:30:00,30,0.02,4,-1.130081887355318,7.048439166289458,50.0,207.76330590248108,979
11,2025-01-23 11:30:00 to 2025-02-06 11:30:00,2025-02-07 11:30:00 to 2025-02-09 11:30:00,35,0.02,4,0.2404061267933139,7.326858031125365,75.0,203.8065819740295,981
12,2025-01-26 11:30:00 to 2025-02-09 11:30:00,2025-02-10 11:30:00 to 2025-02-12 11:30:00,290,0.026,1,-4.608596257899644,6.850027736963786,0.0,208.20604276657104,983
13,2025-01-29 11:30:00 to 2025-02-12 11:30:00,2025-02-13 11:30:00 to 2025-02-15 11:30:00,155,0.022,1,0.8365979217402129,3.3749659169519637,100.0,207.3977029323578,984
14,2025-02-01 11:30:00 to 2025-02-15 11:30:00,2025-02-16 11:30:00 to 2025-02-18 11:30:00,105,0.032,1,0.435859365994238,1.5801278202509412,100.0,209.3999478816986,985
15,2025-02-04 11:30:00 to 2025-02-18 11:30:00,2025-02-19 11:30:00 to 2025-02-21 11:30:00,140,0.03,0,0.0,0.0,0.0,208.68468809127808,987
16,2025-02-07 11:30:00 to 2025-02-21 11:30:00,2025-02-22 11:30:00 to 2025-02-24 11:30:00,175,0.034,1,1.696563843937038,1.092013044499528,100.0,203.9486773014069,989
17,2025-02-10 11:30:00 to 2025-02-24 11:30:00,2025-02-25 11:30:00 to 2025-02-27 11:30:00,290,0.022,1,-0.4422861206215384,0.4422861206215384,0.0,199.8140480518341,990
18,2025-02-13 11:30:00 to 2025-02-27 11:30:00,2025-02-28 11:30:00 to 2025-03-02 11:30:00,55,0.036,1,0.9985425482980644,0.8195261652599322,100.0,197.57878589630127,991
19,2025-02-16 11:30:00 to 2025-03-02 11:30:00,2025-03-03 11:30:00 to 2025-03-05 11:30:00,265,0.048,0,0.0,0.0,0.0,199.26837301254272,993
20,2025-02-19 11:30:00 to 2025-03-05 11:30:00,2025-03-06 11:30:00 to 2025-03-08 11:30:00,85,0.024,1,-0.1091454118475303,2.070669841958822,0.0,198.10197496414185,995
