Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-09-10 03:30:00 to 2021-09-24 03:30:00,2021-09-25 03:30:00 to 2021-09-27 03:30:00,45,0.032,3,5.923784977936302,0.750787612493566,100.0,239.4711730480194,365
2,2021-09-13 03:30:00 to 2021-09-27 03:30:00,2021-09-28 03:30:00 to 2021-09-30 03:30:00,40,0.038,2,3.597251962815317,1.269814723261149,100.0,236.8280942440033,367
3,2021-09-16 03:30:00 to 2021-09-30 03:30:00,2021-10-01 03:30:00 to 2021-10-03 03:30:00,45,0.038,3,3.4945088863773712,3.217449308273249,66.66666666666666,236.18792605400083,369
4,2021-09-19 03:30:00 to 2021-10-03 03:30:00,2021-10-04 03:30:00 to 2021-10-06 03:30:00,35,0.026,3,-1.9021221730754587,6.679823762849647,33.33333333333333,234.8280439376831,370
5,2021-09-22 03:30:00 to 2021-10-06 03:30:00,2021-10-07 03:30:00 to 2021-10-09 03:30:00,250,0.064,0,0.0,0.0,0.0,230.87305879592896,371
6,2021-09-25 03:30:00 to 2021-10-09 03:30:00,2021-10-10 03:30:00 to 2021-10-12 03:30:00,255,0.046,1,-0.4528208011243987,1.751098664779166,0.0,227.69811820983887,373
7,2021-09-28 03:30:00 to 2021-10-12 03:30:00,2021-10-13 03:30:00 to 2021-10-15 03:30:00,255,0.046,2,4.182026064271121,1.9866020410043224,100.0,234.58650493621823,375
8,2021-10-01 03:30:00 to 2021-10-15 03:30:00,2021-10-16 03:30:00 to 2021-10-18 03:30:00,265,0.036,1,-3.5099583529306617,5.827798676637548,0.0,228.86935114860535,376
9,2021-10-04 03:30:00 to 2021-10-18 03:30:00,2021-10-19 03:30:00 to 2021-10-21 03:30:00,225,0.052,1,1.678651957737711,1.623817588564325,100.0,223.54622888565063,377
10,2021-10-07 03:30:00 to 2021-10-21 03:30:00,2021-10-22 03:30:00 to 2021-10-24 03:30:00,25,0.022,0,0.0,0.0,0.0,224.91910767555237,379
11,2021-10-10 03:30:00 to 2021-10-24 03:30:00,2021-10-25 03:30:00 to 2021-10-27 03:30:00,25,0.022,2,1.723182909697116,0.2007065952636188,100.0,224.82670974731445,381
12,2021-10-13 03:30:00 to 2021-10-27 03:30:00,2021-10-28 03:30:00 to 2021-10-30 03:30:00,135,0.05,1,4.904941294659639,2.004144096750865,100.0,223.46864700317383,382
13,2021-10-16 03:30:00 to 2021-10-30 03:30:00,2021-10-31 03:30:00 to 2021-11-02 03:30:00,285,0.032,2,6.36110990143572,2.6780987295457708,100.0,227.52316093444824,383
14,2021-10-19 03:30:00 to 2021-11-02 03:30:00,2021-11-03 03:30:00 to 2021-11-05 03:30:00,285,0.032,1,-0.6892503859631506,3.850616749990637,0.0,224.24812817573547,385
15,2021-10-22 03:30:00 to 2021-11-05 03:30:00,2021-11-06 03:30:00 to 2021-11-08 03:30:00,300,0.02,1,1.027341992466554,0.6475773810599437,100.0,224.4559199810028,387
16,2021-10-25 03:30:00 to 2021-11-08 03:30:00,2021-11-09 03:30:00 to 2021-11-11 03:30:00,300,0.02,1,-8.025160917729336,17.835034399918495,0.0,224.1388087272644,388
17,2021-10-28 03:30:00 to 2021-11-11 03:30:00,2021-11-12 03:30:00 to 2021-11-14 03:30:00,125,0.022,1,0.1792405106513797,3.2158206046072335,100.0,221.65267825126648,389
18,2021-10-31 03:30:00 to 2021-11-14 03:30:00,2021-11-15 03:30:00 to 2021-11-17 03:30:00,65,0.02,2,-6.369585351522128,15.789940104662923,0.0,222.05817008018496,391
19,2021-11-03 03:30:00 to 2021-11-17 03:30:00,2021-11-18 03:30:00 to 2021-11-20 03:30:00,195,0.058,1,2.563660802367631,1.3941950016442024,100.0,221.85573506355288,393
20,2021-11-06 03:30:00 to 2021-11-20 03:30:00,2021-11-21 03:30:00 to 2021-11-23 03:30:00,290,0.08,0,0.0,0.0,0.0,224.9836227893829,394
21,2021-11-09 03:30:00 to 2021-11-23 03:30:00,2021-11-24 03:30:00 to 2021-11-26 03:30:00,35,0.02,5,2.180847225188809,3.086383711104754,60.0,228.26208591461184,395
22,2021-11-12 03:30:00 to 2021-11-26 03:30:00,2021-11-27 03:30:00 to 2021-11-29 03:30:00,35,0.02,3,3.4558892288940655,2.0121878398658835,100.0,238.98748779296875,397
23,2021-11-15 03:30:00 to 2021-11-29 03:30:00,2021-11-30 03:30:00 to 2021-12-02 03:30:00,35,0.02,3,6.119537256592557,1.173434158293548,100.0,230.6608250141144,399
24,2021-11-18 03:30:00 to 2021-12-02 03:30:00,2021-12-03 03:30:00 to 2021-12-05 03:30:00,75,0.03,2,-19.100439616117672,33.40562152257904,50.0,224.07127380371097,400
25,2021-11-21 03:30:00 to 2021-12-05 03:30:00,2021-12-06 03:30:00 to 2021-12-08 03:30:00,10,0.074,0,0.0,0.0,0.0,228.41524004936215,401
26,2021-11-24 03:30:00 to 2021-12-08 03:30:00,2021-12-09 03:30:00 to 2021-12-11 03:30:00,25,0.042,0,0.0,0.0,0.0,227.78021097183228,403
27,2021-11-27 03:30:00 to 2021-12-11 03:30:00,2021-12-12 03:30:00 to 2021-12-14 03:30:00,20,0.022,2,-1.9395795412953525,5.2226876197888785,50.0,225.6310257911682,405
28,2021-11-30 03:30:00 to 2021-12-14 03:30:00,2021-12-15 03:30:00 to 2021-12-17 03:30:00,15,0.022,1,-0.1781179572896508,2.386107837558606,0.0,226.30810594558716,406
29,2021-12-03 03:30:00 to 2021-12-17 03:30:00,2021-12-18 03:30:00 to 2021-12-20 03:30:00,300,0.03,2,2.3711941674215997,1.0408932698246656,50.0,231.7109010219574,407
30,2021-12-06 03:30:00 to 2021-12-20 03:30:00,2021-12-21 03:30:00 to 2021-12-23 03:30:00,20,0.02,1,0.1170142145547288,0.8162041064269215,100.0,226.57382917404175,409
31,2021-12-09 03:30:00 to 2021-12-23 03:30:00,2021-12-24 03:30:00 to 2021-12-26 03:30:00,40,0.028,1,2.354652683850527,2.6872801264328765,100.0,221.62098598480225,411
32,2021-12-12 03:30:00 to 2021-12-26 03:30:00,2021-12-27 03:30:00 to 2021-12-29 03:30:00,250,0.026,1,1.8037507265095336,0.7256209548082919,100.0,220.2924633026123,412
33,2021-12-15 03:30:00 to 2021-12-29 03:30:00,2021-12-30 03:30:00 to 2022-01-01 03:30:00,40,0.028,3,1.6133123390650508,2.9953831444307064,100.0,219.35429501533508,413
34,2021-12-18 03:30:00 to 2022-01-01 03:30:00,2022-01-02 03:30:00 to 2022-01-04 03:30:00,115,0.036,1,-0.1927126910943843,1.435386473011163,0.0,221.541246175766,415
35,2021-12-21 03:30:00 to 2022-01-04 03:30:00,2022-01-05 03:30:00 to 2022-01-07 03:30:00,80,0.026,2,-9.62799299877948,11.938265338425987,0.0,218.1831960678101,417
36,2021-12-24 03:30:00 to 2022-01-07 03:30:00,2022-01-08 03:30:00 to 2022-01-10 03:30:00,110,0.064,1,2.537545663148212,1.475712601268225,100.0,219.61559510231015,418
37,2021-12-27 03:30:00 to 2022-01-10 03:30:00,2022-01-11 03:30:00 to 2022-01-13 03:30:00,105,0.064,0,0.0,0.0,0.0,220.2978558540344,419
38,2021-12-30 03:30:00 to 2022-01-13 03:30:00,2022-01-14 03:30:00 to 2022-01-16 03:30:00,110,0.04,2,4.253145960347192,0.8372537561564855,100.0,219.76908111572263,421
39,2022-01-02 03:30:00 to 2022-01-16 03:30:00,2022-01-17 03:30:00 to 2022-01-19 03:30:00,110,0.04,2,1.4501231876106977,2.256088426568801,100.0,223.01087284088135,423
40,2022-01-05 03:30:00 to 2022-01-19 03:30:00,2022-01-20 03:30:00 to 2022-01-22 03:30:00,100,0.044,2,0.9984610385355154,2.421662670568201,50.0,224.61770224571228,424
41,2022-01-08 03:30:00 to 2022-01-22 03:30:00,2022-01-23 03:30:00 to 2022-01-25 03:30:00,115,0.04,2,-4.492240834208006,13.571804919792584,0.0,217.81480598449707,425
42,2022-01-11 03:30:00 to 2022-01-25 03:30:00,2022-01-26 03:30:00 to 2022-01-28 03:30:00,105,0.078,1,3.284145434663769,0.7447663506725491,100.0,221.39659690856936,427
43,2022-01-14 03:30:00 to 2022-01-28 03:30:00,2022-01-29 03:30:00 to 2022-01-31 03:30:00,290,0.02,1,-1.232510868158988,2.4169515913978152,0.0,221.0402340888977,429
44,2022-01-17 03:30:00 to 2022-01-31 03:30:00,2022-02-01 03:30:00 to 2022-02-03 03:30:00,290,0.02,1,0.6640620209059125,0.7678430224000143,0.0,219.5997798442841,430
45,2022-01-20 03:30:00 to 2022-02-03 03:30:00,2022-02-04 03:30:00 to 2022-02-06 03:30:00,295,0.024,0,0.0,0.0,0.0,226.4075698852539,431
46,2022-01-23 03:30:00 to 2022-02-06 03:30:00,2022-02-07 03:30:00 to 2022-02-09 03:30:00,135,0.038,2,2.510386695072921,1.0005004111586089,50.0,221.26716113090515,433
47,2022-01-26 03:30:00 to 2022-02-09 03:30:00,2022-02-10 03:30:00 to 2022-02-12 03:30:00,170,0.02,5,3.940237200853389,5.80735309590704,80.0,219.7959930896759,435
48,2022-01-29 03:30:00 to 2022-02-12 03:30:00,2022-02-13 03:30:00 to 2022-02-15 03:30:00,185,0.034,2,4.305048010814517,2.617275286061097,100.0,215.8462610244751,436
49,2022-02-01 03:30:00 to 2022-02-15 03:30:00,2022-02-16 03:30:00 to 2022-02-18 03:30:00,170,0.02,2,-4.609645799661048,11.564891354744152,50.0,216.502876996994,437
50,2022-02-04 03:30:00 to 2022-02-18 03:30:00,2022-02-19 03:30:00 to 2022-02-21 03:30:00,35,0.022,4,3.0882832969020635,2.366846922011275,100.0,219.25594282150269,439
51,2022-02-07 03:30:00 to 2022-02-21 03:30:00,2022-02-22 03:30:00 to 2022-02-24 03:30:00,35,0.022,2,-11.686822937290671,13.7622409722055,50.0,230.67356705665588,441
52,2022-02-10 03:30:00 to 2022-02-24 03:30:00,2022-02-25 03:30:00 to 2022-02-27 03:30:00,25,0.03,2,0.8601300624951909,0.6395171159668547,50.0,231.9703638553619,442
53,2022-02-13 03:30:00 to 2022-02-27 03:30:00,2022-02-28 03:30:00 to 2022-03-02 03:30:00,165,0.052,1,1.8721971718781245,1.2607151778007637,100.0,232.65790224075317,443
54,2022-02-16 03:30:00 to 2022-03-02 03:30:00,2022-03-03 03:30:00 to 2022-03-05 03:30:00,165,0.052,1,-5.84019966664815,8.798352313734187,0.0,232.5475537776947,445
55,2022-02-19 03:30:00 to 2022-03-05 03:30:00,2022-03-06 03:30:00 to 2022-03-08 03:30:00,170,0.054,2,5.20655859977649,0.5864424765321973,100.0,232.21542811393735,447
56,2022-02-22 03:30:00 to 2022-03-08 03:30:00,2022-03-09 03:30:00 to 2022-03-11 03:30:00,235,0.028,1,-2.446566571067069,5.094841677449996,0.0,226.45155501365664,448
57,2022-02-25 03:30:00 to 2022-03-11 03:30:00,2022-03-12 03:30:00 to 2022-03-14 03:30:00,80,0.042,1,0.0026280082511948,0.7499632449520077,0.0,224.78101015090945,449
58,2022-02-28 03:30:00 to 2022-03-14 03:30:00,2022-03-15 03:30:00 to 2022-03-17 03:30:00,55,0.02,1,0.9823835182250332,0.3340828683083495,100.0,224.60050797462463,451
59,2022-03-03 03:30:00 to 2022-03-17 03:30:00,2022-03-18 03:30:00 to 2022-03-20 03:30:00,300,0.034,0,0.0,0.0,0.0,225.9063539505005,453
60,2022-03-06 03:30:00 to 2022-03-20 03:30:00,2022-03-21 03:30:00 to 2022-03-23 03:30:00,70,0.022,1,-0.4478471641791111,0.8852994365274767,0.0,221.24049711227417,454
61,2022-03-09 03:30:00 to 2022-03-23 03:30:00,2022-03-24 03:30:00 to 2022-03-26 03:30:00,265,0.02,0,0.0,0.0,0.0,220.64259219169617,455
62,2022-03-12 03:30:00 to 2022-03-26 03:30:00,2022-03-27 03:30:00 to 2022-03-29 03:30:00,185,0.02,0,0.0,0.0,0.0,219.30600810050964,457
63,2022-03-15 03:30:00 to 2022-03-29 03:30:00,2022-03-30 03:30:00 to 2022-04-01 03:30:00,180,0.02,2,2.4067557244951785,4.654925887497466,50.0,216.11642217636108,459
64,2022-03-18 03:30:00 to 2022-04-01 03:30:00,2022-04-02 03:30:00 to 2022-04-04 03:30:00,230,0.022,0,0.0,0.0,0.0,219.73067021369937,460
