Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-02-07 07:00:00 to 2024-02-21 07:00:00,2024-02-22 07:00:00 to 2024-02-24 07:00:00,30,0.024,3,-4.596801849034036,8.914761727302738,66.66666666666666,210.7103419303894,805
2,2024-02-10 07:00:00 to 2024-02-24 07:00:00,2024-02-25 07:00:00 to 2024-02-27 07:00:00,230,0.03,1,1.2773430656934217,1.4061692600929006,100.0,209.41245484352112,807
3,2024-02-13 07:00:00 to 2024-02-27 07:00:00,2024-02-28 07:00:00 to 2024-03-01 07:00:00,230,0.04,2,7.132001135269038,3.93246938404068,50.0,208.72707986831665,809
4,2024-02-16 07:00:00 to 2024-03-01 07:00:00,2024-03-02 07:00:00 to 2024-03-04 07:00:00,225,0.04,0,0.0,0.0,0.0,210.4810779094696,810
5,2024-02-19 07:00:00 to 2024-03-04 07:00:00,2024-03-05 07:00:00 to 2024-03-07 07:00:00,135,0.026,4,12.580619075248322,2.2124162210396863,100.0,212.0261549949646,811
6,2024-02-22 07:00:00 to 2024-03-07 07:00:00,2024-03-08 07:00:00 to 2024-03-10 07:00:00,170,0.026,1,3.2705999580284515,2.820615489282718,100.0,208.22334122657776,813
7,2024-02-25 07:00:00 to 2024-03-10 07:00:00,2024-03-11 07:00:00 to 2024-03-13 07:00:00,110,0.03,2,3.26439097547307,0.916616064437345,100.0,210.4308021068573,815
8,2024-02-28 07:00:00 to 2024-03-13 07:00:00,2024-03-14 07:00:00 to 2024-03-16 07:00:00,155,0.032,1,-7.488176542152305,14.086559771197258,0.0,208.00303602218628,816
9,2024-03-02 07:00:00 to 2024-03-16 07:00:00,2024-03-17 07:00:00 to 2024-03-19 07:00:00,20,0.028,1,-5.226669619492276,5.226669619492277,0.0,211.7000641822815,817
10,2024-03-05 07:00:00 to 2024-03-19 07:00:00,2024-03-20 07:00:00 to 2024-03-22 07:00:00,20,0.028,4,4.448696647915021,0.9448262976362898,100.0,211.05856204032895,819
11,2024-03-08 07:00:00 to 2024-03-22 07:00:00,2024-03-23 07:00:00 to 2024-03-25 07:00:00,280,0.08,0,0.0,0.0,0.0,210.9646339416504,821
12,2024-03-11 07:00:00 to 2024-03-25 07:00:00,2024-03-26 07:00:00 to 2024-03-28 07:00:00,280,0.08,0,0.0,0.0,0.0,215.38418197631836,822
13,2024-03-14 07:00:00 to 2024-03-28 07:00:00,2024-03-29 07:00:00 to 2024-03-31 07:00:00,150,0.022,1,-2.9310979581023275,5.32653710424596,0.0,212.80030274391177,823
14,2024-03-17 07:00:00 to 2024-03-31 07:00:00,2024-04-01 07:00:00 to 2024-04-03 07:00:00,170,0.02,2,-1.322384767422045,10.21639213558755,50.0,209.9253780841827,825
15,2024-03-20 07:00:00 to 2024-04-03 07:00:00,2024-04-04 07:00:00 to 2024-04-06 07:00:00,35,0.022,3,1.829762193691804,2.265635368014147,66.66666666666666,205.2909409999847,827
16,2024-03-23 07:00:00 to 2024-04-06 07:00:00,2024-04-07 07:00:00 to 2024-04-09 07:00:00,225,0.026,0,0.0,0.0,0.0,204.60911321640015,828
17,2024-03-26 07:00:00 to 2024-04-09 07:00:00,2024-04-10 07:00:00 to 2024-04-12 07:00:00,255,0.062,1,-2.523475624626644,4.331283741892471,0.0,207.76196122169495,829
