Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-01-25 14:15:00 to 2024-02-08 14:15:00,2024-02-09 14:15:00 to 2024-02-11 14:15:00,70,0.026,0,0.0,0.0,0.0,200.87446188926697,799
2,2024-01-28 14:15:00 to 2024-02-11 14:15:00,2024-02-12 14:15:00 to 2024-02-14 14:15:00,55,0.032,0,0.0,0.0,0.0,199.81325507164,801
3,2024-01-31 14:15:00 to 2024-02-14 14:15:00,2024-02-15 14:15:00 to 2024-02-17 14:15:00,70,0.028,0,0.0,0.0,0.0,194.8958809375763,802
4,2024-02-03 14:15:00 to 2024-02-17 14:15:00,2024-02-18 14:15:00 to 2024-02-20 14:15:00,70,0.028,0,0.0,0.0,0.0,195.96394515037537,803
5,2024-02-06 14:15:00 to 2024-02-20 14:15:00,2024-02-21 14:15:00 to 2024-02-23 14:15:00,165,0.02,2,-1.3656027276710665,4.958000268591377,50.0,193.6884400844574,805
6,2024-02-09 14:15:00 to 2024-02-23 14:15:00,2024-02-24 14:15:00 to 2024-02-26 14:15:00,265,0.02,1,0.8740787529019689,2.2197364405006694,100.0,194.49553108215332,807
7,2024-02-12 14:15:00 to 2024-02-26 14:15:00,2024-02-27 14:15:00 to 2024-02-29 14:15:00,55,0.02,2,4.3886012671748365,1.7477629655377274,100.0,194.72021770477295,808
8,2024-02-15 14:15:00 to 2024-02-29 14:15:00,2024-03-01 14:15:00 to 2024-03-03 14:15:00,55,0.02,1,4.291484335274581,0.5218424274902798,100.0,199.5245151519775,809
9,2024-02-18 14:15:00 to 2024-03-03 14:15:00,2024-03-04 14:15:00 to 2024-03-06 14:15:00,50,0.02,4,8.569908620642492,12.718674316779644,75.0,197.8948769569397,811
10,2024-02-21 14:15:00 to 2024-03-06 14:15:00,2024-03-07 14:15:00 to 2024-03-09 14:15:00,55,0.02,2,-1.3638146640189914,6.430064166645507,50.0,199.64728665351868,813
11,2024-02-24 14:15:00 to 2024-03-09 14:15:00,2024-03-10 14:15:00 to 2024-03-12 14:15:00,40,0.02,3,2.886876235023301,1.9342485223772083,100.0,199.4185740947723,814
12,2024-02-27 14:15:00 to 2024-03-12 14:15:00,2024-03-13 14:15:00 to 2024-03-15 14:15:00,35,0.02,4,0.8081336776702119,6.42083041553974,75.0,200.9520239830017,815
13,2024-03-01 14:15:00 to 2024-03-15 14:15:00,2024-03-16 14:15:00 to 2024-03-18 14:15:00,40,0.02,4,-3.850319368294222,7.417155741443879,50.0,204.55251789093015,817
14,2024-03-04 14:15:00 to 2024-03-18 14:15:00,2024-03-19 14:15:00 to 2024-03-21 14:15:00,150,0.054,1,-1.7156796433222008,9.379738101466875,0.0,206.2184751033783,819
15,2024-03-07 14:15:00 to 2024-03-21 14:15:00,2024-03-22 14:15:00 to 2024-03-24 14:15:00,20,0.022,2,1.4735964460013384,2.6703410566694408,100.0,204.71665000915527,820
16,2024-03-10 14:15:00 to 2024-03-24 14:15:00,2024-03-25 14:15:00 to 2024-03-27 14:15:00,100,0.052,1,0.1830716939451667,1.787691932945844,0.0,203.35333585739136,821
17,2024-03-13 14:15:00 to 2024-03-27 14:15:00,2024-03-28 14:15:00 to 2024-03-30 14:15:00,300,0.072,0,0.0,0.0,0.0,205.1704218387604,823
18,2024-03-16 14:15:00 to 2024-03-30 14:15:00,2024-03-31 14:15:00 to 2024-04-02 14:15:00,275,0.062,1,-0.2507217928043246,2.1603692571907507,0.0,201.69759607315063,825
19,2024-03-19 14:15:00 to 2024-04-02 14:15:00,2024-04-03 14:15:00 to 2024-04-05 14:15:00,60,0.02,5,7.43719506462261,1.8886044115059468,80.0,195.2430629730225,826
20,2024-03-22 14:15:00 to 2024-04-05 14:15:00,2024-04-06 14:15:00 to 2024-04-08 14:15:00,80,0.03,0,0.0,0.0,0.0,197.41513180732727,827
21,2024-03-25 14:15:00 to 2024-04-08 14:15:00,2024-04-09 14:15:00 to 2024-04-11 14:15:00,85,0.028,1,-0.3416517295624362,4.399934172509068,0.0,201.8977248668671,829
22,2024-03-28 14:15:00 to 2024-04-11 14:15:00,2024-04-12 14:15:00 to 2024-04-14 14:15:00,70,0.02,3,-13.911643190862652,20.574636482468858,33.33333333333333,199.17033410072327,831
23,2024-03-31 14:15:00 to 2024-04-14 14:15:00,2024-04-15 14:15:00 to 2024-04-17 14:15:00,30,0.07,0,0.0,0.0,0.0,201.55829310417175,832
24,2024-04-03 14:15:00 to 2024-04-17 14:15:00,2024-04-18 14:15:00 to 2024-04-20 14:15:00,50,0.08,0,0.0,0.0,0.0,201.83082222938535,833
25,2024-04-06 14:15:00 to 2024-04-20 14:15:00,2024-04-21 14:15:00 to 2024-04-23 14:15:00,30,0.07,0,0.0,0.0,0.0,201.2910351753235,835
26,2024-04-09 14:15:00 to 2024-04-23 14:15:00,2024-04-24 14:15:00 to 2024-04-26 14:15:00,30,0.07,1,-0.0238792750026914,1.1792356129836847,0.0,203.6890571117401,837
27,2024-04-12 14:15:00 to 2024-04-26 14:15:00,2024-04-27 14:15:00 to 2024-04-29 14:15:00,120,0.048,1,-0.940255137300137,3.9640419064412526,0.0,204.71914792060852,838
28,2024-04-15 14:15:00 to 2024-04-29 14:15:00,2024-04-30 14:15:00 to 2024-05-02 14:15:00,25,0.02,2,-0.6897513724624332,2.5906136547816305,50.0,200.2004451751709,839
29,2024-04-18 14:15:00 to 2024-05-02 14:15:00,2024-05-03 14:15:00 to 2024-05-05 14:15:00,245,0.066,0,0.0,0.0,0.0,198.76902627944943,841
30,2024-04-21 14:15:00 to 2024-05-05 14:15:00,2024-05-06 14:15:00 to 2024-05-08 14:15:00,295,0.062,0,0.0,0.0,0.0,202.35101795196533,843
31,2024-04-24 14:15:00 to 2024-05-08 14:15:00,2024-05-09 14:15:00 to 2024-05-11 14:15:00,240,0.02,1,-2.28390807097885,3.8027713303991986,0.0,202.4251289367676,844
32,2024-04-27 14:15:00 to 2024-05-11 14:15:00,2024-05-12 14:15:00 to 2024-05-14 14:15:00,285,0.02,2,5.764563734721796,1.3575470547224224,100.0,195.80291509628296,845
33,2024-04-30 14:15:00 to 2024-05-14 14:15:00,2024-05-15 14:15:00 to 2024-05-17 14:15:00,280,0.02,1,2.657772037642444,5.676086985860928,100.0,193.29532408714297,847
34,2024-05-03 14:15:00 to 2024-05-17 14:15:00,2024-05-18 14:15:00 to 2024-05-20 14:15:00,280,0.02,1,-9.172427665905651,9.747274058389166,0.0,200.40174198150635,849
35,2024-05-06 14:15:00 to 2024-05-20 14:15:00,2024-05-21 14:15:00 to 2024-05-23 14:15:00,45,0.028,1,0.3717202606635146,1.5027902193116394,100.0,191.47607922554016,850
36,2024-05-09 14:15:00 to 2024-05-23 14:15:00,2024-05-24 14:15:00 to 2024-05-26 14:15:00,50,0.028,0,0.0,0.0,0.0,199.39928603172305,851
37,2024-05-12 14:15:00 to 2024-05-26 14:15:00,2024-05-27 14:15:00 to 2024-05-29 14:15:00,280,0.064,0,0.0,0.0,0.0,200.88526391983032,853
38,2024-05-15 14:15:00 to 2024-05-29 14:15:00,2024-05-30 14:15:00 to 2024-06-01 14:15:00,300,0.068,0,0.0,0.0,0.0,198.11116790771484,855
39,2024-05-18 14:15:00 to 2024-06-01 14:15:00,2024-06-02 14:15:00 to 2024-06-04 14:15:00,175,0.026,1,0.9707725179990668,2.300370719533869,0.0,198.45247507095337,856
40,2024-05-21 14:15:00 to 2024-06-04 14:15:00,2024-06-05 14:15:00 to 2024-06-07 14:15:00,60,0.02,0,0.0,0.0,0.0,193.15761804580688,857
41,2024-05-24 14:15:00 to 2024-06-07 14:15:00,2024-06-08 14:15:00 to 2024-06-10 14:15:00,245,0.036,1,-2.042620200811689,4.8001994156982715,0.0,198.92366099357605,859
