Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2022-04-08 03:30:00 to 2022-04-22 03:30:00,2022-04-23 03:30:00 to 2022-04-25 03:30:00,140,0.028,1,-0.777496857497299,3.8817626059352346,0.0,214.88419580459595,471
2,2022-04-11 03:30:00 to 2022-04-25 03:30:00,2022-04-26 03:30:00 to 2022-04-28 03:30:00,140,0.028,1,1.2521350161352167,3.8247845689473423,100.0,210.81037092208865,472
3,2022-04-14 03:30:00 to 2022-04-28 03:30:00,2022-04-29 03:30:00 to 2022-05-01 03:30:00,240,0.05,1,-7.37916357889273,10.305972342309222,0.0,211.12347078323364,473
4,2022-04-17 03:30:00 to 2022-05-01 03:30:00,2022-05-02 03:30:00 to 2022-05-04 03:30:00,85,0.042,2,5.150488127796762,3.40075915843985,100.0,209.51977396011353,475
5,2022-04-20 03:30:00 to 2022-05-04 03:30:00,2022-05-05 03:30:00 to 2022-05-07 03:30:00,205,0.05,1,-2.155002639760551,6.222038701794944,0.0,210.1649580001831,477
6,2022-04-23 03:30:00 to 2022-05-07 03:30:00,2022-05-08 03:30:00 to 2022-05-10 03:30:00,130,0.072,1,-5.250337336715547,11.547899929102082,0.0,217.89994978904724,478
7,2022-04-26 03:30:00 to 2022-05-10 03:30:00,2022-05-11 03:30:00 to 2022-05-13 03:30:00,185,0.08,1,-14.326550296043331,34.34443784701221,0.0,218.23099184036255,479
8,2022-04-29 03:30:00 to 2022-05-13 03:30:00,2022-05-14 03:30:00 to 2022-05-16 03:30:00,45,0.078,1,2.9508476325489212,1.6866518524766438,100.0,223.4612867832184,481
9,2022-05-02 03:30:00 to 2022-05-16 03:30:00,2022-05-17 03:30:00 to 2022-05-19 03:30:00,45,0.078,0,0.0,0.0,0.0,221.3691589832306,483
10,2022-05-05 03:30:00 to 2022-05-19 03:30:00,2022-05-20 03:30:00 to 2022-05-22 03:30:00,45,0.078,0,0.0,0.0,0.0,226.69370412826535,484
11,2022-05-08 03:30:00 to 2022-05-22 03:30:00,2022-05-23 03:30:00 to 2022-05-25 03:30:00,45,0.078,1,2.2668674382170138,0.8292325384383515,100.0,223.64712190628052,485
12,2022-05-11 03:30:00 to 2022-05-25 03:30:00,2022-05-26 03:30:00 to 2022-05-28 03:30:00,110,0.062,1,0.2535294070295094,10.111391420656672,100.0,219.9261178970337,487
13,2022-05-14 03:30:00 to 2022-05-28 03:30:00,2022-05-29 03:30:00 to 2022-05-31 03:30:00,40,0.046,1,0.7044849160545892,0.2673062430142734,100.0,216.94540810585025,489
14,2022-05-17 03:30:00 to 2022-05-31 03:30:00,2022-06-01 03:30:00 to 2022-06-03 03:30:00,40,0.048,1,-0.8431710027124246,2.43439570394493,0.0,211.63637781143188,490
15,2022-05-20 03:30:00 to 2022-06-03 03:30:00,2022-06-04 03:30:00 to 2022-06-06 03:30:00,50,0.02,3,3.818852630209458,0.401394412591905,100.0,214.74896788597107,491
16,2022-05-23 03:30:00 to 2022-06-06 03:30:00,2022-06-07 03:30:00 to 2022-06-09 03:30:00,75,0.032,2,0.9923457696290644,2.9617693445829114,50.0,214.7002501487732,493
17,2022-05-26 03:30:00 to 2022-06-09 03:30:00,2022-06-10 03:30:00 to 2022-06-12 03:30:00,90,0.024,1,-21.685176136629668,23.705406854713768,0.0,214.7440860271454,495
18,2022-05-29 03:30:00 to 2022-06-12 03:30:00,2022-06-13 03:30:00 to 2022-06-15 03:30:00,25,0.038,5,12.527649087458103,6.115453549035468,80.0,211.36141896247864,496
19,2022-06-01 03:30:00 to 2022-06-15 03:30:00,2022-06-16 03:30:00 to 2022-06-18 03:30:00,25,0.038,2,-4.855270397078221,7.1736104041306845,0.0,214.81264185905457,497
20,2022-06-04 03:30:00 to 2022-06-18 03:30:00,2022-06-19 03:30:00 to 2022-06-21 03:30:00,20,0.032,3,2.4253158803597032,1.0010362322299364,100.0,215.14786577224731,499
21,2022-06-07 03:30:00 to 2022-06-21 03:30:00,2022-06-22 03:30:00 to 2022-06-24 03:30:00,20,0.032,3,3.0793792347739144,0.999545031567602,100.0,217.62386107444763,501
22,2022-06-10 03:30:00 to 2022-06-24 03:30:00,2022-06-25 03:30:00 to 2022-06-27 03:30:00,300,0.024,2,-0.0935465891634339,5.505443571087417,50.0,222.48784112930295,502
23,2022-06-13 03:30:00 to 2022-06-27 03:30:00,2022-06-28 03:30:00 to 2022-06-30 03:30:00,160,0.02,1,-11.594790582462938,14.357991599367008,0.0,223.85098505020144,503
24,2022-06-16 03:30:00 to 2022-06-30 03:30:00,2022-07-01 03:30:00 to 2022-07-03 03:30:00,65,0.04,1,-0.268012666492541,1.9238974145544103,0.0,219.6971127986908,505
25,2022-06-19 03:30:00 to 2022-07-03 03:30:00,2022-07-04 03:30:00 to 2022-07-06 03:30:00,30,0.024,2,-0.8023148288913582,4.387832891377944,50.0,216.0896692276001,507
26,2022-06-22 03:30:00 to 2022-07-06 03:30:00,2022-07-07 03:30:00 to 2022-07-09 03:30:00,65,0.048,0,0.0,0.0,0.0,214.7461850643158,508
27,2022-06-25 03:30:00 to 2022-07-09 03:30:00,2022-07-10 03:30:00 to 2022-07-12 03:30:00,65,0.046,2,-0.8786185397507871,3.038609428146964,50.0,212.62959814071655,509
28,2022-06-28 03:30:00 to 2022-07-12 03:30:00,2022-07-13 03:30:00 to 2022-07-15 03:30:00,65,0.046,0,0.0,0.0,0.0,211.00171780586243,511
29,2022-07-01 03:30:00 to 2022-07-15 03:30:00,2022-07-16 03:30:00 to 2022-07-18 03:30:00,125,0.024,3,4.153527634265574,1.0321085223496909,100.0,208.1857578754425,513
30,2022-07-04 03:30:00 to 2022-07-18 03:30:00,2022-07-19 03:30:00 to 2022-07-21 03:30:00,105,0.02,3,-4.944028893406885,7.867206809658478,66.66666666666666,209.32312202453613,514
31,2022-07-07 03:30:00 to 2022-07-21 03:30:00,2022-07-22 03:30:00 to 2022-07-24 03:30:00,135,0.048,1,1.3109503030415,5.068137919143918,100.0,212.89351177215576,515
32,2022-07-10 03:30:00 to 2022-07-24 03:30:00,2022-07-25 03:30:00 to 2022-07-27 03:30:00,190,0.048,1,2.8904965687393815,5.665327206731556,100.0,212.6951038837433,517
33,2022-07-13 03:30:00 to 2022-07-27 03:30:00,2022-07-28 03:30:00 to 2022-07-30 03:30:00,250,0.042,0,0.0,0.0,0.0,210.3187551498413,519
34,2022-07-16 03:30:00 to 2022-07-30 03:30:00,2022-07-31 03:30:00 to 2022-08-02 03:30:00,250,0.042,2,-4.114221487814211,6.923699946776665,50.0,212.9401741027832,520
