Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-08-05 03:30:00 to 2023-08-19 03:30:00,2023-08-20 03:30:00 to 2023-08-22 03:30:00,25,0.02,4,3.814711280647534,1.074328366801151,100.0,220.44485569000244,713
2,2023-08-08 03:30:00 to 2023-08-22 03:30:00,2023-08-23 03:30:00 to 2023-08-25 03:30:00,30,0.02,2,-6.465303568995896,7.63325120148187,50.0,214.7990267276764,714
3,2023-08-11 03:30:00 to 2023-08-25 03:30:00,2023-08-26 03:30:00 to 2023-08-28 03:30:00,30,0.02,1,0.479848623853195,0.3919487582238227,100.0,213.22502613067627,715
4,2023-08-14 03:30:00 to 2023-08-28 03:30:00,2023-08-29 03:30:00 to 2023-08-31 03:30:00,25,0.026,1,0.1594889178617995,1.2087153209501649,100.0,216.5398271083832,717
5,2023-08-17 03:30:00 to 2023-08-31 03:30:00,2023-09-01 03:30:00 to 2023-09-03 03:30:00,25,0.026,4,1.7089730264931675,2.037767171624449,50.0,213.6664400100708,719
6,2023-08-20 03:30:00 to 2023-09-03 03:30:00,2023-09-04 03:30:00 to 2023-09-06 03:30:00,25,0.034,0,0.0,0.0,0.0,212.0388252735138,720
7,2023-08-23 03:30:00 to 2023-09-06 03:30:00,2023-09-07 03:30:00 to 2023-09-09 03:30:00,20,0.034,0,0.0,0.0,0.0,208.8289589881897,721
8,2023-08-26 03:30:00 to 2023-09-09 03:30:00,2023-09-10 03:30:00 to 2023-09-12 03:30:00,30,0.026,2,1.3796159225389966,1.2351960390251544,100.0,208.63101410865784,723
9,2023-08-29 03:30:00 to 2023-09-12 03:30:00,2023-09-13 03:30:00 to 2023-09-15 03:30:00,30,0.026,1,0.7090434782608646,0.2509192546584017,100.0,208.13683986663816,725
10,2023-09-01 03:30:00 to 2023-09-15 03:30:00,2023-09-16 03:30:00 to 2023-09-18 03:30:00,155,0.06,0,0.0,0.0,0.0,207.4944169521332,726
11,2023-09-04 03:30:00 to 2023-09-18 03:30:00,2023-09-19 03:30:00 to 2023-09-21 03:30:00,270,0.068,0,0.0,0.0,0.0,204.10819673538208,727
12,2023-09-07 03:30:00 to 2023-09-21 03:30:00,2023-09-22 03:30:00 to 2023-09-24 03:30:00,290,0.056,0,0.0,0.0,0.0,209.5416350364685,729
13,2023-09-10 03:30:00 to 2023-09-24 03:30:00,2023-09-25 03:30:00 to 2023-09-27 03:30:00,150,0.05,0,0.0,0.0,0.0,206.75801610946655,731
14,2023-09-13 03:30:00 to 2023-09-27 03:30:00,2023-09-28 03:30:00 to 2023-09-30 03:30:00,250,0.032,0,0.0,0.0,0.0,202.3301057815552,732
15,2023-09-16 03:30:00 to 2023-09-30 03:30:00,2023-10-01 03:30:00 to 2023-10-03 03:30:00,180,0.022,1,0.5988831750553982,1.6390155433243672,0.0,205.81285309791565,733
16,2023-09-19 03:30:00 to 2023-10-03 03:30:00,2023-10-04 03:30:00 to 2023-10-06 03:30:00,50,0.044,0,0.0,0.0,0.0,207.3450481891632,735
