Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-27 04:45:00,10000.0,10183.337003071676,1.8333700307167522,-0.8509994461904147,11.84515855888302,2,50.0
top5,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10183.337003071676,10232.530002478281,0.4830734698435979,-2.0119817920781324,12.630646955788949,2,0.0
top5,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,10232.530002478281,10885.453955938285,6.380865272829572,0.0,8.683400310670596,4,50.0
top5,2020,5,May,2020-05,2020-05-01 05:00:00,2020-05-28 08:00:00,11083.037616137352,11237.932933851711,1.3975890281995085,0.0,4.609668837919765,3,0.0
top5,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,11237.932933851711,12012.238763274929,6.890109008310574,-1.1102230246251565e-14,12.190679394329834,3,33.33333333333333
top5,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,12012.238763274929,12518.576995504638,4.21518621306245,-0.478397025830557,12.257498271833875,2,0.0
top5,2020,8,August,2020-08,2020-08-01 08:00:00,2020-08-31 22:30:00,12261.185103136919,15880.702644317042,29.52012803602566,-2.632277916567116,37.15463267424602,6,50.0
top5,2020,9,September,2020-09,2020-09-01 02:00:00,2020-09-30 08:00:00,16122.85399624452,17332.15164229452,7.500518495867303,-0.5879051559908421,13.307240613250638,5,40.0
top5,2020,10,October,2020-10,2020-10-01 19:15:00,2020-10-31 08:45:00,17474.83982478683,17264.283336645476,-1.2049122638749243,-9.586923606810661,54.71340133628338,7,42.857142857142854
top5,2020,11,November,2020-11,2020-11-04 07:00:00,2020-11-30 20:45:00,17264.283336645476,19301.152121476043,11.798165872933009,-11.899787680571361,43.731767218134564,8,75.0
top5,2020,12,December,2020-12,2020-12-01 13:45:00,2020-12-30 07:00:00,19353.781149652637,19728.552327623314,1.9364235601961655,-1.8327180170971458,9.137159318346951,6,33.33333333333333
top5,2021,1,January,2021-01,2021-01-02 01:45:00,2021-01-31 09:00:00,19863.211656692314,28677.31204232849,44.37399418571128,-9.92890702047361,64.15726726544642,9,55.55555555555556
top5,2021,2,February,2021-02,2021-02-01 09:00:00,2021-02-28 08:00:00,29870.45564149159,43390.530604402506,45.26236601537086,-14.388313980288391,65.65044686579223,13,76.92307692307693
top5,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-31 13:00:00,43390.530604402506,45648.7444922184,5.204393346567593,-9.727554045979602,35.40484964561947,9,55.55555555555556
