normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
70,BTCUSDT,48,2020-02-11 17:45:00 to 2020-02-13 17:45:00,0.0,0,0,0.0,0.0,0.0,69,10,1,1,8,4.5
86,ONTUSDT,7,2020-03-15 08:00:00 to 2020-03-17 08:00:00,0.8087791522219279,1,1,100.0,0.0,999.0,85,10,18,10,7,10.1
92,LTCUSDT,22,2020-03-27 08:00:00 to 2020-03-29 08:00:00,0.7625061865068172,1,1,100.0,-1.6216945024801532,0.47019101645881606,91,10,1,1,1,1.0
100,IOSTUSDT,13,2020-04-12 08:00:00 to 2020-04-14 08:00:00,0.15122802724771844,1,1,100.0,-1.1741310089312895,0.1287999602236622,99,10,10,1,17,10.8
102,XLMUSDT,25,2020-04-16 08:00:00 to 2020-04-18 08:00:00,0.0,0,0,0.0,0.0,0.0,101,10,13,7,4,6.7
106,IOSTUSDT,17,2020-04-24 08:00:00 to 2020-04-26 08:00:00,0.0,0,0,0.0,0.0,0.0,105,10,1,1,7,4.0
108,BNBUSDT,22,2020-04-28 08:00:00 to 2020-04-30 08:00:00,0.0,0,0,0.0,0.0,0.0,107,10,1,1,8,4.5
110,VETUSDT,22,2020-05-02 08:00:00 to 2020-05-04 08:00:00,0.0,0,0,0.0,0.0,0.0,109,10,19,8,5,8.7
116,BCHUSDT,45,2020-05-14 08:45:00 to 2020-05-16 08:45:00,-1.2825512242483739,0,1,0.0,-1.2825512242483739,1.0,115,10,5,5,10,7.5
122,QTUMUSDT,28,2020-05-26 08:00:00 to 2020-05-28 08:00:00,0.0,0,0,0.0,0.0,0.0,121,10,22,5,2,6.9
134,LTCUSDT,50,2020-06-19 08:00:00 to 2020-06-21 08:00:00,-0.4543995795461053,0,1,0.0,-0.4543995795461053,1.0,133,10,1,1,1,1.0
141,ONTUSDT,44,2020-07-04 08:00:00 to 2020-07-06 08:00:00,0.0,0,0,0.0,0.0,0.0,140,10,10,1,1,2.8
146,NEOUSDT,45,2020-07-13 08:45:00 to 2020-07-15 08:45:00,-1.0626783256117989,0,1,0.0,-1.0626783256117989,1.0,145,10,23,6,3,7.9
147,XRPUSDT,60,2020-07-16 08:15:00 to 2020-07-18 08:15:00,-2.122664258148199,0,1,0.0,-2.122664258148199,1.0,146,10,3,3,8,5.5
151,ATOMUSDT,52,2020-07-24 12:00:00 to 2020-07-26 12:00:00,-0.7685342922489902,0,1,0.0,-0.7685342922489902,1.0,150,10,10,2,2,3.6
152,LTCUSDT,62,2020-07-25 08:00:00 to 2020-07-27 08:00:00,0.0,0,0,0.0,0.0,0.0,151,10,2,2,10,6.0
153,LTCUSDT,63,2020-07-28 08:00:00 to 2020-07-30 08:00:00,-1.2923989076338627,0,1,0.0,-1.2923989076338627,1.0,152,10,5,5,6,5.5
157,LINKUSDT,63,2020-08-05 08:00:00 to 2020-08-07 08:00:00,-0.48686919632924264,0,1,0.0,-0.48686919632924264,1.0,156,10,3,3,10,6.5
158,ALGOUSDT,13,2020-08-06 09:00:00 to 2020-08-08 09:00:00,-1.3428410616788566,0,1,0.0,-1.3428410616788566,1.0,157,10,28,6,1,7.9
159,NEOUSDT,54,2020-08-09 08:45:00 to 2020-08-11 08:45:00,0.0,0,0,0.0,0.0,0.0,158,10,2,2,8,5.0
160,BTCUSDT,108,2020-08-09 17:45:00 to 2020-08-11 17:45:00,-1.044493566772875,0,1,0.0,-1.044493566772875,1.0,159,10,25,11,2,9.3
162,ATOMUSDT,59,2020-08-14 12:00:00 to 2020-08-16 12:00:00,0.7261706175893057,1,1,100.0,-1.0386207092122568,0.6991682441418587,161,10,4,2,20,11.4
163,BNBUSDT,59,2020-08-17 08:00:00 to 2020-08-19 08:00:00,0.0,0,0,0.0,0.0,0.0,162,10,4,5,8,6.3
164,KNCUSDT,15,2020-08-18 08:45:00 to 2020-08-20 08:45:00,2.3029574714231504,2,2,100.0,-1.3697724350730467,1.6812701237489418,163,10,6,1,17,10.0
165,TRXUSDT,69,2020-08-21 08:00:00 to 2020-08-23 08:00:00,6.618167501892591,1,1,100.0,0.0,999.0,164,10,13,2,10,8.2
166,BTCUSDT,112,2020-08-21 17:45:00 to 2020-08-23 17:45:00,-0.5679692989592589,0,1,0.0,-0.5679692989592589,1.0,165,10,19,1,1,4.6000000000000005
168,ZRXUSDT,17,2020-08-26 09:00:00 to 2020-08-28 09:00:00,0.6094005565315808,1,1,100.0,-1.9714497487143934,0.3091129038054246,167,10,6,1,19,11.0
169,DASHUSDT,65,2020-08-29 08:00:00 to 2020-08-31 08:00:00,0.0,0,0,0.0,0.0,0.0,168,10,6,7,10,8.3
171,XRPUSDT,76,2020-09-02 08:15:00 to 2020-09-04 08:15:00,2.84954573246321,1,1,100.0,0.0,999.0,170,10,4,4,5,4.5
173,BTCUSDT,117,2020-09-05 17:45:00 to 2020-09-07 17:45:00,-1.7646015952986538,0,1,0.0,-1.7646015952986538,1.0,172,10,7,7,7,7.0
175,COMPUSDT,20,2020-09-10 09:00:00 to 2020-09-12 09:00:00,-3.6598997169778436,0,1,0.0,-3.6598997169778436,1.0,174,10,7,7,9,8.0
176,XRPUSDT,79,2020-09-11 08:15:00 to 2020-09-13 08:15:00,0.0,0,0,0.0,0.0,0.0,175,10,32,9,4,11.1
177,ZECUSDT,70,2020-09-14 08:00:00 to 2020-09-16 08:00:00,-0.5386507735058998,0,1,0.0,-0.5386507735058998,1.0,176,10,3,3,4,3.5
179,ADAUSDT,73,2020-09-18 08:00:00 to 2020-09-20 08:00:00,-1.3403479806795127,0,1,0.0,-1.3403479806795127,1.0,178,10,4,4,6,5.0
181,ETHUSDT,96,2020-09-22 07:45:00 to 2020-09-24 07:45:00,0.9909771152899705,1,1,100.0,-1.6299178134029368,0.6079920761286802,180,10,1,1,9,5.0
182,RLCUSDT,14,2020-09-23 07:00:00 to 2020-09-25 07:00:00,-2.3862109541131438,0,1,0.0,-2.3862109541131438,1.0,181,10,11,2,1,3.3000000000000003
183,NEOUSDT,70,2020-09-26 08:45:00 to 2020-09-28 08:45:00,-1.5641523875165153,0,1,0.0,-1.5641523875165153,1.0,182,10,4,4,10,7.0
185,XMRUSDT,76,2020-09-30 08:00:00 to 2020-10-02 08:00:00,0.0,0,0,0.0,0.0,0.0,184,10,4,4,9,6.5
186,ZILUSDT,31,2020-10-01 09:00:00 to 2020-10-03 09:00:00,-1.0885832927233885,0,1,0.0,-3.91500799318919,0.27805391320200645,185,10,37,8,4,11.8
187,SNXUSDT,13,2020-10-04 07:00:00 to 2020-10-06 07:00:00,0.0,0,0,0.0,0.0,0.0,186,10,14,9,7,9.0
189,ONTUSDT,76,2020-10-08 08:00:00 to 2020-10-10 08:00:00,0.0,0,0,0.0,0.0,0.0,188,10,5,5,8,6.5
191,BTCUSDT,129,2020-10-11 17:45:00 to 2020-10-13 17:45:00,0.0,0,0,0.0,0.0,0.0,190,10,2,2,4,3.0
193,RUNEUSDT,10,2020-10-16 07:00:00 to 2020-10-18 07:00:00,2.4275697047558387,1,1,100.0,-3.974549760167767,0.6107785412789423,192,10,2,2,5,3.5
194,NEOUSDT,77,2020-10-17 08:45:00 to 2020-10-19 08:45:00,0.0,0,0,0.0,0.0,0.0,193,10,37,12,6,14.0
195,ALGOUSDT,38,2020-10-20 09:00:00 to 2020-10-22 09:00:00,2.3717272338731554,1,1,100.0,0.0,999.0,194,10,1,1,3,2.0
197,DOTUSDT,17,2020-10-24 07:00:00 to 2020-10-26 07:00:00,-0.9263253751679801,0,1,0.0,-0.9263253751679801,1.0,196,10,4,4,8,6.0
198,SNXUSDT,20,2020-10-25 07:00:00 to 2020-10-27 07:00:00,0.0,0,0,0.0,0.0,0.0,197,10,4,1,22,12.1
199,DASHUSDT,85,2020-10-28 08:00:00 to 2020-10-30 08:00:00,0.0,0,0,0.0,0.0,0.0,198,10,16,7,5,7.800000000000001
200,AVAXUSDT,8,2020-10-29 07:00:00 to 2020-10-31 07:00:00,0.0,0,0,0.0,0.0,0.0,199,10,11,1,25,15.0
201,KSMUSDT,2,2020-11-01 07:00:00 to 2020-11-03 07:00:00,-1.2557965307368413,0,1,0.0,-1.2557965307368413,1.0,200,10,17,8,4,7.800000000000001
203,DOTUSDT,21,2020-11-05 07:00:00 to 2020-11-07 07:00:00,0.0,0,0,0.0,0.0,0.0,202,10,4,1,14,8.1
204,STORJUSDT,13,2020-11-06 07:00:00 to 2020-11-08 07:00:00,-2.29800611035319,0,1,0.0,-2.29800611035319,1.0,203,10,17,1,7,7.2
205,RUNEUSDT,18,2020-11-09 07:00:00 to 2020-11-11 07:00:00,0.0,0,0,0.0,0.0,0.0,204,10,20,6,4,7.8
207,NEOUSDT,86,2020-11-13 08:45:00 to 2020-11-15 08:45:00,-1.1413175887243776,0,1,0.0,-1.1413175887243776,1.0,206,10,4,4,7,5.5
209,ETCUSDT,98,2020-11-17 08:00:00 to 2020-11-19 08:00:00,-1.3758603076216347,0,1,0.0,-1.3758603076216347,1.0,208,10,4,4,9,6.5
210,FILUSDT,7,2020-11-18 06:00:00 to 2020-11-20 06:00:00,0.0,0,0,0.0,0.0,0.0,209,10,42,6,2,11.2
211,STORJUSDT,18,2020-11-21 07:00:00 to 2020-11-23 07:00:00,1.145385794197451,1,1,100.0,-3.0711017678555996,0.37295598803852664,210,10,16,14,5,9.9
212,KAVAUSDT,35,2020-11-22 07:00:00 to 2020-11-24 07:00:00,-1.9699817953400145,0,1,0.0,-1.9699817953400145,1.0,211,10,4,1,28,15.1
213,KAVAUSDT,36,2020-11-25 07:00:00 to 2020-11-27 07:00:00,0.0,0,0,0.0,0.0,0.0,212,10,16,11,4,8.5
214,DEFIUSDT,26,2020-11-26 07:00:00 to 2020-11-28 07:00:00,9.91223716227594,1,1,100.0,0.0,999.0,213,10,10,3,31,18.4
215,MKRUSDT,32,2020-11-29 07:00:00 to 2020-12-01 07:00:00,0.0,0,0,0.0,0.0,0.0,214,10,11,2,1,3.3000000000000003
216,ATOMUSDT,95,2020-11-30 12:00:00 to 2020-12-02 12:00:00,-2.7251345666780113,0,1,0.0,-2.7251345666780113,1.0,215,10,40,20,5,16.5
217,BNBUSDT,95,2020-12-03 08:00:00 to 2020-12-05 08:00:00,0.0,0,0,0.0,0.0,0.0,216,10,17,11,3,8.2
219,ZECUSDT,98,2020-12-07 08:00:00 to 2020-12-09 08:00:00,0.0,0,0,0.0,0.0,0.0,218,10,15,11,7,9.8
221,BANDUSDT,41,2020-12-11 07:00:00 to 2020-12-13 07:00:00,-1.1784749396481997,0,1,0.0,-1.1784749396481997,1.0,220,10,17,7,3,7.0
223,SUSHIUSDT,30,2020-12-15 07:00:00 to 2020-12-17 07:00:00,-1.8906653068561319,0,1,0.0,-1.8906653068561319,1.0,222,10,3,3,8,5.5
224,BCHUSDT,117,2020-12-16 08:45:00 to 2020-12-18 08:45:00,0.35635055318921083,1,1,100.0,0.0,999.0,223,10,6,6,18,12.0
225,DOGEUSDT,50,2020-12-19 09:00:00 to 2020-12-21 09:00:00,7.79945303139904,2,2,100.0,-7.333711145407939,1.063506985311622,224,10,18,7,3,7.2
226,XMRUSDT,103,2020-12-20 08:00:00 to 2020-12-22 08:00:00,-1.0798012783738709,0,1,0.0,-1.0798012783738709,1.0,225,10,43,19,5,16.8
227,UNIUSDT,28,2020-12-23 07:00:00 to 2020-12-25 07:00:00,6.299582444390972,1,1,100.0,0.0,999.0,226,10,3,1,12,6.9
228,SUSHIUSDT,33,2020-12-24 07:00:00 to 2020-12-26 07:00:00,1.4271023324176735,1,1,100.0,-7.765108123146058,0.18378396150902254,227,10,13,1,1,3.4
229,ATOMUSDT,104,2020-12-27 12:00:00 to 2020-12-29 12:00:00,0.7486174579713234,1,1,100.0,-1.8899694871948869,0.3961002878847687,228,10,18,6,2,6.4
231,DOGEUSDT,54,2020-12-31 09:00:00 to 2021-01-02 09:00:00,0.0,0,0,0.0,0.0,0.0,230,10,8,1,12,7.9
233,IOTAUSDT,105,2021-01-04 08:00:00 to 2021-01-06 08:00:00,-2.488118770688963,0,1,0.0,-2.488118770688963,1.0,232,10,19,7,3,7.4
235,SXPUSDT,53,2021-01-08 09:00:00 to 2021-01-10 09:00:00,-8.505814627220133,0,1,0.0,-8.505814627220133,1.0,234,10,4,1,12,7.1
237,DOGEUSDT,58,2021-01-12 09:00:00 to 2021-01-14 09:00:00,1.5962971494152045,1,1,100.0,-4.9138614677880055,0.3248559528752413,236,10,19,11,2,8.1
239,SKLUSDT,9,2021-01-16 07:30:00 to 2021-01-18 07:30:00,1.4702552915001998,1,1,100.0,-7.0473802323388846,0.20862437431054454,238,10,2,1,10,5.7
241,SNXUSDT,49,2021-01-20 07:00:00 to 2021-01-22 07:00:00,-9.008906072132394,0,1,0.0,-9.008906072132394,1.0,240,10,1,1,14,7.5
243,KNCUSDT,68,2021-01-24 08:45:00 to 2021-01-26 08:45:00,0.15457040390483012,1,1,100.0,-1.2001031893231984,0.12879759447352235,242,10,2,1,17,9.2
