Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top1,2019-10-01 17:45:00,2025-03-05 12:15:00,37298.74103170096,198.10864107481802,-24.00414789710804,1553.8456599908977,2.7022032014578867,1.9483961713350353,8.25310033599175,40.1018930409454,57.446808510638306,5.110530917744452,2.563335521183468,-0.6771317910595841,3.7855784575884837,329,663
top4,2020-02-06 08:00:00,2025-03-06 06:45:00,19876.867688141265,183.93490606145758,-24.535070378356526,810.1410504074009,2.772191406902256,2.036919714755217,7.496815913913771,38.75688118228203,50.349650349650354,6.546879968510589,2.519544312180871,-0.3902669460992606,6.455951080059057,286,629
top6,2020-02-07 08:00:00,2025-03-05 16:00:00,18308.150002916715,179.55191339944645,-17.812385409129618,1027.8325772994444,3.432513489048221,2.8009663761978913,10.08017226639495,31.36413407844062,48.04270462633452,6.582291932756235,2.3342097982287426,-0.32790169419614495,7.118626830980812,281,628
top3,2020-01-05 17:45:00,2025-03-04 14:00:00,15982.826330601494,167.7603137995518,-35.60910204419092,448.8410381920554,2.965550128539893,2.1857179634658093,4.711163836464091,34.00799811426128,52.901023890784984,6.056085640814168,2.6048910155359315,-0.48311459918880195,5.391869796337775,293,639
top5,2020-02-03 08:00:00,2025-03-04 21:30:00,12415.243101415239,158.68059269075027,-14.781463026456043,839.9197751395978,3.004097934516434,2.416870668801072,10.735107371086462,33.34100205577107,50.75187969924813,7.351894513518737,2.64547454970818,-0.3708231114498682,7.134060602007066,266,620
top10,2020-02-10 17:45:00,2025-03-06 02:00:00,12129.20206472428,158.29743202912186,-18.99488856945154,638.5508406841104,3.185518631448011,2.2614072581086018,8.333685741315858,34.415755352883046,46.835443037974684,5.43649186841084,2.5020492854131047,-0.4054427613609566,6.171152931709604,237,590
top9,2020-02-07 08:15:00,2025-03-04 20:30:00,5754.130301026721,123.14006602439326,-29.67504742004379,193.90467080231645,3.060654876160166,1.9692930251809746,4.149616486921575,31.241400946275526,43.88185654008439,3.6991277762966583,2.5785060653334186,-0.5450677947457688,4.730615329302456,237,582
top8,2020-02-07 08:00:00,2025-03-05 07:45:00,4468.6814694887435,112.49204042257203,-21.790814070121677,205.07180021401518,2.6388833690064124,1.9241379886795875,5.162360619505937,34.23546054123177,45.72649572649573,9.123649410645477,2.183952744945634,-0.20167622581656017,10.82900444067267,234,598
top7,2020-01-29 17:45:00,2025-03-04 14:15:00,3136.7551776198247,97.94372233159892,-38.576240590708686,81.31313807637675,2.1518458284047903,1.3864166084060947,2.538964938827897,35.74874294598756,45.18518518518518,3.451811310051348,2.2484532927140166,-0.5369513495405153,4.187443228586878,270,627
top2,2019-12-17 07:45:00,2025-03-06 06:00:00,2922.125283299955,92.23111677559113,-28.91105938276326,101.07292315417963,1.980409010786265,1.4130643084053602,3.1901673181363677,36.25810332744218,48.74551971326165,5.328642707385842,2.284434713492897,-0.4077228212347309,5.602911082030702,279,644
