Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-08-31 03:30:00 to 2021-09-14 03:30:00,2021-09-15 03:30:00 to 2021-09-17 03:30:00,235,0.062,0,0.0,0.0,0.0,221.6046781539917,361
2,2021-09-03 03:30:00 to 2021-09-17 03:30:00,2021-09-18 03:30:00 to 2021-09-20 03:30:00,160,0.054,2,-0.5606593159109434,3.106675652636706,50.0,217.3222358226776,362
3,2021-09-06 03:30:00 to 2021-09-20 03:30:00,2021-09-21 03:30:00 to 2021-09-23 03:30:00,210,0.08,1,2.79988294820967,15.692938545139434,100.0,221.39951586723328,363
4,2021-09-09 03:30:00 to 2021-09-23 03:30:00,2021-09-24 03:30:00 to 2021-09-26 03:30:00,15,0.022,4,-2.1626588858629656,6.758292891964841,50.0,216.4135789871216,365
5,2021-09-12 03:30:00 to 2021-09-26 03:30:00,2021-09-27 03:30:00 to 2021-09-29 03:30:00,115,0.066,1,1.4201685363944851,1.3190397341150566,0.0,216.40297675132751,367
6,2021-09-15 03:30:00 to 2021-09-29 03:30:00,2021-09-30 03:30:00 to 2021-10-02 03:30:00,130,0.068,0,0.0,0.0,0.0,219.00837922096252,368
7,2021-09-18 03:30:00 to 2021-10-02 03:30:00,2021-10-03 03:30:00 to 2021-10-05 03:30:00,110,0.066,0,0.0,0.0,0.0,215.83864188194275,369
8,2021-09-21 03:30:00 to 2021-10-05 03:30:00,2021-10-06 03:30:00 to 2021-10-08 03:30:00,100,0.032,2,5.830961252336074,1.1134519428231762,100.0,211.60036396980288,371
9,2021-09-24 03:30:00 to 2021-10-08 03:30:00,2021-10-09 03:30:00 to 2021-10-11 03:30:00,180,0.034,2,2.802773753834117,1.8489837690968087,50.0,214.4734401702881,373
10,2021-09-27 03:30:00 to 2021-10-11 03:30:00,2021-10-12 03:30:00 to 2021-10-14 03:30:00,175,0.02,1,1.5083903317052865,5.397326949995371,100.0,209.0940020084381,374
11,2021-09-30 03:30:00 to 2021-10-14 03:30:00,2021-10-15 03:30:00 to 2021-10-17 03:30:00,40,0.028,2,3.1638391414778018,0.9332821867042186,100.0,212.60250520706177,375
12,2021-10-03 03:30:00 to 2021-10-17 03:30:00,2021-10-18 03:30:00 to 2021-10-20 03:30:00,40,0.024,1,-0.2153608658501798,1.251625523815221,0.0,213.29970169067383,377
13,2021-10-06 03:30:00 to 2021-10-20 03:30:00,2021-10-21 03:30:00 to 2021-10-23 03:30:00,25,0.028,1,0.0036516406376904,1.874657904727406,100.0,212.1413128376007,379
14,2021-10-09 03:30:00 to 2021-10-23 03:30:00,2021-10-24 03:30:00 to 2021-10-26 03:30:00,285,0.022,1,0.2819702879120268,4.387011923236314,100.0,214.84482884407043,380
15,2021-10-12 03:30:00 to 2021-10-26 03:30:00,2021-10-27 03:30:00 to 2021-10-29 03:30:00,15,0.02,3,-4.250233147811141,7.668110818449249,66.66666666666666,211.88040280342105,381
16,2021-10-15 03:30:00 to 2021-10-29 03:30:00,2021-10-30 03:30:00 to 2021-11-01 03:30:00,255,0.032,0,0.0,0.0,0.0,210.5329887866974,383
17,2021-10-18 03:30:00 to 2021-11-01 03:30:00,2021-11-02 03:30:00 to 2021-11-04 03:30:00,20,0.024,2,0.8748966656265839,1.6457397019236333,50.0,209.1500029563904,385
18,2021-10-21 03:30:00 to 2021-11-04 03:30:00,2021-11-05 03:30:00 to 2021-11-07 03:30:00,135,0.024,1,-3.1757736392337574,9.387510399281323,0.0,211.33183407783508,386
19,2021-10-24 03:30:00 to 2021-11-07 03:30:00,2021-11-08 03:30:00 to 2021-11-10 03:30:00,20,0.024,1,-0.0863917926201247,0.1015906442624327,0.0,215.33827376365664,387
20,2021-10-27 03:30:00 to 2021-11-10 03:30:00,2021-11-11 03:30:00 to 2021-11-13 03:30:00,85,0.03,2,1.102358199982409,8.206102168758036,50.0,210.8523142337799,389
21,2021-10-30 03:30:00 to 2021-11-13 03:30:00,2021-11-14 03:30:00 to 2021-11-16 03:30:00,95,0.056,1,-2.0650139771283285,2.5637513821565285,0.0,210.9811041355133,391
22,2021-11-02 03:30:00 to 2021-11-16 03:30:00,2021-11-17 03:30:00 to 2021-11-19 03:30:00,65,0.058,1,-2.504111111111124,2.504111111111124,0.0,212.1852869987488,392
23,2021-11-05 03:30:00 to 2021-11-19 03:30:00,2021-11-20 03:30:00 to 2021-11-22 03:30:00,65,0.056,1,-0.6637952959936229,0.8297311142116814,0.0,214.421049118042,393
24,2021-11-08 03:30:00 to 2021-11-22 03:30:00,2021-11-23 03:30:00 to 2021-11-25 03:30:00,65,0.056,0,0.0,0.0,0.0,220.97695326805115,395
25,2021-11-11 03:30:00 to 2021-11-25 03:30:00,2021-11-26 03:30:00 to 2021-11-28 03:30:00,25,0.034,5,2.6641398431170273,5.486443092541618,40.0,219.0043020248413,397
