Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-28 12:00:00 to 2023-03-14 12:00:00,2023-03-15 12:00:00 to 2023-03-17 12:00:00,25,0.03,1,-6.327232380738751,11.01844317956498,0.0,207.8734600543976,633
2,2023-03-03 12:00:00 to 2023-03-17 12:00:00,2023-03-18 12:00:00 to 2023-03-20 12:00:00,200,0.074,0,0.0,0.0,0.0,205.13025093078613,635
3,2023-03-06 12:00:00 to 2023-03-20 12:00:00,2023-03-21 12:00:00 to 2023-03-23 12:00:00,225,0.08,0,0.0,0.0,0.0,205.93301916122437,637
4,2023-03-09 12:00:00 to 2023-03-23 12:00:00,2023-03-24 12:00:00 to 2023-03-26 12:00:00,90,0.024,2,-9.706648248542352,12.364482480626108,0.0,201.6270048618317,638
5,2023-03-12 12:00:00 to 2023-03-26 12:00:00,2023-03-27 12:00:00 to 2023-03-29 12:00:00,40,0.02,3,1.2455866328144112,2.5467145655500367,100.0,203.38275718688965,639
6,2023-03-15 12:00:00 to 2023-03-29 12:00:00,2023-03-30 12:00:00 to 2023-04-01 12:00:00,40,0.02,3,-2.3088867624060185,5.608710362920674,66.66666666666666,203.07571482658383,641
7,2023-03-18 12:00:00 to 2023-04-01 12:00:00,2023-04-02 12:00:00 to 2023-04-04 12:00:00,40,0.02,2,0.0720763554387849,1.517522356711028,50.0,202.22548007965088,643
8,2023-03-21 12:00:00 to 2023-04-04 12:00:00,2023-04-05 12:00:00 to 2023-04-07 12:00:00,145,0.07,0,0.0,0.0,0.0,203.62533712387085,644
9,2023-03-24 12:00:00 to 2023-04-07 12:00:00,2023-04-08 12:00:00 to 2023-04-10 12:00:00,300,0.066,1,0.4876223742061484,1.698899050811484,0.0,202.7671809196472,645
10,2023-03-27 12:00:00 to 2023-04-10 12:00:00,2023-04-11 12:00:00 to 2023-04-13 12:00:00,300,0.04,0,0.0,0.0,0.0,200.1156702041626,647
11,2023-03-30 12:00:00 to 2023-04-13 12:00:00,2023-04-14 12:00:00 to 2023-04-16 12:00:00,300,0.02,0,0.0,0.0,0.0,201.5924642086029,649
12,2023-04-02 12:00:00 to 2023-04-16 12:00:00,2023-04-17 12:00:00 to 2023-04-19 12:00:00,60,0.022,2,-2.8173014011265147,4.591097237863126,0.0,197.5711750984192,650
13,2023-04-05 12:00:00 to 2023-04-19 12:00:00,2023-04-20 12:00:00 to 2023-04-22 12:00:00,15,0.02,4,-2.8520498670714916,4.886879078900737,25.0,199.17327499389648,651
14,2023-04-08 12:00:00 to 2023-04-22 12:00:00,2023-04-23 12:00:00 to 2023-04-25 12:00:00,15,0.022,2,0.7451602877024379,0.0302156925868706,100.0,200.8706901073456,653
15,2023-04-11 12:00:00 to 2023-04-25 12:00:00,2023-04-26 12:00:00 to 2023-04-28 12:00:00,55,0.036,1,5.746859829727437,1.4873294398725738,100.0,197.85614895820615,655
16,2023-04-14 12:00:00 to 2023-04-28 12:00:00,2023-04-29 12:00:00 to 2023-05-01 12:00:00,55,0.036,1,0.2530781491002745,0.2998193688242744,100.0,202.7900950908661,656
17,2023-04-17 12:00:00 to 2023-05-01 12:00:00,2023-05-02 12:00:00 to 2023-05-04 12:00:00,75,0.034,1,0.148413367412686,3.2728590184354833,100.0,204.58885407447815,657
18,2023-04-20 12:00:00 to 2023-05-04 12:00:00,2023-05-05 12:00:00 to 2023-05-07 12:00:00,160,0.024,2,1.1710671485434068,2.830548466744317,50.0,205.5251851081848,659
19,2023-04-23 12:00:00 to 2023-05-07 12:00:00,2023-05-08 12:00:00 to 2023-05-10 12:00:00,155,0.022,2,-4.170983153186607,10.66008880172656,50.0,202.70977878570557,661
