Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-12-19 07:00:00 to 2021-01-02 07:00:00,2021-01-03 07:00:00 to 2021-01-05 07:00:00,25,0.048,3,8.425499069110518,3.5107365757659124,66.66666666666666,235.31968188285828,233
2,2020-12-22 07:00:00 to 2021-01-05 07:00:00,2021-01-06 07:00:00 to 2021-01-08 07:00:00,30,0.038,4,5.566513386302631,8.38294693884822,75.0,232.57838606834412,235
3,2020-12-25 07:00:00 to 2021-01-08 07:00:00,2021-01-09 07:00:00 to 2021-01-11 07:00:00,35,0.042,3,4.658498032899643,6.629139472220799,33.33333333333333,229.119402885437,236
4,2020-12-28 07:00:00 to 2021-01-11 07:00:00,2021-01-12 07:00:00 to 2021-01-14 07:00:00,35,0.046,2,2.7799979696781154,1.529264280274183,100.0,225.23575115203855,237
5,2020-12-31 07:00:00 to 2021-01-14 07:00:00,2021-01-15 07:00:00 to 2021-01-17 07:00:00,190,0.078,0,0.0,0.0,0.0,221.32117819786072,239
6,2021-01-03 07:00:00 to 2021-01-17 07:00:00,2021-01-18 07:00:00 to 2021-01-20 07:00:00,35,0.044,2,-0.113920629569202,6.597026246866201,50.0,221.07327818870544,241
7,2021-01-06 07:00:00 to 2021-01-20 07:00:00,2021-01-21 07:00:00 to 2021-01-23 07:00:00,30,0.048,3,5.4652256682086415,7.832767625338336,100.0,220.9409852027893,242
8,2021-01-09 07:00:00 to 2021-01-23 07:00:00,2021-01-24 07:00:00 to 2021-01-26 07:00:00,30,0.062,0,0.0,0.0,0.0,216.4742047786713,243
9,2021-01-12 07:00:00 to 2021-01-26 07:00:00,2021-01-27 07:00:00 to 2021-01-29 07:00:00,40,0.02,6,11.878132783503023,4.7036258801544015,83.33333333333334,217.326632976532,245
10,2021-01-15 07:00:00 to 2021-01-29 07:00:00,2021-01-30 07:00:00 to 2021-02-01 07:00:00,40,0.02,6,12.80155909061712,3.795091853400717,100.0,220.2075572013855,247
11,2021-01-18 07:00:00 to 2021-02-01 07:00:00,2021-02-02 07:00:00 to 2021-02-04 07:00:00,40,0.02,5,9.032010691797511,3.329605480912364,100.0,224.0906457901001,248
12,2021-01-21 07:00:00 to 2021-02-04 07:00:00,2021-02-05 07:00:00 to 2021-02-07 07:00:00,40,0.02,5,0.212855987798357,7.648969794816184,60.0,218.7482419013977,249
13,2021-01-24 07:00:00 to 2021-02-07 07:00:00,2021-02-08 07:00:00 to 2021-02-10 07:00:00,40,0.02,3,8.281326740635942,1.2266574233342156,100.0,222.3190541267395,251
14,2021-01-27 07:00:00 to 2021-02-10 07:00:00,2021-02-11 07:00:00 to 2021-02-13 07:00:00,30,0.02,4,0.6523508088509334,14.416603034524869,50.0,218.92622423171997,253
15,2021-01-30 07:00:00 to 2021-02-13 07:00:00,2021-02-14 07:00:00 to 2021-02-16 07:00:00,25,0.024,4,-7.998720606195112,11.597806556061816,25.0,216.043847322464,254
16,2021-02-02 07:00:00 to 2021-02-16 07:00:00,2021-02-17 07:00:00 to 2021-02-19 07:00:00,55,0.028,3,3.7668724856891274,4.581853980792697,66.66666666666666,219.51786613464355,255
17,2021-02-05 07:00:00 to 2021-02-19 07:00:00,2021-02-20 07:00:00 to 2021-02-22 07:00:00,25,0.022,5,5.449063641143912,6.477528066065438,60.0,217.72500014305115,257
18,2021-02-08 07:00:00 to 2021-02-22 07:00:00,2021-02-23 07:00:00 to 2021-02-25 07:00:00,10,0.03,10,12.544268644028126,9.639905409898413,80.0,221.26834893226624,259
19,2021-02-11 07:00:00 to 2021-02-25 07:00:00,2021-02-26 07:00:00 to 2021-02-28 07:00:00,10,0.03,4,3.847211611611328,4.759018047992435,100.0,226.3217990398407,260
20,2021-02-14 07:00:00 to 2021-02-28 07:00:00,2021-03-01 07:00:00 to 2021-03-03 07:00:00,15,0.038,1,0.1010728057851883,1.9718786901059504,100.0,223.50338578224185,261
21,2021-02-17 07:00:00 to 2021-03-03 07:00:00,2021-03-04 07:00:00 to 2021-03-06 07:00:00,10,0.028,4,3.9733746948439146,1.3962021955788986,100.0,228.56188106536865,263
22,2021-02-20 07:00:00 to 2021-03-06 07:00:00,2021-03-07 07:00:00 to 2021-03-09 07:00:00,295,0.04,0,0.0,0.0,0.0,227.53292202949524,265
23,2021-02-23 07:00:00 to 2021-03-09 07:00:00,2021-03-10 07:00:00 to 2021-03-12 07:00:00,30,0.03,3,2.675908253268535,4.042341088452443,66.66666666666666,220.01119112968445,266
24,2021-02-26 07:00:00 to 2021-03-12 07:00:00,2021-03-13 07:00:00 to 2021-03-15 07:00:00,40,0.032,2,2.1622015174840272,0.7556290343552735,100.0,211.9995641708374,267
25,2021-03-01 07:00:00 to 2021-03-15 07:00:00,2021-03-16 07:00:00 to 2021-03-18 07:00:00,40,0.022,3,3.228344191337219,2.2489242420133997,100.0,214.422789812088,269
26,2021-03-04 07:00:00 to 2021-03-18 07:00:00,2021-03-19 07:00:00 to 2021-03-21 07:00:00,105,0.022,2,0.8157172979773895,3.888702211260577,50.0,211.0351722240448,271
27,2021-03-07 07:00:00 to 2021-03-21 07:00:00,2021-03-22 07:00:00 to 2021-03-24 07:00:00,40,0.024,3,3.813201878314066,3.798506721147649,100.0,210.90010905265808,272
28,2021-03-10 07:00:00 to 2021-03-24 07:00:00,2021-03-25 07:00:00 to 2021-03-27 07:00:00,245,0.076,1,0.8885092681675268,2.560492830550306,100.0,215.98767709732056,273
29,2021-03-13 07:00:00 to 2021-03-27 07:00:00,2021-03-28 07:00:00 to 2021-03-30 07:00:00,90,0.024,0,0.0,0.0,0.0,211.03826999664307,275
30,2021-03-16 07:00:00 to 2021-03-30 07:00:00,2021-03-31 07:00:00 to 2021-04-02 07:00:00,15,0.02,6,5.449882256735509,0.6633661337184094,100.0,206.72866296768188,277
31,2021-03-19 07:00:00 to 2021-04-02 07:00:00,2021-04-03 07:00:00 to 2021-04-05 07:00:00,15,0.02,4,2.362482852003141,2.7595595076231647,100.0,210.935240983963,278
32,2021-03-22 07:00:00 to 2021-04-05 07:00:00,2021-04-06 07:00:00 to 2021-04-08 07:00:00,15,0.02,4,3.0738954428556826,2.153796536578089,100.0,208.34021306037903,279
33,2021-03-25 07:00:00 to 2021-04-08 07:00:00,2021-04-09 07:00:00 to 2021-04-11 07:00:00,15,0.02,3,0.7393610432543756,2.0437613693103938,66.66666666666666,206.6848921775818,281
