Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-03-15 07:00:00 to 2021-03-29 07:00:00,2021-03-30 07:00:00 to 2021-04-01 07:00:00,15,0.02,2,1.5604721145689473,0.4552510767027247,100.0,213.17001509666443,276
2,2021-03-18 07:00:00 to 2021-04-01 07:00:00,2021-04-02 07:00:00 to 2021-04-04 07:00:00,20,0.024,2,2.5043526277048658,1.4485132028926913,100.0,211.2502593994141,277
3,2021-03-21 07:00:00 to 2021-04-04 07:00:00,2021-04-05 07:00:00 to 2021-04-07 07:00:00,20,0.024,2,0.4832051086151659,1.0269534075696574,50.0,209.08108496665955,279
4,2021-03-24 07:00:00 to 2021-04-07 07:00:00,2021-04-08 07:00:00 to 2021-04-10 07:00:00,20,0.024,2,4.149592969758196,1.6739852226217549,100.0,209.7082266807556,281
5,2021-03-27 07:00:00 to 2021-04-10 07:00:00,2021-04-11 07:00:00 to 2021-04-13 07:00:00,30,0.02,5,4.264826480210177,1.6981064296421238,80.0,204.31148386001587,282
6,2021-03-30 07:00:00 to 2021-04-13 07:00:00,2021-04-14 07:00:00 to 2021-04-16 07:00:00,165,0.024,1,3.882892988338117,3.1497499652883647,100.0,206.3953800201416,283
7,2021-04-02 07:00:00 to 2021-04-16 07:00:00,2021-04-17 07:00:00 to 2021-04-19 07:00:00,190,0.022,3,8.72845097714071,14.48804656451708,66.66666666666666,204.69257283210752,285
8,2021-04-05 07:00:00 to 2021-04-19 07:00:00,2021-04-20 07:00:00 to 2021-04-22 07:00:00,245,0.02,3,7.312884649157223,6.176979530512966,100.0,213.9244508743286,287
9,2021-04-08 07:00:00 to 2021-04-22 07:00:00,2021-04-23 07:00:00 to 2021-04-25 07:00:00,190,0.022,5,1.0905419491641442,18.435080831767905,60.0,217.28300309181213,288
10,2021-04-11 07:00:00 to 2021-04-25 07:00:00,2021-04-26 07:00:00 to 2021-04-28 07:00:00,300,0.064,0,0.0,0.0,0.0,220.56760621070865,289
11,2021-04-14 07:00:00 to 2021-04-28 07:00:00,2021-04-29 07:00:00 to 2021-05-01 07:00:00,300,0.064,0,0.0,0.0,0.0,218.2174141407013,291
12,2021-04-17 07:00:00 to 2021-05-01 07:00:00,2021-05-02 07:00:00 to 2021-05-04 07:00:00,115,0.038,1,1.2462286583813875,2.13669640518121,0.0,219.62348699569705,293
13,2021-04-20 07:00:00 to 2021-05-04 07:00:00,2021-05-05 07:00:00 to 2021-05-07 07:00:00,270,0.032,1,2.2393887063498186,1.379967317932631,100.0,215.82381319999695,294
14,2021-04-23 07:00:00 to 2021-05-07 07:00:00,2021-05-08 07:00:00 to 2021-05-10 07:00:00,60,0.03,3,3.48099609439274,2.607753532076548,100.0,205.16078090667725,295
15,2021-04-26 07:00:00 to 2021-05-10 07:00:00,2021-05-11 07:00:00 to 2021-05-13 07:00:00,40,0.024,4,3.696828940621217,5.170519740257833,75.0,202.319669008255,297
16,2021-04-29 07:00:00 to 2021-05-13 07:00:00,2021-05-14 07:00:00 to 2021-05-16 07:00:00,40,0.024,4,4.026014503706701,1.3556806292836128,100.0,206.94033098220825,299
17,2021-05-02 07:00:00 to 2021-05-16 07:00:00,2021-05-17 07:00:00 to 2021-05-19 07:00:00,40,0.038,4,-3.749127110430873,6.881364330879346,50.0,209.2185299396515,300
18,2021-05-05 07:00:00 to 2021-05-19 07:00:00,2021-05-20 07:00:00 to 2021-05-22 07:00:00,20,0.078,4,8.144208942874847,3.4135707571801506,75.0,212.66758823394775,301
19,2021-05-08 07:00:00 to 2021-05-22 07:00:00,2021-05-23 07:00:00 to 2021-05-25 07:00:00,20,0.078,1,1.3586924452287348,11.069727938170892,100.0,217.2790367603302,303
20,2021-05-11 07:00:00 to 2021-05-25 07:00:00,2021-05-26 07:00:00 to 2021-05-28 07:00:00,10,0.058,1,0.3110944167044727,2.0671499852395105,100.0,223.29779720306396,305
21,2021-05-14 07:00:00 to 2021-05-28 07:00:00,2021-05-29 07:00:00 to 2021-05-31 07:00:00,10,0.058,0,0.0,0.0,0.0,222.10245013237,306
22,2021-05-17 07:00:00 to 2021-05-31 07:00:00,2021-06-01 07:00:00 to 2021-06-03 07:00:00,215,0.078,0,0.0,0.0,0.0,221.8676300048828,307
23,2021-05-20 07:00:00 to 2021-06-03 07:00:00,2021-06-04 07:00:00 to 2021-06-06 07:00:00,10,0.052,0,0.0,0.0,0.0,216.1852970123291,309
24,2021-05-23 07:00:00 to 2021-06-06 07:00:00,2021-06-07 07:00:00 to 2021-06-09 07:00:00,25,0.024,3,-6.7478570054414915,10.993158121070028,0.0,211.96632409095764,311
25,2021-05-26 07:00:00 to 2021-06-09 07:00:00,2021-06-10 07:00:00 to 2021-06-12 07:00:00,300,0.066,1,-1.1645935251798438,3.557603342792629,0.0,215.02416491508484,312
26,2021-05-29 07:00:00 to 2021-06-12 07:00:00,2021-06-13 07:00:00 to 2021-06-15 07:00:00,45,0.064,0,0.0,0.0,0.0,201.70067024230957,313
27,2021-06-01 07:00:00 to 2021-06-15 07:00:00,2021-06-16 07:00:00 to 2021-06-18 07:00:00,280,0.062,1,1.0241052631578895,0.8275428813292899,0.0,209.92019200325012,315
28,2021-06-04 07:00:00 to 2021-06-18 07:00:00,2021-06-19 07:00:00 to 2021-06-21 07:00:00,240,0.064,2,0.3241497093028193,6.68062419687037,50.0,212.00494289398193,317
29,2021-06-07 07:00:00 to 2021-06-21 07:00:00,2021-06-22 07:00:00 to 2021-06-24 07:00:00,20,0.052,2,-3.2053760416216575,12.259831179914563,50.0,209.24115896224976,318
30,2021-06-10 07:00:00 to 2021-06-24 07:00:00,2021-06-25 07:00:00 to 2021-06-27 07:00:00,20,0.07,0,0.0,0.0,0.0,209.89075016975403,319
31,2021-06-13 07:00:00 to 2021-06-27 07:00:00,2021-06-28 07:00:00 to 2021-06-30 07:00:00,20,0.07,0,0.0,0.0,0.0,207.39672017097473,321
