Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-06-29 12:00:00 to 2023-07-13 12:00:00,2023-07-14 12:00:00 to 2023-07-16 12:00:00,25,0.03,1,1.1225509518476977,0.7406153077724904,100.0,206.2504391670227,694
2,2023-07-02 12:00:00 to 2023-07-16 12:00:00,2023-07-17 12:00:00 to 2023-07-19 12:00:00,300,0.076,1,0.5834580801944139,1.1835531163575317,0.0,203.41657495498657,695
3,2023-07-05 12:00:00 to 2023-07-19 12:00:00,2023-07-20 12:00:00 to 2023-07-22 12:00:00,40,0.02,2,1.490305226941291,0.358691257563397,100.0,202.0335829257965,697
4,2023-07-08 12:00:00 to 2023-07-22 12:00:00,2023-07-23 12:00:00 to 2023-07-25 12:00:00,40,0.02,3,-3.3622032518998637,4.73183363296205,33.33333333333333,203.37224316596985,699
5,2023-07-11 12:00:00 to 2023-07-25 12:00:00,2023-07-26 12:00:00 to 2023-07-28 12:00:00,50,0.02,2,2.360994054603325,0.2429257311057474,100.0,201.42481088638303,700
6,2023-07-14 12:00:00 to 2023-07-28 12:00:00,2023-07-29 12:00:00 to 2023-07-31 12:00:00,295,0.054,0,0.0,0.0,0.0,200.4337112903595,701
7,2023-07-17 12:00:00 to 2023-07-31 12:00:00,2023-08-01 12:00:00 to 2023-08-03 12:00:00,295,0.064,1,2.7183157894736905,0.4049969040247743,100.0,200.29440903663635,703
8,2023-07-20 12:00:00 to 2023-08-03 12:00:00,2023-08-04 12:00:00 to 2023-08-06 12:00:00,280,0.062,1,1.218530642201822,1.74357443110163,100.0,197.21919918060303,705
9,2023-07-23 12:00:00 to 2023-08-06 12:00:00,2023-08-07 12:00:00 to 2023-08-09 12:00:00,205,0.024,2,0.3648631443240083,1.9498122418096504,50.0,198.5707809925079,706
10,2023-07-26 12:00:00 to 2023-08-09 12:00:00,2023-08-10 12:00:00 to 2023-08-12 12:00:00,180,0.038,1,0.4309954169130833,4.073090515679335,100.0,198.72727608680725,707
11,2023-07-29 12:00:00 to 2023-08-12 12:00:00,2023-08-13 12:00:00 to 2023-08-15 12:00:00,140,0.038,0,0.0,0.0,0.0,196.7546379566193,709
12,2023-08-01 12:00:00 to 2023-08-15 12:00:00,2023-08-16 12:00:00 to 2023-08-18 12:00:00,20,0.026,2,4.737349984256216,0.613809056384332,100.0,189.72153997421265,711
13,2023-08-04 12:00:00 to 2023-08-18 12:00:00,2023-08-19 12:00:00 to 2023-08-21 12:00:00,60,0.038,0,0.0,0.0,0.0,201.3741550445557,712
14,2023-08-07 12:00:00 to 2023-08-21 12:00:00,2023-08-22 12:00:00 to 2023-08-24 12:00:00,40,0.022,1,0.7485523255814042,0.9307680308166472,100.0,200.2231001853943,713
15,2023-08-10 12:00:00 to 2023-08-24 12:00:00,2023-08-25 12:00:00 to 2023-08-27 12:00:00,40,0.022,1,0.312191582002888,0.649138971969878,100.0,198.63554096221924,715
16,2023-08-13 12:00:00 to 2023-08-27 12:00:00,2023-08-28 12:00:00 to 2023-08-30 12:00:00,40,0.022,3,2.2528502075459436,1.541028843265643,100.0,201.97612285614017,717
17,2023-08-16 12:00:00 to 2023-08-30 12:00:00,2023-08-31 12:00:00 to 2023-09-02 12:00:00,120,0.022,3,4.037024586124662,4.4624620117150755,66.66666666666666,198.7577347755432,718
18,2023-08-19 12:00:00 to 2023-09-02 12:00:00,2023-09-03 12:00:00 to 2023-09-05 12:00:00,150,0.02,4,1.799947698973083,4.448359163290343,50.0,199.34687900543213,719
19,2023-08-22 12:00:00 to 2023-09-05 12:00:00,2023-09-06 12:00:00 to 2023-09-08 12:00:00,125,0.022,1,0.510585958595857,0.7673249324932476,100.0,200.05199790000916,721
20,2023-08-25 12:00:00 to 2023-09-08 12:00:00,2023-09-09 12:00:00 to 2023-09-11 12:00:00,125,0.02,1,-9.510202626248502,10.690048233338402,0.0,201.45614290237427,723
21,2023-08-28 12:00:00 to 2023-09-11 12:00:00,2023-09-12 12:00:00 to 2023-09-14 12:00:00,110,0.03,0,0.0,0.0,0.0,199.59907817840576,724
22,2023-08-31 12:00:00 to 2023-09-14 12:00:00,2023-09-15 12:00:00 to 2023-09-17 12:00:00,15,0.02,2,0.0689006473071276,3.902210003823823,50.0,196.9226939678192,725
23,2023-09-03 12:00:00 to 2023-09-17 12:00:00,2023-09-18 12:00:00 to 2023-09-20 12:00:00,55,0.03,0,0.0,0.0,0.0,200.28933811187744,727
24,2023-09-06 12:00:00 to 2023-09-20 12:00:00,2023-09-21 12:00:00 to 2023-09-23 12:00:00,245,0.046,1,0.5820437956204296,1.504738782534651,100.0,200.64494633674624,729
25,2023-09-09 12:00:00 to 2023-09-23 12:00:00,2023-09-24 12:00:00 to 2023-09-26 12:00:00,285,0.036,1,1.500970387243742,0.6084082287618597,100.0,199.14030623435977,730
26,2023-09-12 12:00:00 to 2023-09-26 12:00:00,2023-09-27 12:00:00 to 2023-09-29 12:00:00,285,0.036,0,0.0,0.0,0.0,196.59108805656433,731
27,2023-09-15 12:00:00 to 2023-09-29 12:00:00,2023-09-30 12:00:00 to 2023-10-02 12:00:00,230,0.024,0,0.0,0.0,0.0,198.12475776672363,733
28,2023-09-18 12:00:00 to 2023-10-02 12:00:00,2023-10-03 12:00:00 to 2023-10-05 12:00:00,110,0.02,1,-10.212476086956505,13.998211693332358,0.0,197.49488997459412,735
29,2023-09-21 12:00:00 to 2023-10-05 12:00:00,2023-10-06 12:00:00 to 2023-10-08 12:00:00,80,0.04,1,1.4042131578947374,0.3892751074658851,100.0,195.58577013015747,736
30,2023-09-24 12:00:00 to 2023-10-08 12:00:00,2023-10-09 12:00:00 to 2023-10-11 12:00:00,90,0.028,1,0.9276235186873236,1.1150129004064158,100.0,196.6283278465271,737
31,2023-09-27 12:00:00 to 2023-10-11 12:00:00,2023-10-12 12:00:00 to 2023-10-14 12:00:00,90,0.02,1,0.487306654257809,0.6256913425860582,100.0,197.66878986358645,739
32,2023-09-30 12:00:00 to 2023-10-14 12:00:00,2023-10-15 12:00:00 to 2023-10-17 12:00:00,80,0.04,0,0.0,0.0,0.0,201.14009308815,741
33,2023-10-03 12:00:00 to 2023-10-17 12:00:00,2023-10-18 12:00:00 to 2023-10-20 12:00:00,110,0.022,1,-5.190872377622381,7.873027872210787,0.0,200.61317706108093,742
34,2023-10-06 12:00:00 to 2023-10-20 12:00:00,2023-10-21 12:00:00 to 2023-10-23 12:00:00,60,0.022,0,0.0,0.0,0.0,197.64741587638855,743
35,2023-10-09 12:00:00 to 2023-10-23 12:00:00,2023-10-24 12:00:00 to 2023-10-26 12:00:00,300,0.06,0,0.0,0.0,0.0,194.5516188144684,745
36,2023-10-12 12:00:00 to 2023-10-26 12:00:00,2023-10-27 12:00:00 to 2023-10-29 12:00:00,20,0.02,2,1.7431454737788774,1.196371409437716,100.0,198.9368393421173,747
37,2023-10-15 12:00:00 to 2023-10-29 12:00:00,2023-10-30 12:00:00 to 2023-11-01 12:00:00,300,0.06,1,-0.0382065559047987,0.6444032330489426,0.0,198.06158781051636,748
38,2023-10-18 12:00:00 to 2023-11-01 12:00:00,2023-11-02 12:00:00 to 2023-11-04 12:00:00,35,0.02,1,-2.640652012383889,4.586453872446926,0.0,196.43146777153015,749
39,2023-10-21 12:00:00 to 2023-11-04 12:00:00,2023-11-05 12:00:00 to 2023-11-07 12:00:00,285,0.062,0,0.0,0.0,0.0,200.43396711349487,751
40,2023-10-24 12:00:00 to 2023-11-07 12:00:00,2023-11-08 12:00:00 to 2023-11-10 12:00:00,285,0.036,1,6.539086219879518,2.0938362840322924,100.0,202.3953368663788,753
41,2023-10-27 12:00:00 to 2023-11-10 12:00:00,2023-11-11 12:00:00 to 2023-11-13 12:00:00,245,0.036,1,2.045078498293514,0.8655884986846124,100.0,198.69188404083252,754
42,2023-10-30 12:00:00 to 2023-11-13 12:00:00,2023-11-14 12:00:00 to 2023-11-16 12:00:00,205,0.03,1,6.5486202802161095,8.513072147748762,100.0,200.25000405311584,755
43,2023-11-02 12:00:00 to 2023-11-16 12:00:00,2023-11-17 12:00:00 to 2023-11-19 12:00:00,295,0.032,2,-2.636991875462154,8.51357398586704,50.0,199.91290998458865,757
44,2023-11-05 12:00:00 to 2023-11-19 12:00:00,2023-11-20 12:00:00 to 2023-11-22 12:00:00,295,0.032,2,3.2483018287694905,4.256857726739095,50.0,204.2880301475525,759
45,2023-11-08 12:00:00 to 2023-11-22 12:00:00,2023-11-23 12:00:00 to 2023-11-25 12:00:00,60,0.038,1,0.0396126760563493,0.7625929759911183,0.0,205.12681818008423,760
46,2023-11-11 12:00:00 to 2023-11-25 12:00:00,2023-11-26 12:00:00 to 2023-11-28 12:00:00,295,0.046,1,0.483330994038879,5.3761466802725195,0.0,207.5008828639984,761
47,2023-11-14 12:00:00 to 2023-11-28 12:00:00,2023-11-29 12:00:00 to 2023-12-01 12:00:00,300,0.046,1,1.992549749463142,0.7785474660052428,100.0,202.8310661315918,763
48,2023-11-17 12:00:00 to 2023-12-01 12:00:00,2023-12-02 12:00:00 to 2023-12-04 12:00:00,30,0.02,2,2.9028705603164053,0.335271917672769,50.0,202.88359713554385,765
