Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-07-28 02:30:00 to 2023-08-11 02:30:00,2023-08-12 02:30:00 to 2023-08-14 02:30:00,270,0.022,0,0.0,0.0,0.0,206.28911590576172,709
2,2023-07-31 02:30:00 to 2023-08-14 02:30:00,2023-08-15 02:30:00 to 2023-08-17 02:30:00,250,0.02,1,-11.788854008482812,14.038172607208915,0.0,202.91441297531128,710
3,2023-08-03 02:30:00 to 2023-08-17 02:30:00,2023-08-18 02:30:00 to 2023-08-20 02:30:00,25,0.022,0,0.0,0.0,0.0,203.9832918643951,711
4,2023-08-06 02:30:00 to 2023-08-20 02:30:00,2023-08-21 02:30:00 to 2023-08-23 02:30:00,55,0.034,0,0.0,0.0,0.0,208.80014610290527,713
5,2023-08-09 02:30:00 to 2023-08-23 02:30:00,2023-08-24 02:30:00 to 2023-08-26 02:30:00,40,0.024,2,1.9039738426376789,0.6655707164844666,100.0,207.32404398918152,715
6,2023-08-12 02:30:00 to 2023-08-26 02:30:00,2023-08-27 02:30:00 to 2023-08-29 02:30:00,30,0.02,0,0.0,0.0,0.0,207.1253900527954,716
7,2023-08-15 02:30:00 to 2023-08-29 02:30:00,2023-08-30 02:30:00 to 2023-09-01 02:30:00,30,0.02,3,-0.8742070296096244,2.8964986693302186,66.66666666666666,208.2542309761047,717
8,2023-08-18 02:30:00 to 2023-09-01 02:30:00,2023-09-02 02:30:00 to 2023-09-04 02:30:00,145,0.02,1,-2.508961203607614,5.52208260531637,0.0,205.20902919769287,719
9,2023-08-21 02:30:00 to 2023-09-04 02:30:00,2023-09-05 02:30:00 to 2023-09-07 02:30:00,145,0.02,1,0.2916894039735053,0.8487948878020377,100.0,206.44306826591492,721
10,2023-08-24 02:30:00 to 2023-09-07 02:30:00,2023-09-08 02:30:00 to 2023-09-10 02:30:00,205,0.026,0,0.0,0.0,0.0,210.32536220550537,722
11,2023-08-27 02:30:00 to 2023-09-10 02:30:00,2023-09-11 02:30:00 to 2023-09-13 02:30:00,230,0.024,1,-2.7505305415925068,7.549014415755464,0.0,208.8405351638794,723
12,2023-08-30 02:30:00 to 2023-09-13 02:30:00,2023-09-14 02:30:00 to 2023-09-16 02:30:00,255,0.044,0,0.0,0.0,0.0,210.4985399246216,725
13,2023-09-02 02:30:00 to 2023-09-16 02:30:00,2023-09-17 02:30:00 to 2023-09-19 02:30:00,240,0.058,0,0.0,0.0,0.0,204.71906304359436,727
14,2023-09-05 02:30:00 to 2023-09-19 02:30:00,2023-09-20 02:30:00 to 2023-09-22 02:30:00,290,0.02,0,0.0,0.0,0.0,204.0622866153717,728
15,2023-09-08 02:30:00 to 2023-09-22 02:30:00,2023-09-23 02:30:00 to 2023-09-25 02:30:00,300,0.02,1,-1.3629270435396028,3.478883714646145,0.0,203.54171872138977,729
16,2023-09-11 02:30:00 to 2023-09-25 02:30:00,2023-09-26 02:30:00 to 2023-09-28 02:30:00,145,0.02,0,0.0,0.0,0.0,203.11757707595825,731
17,2023-09-14 02:30:00 to 2023-09-28 02:30:00,2023-09-29 02:30:00 to 2023-10-01 02:30:00,145,0.02,1,1.3673063241106684,0.5044648728553504,100.0,202.1877200603485,733
18,2023-09-17 02:30:00 to 2023-10-01 02:30:00,2023-10-02 02:30:00 to 2023-10-04 02:30:00,145,0.02,1,-7.1573695772792965,10.962229927816889,0.0,198.7204682826996,734
19,2023-09-20 02:30:00 to 2023-10-04 02:30:00,2023-10-05 02:30:00 to 2023-10-07 02:30:00,100,0.05,0,0.0,0.0,0.0,206.7307550907135,735
20,2023-09-23 02:30:00 to 2023-10-07 02:30:00,2023-10-08 02:30:00 to 2023-10-10 02:30:00,100,0.05,1,0.0167808875831178,0.7834355961032997,0.0,202.6917400360107,737
21,2023-09-26 02:30:00 to 2023-10-10 02:30:00,2023-10-11 02:30:00 to 2023-10-13 02:30:00,20,0.028,0,0.0,0.0,0.0,204.72549510002136,739
22,2023-09-29 02:30:00 to 2023-10-13 02:30:00,2023-10-14 02:30:00 to 2023-10-16 02:30:00,20,0.02,0,0.0,0.0,0.0,207.77080082893372,740
23,2023-10-02 02:30:00 to 2023-10-16 02:30:00,2023-10-17 02:30:00 to 2023-10-19 02:30:00,20,0.02,0,0.0,0.0,0.0,205.3265197277069,741
24,2023-10-05 02:30:00 to 2023-10-19 02:30:00,2023-10-20 02:30:00 to 2023-10-22 02:30:00,85,0.03,0,0.0,0.0,0.0,207.04355001449585,743
25,2023-10-08 02:30:00 to 2023-10-22 02:30:00,2023-10-23 02:30:00 to 2023-10-25 02:30:00,85,0.03,1,1.6891427457098325,0.8732231633867192,100.0,207.24222993850708,745
26,2023-10-11 02:30:00 to 2023-10-25 02:30:00,2023-10-26 02:30:00 to 2023-10-28 02:30:00,55,0.024,1,1.1686947953511844,0.6215761498051883,100.0,201.59771704673767,746
27,2023-10-14 02:30:00 to 2023-10-28 02:30:00,2023-10-29 02:30:00 to 2023-10-31 02:30:00,135,0.022,0,0.0,0.0,0.0,202.50313067436215,747
28,2023-10-17 02:30:00 to 2023-10-31 02:30:00,2023-11-01 02:30:00 to 2023-11-03 02:30:00,135,0.022,1,0.0173952129452663,1.0597159715658988,0.0,200.97423005104065,749
29,2023-10-20 02:30:00 to 2023-11-03 02:30:00,2023-11-04 02:30:00 to 2023-11-06 02:30:00,135,0.02,0,0.0,0.0,0.0,200.8804578781128,751
30,2023-10-23 02:30:00 to 2023-11-06 02:30:00,2023-11-07 02:30:00 to 2023-11-09 02:30:00,135,0.02,1,1.5033626865671612,0.601325997000618,100.0,202.76511096954343,752
31,2023-10-26 02:30:00 to 2023-11-09 02:30:00,2023-11-10 02:30:00 to 2023-11-12 02:30:00,205,0.02,1,-0.3807222292202277,1.6402950222828738,0.0,202.1217668056488,753
32,2023-10-29 02:30:00 to 2023-11-12 02:30:00,2023-11-13 02:30:00 to 2023-11-15 02:30:00,55,0.02,4,4.596265019043476,1.96679237831475,100.0,205.3207800388336,755
33,2023-11-01 02:30:00 to 2023-11-15 02:30:00,2023-11-16 02:30:00 to 2023-11-18 02:30:00,50,0.022,2,7.423458529597937,4.360747567833061,50.0,203.1572551727295,757
34,2023-11-04 02:30:00 to 2023-11-18 02:30:00,2023-11-19 02:30:00 to 2023-11-21 02:30:00,215,0.03,1,-0.5459620938628177,1.8792477744693217,0.0,208.28077220916748,758
35,2023-11-07 02:30:00 to 2023-11-21 02:30:00,2023-11-22 02:30:00 to 2023-11-24 02:30:00,55,0.024,1,1.431878397143446,0.2541645933838086,100.0,213.84889388084412,759
36,2023-11-10 02:30:00 to 2023-11-24 02:30:00,2023-11-25 02:30:00 to 2023-11-27 02:30:00,300,0.032,1,-3.669006227979771,3.6836367235267575,0.0,216.1432309150696,761
37,2023-11-13 02:30:00 to 2023-11-27 02:30:00,2023-11-28 02:30:00 to 2023-11-30 02:30:00,40,0.024,0,0.0,0.0,0.0,210.81453800201416,763
