Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-17 12:15:00 to 2025-01-31 12:15:00,2025-02-01 12:15:00 to 2025-02-03 12:15:00,85,0.07,2,-14.093530403313595,26.626559635789263,0.0,215.54523992538452,978
2,2025-01-20 12:15:00 to 2025-02-03 12:15:00,2025-02-04 12:15:00 to 2025-02-06 12:15:00,20,0.042,1,1.5746086956521683,1.3594152419952756,100.0,207.21089720726013,979
3,2025-01-23 12:15:00 to 2025-02-06 12:15:00,2025-02-07 12:15:00 to 2025-02-09 12:15:00,10,0.026,1,-6.626435947970058,8.914401261332278,0.0,210.5263967514038,981
4,2025-01-26 12:15:00 to 2025-02-09 12:15:00,2025-02-10 12:15:00 to 2025-02-12 12:15:00,240,0.072,1,0.8871206896551665,0.7720082834773143,0.0,210.07133102416992,983
5,2025-01-29 12:15:00 to 2025-02-12 12:15:00,2025-02-13 12:15:00 to 2025-02-15 12:15:00,25,0.074,1,0.9261818181818308,0.5966861166892966,100.0,211.23434710502625,984
6,2025-02-01 12:15:00 to 2025-02-15 12:15:00,2025-02-16 12:15:00 to 2025-02-18 12:15:00,160,0.058,3,4.133670380498479,3.19759602261829,66.66666666666666,214.6538679599762,985
7,2025-02-04 12:15:00 to 2025-02-18 12:15:00,2025-02-19 12:15:00 to 2025-02-21 12:15:00,215,0.068,0,0.0,0.0,0.0,211.73238492012024,987
8,2025-02-07 12:15:00 to 2025-02-21 12:15:00,2025-02-22 12:15:00 to 2025-02-24 12:15:00,120,0.058,2,-0.7888476025287491,5.533820357922594,50.0,210.7363588809967,989
9,2025-02-10 12:15:00 to 2025-02-24 12:15:00,2025-02-25 12:15:00 to 2025-02-27 12:15:00,90,0.078,1,3.2213172413793107,1.9746982087293132,100.0,210.0316560268402,990
10,2025-02-13 12:15:00 to 2025-02-27 12:15:00,2025-02-28 12:15:00 to 2025-03-02 12:15:00,210,0.068,1,4.488051724137931,0.8949184993460894,100.0,206.5471909046173,991
11,2025-02-16 12:15:00 to 2025-03-02 12:15:00,2025-03-03 12:15:00 to 2025-03-05 12:15:00,30,0.024,4,2.912559805994261,7.1322919032645755,75.0,197.95490312576297,993
12,2025-02-19 12:15:00 to 2025-03-05 12:15:00,2025-03-06 12:15:00 to 2025-03-08 12:15:00,235,0.024,3,11.00369198154207,5.0261215201016665,66.66666666666666,198.15127396583557,995
