Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-03 15:00:00 to 2023-11-17 15:00:00,2023-11-18 15:00:00 to 2023-11-20 15:00:00,250,0.042,1,0.6505409876317026,7.643718841808746,100.0,221.0859010219574,757
2,2023-11-06 15:00:00 to 2023-11-20 15:00:00,2023-11-21 15:00:00 to 2023-11-23 15:00:00,260,0.044,1,-2.2429800690448793,11.449166297914957,0.0,218.45436215400696,759
3,2023-11-09 15:00:00 to 2023-11-23 15:00:00,2023-11-24 15:00:00 to 2023-11-26 15:00:00,260,0.044,0,0.0,0.0,0.0,215.20357203483584,761
4,2023-11-12 15:00:00 to 2023-11-26 15:00:00,2023-11-27 15:00:00 to 2023-11-29 15:00:00,60,0.04,2,-0.0184757768213239,1.7149345664409503,50.0,208.8422899246216,762
5,2023-11-15 15:00:00 to 2023-11-29 15:00:00,2023-11-30 15:00:00 to 2023-12-02 15:00:00,255,0.08,0,0.0,0.0,0.0,205.37749695777893,763
6,2023-11-18 15:00:00 to 2023-12-02 15:00:00,2023-12-03 15:00:00 to 2023-12-05 15:00:00,20,0.02,5,9.442774803067186,8.381513589225921,80.0,200.67444396018985,765
7,2023-11-21 15:00:00 to 2023-12-05 15:00:00,2023-12-06 15:00:00 to 2023-12-08 15:00:00,15,0.02,8,0.8726808982400143,8.186272649946222,75.0,200.3115062713623,767
8,2023-11-24 15:00:00 to 2023-12-08 15:00:00,2023-12-09 15:00:00 to 2023-12-11 15:00:00,280,0.022,1,-13.138696882232962,14.61381484249095,0.0,202.63227772712708,768
9,2023-11-27 15:00:00 to 2023-12-11 15:00:00,2023-12-12 15:00:00 to 2023-12-14 15:00:00,15,0.02,5,0.4861233769462705,3.3040361759926538,60.0,205.59404492378235,769
10,2023-11-30 15:00:00 to 2023-12-14 15:00:00,2023-12-15 15:00:00 to 2023-12-17 15:00:00,40,0.024,5,0.1901613826373068,6.123429090929292,80.0,209.62512063980105,771
11,2023-12-03 15:00:00 to 2023-12-17 15:00:00,2023-12-18 15:00:00 to 2023-12-20 15:00:00,40,0.024,2,-4.512729500871028,9.732451446841782,50.0,212.23784375190735,773
12,2023-12-06 15:00:00 to 2023-12-20 15:00:00,2023-12-21 15:00:00 to 2023-12-23 15:00:00,40,0.024,1,0.8111411140583551,0.519326259946938,100.0,205.72685503959656,774
13,2023-12-09 15:00:00 to 2023-12-23 15:00:00,2023-12-24 15:00:00 to 2023-12-26 15:00:00,205,0.022,2,2.396508699952992,0.620873469267039,100.0,207.01752376556396,775
14,2023-12-12 15:00:00 to 2023-12-26 15:00:00,2023-12-27 15:00:00 to 2023-12-29 15:00:00,50,0.024,1,-2.011337163246917,5.379477077646804,0.0,205.2871379852295,777
15,2023-12-15 15:00:00 to 2023-12-29 15:00:00,2023-12-30 15:00:00 to 2024-01-01 15:00:00,270,0.02,2,-4.9846943852470575,6.7594309703122235,0.0,203.91889476776123,779
16,2023-12-18 15:00:00 to 2024-01-01 15:00:00,2024-01-02 15:00:00 to 2024-01-04 15:00:00,185,0.036,1,-0.4827469487355665,7.491943085773883,0.0,200.45402216911316,780
17,2023-12-21 15:00:00 to 2024-01-04 15:00:00,2024-01-05 15:00:00 to 2024-01-07 15:00:00,120,0.032,1,-4.36330093763836,10.11827909170328,0.0,202.91916298866272,781
18,2023-12-24 15:00:00 to 2024-01-07 15:00:00,2024-01-08 15:00:00 to 2024-01-10 15:00:00,130,0.068,2,3.792983379384295,3.627348043272995,100.0,209.4768409729004,783
19,2023-12-27 15:00:00 to 2024-01-10 15:00:00,2024-01-11 15:00:00 to 2024-01-13 15:00:00,130,0.068,1,-1.006169594594594,4.2558867815389645,0.0,203.96068716049191,785
20,2023-12-30 15:00:00 to 2024-01-13 15:00:00,2024-01-14 15:00:00 to 2024-01-16 15:00:00,140,0.068,0,0.0,0.0,0.0,211.74084424972537,786
21,2024-01-02 15:00:00 to 2024-01-16 15:00:00,2024-01-17 15:00:00 to 2024-01-19 15:00:00,160,0.03,2,-3.3212844537321504,6.9753289852705995,50.0,211.3032681941986,787
22,2024-01-05 15:00:00 to 2024-01-19 15:00:00,2024-01-20 15:00:00 to 2024-01-22 15:00:00,240,0.026,2,3.19209424203862,2.2471526144197025,50.0,206.37493801116943,789
23,2024-01-08 15:00:00 to 2024-01-22 15:00:00,2024-01-23 15:00:00 to 2024-01-25 15:00:00,20,0.02,3,1.2139783137324776,2.8283444504717727,66.66666666666666,204.5245659351349,791
24,2024-01-11 15:00:00 to 2024-01-25 15:00:00,2024-01-26 15:00:00 to 2024-01-28 15:00:00,35,0.02,0,0.0,0.0,0.0,208.12465381622312,792
25,2024-01-14 15:00:00 to 2024-01-28 15:00:00,2024-01-29 15:00:00 to 2024-01-31 15:00:00,35,0.02,3,0.611805807257133,1.0358402653940886,66.66666666666666,203.8838939666748,793
26,2024-01-17 15:00:00 to 2024-01-31 15:00:00,2024-02-01 15:00:00 to 2024-02-03 15:00:00,35,0.02,1,0.1377187522083295,1.9085482731180492,100.0,207.1666738986969,795
27,2024-01-20 15:00:00 to 2024-02-03 15:00:00,2024-02-04 15:00:00 to 2024-02-06 15:00:00,265,0.05,1,2.726036842105259,0.2520476805964885,100.0,204.401034116745,797
28,2024-01-23 15:00:00 to 2024-02-06 15:00:00,2024-02-07 15:00:00 to 2024-02-09 15:00:00,195,0.022,0,0.0,0.0,0.0,197.70113110542297,798
29,2024-01-26 15:00:00 to 2024-02-09 15:00:00,2024-02-10 15:00:00 to 2024-02-12 15:00:00,85,0.024,1,1.0523871413757298,0.8216122734997664,100.0,202.6757891178131,799
30,2024-01-29 15:00:00 to 2024-02-12 15:00:00,2024-02-13 15:00:00 to 2024-02-15 15:00:00,290,0.02,1,2.1189165829145713,0.2543334175459629,100.0,200.1519696712494,801
31,2024-02-01 15:00:00 to 2024-02-15 15:00:00,2024-02-16 15:00:00 to 2024-02-18 15:00:00,100,0.02,1,0.9347471124620096,0.3462620060790323,100.0,197.10608506202695,803
32,2024-02-04 15:00:00 to 2024-02-18 15:00:00,2024-02-19 15:00:00 to 2024-02-21 15:00:00,85,0.02,1,-10.684804579809734,12.214602330720524,0.0,195.04542708396912,804
33,2024-02-07 15:00:00 to 2024-02-21 15:00:00,2024-02-22 15:00:00 to 2024-02-24 15:00:00,20,0.02,4,2.052909729527564,1.406080594750256,75.0,193.1825816631317,805
34,2024-02-10 15:00:00 to 2024-02-24 15:00:00,2024-02-25 15:00:00 to 2024-02-27 15:00:00,275,0.02,0,0.0,0.0,0.0,193.53394198417664,807
35,2024-02-13 15:00:00 to 2024-02-27 15:00:00,2024-02-28 15:00:00 to 2024-03-01 15:00:00,40,0.02,5,8.126267624319716,2.478331900239368,100.0,197.44241189956665,809
36,2024-02-16 15:00:00 to 2024-03-01 15:00:00,2024-03-02 15:00:00 to 2024-03-04 15:00:00,40,0.02,7,15.188223500656203,5.562123702201687,85.71428571428571,202.03533697128296,810
37,2024-02-19 15:00:00 to 2024-03-04 15:00:00,2024-03-05 15:00:00 to 2024-03-07 15:00:00,40,0.024,7,-1.491164758659106,22.077382361686944,85.71428571428571,201.0743808746338,811
38,2024-02-22 15:00:00 to 2024-03-07 15:00:00,2024-03-08 15:00:00 to 2024-03-10 15:00:00,125,0.022,1,-6.937862183152902,9.813546828267908,0.0,205.5593647956848,813
39,2024-02-25 15:00:00 to 2024-03-10 15:00:00,2024-03-11 15:00:00 to 2024-03-13 15:00:00,60,0.022,5,7.687581048165485,1.5778086450457436,80.0,207.7581160068512,815
40,2024-02-28 15:00:00 to 2024-03-13 15:00:00,2024-03-14 15:00:00 to 2024-03-16 15:00:00,115,0.028,3,0.1933821976436956,10.702916485327425,33.33333333333333,209.84983015060425,816
41,2024-03-02 15:00:00 to 2024-03-16 15:00:00,2024-03-17 15:00:00 to 2024-03-19 15:00:00,95,0.038,2,-2.4105901323182297,11.618415816749923,50.0,218.17586874961853,817
42,2024-03-05 15:00:00 to 2024-03-19 15:00:00,2024-03-20 15:00:00 to 2024-03-22 15:00:00,160,0.07,0,0.0,0.0,0.0,212.15001702308655,819
43,2024-03-08 15:00:00 to 2024-03-22 15:00:00,2024-03-23 15:00:00 to 2024-03-25 15:00:00,10,0.02,8,6.377273142295271,8.924673807677552,87.5,214.47931003570557,821
44,2024-03-11 15:00:00 to 2024-03-25 15:00:00,2024-03-26 15:00:00 to 2024-03-28 15:00:00,10,0.02,12,-0.9485619928870074,9.224012419890736,66.66666666666666,210.98571491241455,822
45,2024-03-14 15:00:00 to 2024-03-28 15:00:00,2024-03-29 15:00:00 to 2024-03-31 15:00:00,10,0.022,3,-3.784987177341373,8.88325260485873,66.66666666666666,211.2264108657837,823
46,2024-03-17 15:00:00 to 2024-03-31 15:00:00,2024-04-01 15:00:00 to 2024-04-03 15:00:00,25,0.02,7,3.0427258389131384,8.268403011987502,71.42857142857143,212.1522879600525,825
47,2024-03-20 15:00:00 to 2024-04-03 15:00:00,2024-04-04 15:00:00 to 2024-04-06 15:00:00,35,0.02,3,-1.136266299611598,6.693028240812815,66.66666666666666,208.04602479934692,827
48,2024-03-23 15:00:00 to 2024-04-06 15:00:00,2024-04-07 15:00:00 to 2024-04-09 15:00:00,240,0.066,1,-1.7187527839643737,1.7577552932619958,0.0,215.31148409843445,828
49,2024-03-26 15:00:00 to 2024-04-09 15:00:00,2024-04-10 15:00:00 to 2024-04-12 15:00:00,205,0.07,2,-0.9820193879512588,2.8503847220296668,0.0,214.2755310535431,829
50,2024-03-29 15:00:00 to 2024-04-12 15:00:00,2024-04-13 15:00:00 to 2024-04-15 15:00:00,105,0.08,2,5.575688976981964,17.248305971074668,100.0,213.43512296676636,831
51,2024-04-01 15:00:00 to 2024-04-15 15:00:00,2024-04-16 15:00:00 to 2024-04-18 15:00:00,95,0.08,1,0.2049976621858513,4.128064220316589,100.0,212.207661151886,833
52,2024-04-04 15:00:00 to 2024-04-18 15:00:00,2024-04-19 15:00:00 to 2024-04-21 15:00:00,170,0.07,1,5.062871846619582,0.941941437852418,100.0,208.73585319519043,834
53,2024-04-07 15:00:00 to 2024-04-21 15:00:00,2024-04-22 15:00:00 to 2024-04-24 15:00:00,170,0.07,0,0.0,0.0,0.0,211.96808981895447,835
54,2024-04-10 15:00:00 to 2024-04-24 15:00:00,2024-04-25 15:00:00 to 2024-04-27 15:00:00,300,0.022,1,-11.056831223522003,13.099294261218308,0.0,206.3625898361206,837
55,2024-04-13 15:00:00 to 2024-04-27 15:00:00,2024-04-28 15:00:00 to 2024-04-30 15:00:00,25,0.02,4,-3.830907719156985,5.840975078629161,50.0,212.1369960308075,839
56,2024-04-16 15:00:00 to 2024-04-30 15:00:00,2024-05-01 15:00:00 to 2024-05-03 15:00:00,65,0.028,1,2.997984793846026,1.294003018867934,100.0,206.62133598327637,840
57,2024-04-19 15:00:00 to 2024-05-03 15:00:00,2024-05-04 15:00:00 to 2024-05-06 15:00:00,65,0.028,2,0.9088404109596558,0.4887640575378282,50.0,205.44167494773865,841
58,2024-04-22 15:00:00 to 2024-05-06 15:00:00,2024-05-07 15:00:00 to 2024-05-09 15:00:00,65,0.024,4,-0.1441807363866974,5.503960164286689,75.0,204.89578485488892,843
59,2024-04-25 15:00:00 to 2024-05-09 15:00:00,2024-05-10 15:00:00 to 2024-05-12 15:00:00,180,0.062,0,0.0,0.0,0.0,203.35647797584537,845
60,2024-04-28 15:00:00 to 2024-05-12 15:00:00,2024-05-13 15:00:00 to 2024-05-15 15:00:00,260,0.036,2,8.382223005737051,5.193492082425803,100.0,200.82839131355288,846
61,2024-05-01 15:00:00 to 2024-05-15 15:00:00,2024-05-16 15:00:00 to 2024-05-18 15:00:00,300,0.046,0,0.0,0.0,0.0,201.57839679718015,847
62,2024-05-04 15:00:00 to 2024-05-18 15:00:00,2024-05-19 15:00:00 to 2024-05-21 15:00:00,300,0.046,1,3.2245514231498964,2.888767061379246,100.0,201.33852910995483,849
63,2024-05-07 15:00:00 to 2024-05-21 15:00:00,2024-05-22 15:00:00 to 2024-05-24 15:00:00,260,0.038,1,5.348036300559233,1.9725315209140888,100.0,201.30170702934265,851
64,2024-05-10 15:00:00 to 2024-05-24 15:00:00,2024-05-25 15:00:00 to 2024-05-27 15:00:00,240,0.032,1,2.396960936898067,0.015139803992473,100.0,200.99344110488892,852
65,2024-05-13 15:00:00 to 2024-05-27 15:00:00,2024-05-28 15:00:00 to 2024-05-30 15:00:00,135,0.024,2,-4.28986234545433,10.150762240169284,50.0,200.12837672233584,853
66,2024-05-16 15:00:00 to 2024-05-30 15:00:00,2024-05-31 15:00:00 to 2024-06-02 15:00:00,145,0.026,2,3.591764799511875,2.6486646866865793,100.0,203.87075567245483,855
67,2024-05-19 15:00:00 to 2024-06-02 15:00:00,2024-06-03 15:00:00 to 2024-06-05 15:00:00,90,0.026,3,5.088689666419996,4.254320055802803,100.0,202.88206505775452,857
68,2024-05-22 15:00:00 to 2024-06-05 15:00:00,2024-06-06 15:00:00 to 2024-06-08 15:00:00,115,0.022,3,-7.945135058557007,18.93690316325001,33.33333333333333,202.93035006523132,858
69,2024-05-25 15:00:00 to 2024-06-08 15:00:00,2024-06-09 15:00:00 to 2024-06-11 15:00:00,115,0.072,2,0.9534085882263026,2.890405336786654,50.0,211.58401679992676,859
70,2024-05-28 15:00:00 to 2024-06-11 15:00:00,2024-06-12 15:00:00 to 2024-06-14 15:00:00,120,0.08,1,-6.2556609642745205,7.970739798955995,0.0,210.4327018260956,861
71,2024-05-31 15:00:00 to 2024-06-14 15:00:00,2024-06-15 15:00:00 to 2024-06-17 15:00:00,15,0.036,0,0.0,0.0,0.0,208.25311279296875,863
72,2024-06-03 15:00:00 to 2024-06-17 15:00:00,2024-06-18 15:00:00 to 2024-06-20 15:00:00,20,0.042,2,3.4050522985809946,0.609257408436044,50.0,207.00767588615415,864
73,2024-06-06 15:00:00 to 2024-06-20 15:00:00,2024-06-21 15:00:00 to 2024-06-23 15:00:00,20,0.042,0,0.0,0.0,0.0,210.51474714279175,865
74,2024-06-09 15:00:00 to 2024-06-23 15:00:00,2024-06-24 15:00:00 to 2024-06-26 15:00:00,20,0.04,0,0.0,0.0,0.0,209.3148868083954,867
75,2024-06-12 15:00:00 to 2024-06-26 15:00:00,2024-06-27 15:00:00 to 2024-06-29 15:00:00,200,0.07,0,0.0,0.0,0.0,208.0234978199005,869
76,2024-06-15 15:00:00 to 2024-06-29 15:00:00,2024-06-30 15:00:00 to 2024-07-02 15:00:00,265,0.02,1,4.998183060043393,2.0484305215862872,100.0,205.88102889060977,870
77,2024-06-18 15:00:00 to 2024-07-02 15:00:00,2024-07-03 15:00:00 to 2024-07-05 15:00:00,105,0.02,1,-22.35252137325886,28.84073352578449,0.0,201.44519114494324,871
78,2024-06-21 15:00:00 to 2024-07-05 15:00:00,2024-07-06 15:00:00 to 2024-07-08 15:00:00,45,0.076,0,0.0,0.0,0.0,200.6849012374878,873
79,2024-06-24 15:00:00 to 2024-07-08 15:00:00,2024-07-09 15:00:00 to 2024-07-11 15:00:00,40,0.062,0,0.0,0.0,0.0,204.10639595985413,875
80,2024-06-27 15:00:00 to 2024-07-11 15:00:00,2024-07-12 15:00:00 to 2024-07-14 15:00:00,40,0.062,0,0.0,0.0,0.0,201.94481801986697,876
81,2024-06-30 15:00:00 to 2024-07-14 15:00:00,2024-07-15 15:00:00 to 2024-07-17 15:00:00,40,0.062,0,0.0,0.0,0.0,202.6181297302246,877
82,2024-07-03 15:00:00 to 2024-07-17 15:00:00,2024-07-18 15:00:00 to 2024-07-20 15:00:00,145,0.038,1,2.2432861608161874,4.075312090796124,100.0,199.32562613487244,879
