Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-05-30 15:30:00 to 2024-06-13 15:30:00,2024-06-14 15:30:00 to 2024-06-16 15:30:00,20,0.022,4,0.1743420430698643,3.2923416279104845,75.0,211.25001311302185,862
2,2024-06-02 15:30:00 to 2024-06-16 15:30:00,2024-06-17 15:30:00 to 2024-06-19 15:30:00,25,0.02,7,-7.686415436984571,13.844833280504773,42.857142857142854,211.26978397369385,863
3,2024-06-05 15:30:00 to 2024-06-19 15:30:00,2024-06-20 15:30:00 to 2024-06-22 15:30:00,105,0.072,0,0.0,0.0,0.0,209.05399417877197,865
4,2024-06-08 15:30:00 to 2024-06-22 15:30:00,2024-06-23 15:30:00 to 2024-06-25 15:30:00,30,0.038,4,-4.423859434663464,6.315016979459112,50.0,206.92267608642575,867
5,2024-06-11 15:30:00 to 2024-06-25 15:30:00,2024-06-26 15:30:00 to 2024-06-28 15:30:00,10,0.022,6,0.4310962060435486,3.2611753272761654,66.66666666666666,209.63839983940125,868
6,2024-06-14 15:30:00 to 2024-06-28 15:30:00,2024-06-29 15:30:00 to 2024-07-01 15:30:00,10,0.022,5,1.1306633971850353,0.405735358714158,100.0,207.1182930469513,869
7,2024-06-17 15:30:00 to 2024-07-01 15:30:00,2024-07-02 15:30:00 to 2024-07-04 15:30:00,10,0.022,4,1.8074618284746975,0.6998047513184832,100.0,204.691654920578,871
8,2024-06-20 15:30:00 to 2024-07-04 15:30:00,2024-07-05 15:30:00 to 2024-07-07 15:30:00,10,0.022,8,5.804598705600457,3.48245138831145,87.5,207.24027609825137,873
9,2024-06-23 15:30:00 to 2024-07-07 15:30:00,2024-07-08 15:30:00 to 2024-07-10 15:30:00,10,0.022,9,3.2366183456342332,3.74118382450936,88.88888888888889,205.33635306358337,874
10,2024-06-26 15:30:00 to 2024-07-10 15:30:00,2024-07-11 15:30:00 to 2024-07-13 15:30:00,25,0.05,0,0.0,0.0,0.0,206.3450231552124,875
11,2024-06-29 15:30:00 to 2024-07-13 15:30:00,2024-07-14 15:30:00 to 2024-07-16 15:30:00,60,0.046,0,0.0,0.0,0.0,204.05093502998352,877
12,2024-07-02 15:30:00 to 2024-07-16 15:30:00,2024-07-17 15:30:00 to 2024-07-19 15:30:00,20,0.02,9,0.8994412982551693,4.493229942365243,88.88888888888889,207.4663848876953,879
13,2024-07-05 15:30:00 to 2024-07-19 15:30:00,2024-07-20 15:30:00 to 2024-07-22 15:30:00,60,0.022,2,4.891667193005723,3.392115613092259,100.0,213.24441719055176,880
14,2024-07-08 15:30:00 to 2024-07-22 15:30:00,2024-07-23 15:30:00 to 2024-07-25 15:30:00,60,0.022,5,-9.108203601820389,14.00355774793363,60.0,205.4625508785248,881
15,2024-07-11 15:30:00 to 2024-07-25 15:30:00,2024-07-26 15:30:00 to 2024-07-28 15:30:00,165,0.074,1,0.101882397716472,0.7307534385933327,0.0,204.65661787986755,883
16,2024-07-14 15:30:00 to 2024-07-28 15:30:00,2024-07-29 15:30:00 to 2024-07-31 15:30:00,205,0.078,0,0.0,0.0,0.0,200.70227694511416,885
17,2024-07-17 15:30:00 to 2024-07-31 15:30:00,2024-08-01 15:30:00 to 2024-08-03 15:30:00,205,0.078,2,0.6593769076975332,5.470929802486198,50.0,204.7911868095398,886
18,2024-07-20 15:30:00 to 2024-08-03 15:30:00,2024-08-04 15:30:00 to 2024-08-06 15:30:00,200,0.076,1,-9.605729839728228,28.70615163997185,0.0,211.80147671699524,887
19,2024-07-23 15:30:00 to 2024-08-06 15:30:00,2024-08-07 15:30:00 to 2024-08-09 15:30:00,130,0.058,2,2.2332844564798324,2.9070600924499375,50.0,212.51472902297976,889
20,2024-07-26 15:30:00 to 2024-08-09 15:30:00,2024-08-10 15:30:00 to 2024-08-12 15:30:00,115,0.058,1,1.6893153063738828,4.547944406608797,100.0,213.71056509017944,891
21,2024-07-29 15:30:00 to 2024-08-12 15:30:00,2024-08-13 15:30:00 to 2024-08-15 15:30:00,115,0.058,0,0.0,0.0,0.0,212.2903389930725,892
22,2024-08-01 15:30:00 to 2024-08-15 15:30:00,2024-08-16 15:30:00 to 2024-08-18 15:30:00,295,0.028,1,4.129592409935358,5.446815269263981,100.0,208.42902517318728,893
23,2024-08-04 15:30:00 to 2024-08-18 15:30:00,2024-08-19 15:30:00 to 2024-08-21 15:30:00,85,0.032,3,3.0695282011910967,2.896739578087779,66.66666666666666,206.9182767868042,895
24,2024-08-07 15:30:00 to 2024-08-21 15:30:00,2024-08-22 15:30:00 to 2024-08-24 15:30:00,270,0.05,0,0.0,0.0,0.0,204.61713099479675,897
25,2024-08-10 15:30:00 to 2024-08-24 15:30:00,2024-08-25 15:30:00 to 2024-08-27 15:30:00,145,0.022,1,-8.841061652239677,11.987024509773734,0.0,202.76820921897888,898
26,2024-08-13 15:30:00 to 2024-08-27 15:30:00,2024-08-28 15:30:00 to 2024-08-30 15:30:00,20,0.03,4,-0.9483848603581464,1.9118325837573,50.0,201.1529929637909,899
27,2024-08-16 15:30:00 to 2024-08-30 15:30:00,2024-08-31 15:30:00 to 2024-09-02 15:30:00,65,0.046,1,1.1569076281287198,0.7595508140264411,100.0,200.3449640274048,901
28,2024-08-19 15:30:00 to 2024-09-02 15:30:00,2024-09-03 15:30:00 to 2024-09-05 15:30:00,65,0.046,2,0.4701963045429329,1.1111834744316882,100.0,205.103590965271,903
29,2024-08-22 15:30:00 to 2024-09-05 15:30:00,2024-09-06 15:30:00 to 2024-09-08 15:30:00,65,0.042,1,0.1824839999999858,2.1651428571428553,100.0,204.03856587409973,904
30,2024-08-25 15:30:00 to 2024-09-08 15:30:00,2024-09-09 15:30:00 to 2024-09-11 15:30:00,290,0.032,0,0.0,0.0,0.0,207.41984581947327,905
31,2024-08-28 15:30:00 to 2024-09-11 15:30:00,2024-09-12 15:30:00 to 2024-09-14 15:30:00,185,0.026,1,-0.9330054863283112,3.637790890972997,0.0,205.73219203948975,907
32,2024-08-31 15:30:00 to 2024-09-14 15:30:00,2024-09-15 15:30:00 to 2024-09-17 15:30:00,185,0.03,1,3.433765831556993,5.396781651988093,100.0,202.50058007240295,909
33,2024-09-03 15:30:00 to 2024-09-17 15:30:00,2024-09-18 15:30:00 to 2024-09-20 15:30:00,300,0.03,0,0.0,0.0,0.0,202.51406383514404,910
34,2024-09-06 15:30:00 to 2024-09-20 15:30:00,2024-09-21 15:30:00 to 2024-09-23 15:30:00,30,0.02,7,4.068554471607404,4.619331325460766,85.71428571428571,197.93300890922544,911
35,2024-09-09 15:30:00 to 2024-09-23 15:30:00,2024-09-24 15:30:00 to 2024-09-26 15:30:00,30,0.02,4,0.5562569983826506,2.501645600067674,100.0,201.63898301124573,913
36,2024-09-12 15:30:00 to 2024-09-26 15:30:00,2024-09-27 15:30:00 to 2024-09-29 15:30:00,30,0.02,4,-2.333205826153353,4.941328658760083,50.0,200.4508159160614,915
37,2024-09-15 15:30:00 to 2024-09-29 15:30:00,2024-09-30 15:30:00 to 2024-10-02 15:30:00,30,0.02,4,-8.831434239371173,10.732521134847564,50.0,201.81882333755493,916
38,2024-09-18 15:30:00 to 2024-10-02 15:30:00,2024-10-03 15:30:00 to 2024-10-05 15:30:00,75,0.032,2,3.7666248540749985,2.473945989274919,100.0,204.56442999839783,917
39,2024-09-21 15:30:00 to 2024-10-05 15:30:00,2024-10-06 15:30:00 to 2024-10-08 15:30:00,75,0.032,0,0.0,0.0,0.0,202.72089219093323,919
40,2024-09-24 15:30:00 to 2024-10-08 15:30:00,2024-10-09 15:30:00 to 2024-10-11 15:30:00,60,0.02,5,0.4433997072461715,8.166632356562449,80.0,204.5206789970398,921
41,2024-09-27 15:30:00 to 2024-10-11 15:30:00,2024-10-12 15:30:00 to 2024-10-14 15:30:00,265,0.056,0,0.0,0.0,0.0,203.49722003936768,922
42,2024-09-30 15:30:00 to 2024-10-14 15:30:00,2024-10-15 15:30:00 to 2024-10-17 15:30:00,285,0.054,1,1.3474936234271444,2.229903040403198,0.0,202.0894560813904,923
43,2024-10-03 15:30:00 to 2024-10-17 15:30:00,2024-10-18 15:30:00 to 2024-10-20 15:30:00,45,0.032,2,0.9988629978179052,2.780981039806597,50.0,198.5814859867096,925
44,2024-10-06 15:30:00 to 2024-10-20 15:30:00,2024-10-21 15:30:00 to 2024-10-23 15:30:00,300,0.048,1,1.2165634902710372,5.372473386755287,100.0,200.58701634407043,927
45,2024-10-09 15:30:00 to 2024-10-23 15:30:00,2024-10-24 15:30:00 to 2024-10-26 15:30:00,50,0.04,2,-3.173050819458349,6.806562902976428,50.0,203.778657913208,928
46,2024-10-12 15:30:00 to 2024-10-26 15:30:00,2024-10-27 15:30:00 to 2024-10-29 15:30:00,50,0.04,2,4.519154317184202,1.2077931511714948,100.0,204.8299949169159,929
47,2024-10-15 15:30:00 to 2024-10-29 15:30:00,2024-10-30 15:30:00 to 2024-11-01 15:30:00,115,0.022,3,-0.1030120295123742,5.31275353729779,33.33333333333333,207.44714403152463,931
48,2024-10-18 15:30:00 to 2024-11-01 15:30:00,2024-11-02 15:30:00 to 2024-11-04 15:30:00,275,0.054,1,-5.800566120193308,7.666285592166594,0.0,204.87630701065063,933
49,2024-10-21 15:30:00 to 2024-11-04 15:30:00,2024-11-05 15:30:00 to 2024-11-07 15:30:00,60,0.022,3,3.070877018790634,1.6875444193739282,66.66666666666666,201.8748199939728,934
50,2024-10-24 15:30:00 to 2024-11-07 15:30:00,2024-11-08 15:30:00 to 2024-11-10 15:30:00,60,0.022,2,0.125954391658397,4.153940171888217,50.0,202.5536561012268,935
51,2024-10-27 15:30:00 to 2024-11-10 15:30:00,2024-11-11 15:30:00 to 2024-11-13 15:30:00,55,0.022,5,-0.7270939648029161,9.901545738057576,60.0,201.7006368637085,937
52,2024-10-30 15:30:00 to 2024-11-13 15:30:00,2024-11-14 15:30:00 to 2024-11-16 15:30:00,155,0.042,1,7.271806767065191,6.960240133163182,100.0,208.2411880493164,939
53,2024-11-02 15:30:00 to 2024-11-16 15:30:00,2024-11-17 15:30:00 to 2024-11-19 15:30:00,155,0.042,2,1.0705209595287306,2.6135851556408447,50.0,206.4272892475128,940
54,2024-11-05 15:30:00 to 2024-11-19 15:30:00,2024-11-20 15:30:00 to 2024-11-22 15:30:00,205,0.026,2,-2.612945256997773,11.128600121004316,0.0,212.61206889152527,941
55,2024-11-08 15:30:00 to 2024-11-22 15:30:00,2024-11-23 15:30:00 to 2024-11-25 15:30:00,150,0.044,3,5.97733415888335,4.5167704644487445,66.66666666666666,212.58395886421204,943
56,2024-11-11 15:30:00 to 2024-11-25 15:30:00,2024-11-26 15:30:00 to 2024-11-28 15:30:00,160,0.034,1,2.8430460431683424,3.8276173695563886,100.0,210.4195327758789,945
57,2024-11-14 15:30:00 to 2024-11-28 15:30:00,2024-11-29 15:30:00 to 2024-12-01 15:30:00,160,0.034,0,0.0,0.0,0.0,206.0565559864044,946
58,2024-11-17 15:30:00 to 2024-12-01 15:30:00,2024-12-02 15:30:00 to 2024-12-04 15:30:00,160,0.034,2,4.240514362364192,5.056287846269993,100.0,207.2519748210907,947
59,2024-11-20 15:30:00 to 2024-12-04 15:30:00,2024-12-05 15:30:00 to 2024-12-07 15:30:00,160,0.034,1,1.8093138765324872,0.002416882046419,100.0,204.8763599395752,949
