Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-10 12:30:00 to 2024-12-24 12:30:00,2024-12-25 12:30:00 to 2024-12-27 12:30:00,200,0.06,1,1.9258603796693023,2.2938765434184196,100.0,205.98600912094116,959
2,2024-12-13 12:30:00 to 2024-12-27 12:30:00,2024-12-28 12:30:00 to 2024-12-30 12:30:00,190,0.062,0,0.0,0.0,0.0,212.90516710281372,961
3,2024-12-16 12:30:00 to 2024-12-30 12:30:00,2024-12-31 12:30:00 to 2025-01-02 12:30:00,245,0.032,0,0.0,0.0,0.0,207.8329029083252,962
4,2024-12-19 12:30:00 to 2025-01-02 12:30:00,2025-01-03 12:30:00 to 2025-01-05 12:30:00,80,0.048,1,2.3813943961318182,2.9995921112629573,100.0,208.3988001346588,963
5,2024-12-22 12:30:00 to 2025-01-05 12:30:00,2025-01-06 12:30:00 to 2025-01-08 12:30:00,115,0.026,3,-5.663564232360441,8.51539491680828,66.66666666666666,204.67493510246277,965
6,2024-12-25 12:30:00 to 2025-01-08 12:30:00,2025-01-09 12:30:00 to 2025-01-11 12:30:00,100,0.066,3,5.103087777081855,3.821146617099464,66.66666666666666,208.7602021694183,967
7,2024-12-28 12:30:00 to 2025-01-11 12:30:00,2025-01-12 12:30:00 to 2025-01-14 12:30:00,110,0.076,1,3.401850619950037,8.76783944376613,100.0,209.71748781204224,968
8,2024-12-31 12:30:00 to 2025-01-14 12:30:00,2025-01-15 12:30:00 to 2025-01-17 12:30:00,60,0.07,0,0.0,0.0,0.0,210.47177696228027,969
9,2025-01-03 12:30:00 to 2025-01-17 12:30:00,2025-01-18 12:30:00 to 2025-01-20 12:30:00,110,0.078,2,4.448721846103526,4.82316297907589,100.0,209.4398877620697,971
10,2025-01-06 12:30:00 to 2025-01-20 12:30:00,2025-01-21 12:30:00 to 2025-01-23 12:30:00,110,0.078,1,-1.495250884972247,1.908683128326672,0.0,215.67743611335752,973
11,2025-01-09 12:30:00 to 2025-01-23 12:30:00,2025-01-24 12:30:00 to 2025-01-26 12:30:00,95,0.07,1,3.3150503967584157,1.5987402306054876,100.0,211.3382430076599,974
12,2025-01-12 12:30:00 to 2025-01-26 12:30:00,2025-01-27 12:30:00 to 2025-01-29 12:30:00,95,0.05,2,-2.959041162950052,13.322606953099804,50.0,213.0356101989746,975
13,2025-01-15 12:30:00 to 2025-01-29 12:30:00,2025-01-30 12:30:00 to 2025-02-01 12:30:00,200,0.068,1,-1.9014426926087251,3.958431404053314,0.0,217.1796832084656,977
14,2025-01-18 12:30:00 to 2025-02-01 12:30:00,2025-02-02 12:30:00 to 2025-02-04 12:30:00,150,0.052,1,-9.608190761113566,25.70336514973405,0.0,217.6667799949646,979
15,2025-01-21 12:30:00 to 2025-02-04 12:30:00,2025-02-05 12:30:00 to 2025-02-07 12:30:00,25,0.064,2,-0.2373968778581184,2.801676281112741,50.0,213.19136095046997,980
16,2025-01-24 12:30:00 to 2025-02-07 12:30:00,2025-02-08 12:30:00 to 2025-02-10 12:30:00,25,0.064,0,0.0,0.0,0.0,215.81328201293945,981
17,2025-01-27 12:30:00 to 2025-02-10 12:30:00,2025-02-11 12:30:00 to 2025-02-13 12:30:00,25,0.064,1,2.7031627021884015,0.1510912470446464,100.0,213.04470801353455,983
18,2025-01-30 12:30:00 to 2025-02-13 12:30:00,2025-02-14 12:30:00 to 2025-02-16 12:30:00,300,0.052,0,0.0,0.0,0.0,214.7301349639893,985
19,2025-02-02 12:30:00 to 2025-02-16 12:30:00,2025-02-17 12:30:00 to 2025-02-19 12:30:00,60,0.064,1,0.6814331550801944,4.826081368778061,100.0,213.01895475387573,986
20,2025-02-05 12:30:00 to 2025-02-19 12:30:00,2025-02-20 12:30:00 to 2025-02-22 12:30:00,110,0.04,1,3.0901013566739493,2.128215693269532,100.0,210.3368170261383,987
21,2025-02-08 12:30:00 to 2025-02-22 12:30:00,2025-02-23 12:30:00 to 2025-02-25 12:30:00,125,0.022,3,1.40239322767653,12.4576668544218,66.66666666666666,205.70116996765137,989
22,2025-02-11 12:30:00 to 2025-02-25 12:30:00,2025-02-26 12:30:00 to 2025-02-28 12:30:00,25,0.038,0,0.0,0.0,0.0,208.1369652748108,991
23,2025-02-14 12:30:00 to 2025-02-28 12:30:00,2025-03-01 12:30:00 to 2025-03-03 12:30:00,25,0.04,1,-0.6621499694816521,2.806487392720831,0.0,208.7779221534729,992
24,2025-02-17 12:30:00 to 2025-03-03 12:30:00,2025-03-04 12:30:00 to 2025-03-06 12:30:00,120,0.07,1,-2.636206575272445,11.481683973867856,0.0,207.82500505447388,993
25,2025-02-20 12:30:00 to 2025-03-06 12:30:00,2025-03-07 12:30:00 to 2025-03-09 12:30:00,15,0.026,2,1.403796681238473,1.7018339569771683,100.0,208.38087558746335,995
