datetime,equity,volume,symbol,normalized_period
2020-02-03 08:00:00,10000.0,,LINKUSDT,66
2020-02-04 15:15:00,10062.96603773585,4635135.3,LINKUSDT,66
2020-02-27 08:00:00,10062.96603773585,,DASHUSDT,78
2020-02-28 11:30:00,10151.06535489914,148017.20800000007,DASHUSDT,78
2020-03-01 08:00:00,10151.06535489914,,BNBUSDT,79
2020-03-02 08:00:00,10200.282593762386,,ONTUSDT,80
2020-03-03 22:45:00,10200.282593762386,1764447.3900000006,BNBUSDT,79
2020-03-05 08:15:00,10200.282593762386,,XRPUSDT,81
2020-03-09 08:00:00,10200.282593762386,,IOSTUSDT,83
2020-03-13 08:00:00,10200.282593762386,,DASHUSDT,85
2020-03-17 08:15:00,10200.282593762386,,XRPUSDT,87
2020-03-21 08:00:00,10200.282593762386,,XTZUSDT,89
2020-03-23 03:45:00,10220.68262385312,17840581.40000001,XTZUSDT,89
2020-03-25 08:00:00,10220.68262385312,,LINKUSDT,91
2020-03-29 08:00:00,10220.68262385312,,ZECUSDT,93
2020-03-30 05:15:00,10379.33923299869,65217.63800000004,ZECUSDT,93
2020-04-02 08:00:00,10379.33923299869,,IOSTUSDT,95
2020-04-06 08:00:00,10379.33923299869,,LINKUSDT,97
2020-04-07 08:00:00,10379.33923299869,,ONTUSDT,98
2020-04-09 13:45:00,10482.071912634241,4966632.5,ONTUSDT,98
2020-04-10 08:00:00,10482.071912634241,,ZECUSDT,99
2020-04-12 14:15:00,10568.201155863308,428360.24500000005,ZECUSDT,99
2020-04-14 08:00:00,10568.201155863308,,XMRUSDT,101
2020-04-16 06:30:00,10686.800077208518,104230.838,XMRUSDT,101
2020-04-18 08:00:00,10686.800077208518,,LINKUSDT,103
2020-04-19 08:00:00,10939.625293986779,,VETUSDT,104
2020-04-20 02:15:00,10827.477582186653,37376930.34,LINKUSDT,103
2020-04-20 14:30:00,10939.625293986779,36653397.29999998,LINKUSDT,103
2020-04-21 15:45:00,10613.27969739385,656944135.0,VETUSDT,104
2020-04-22 08:00:00,10613.27969739385,,QTUMUSDT,105
2020-04-26 08:00:00,10613.27969739385,,ADAUSDT,107
2020-04-27 07:45:00,10844.127217667929,,ETHUSDT,108
2020-04-27 22:30:00,10844.127217667929,796234189.0,ADAUSDT,107
2020-04-30 08:00:00,10844.127217667929,,DASHUSDT,109
2020-05-04 08:00:00,10844.127217667929,,QTUMUSDT,111
2020-05-08 08:00:00,10844.127217667929,,XMRUSDT,113
2020-05-09 08:00:00,10844.127217667929,,DASHUSDT,114
2020-05-12 06:15:00,10529.058581658122,138128.22699999998,DASHUSDT,114
2020-05-12 08:00:00,10529.058581658122,,LINKUSDT,115
2020-05-16 08:15:00,10529.058581658122,,XRPUSDT,117
2020-05-20 08:00:00,10529.058581658122,,ADAUSDT,119
2020-05-21 07:45:00,10293.287231276276,,ETHUSDT,120
2020-05-22 06:00:00,10293.287231276276,401194137.0,ADAUSDT,119
2020-05-24 08:00:00,10293.287231276276,,LINKUSDT,121
2020-05-25 08:00:00,10342.54057054294,,VETUSDT,122
2020-05-25 17:45:00,10342.54057054294,13203582.060000006,LINKUSDT,121
2020-05-28 01:00:00,10449.401097125274,2014998052.0,VETUSDT,122
2020-05-28 08:00:00,10449.401097125272,,ZECUSDT,123
2020-06-01 08:00:00,10449.401097125272,,XTZUSDT,125
2020-06-02 07:45:00,10665.818502340368,,ETHUSDT,126
2020-06-03 16:15:00,10665.818502340368,19230414.999999996,XTZUSDT,125
2020-06-03 18:45:00,10813.868597989083,1922254.0589999992,ETHUSDT,126
2020-06-05 07:45:00,10813.868597989083,,ETHUSDT,127
2020-06-07 20:00:00,10945.29511347993,972015.8529999997,ETHUSDT,127
2020-06-09 08:00:00,10945.29511347993,,ZECUSDT,129
2020-06-13 08:00:00,10945.29511347993,,ADAUSDT,131
2020-06-15 16:00:00,10961.32845924775,375812871.0,ADAUSDT,131
2020-06-17 12:00:00,10961.32845924775,,ATOMUSDT,133
2020-06-21 08:00:00,10961.32845924775,,ZECUSDT,135
2020-06-25 08:00:00,10961.32845924775,,ADAUSDT,137
2020-06-26 08:00:00,10961.32845924775,,BNBUSDT,138
2020-06-28 19:15:00,11203.423700414782,433305.79999999976,BNBUSDT,138
2020-06-29 12:00:00,11203.42370041478,,ATOMUSDT,139
2020-07-03 08:00:00,11203.42370041478,,ZECUSDT,141
2020-07-07 08:00:00,11203.42370041478,,XTZUSDT,143
2020-07-08 08:00:00,11415.541618511474,,DASHUSDT,144
2020-07-09 06:45:00,11415.541618511474,19109742.800000004,XTZUSDT,143
2020-07-10 23:15:00,11522.63114133655,104475.881,DASHUSDT,144
2020-07-11 08:00:00,11522.63114133655,,DASHUSDT,145
2020-07-12 08:00:00,11522.63114133655,,ONTUSDT,146
2020-07-14 12:30:00,12176.682208434318,31446575.3,ONTUSDT,146
2020-07-15 08:00:00,12176.682208434317,,TRXUSDT,147
2020-07-17 01:15:00,12369.37433055213,827782047.0,TRXUSDT,147
2020-07-19 08:00:00,12369.37433055213,,ADAUSDT,149
2020-07-20 08:00:00,12369.37433055213,,DASHUSDT,150
2020-07-23 09:00:00,12369.37433055213,,ZILUSDT,151
2020-07-27 08:00:00,12369.37433055213,,ONTUSDT,153
2020-07-30 17:45:00,12369.37433055213,,BTCUSDT,155
2020-08-04 09:00:00,12369.37433055213,,ZRXUSDT,157
2020-08-05 08:45:00,12369.37433055213,,BCHUSDT,158
2020-08-08 08:15:00,12369.37433055213,,XRPUSDT,159
2020-08-09 08:00:00,12635.881067109653,,XTZUSDT,160
2020-08-09 20:15:00,12415.395653776673,349529012.8000002,XRPUSDT,159
2020-08-10 12:15:00,12635.881067109653,469007079.6000002,XRPUSDT,159
2020-08-11 13:45:00,12789.614890315983,88275858.39999999,XTZUSDT,160
2020-08-11 17:00:00,13127.27678134527,96016117.7,XTZUSDT,160
2020-08-12 08:00:00,13127.27678134527,,ADAUSDT,161
2020-08-16 08:00:00,13127.27678134527,,EOSUSDT,163
2020-08-17 08:45:00,13127.27678134527,,KNCUSDT,164
2020-08-18 16:15:00,12874.596669261122,10770625.0,KNCUSDT,164
2020-08-19 01:15:00,12963.716025060765,11923536.0,KNCUSDT,164
2020-08-19 13:15:00,12786.142616388335,11273758.0,KNCUSDT,164
2020-08-19 21:15:00,12919.181502541473,10673641.0,KNCUSDT,164
2020-08-20 08:00:00,12919.181502541473,,VETUSDT,165
2020-08-21 13:15:00,13529.271225843508,1633287887.0,VETUSDT,165
2020-08-22 21:45:00,13506.466471095453,1643795506.0,VETUSDT,165
2020-08-24 08:00:00,13506.466471095453,,XMRUSDT,167
2020-08-26 14:45:00,13459.954569709616,98722.085,XMRUSDT,167
2020-08-28 07:45:00,13459.954569709616,,ETHUSDT,169
2020-08-29 08:00:00,13459.954569709616,,TRXUSDT,170
2020-09-01 09:00:00,13459.954569709616,,DOGEUSDT,171
2020-09-02 09:00:00,13483.589135657448,982431870.0,DOGEUSDT,171
2020-09-05 08:00:00,13483.589135657448,,ETCUSDT,173
2020-09-09 08:00:00,13483.589135657448,,DASHUSDT,175
2020-09-13 08:00:00,13483.589135657448,,LTCUSDT,177
2020-09-14 07:00:00,13483.589135657448,,DOTUSDT,178
2020-09-17 08:00:00,13483.589135657448,,XMRUSDT,179
2020-09-21 08:00:00,13483.589135657448,,EOSUSDT,181
2020-09-22 16:15:00,13572.638312538462,19672996.399999995,EOSUSDT,181
2020-09-25 08:45:00,13572.63831253846,,KNCUSDT,183
2020-09-28 17:45:00,13572.63831253846,,BTCUSDT,185
2020-10-03 08:00:00,13572.63831253846,,XLMUSDT,187
2020-10-07 08:00:00,13572.63831253846,,ONTUSDT,189
2020-10-11 08:00:00,13572.63831253846,,IOTAUSDT,191
2020-10-15 07:00:00,13572.63831253846,,SUSHIUSDT,193
2020-10-16 08:00:00,13572.63831253846,,VETUSDT,194
2020-10-19 08:00:00,13572.63831253846,,LTCUSDT,195
2020-10-21 03:15:00,13850.34150518629,902759.5769999998,LTCUSDT,195
2020-10-23 08:00:00,13850.34150518629,,IOSTUSDT,197
2020-10-24 07:00:00,13850.34150518629,,SUSHIUSDT,198
2020-10-25 20:30:00,13832.62756488103,12655201.0,SUSHIUSDT,198
2020-10-26 18:30:00,14142.157797091319,18817025.0,SUSHIUSDT,198
2020-10-27 07:45:00,14142.157797091319,,ETHUSDT,199
2020-10-28 07:00:00,14250.661930014425,,FLMUSDT,200
2020-10-29 14:30:00,14250.661930014425,2727054.1820000005,ETHUSDT,199
2020-10-29 14:30:00,14380.961960610608,36324423.0,FLMUSDT,200
2020-10-30 08:15:00,13987.276884782736,32068909.0,FLMUSDT,200
2020-10-31 08:45:00,13987.276884782736,,BCHUSDT,201
2020-11-04 07:00:00,13987.276884782736,,UNIUSDT,203
2020-11-05 11:00:00,13785.117745746456,29376376.0,UNIUSDT,203
2020-11-06 00:30:00,14624.317678015026,78494134.0,UNIUSDT,203
2020-11-06 21:15:00,14801.09408667973,76246818.0,UNIUSDT,203
2020-11-08 07:00:00,14801.09408667973,,RSRUSDT,205
2020-11-09 07:00:00,14801.09408667973,,AVAXUSDT,206
2020-11-10 18:00:00,14968.021888858488,5342086.0,AVAXUSDT,206
2020-11-12 01:30:00,14935.102806215691,5180088.0,AVAXUSDT,206
2020-11-12 08:00:00,14935.102806215693,,ONTUSDT,207
2020-11-13 08:00:00,15280.518431041623,,NEARUSDT,208
2020-11-13 09:00:00,15117.58464043754,8608078.1,ONTUSDT,207
2020-11-15 02:00:00,15280.518431041623,13485254.3,ONTUSDT,207
2020-11-16 07:00:00,15280.518431041623,,MKRUSDT,209
2020-11-20 09:00:00,15280.518431041623,,COMPUSDT,211
2020-11-21 07:00:00,16547.486022490724,,KSMUSDT,212
2020-11-21 07:30:00,15514.17464631984,252985.72799999992,COMPUSDT,211
2020-11-22 09:45:00,16833.958194667743,338457.69999999995,KSMUSDT,212
2020-11-22 18:15:00,16062.55405768095,332196.72199999995,COMPUSDT,211
2020-11-23 04:15:00,16988.226033078106,280829.2,KSMUSDT,212
2020-11-23 05:30:00,16547.486022490724,271928.06000000006,COMPUSDT,211
2020-11-23 21:30:00,17148.679793290445,241382.0000000001,KSMUSDT,212
2020-11-24 07:00:00,17148.679793290445,,KSMUSDT,213
2020-11-25 07:15:00,17648.583471109694,668375.1999999997,KSMUSDT,213
2020-11-25 10:45:00,17750.1934977465,498893.7999999999,KSMUSDT,213
2020-11-26 02:00:00,17653.368868213016,354319.0999999999,KSMUSDT,213
2020-11-26 06:15:00,18145.997344401487,460921.5,KSMUSDT,213
2020-11-26 10:15:00,18575.16273924526,587536.9999999999,KSMUSDT,213
2020-11-27 03:45:00,18990.212694938244,1180427.8000000005,KSMUSDT,213
2020-11-28 08:00:00,18990.212694938244,,THETAUSDT,215
2020-11-29 09:00:00,18990.212694938244,,SXPUSDT,216
2020-11-30 14:00:00,19317.162892272012,60899741.89999998,SXPUSDT,216
2020-11-30 16:15:00,19644.43722295585,104299350.50000004,SXPUSDT,216
2020-11-30 18:15:00,19923.325969288264,154641506.70000008,SXPUSDT,216
2020-11-30 23:45:00,20101.740130919272,224027559.30000007,SXPUSDT,216
2020-12-01 14:45:00,20580.336564837635,218330050.80000004,SXPUSDT,216
2020-12-02 09:00:00,20580.336564837635,,ZILUSDT,217
2020-12-03 03:00:00,20817.259089253053,879615965.0,ZILUSDT,217
2020-12-04 19:15:00,20655.98305500217,566032109.0,ZILUSDT,217
2020-12-05 01:00:00,20883.608028290444,595642331.0,ZILUSDT,217
2020-12-06 07:00:00,20883.608028290444,,KSMUSDT,219
2020-12-09 07:00:00,19072.59844089525,190584.20000000004,KSMUSDT,219
2020-12-10 07:00:00,21115.753644011464,,UNIUSDT,221
2020-12-10 15:45:00,20876.426272902274,258935.50000000003,KSMUSDT,219
2020-12-11 03:30:00,20866.074184789017,198051.29999999996,KSMUSDT,219
2020-12-11 07:00:00,20859.016255345043,,RSRUSDT,222
2020-12-11 08:30:00,20960.199503374093,209931.19999999995,KSMUSDT,219
2020-12-11 12:30:00,21115.753644011464,214194.09999999992,KSMUSDT,219
2020-12-11 12:45:00,20859.016255345046,9170659.0,UNIUSDT,221
2020-12-14 06:00:00,20944.156909368285,510788859.0,RSRUSDT,222
2020-12-14 07:45:00,20944.156909368285,,ETHUSDT,223
2020-12-18 08:00:00,20944.156909368285,,TRXUSDT,225
2020-12-22 06:45:00,20944.156909368285,,ICXUSDT,227
2020-12-23 13:15:00,20800.786502768577,12135660.0,ICXUSDT,227
2020-12-23 23:30:00,20726.389964189002,15376718.0,ICXUSDT,227
2020-12-24 01:45:00,20873.77815906337,20920694.0,ICXUSDT,227
2020-12-26 07:00:00,20873.77815906337,,BALUSDT,229
2020-12-30 08:45:00,20873.77815906337,,BCHUSDT,231
2020-12-31 08:00:00,21096.99157549216,,ETCUSDT,232
2020-12-31 16:30:00,20990.902780688888,562116.8800000001,BCHUSDT,231
2021-01-01 22:30:00,21096.991575492157,487003.9229999999,BCHUSDT,231
2021-01-03 07:30:00,21096.99157549216,,SKLUSDT,233
2021-01-04 12:00:00,21712.28693751653,,ATOMUSDT,234
2021-01-04 15:45:00,21712.28693751653,86303139.0,SKLUSDT,233
2021-01-07 08:00:00,21712.28693751653,,DASHUSDT,235
2021-01-08 11:00:00,22528.543255425833,467881.554,DASHUSDT,235
2021-01-08 16:30:00,22812.384622085545,413489.569,DASHUSDT,235
2021-01-09 03:30:00,23328.005466411803,395316.52199999994,DASHUSDT,235
2021-01-11 08:00:00,23328.005466411807,,LTCUSDT,237
2021-01-15 08:00:00,23328.005466411807,,IOTAUSDT,239
2021-01-17 12:30:00,23052.075322448003,48557072.7,IOTAUSDT,239
2021-01-18 07:15:00,23555.361947099707,41513832.999999985,IOTAUSDT,239
2021-01-19 08:00:00,23555.361947099707,,LINKUSDT,241
2021-01-20 05:30:00,23746.439144685155,26353562.149999995,LINKUSDT,241
2021-01-20 13:45:00,23643.40456395382,26684032.9,LINKUSDT,241
2021-01-21 06:15:00,23839.93063214436,32563469.709999997,LINKUSDT,241
2021-01-21 12:15:00,23509.309881701858,32583376.79999999,LINKUSDT,241
2021-01-21 16:15:00,23807.0063548182,34285814.48,LINKUSDT,241
2021-01-21 18:30:00,23941.438897239193,34573311.76999999,LINKUSDT,241
2021-01-22 01:45:00,22994.369219800832,34750195.48999998,LINKUSDT,241
2021-01-23 08:00:00,22994.369219800836,,QTUMUSDT,243
2021-01-24 08:00:00,23160.999903397777,,NEARUSDT,244
2021-01-24 21:45:00,23160.999903397777,30483658.09999999,QTUMUSDT,243
2021-01-26 00:15:00,23173.49600616509,6173994.0,NEARUSDT,244
2021-01-26 17:15:00,22368.505021286346,3544502.0,NEARUSDT,244
2021-01-27 07:00:00,22368.505021286346,,DEFIUSDT,245
2021-01-29 09:00:00,22458.02233423057,23507.727000000006,DEFIUSDT,245
2021-01-31 08:00:00,22458.02233423057,,EOSUSDT,247
2021-02-01 07:00:00,22954.45203650432,,ENJUSDT,248
2021-02-01 22:45:00,22954.45203650432,137056638.40000007,EOSUSDT,247
2021-02-02 12:30:00,22727.65354174392,78168043.0,ENJUSDT,248
2021-02-04 08:00:00,22727.65354174392,,LTCUSDT,249
2021-02-05 21:45:00,22908.47763716608,3198843.711,LTCUSDT,249
2021-02-07 07:15:00,23022.226983043714,2827587.2169999997,LTCUSDT,249
2021-02-08 08:00:00,23022.226983043718,,NEARUSDT,251
2021-02-11 05:45:00,24030.59830317564,10235835.0,NEARUSDT,251
2021-02-12 08:00:00,24030.59830317564,,XLMUSDT,253
2021-02-13 08:00:00,25027.23533317233,,ZECUSDT,254
2021-02-13 11:30:00,24372.46538138644,1653544506.0,XLMUSDT,253
2021-02-13 23:15:00,25027.23533317233,1562057982.0,XLMUSDT,253
2021-02-14 06:45:00,25570.225530613145,1394994.6379999996,ZECUSDT,254
2021-02-14 12:30:00,25973.89294446311,1210829.8179999995,ZECUSDT,254
2021-02-14 20:00:00,25792.667855641725,1111057.502,ZECUSDT,254
2021-02-15 03:30:00,24459.45484324505,731983.1459999998,ZECUSDT,254
2021-02-15 06:00:00,24964.793948215094,910448.3819999998,ZECUSDT,254
2021-02-16 01:30:00,24496.30458487424,1130195.186,ZECUSDT,254
2021-02-17 07:00:00,25534.857589138748,,BANDUSDT,256
2021-02-19 05:15:00,26205.813685626814,6618108.8999999985,BANDUSDT,256
2021-02-19 08:45:00,24496.30458487424,,KNCUSDT,255
2021-02-20 04:45:00,24792.064979387866,13617895.0,KNCUSDT,255
2021-02-20 08:00:00,26205.813685626814,,IOTAUSDT,257
2021-02-20 16:15:00,25053.380908985087,17461658.0,KNCUSDT,255
2021-02-21 07:00:00,25221.577130216807,17864655.0,KNCUSDT,255
2021-02-21 07:00:00,26516.457410393854,,RUNEUSDT,258
2021-02-21 08:15:00,26510.32424634347,52546046.99999999,IOTAUSDT,257
2021-02-21 23:30:00,25534.857589138748,17547205.0,KNCUSDT,255
2021-02-22 05:15:00,26788.79191880727,32497039.299999997,IOTAUSDT,257
2021-02-22 07:30:00,26751.54086950383,7469386.0,RUNEUSDT,258
2021-02-22 10:45:00,26992.83564372797,34110337.99999999,IOTAUSDT,257
2021-02-22 10:45:00,27390.723235685604,9037699.0,RUNEUSDT,258
2021-02-22 14:45:00,25768.993701974363,39746511.3,IOTAUSDT,257
2021-02-22 15:00:00,29735.649833459607,10539110.0,RUNEUSDT,258
2021-02-22 19:15:00,26243.174089679942,72436521.7,IOTAUSDT,257
2021-02-23 00:00:00,26478.656477321034,74061224.1,IOTAUSDT,257
2021-02-23 04:15:00,25725.2231940806,73527159.29999998,IOTAUSDT,257
2021-02-23 06:15:00,26163.992032116144,74011955.70000003,IOTAUSDT,257
2021-02-23 07:45:00,26516.45741039385,77516428.6,IOTAUSDT,257
2021-02-23 12:45:00,28004.10974159691,16210825.0,RUNEUSDT,258
2021-02-24 08:00:00,28004.10974159691,,LINKUSDT,259
2021-02-26 14:30:00,28378.464707202515,17009259.089999996,LINKUSDT,259
2021-02-28 09:00:00,28378.464707202515,,DOGEUSDT,261
2021-03-01 07:30:00,28378.464707202515,,SKLUSDT,262
2021-03-04 08:00:00,28378.464707202515,,XMRUSDT,263
2021-03-05 03:45:00,28266.417979203292,182645.364,XMRUSDT,263
2021-03-08 07:00:00,28266.417979203292,,BELUSDT,265
2021-03-09 08:00:00,28266.417979203292,,TRXUSDT,266
2021-03-10 04:00:00,28508.092360506707,2110740224.0,TRXUSDT,266
2021-03-11 04:15:00,28497.91250129129,2313063098.0,TRXUSDT,266
2021-03-12 08:00:00,28497.91250129129,,VETUSDT,267
2021-03-13 04:45:00,28974.50736745548,2718814065.0,VETUSDT,267
2021-03-13 07:00:00,29895.06317382656,,SFPUSDT,268
2021-03-14 03:45:00,29351.63708024342,1633363025.0,VETUSDT,267
2021-03-14 09:00:00,29547.536793799158,1631875526.0,VETUSDT,267
2021-03-14 12:15:00,29895.06317382656,1520782804.0,VETUSDT,267
2021-03-15 13:30:00,28207.526998235666,124075326.0,SFPUSDT,268
2021-03-16 04:15:00,28475.434303634123,84187978.0,SFPUSDT,268
2021-03-16 07:00:00,28475.434303634123,,DOTUSDT,269
2021-03-17 07:00:00,28653.481948000663,,SUSHIUSDT,270
2021-03-17 16:30:00,28589.869489155317,12288736.600000003,DOTUSDT,269
2021-03-19 02:45:00,28956.95939985105,8658428.0,SUSHIUSDT,270
2021-03-19 04:00:00,28653.481948000663,10282403.600000003,DOTUSDT,269
2021-03-20 07:00:00,28956.959399851054,,BELUSDT,271
2021-03-22 06:30:00,29128.580163066195,8484496.0,BELUSDT,271
2021-03-24 08:15:00,29128.580163066195,,XRPUSDT,273
2021-03-25 09:15:00,30058.924504792954,2187529313.0999994,XRPUSDT,273
2021-03-25 14:15:00,30474.07674580084,2688914509.0000014,XRPUSDT,273
2021-03-28 07:00:00,30474.07674580084,,YFIUSDT,275
2021-04-01 07:00:00,30474.07674580084,,MANAUSDT,277
2021-04-03 19:15:00,31012.809514825225,42165292.0,MANAUSDT,277
2021-04-04 00:45:00,31237.255087553105,50214854.0,MANAUSDT,277
2021-04-05 07:00:00,31237.255087553105,,GRTUSDT,279
2021-04-06 16:45:00,31533.831483765676,73769354.0,GRTUSDT,279
2021-04-07 10:15:00,31849.086619431197,72941262.0,GRTUSDT,279
2021-04-07 12:45:00,32078.60599205166,79143626.0,GRTUSDT,279
2021-04-07 19:45:00,32197.455648162606,86383465.0,GRTUSDT,279
2021-04-09 07:00:00,32197.455648162606,,SFPUSDT,281
2021-04-13 12:00:00,32197.455648162606,,ATOMUSDT,283
2021-04-14 15:45:00,33001.854705652084,11757210.37,ATOMUSDT,283
2021-04-14 20:00:00,33467.745555677546,11266357.650000002,ATOMUSDT,283
2021-04-16 04:00:00,34021.36715135994,8362298.259999999,ATOMUSDT,283
2021-04-17 09:00:00,34021.36715135994,,ALGOUSDT,285
2021-04-21 06:45:00,34021.36715135994,,ICXUSDT,287
2021-04-23 20:15:00,32741.124902538693,16516067.0,ICXUSDT,287
2021-04-25 07:00:00,32741.124902538693,,STORJUSDT,289
2021-04-29 07:00:00,32741.124902538693,,MTLUSDT,291
2021-05-03 07:00:00,32741.124902538693,,ALPHAUSDT,293
2021-05-05 02:15:00,31516.78672574381,45375930.0,ALPHAUSDT,293
2021-05-05 07:15:00,31818.209365161758,37182246.0,ALPHAUSDT,293
2021-05-07 07:00:00,31818.209365161758,,RSRUSDT,295
2021-05-11 08:45:00,31818.209365161758,,NEOUSDT,297
2021-05-12 09:45:00,32030.208056106403,2136201.25,NEOUSDT,297
2021-05-12 20:45:00,31498.17961503514,2192744.23,NEOUSDT,297
2021-05-12 23:00:00,31960.004756614646,2326765.1399999997,NEOUSDT,297
2021-05-13 01:30:00,32999.58742323204,2526492.34,NEOUSDT,297
2021-05-13 04:15:00,33348.504890199314,3354594.37,NEOUSDT,297
2021-05-13 12:00:00,33202.283689250384,3486312.7300000004,NEOUSDT,297
2021-05-13 20:15:00,33740.763642253776,4320195.830000001,NEOUSDT,297
2021-05-15 07:00:00,33740.763642253776,,SFPUSDT,299
2021-05-16 21:15:00,33676.18395794591,10995650.0,SFPUSDT,299
