normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
80,LTCUSDT,14,2020-03-03 08:00:00 to 2020-03-05 08:00:00,0.0,0,0,0.0,0.0,0.0,79,9,3,3,8,3.75
87,QTUMUSDT,5,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,0,0,0.0,0.0,0.0,86,9,9,3,3,7.2
93,ONTUSDT,12,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0.0,0,0,0.0,0.0,0.0,92,9,9,5,4,7.6499999999999995
96,BNBUSDT,14,2020-04-04 08:00:00 to 2020-04-06 08:00:00,0.0,0,0,0.0,0.0,0.0,95,9,2,2,7,2.75
98,XRPUSDT,27,2020-04-08 08:15:00 to 2020-04-10 08:15:00,0.0,0,0,0.0,0.0,0.0,97,9,5,5,15,6.5
99,QTUMUSDT,13,2020-04-11 08:00:00 to 2020-04-13 08:00:00,-1.9190427930507514,0,1,0.0,-1.9190427930507514,1.0,98,9,9,4,1,7.05
104,NEOUSDT,17,2020-04-20 08:45:00 to 2020-04-22 08:45:00,1.0907387875157992,1,1,100.0,0.0,999.0,103,9,4,4,6,4.3
105,BCHUSDT,38,2020-04-23 08:45:00 to 2020-04-25 08:45:00,0.0,0,0,0.0,0.0,0.0,104,9,9,5,5,7.8
111,NEOUSDT,22,2020-05-05 08:45:00 to 2020-05-07 08:45:00,0.0,0,0,0.0,0.0,0.0,110,9,9,1,1,6.6000000000000005
117,BCHUSDT,46,2020-05-17 08:45:00 to 2020-05-19 08:45:00,0.0,0,0,0.0,0.0,0.0,116,9,9,1,1,6.6000000000000005
123,VETUSDT,31,2020-05-29 08:00:00 to 2020-05-31 08:00:00,0.0,0,0,0.0,0.0,0.0,122,9,9,1,1,6.6000000000000005
129,ONTUSDT,36,2020-06-10 08:00:00 to 2020-06-12 08:00:00,0.0,0,0,0.0,0.0,0.0,128,9,9,1,1,6.6000000000000005
135,LTCUSDT,51,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0.0,0,0,0.0,0.0,0.0,134,9,9,1,1,6.6000000000000005
138,ATOMUSDT,43,2020-06-27 12:00:00 to 2020-06-29 12:00:00,-5.007768228873665,0,1,0.0,-5.007768228873665,1.0,137,9,2,3,13,3.8
141,ALGOUSDT,2,2020-07-04 09:00:00 to 2020-07-06 09:00:00,0.0,0,0,0.0,0.0,0.0,140,9,9,1,1,6.6000000000000005
144,BNBUSDT,46,2020-07-09 08:00:00 to 2020-07-11 08:00:00,-1.1824689679524214,0,1,0.0,-1.1824689679524214,1.0,143,9,3,3,8,3.75
145,XLMUSDT,54,2020-07-12 08:00:00 to 2020-07-14 08:00:00,-1.502400809724147,0,1,0.0,-1.502400809724147,1.0,144,9,9,4,1,7.05
147,NEOUSDT,46,2020-07-16 08:45:00 to 2020-07-18 08:45:00,-1.2662290750311778,0,1,0.0,-1.2662290750311778,1.0,146,9,9,3,2,7.05
150,BNBUSDT,50,2020-07-21 08:00:00 to 2020-07-23 08:00:00,0.0,0,0,0.0,0.0,0.0,149,9,2,2,11,3.3499999999999996
151,LINKUSDT,59,2020-07-24 08:00:00 to 2020-07-26 08:00:00,-1.6335501793160678,0,1,0.0,-1.6335501793160678,1.0,150,9,9,2,2,6.8999999999999995
153,LTCUSDT,63,2020-07-28 08:00:00 to 2020-07-30 08:00:00,-1.2923989076338627,0,1,0.0,-1.2923989076338627,1.0,152,9,5,5,6,5.15
154,ETCUSDT,61,2020-07-29 08:00:00 to 2020-07-31 08:00:00,0.4148965853548736,1,1,100.0,-1.2685699432308462,0.3270585020311911,153,9,9,10,21,10.95
157,EOSUSDT,66,2020-08-05 08:00:00 to 2020-08-07 08:00:00,0.0,0,0,0.0,0.0,0.0,156,9,9,3,1,6.9
159,VETUSDT,55,2020-08-09 08:00:00 to 2020-08-11 08:00:00,2.4735222979016758,1,1,100.0,-4.526270492196893,0.5464813254457346,158,9,9,2,1,6.75
163,ZRXUSDT,14,2020-08-17 09:00:00 to 2020-08-19 09:00:00,-1.8453585790564109,0,1,0.0,-1.8453585790564109,1.0,162,9,9,5,1,7.2
165,BCHUSDT,78,2020-08-21 08:45:00 to 2020-08-23 08:45:00,1.132032700162977,1,1,100.0,0.0,999.0,164,9,9,10,11,9.45
166,BANDUSDT,4,2020-08-22 07:00:00 to 2020-08-24 07:00:00,-0.8654860392049435,1,2,50.0,-4.173438438404209,0.20737961083616177,165,9,10,1,12,8.95
167,IOTAUSDT,61,2020-08-25 08:00:00 to 2020-08-27 08:00:00,-1.1151871033025285,0,1,0.0,-1.1151871033025285,1.0,166,9,9,4,1,7.05
169,BNBUSDT,63,2020-08-29 08:00:00 to 2020-08-31 08:00:00,0.0,0,0,0.0,0.0,0.0,168,9,9,7,1,7.5
171,LTCUSDT,75,2020-09-02 08:00:00 to 2020-09-04 08:00:00,0.0,0,0,0.0,0.0,0.0,170,9,4,4,5,4.15
172,ETCUSDT,73,2020-09-03 08:00:00 to 2020-09-05 08:00:00,0.0,0,0,0.0,0.0,0.0,171,9,9,10,17,10.35
173,XMRUSDT,68,2020-09-06 08:00:00 to 2020-09-08 08:00:00,0.0,0,0,0.0,0.0,0.0,172,9,7,7,7,6.999999999999999
175,ZRXUSDT,22,2020-09-10 09:00:00 to 2020-09-12 09:00:00,0.0,0,0,0.0,0.0,0.0,174,9,7,7,9,7.299999999999999
176,TRXUSDT,76,2020-09-11 08:00:00 to 2020-09-13 08:00:00,0.0,0,0,0.0,0.0,0.0,175,9,9,9,16,10.049999999999999
177,ALGOUSDT,26,2020-09-14 09:00:00 to 2020-09-16 09:00:00,0.4941802018534114,1,1,100.0,0.0,999.0,176,9,3,3,4,3.15
179,BTCUSDT,121,2020-09-17 17:45:00 to 2020-09-19 17:45:00,0.0,0,0,0.0,0.0,0.0,178,9,4,4,6,4.3
181,DASHUSDT,73,2020-09-22 08:00:00 to 2020-09-24 08:00:00,0.0,0,0,0.0,0.0,0.0,180,9,9,1,1,6.6000000000000005
183,ONTUSDT,72,2020-09-26 08:00:00 to 2020-09-28 08:00:00,0.0,0,0,0.0,0.0,0.0,182,9,9,4,2,7.199999999999999
184,MKRUSDT,11,2020-09-27 07:00:00 to 2020-09-29 07:00:00,-0.3111644601604735,0,1,0.0,-0.3111644601604735,1.0,183,9,5,5,10,5.75
185,XTZUSDT,75,2020-09-30 08:00:00 to 2020-10-02 08:00:00,0.0,0,0,0.0,0.0,0.0,184,9,4,4,9,4.75
187,ETHUSDT,100,2020-10-04 07:45:00 to 2020-10-06 07:45:00,0.0,0,0,0.0,0.0,0.0,186,9,9,9,15,9.899999999999999
189,XRPUSDT,88,2020-10-08 08:15:00 to 2020-10-10 08:15:00,0.0,0,0,0.0,0.0,0.0,188,9,5,5,8,5.45
190,IOSTUSDT,73,2020-10-09 08:00:00 to 2020-10-11 08:00:00,0.0,0,0,0.0,0.0,0.0,189,9,9,1,25,10.2
191,DEFIUSDT,11,2020-10-12 07:00:00 to 2020-10-14 07:00:00,0.0,0,0,0.0,0.0,0.0,190,9,2,2,4,2.3
193,BALUSDT,11,2020-10-16 07:00:00 to 2020-10-18 07:00:00,-0.12386269481354795,0,1,0.0,-0.12386269481354795,1.0,192,9,2,2,5,2.45
194,DOGEUSDT,29,2020-10-17 09:00:00 to 2020-10-19 09:00:00,0.0,0,0,0.0,0.0,0.0,193,9,11,1,5,8.6
195,EGLDUSDT,8,2020-10-20 07:00:00 to 2020-10-22 07:00:00,0.3535369311036263,1,1,100.0,0.0,999.0,194,9,1,1,3,1.2999999999999998
197,DEFIUSDT,15,2020-10-24 07:00:00 to 2020-10-26 07:00:00,0.0,0,0,0.0,0.0,0.0,196,9,4,4,8,4.6
199,EOSUSDT,94,2020-10-28 08:00:00 to 2020-10-30 08:00:00,0.0,0,0,0.0,0.0,0.0,198,9,7,7,12,7.749999999999999
201,DOGEUSDT,34,2020-11-01 09:00:00 to 2020-11-03 09:00:00,0.0,0,0,0.0,0.0,0.0,200,9,8,8,14,8.9
203,THETAUSDT,50,2020-11-05 08:00:00 to 2020-11-07 08:00:00,0.0,0,0,0.0,0.0,0.0,202,9,8,8,15,9.05
204,AAVEUSDT,3,2020-11-06 07:00:00 to 2020-11-08 07:00:00,4.814153277781985,1,1,100.0,-5.970504583035474,0.8063226835904066,203,9,10,1,11,8.8
205,ETHUSDT,112,2020-11-09 07:45:00 to 2020-11-11 07:45:00,-0.8949333043070995,0,1,0.0,-0.8949333043070995,1.0,204,9,6,6,12,6.8999999999999995
