Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-10-12 14:30:00 to 2023-10-26 14:30:00,2023-10-27 14:30:00 to 2023-10-29 14:30:00,60,0.02,3,4.777182023000641,0.8375344917312344,100.0,216.21253108978271,747
2,2023-10-15 14:30:00 to 2023-10-29 14:30:00,2023-10-30 14:30:00 to 2023-11-01 14:30:00,35,0.06,1,0.2301443786982235,3.0072179914501365,100.0,210.58606696128845,748
3,2023-10-18 14:30:00 to 2023-11-01 14:30:00,2023-11-02 14:30:00 to 2023-11-04 14:30:00,10,0.02,1,-1.171998997859082,1.7786327209269936,0.0,206.65107417106628,749
4,2023-10-21 14:30:00 to 2023-11-04 14:30:00,2023-11-05 14:30:00 to 2023-11-07 14:30:00,40,0.02,3,5.1676067966686245,0.7548967393531468,100.0,206.2193489074707,751
5,2023-10-24 14:30:00 to 2023-11-07 14:30:00,2023-11-08 14:30:00 to 2023-11-10 14:30:00,40,0.02,3,-2.5284702736051257,7.480773733005782,33.33333333333333,200.18976283073425,753
6,2023-10-27 14:30:00 to 2023-11-10 14:30:00,2023-11-11 14:30:00 to 2023-11-13 14:30:00,25,0.028,4,4.963876693350103,4.186302536101567,75.0,202.28234720230105,754
7,2023-10-30 14:30:00 to 2023-11-13 14:30:00,2023-11-14 14:30:00 to 2023-11-16 14:30:00,295,0.024,4,20.24481179654691,0.368862590917014,100.0,206.3066759109497,755
8,2023-11-02 14:30:00 to 2023-11-16 14:30:00,2023-11-17 14:30:00 to 2023-11-19 14:30:00,230,0.026,2,-6.691333296199301,12.165972426759495,50.0,209.41902685165405,757
9,2023-11-05 14:30:00 to 2023-11-19 14:30:00,2023-11-20 14:30:00 to 2023-11-22 14:30:00,245,0.028,2,-6.5338178906485345,13.51162834581968,50.0,212.31090092658997,759
10,2023-11-08 14:30:00 to 2023-11-22 14:30:00,2023-11-23 14:30:00 to 2023-11-25 14:30:00,125,0.058,0,0.0,0.0,0.0,216.0810339450836,760
11,2023-11-11 14:30:00 to 2023-11-25 14:30:00,2023-11-26 14:30:00 to 2023-11-28 14:30:00,150,0.06,2,3.5335494554256006,2.666164165139363,50.0,211.69585824012756,761
12,2023-11-14 14:30:00 to 2023-11-28 14:30:00,2023-11-29 14:30:00 to 2023-12-01 14:30:00,15,0.024,2,-0.7074227333907038,2.5491573357375734,0.0,209.52759790420532,763
