Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-10-20 12:30:00 to 2023-11-03 12:30:00,2023-11-04 12:30:00 to 2023-11-06 12:30:00,80,0.02,2,1.8128620921861691,0.6383602906534139,100.0,211.1366672515869,751
2,2023-10-23 12:30:00 to 2023-11-06 12:30:00,2023-11-07 12:30:00 to 2023-11-09 12:30:00,90,0.026,0,0.0,0.0,0.0,207.11172008514404,752
3,2023-10-26 12:30:00 to 2023-11-09 12:30:00,2023-11-10 12:30:00 to 2023-11-12 12:30:00,75,0.02,2,1.3699089072100652,0.6835634504962504,100.0,204.3875787258148,753
4,2023-10-29 12:30:00 to 2023-11-12 12:30:00,2023-11-13 12:30:00 to 2023-11-15 12:30:00,300,0.02,2,1.3396682187126865,3.3394306313349365,50.0,206.61333799362183,755
5,2023-11-01 12:30:00 to 2023-11-15 12:30:00,2023-11-16 12:30:00 to 2023-11-18 12:30:00,300,0.02,2,-0.8106953906743547,3.9235360199577185,50.0,208.56383609771729,757
6,2023-11-04 12:30:00 to 2023-11-18 12:30:00,2023-11-19 12:30:00 to 2023-11-21 12:30:00,300,0.024,1,0.7443765260227155,0.8859093245112684,100.0,209.17121410369873,758
7,2023-11-07 12:30:00 to 2023-11-21 12:30:00,2023-11-22 12:30:00 to 2023-11-24 12:30:00,205,0.032,1,1.902793157076212,0.5736087468186823,100.0,209.5979330539703,759
8,2023-11-10 12:30:00 to 2023-11-24 12:30:00,2023-11-25 12:30:00 to 2023-11-27 12:30:00,280,0.03,1,-0.057279511237175,1.3307933837434285,0.0,206.18648386001587,761
9,2023-11-13 12:30:00 to 2023-11-27 12:30:00,2023-11-28 12:30:00 to 2023-11-30 12:30:00,120,0.03,0,0.0,0.0,0.0,207.0262749195099,763
10,2023-11-16 12:30:00 to 2023-11-30 12:30:00,2023-12-01 12:30:00 to 2023-12-03 12:30:00,195,0.034,0,0.0,0.0,0.0,201.97180700302124,764
11,2023-11-19 12:30:00 to 2023-12-03 12:30:00,2023-12-04 12:30:00 to 2023-12-06 12:30:00,235,0.028,1,1.5344133226324266,0.4674761238167822,100.0,205.61609292030337,765
12,2023-11-22 12:30:00 to 2023-12-06 12:30:00,2023-12-07 12:30:00 to 2023-12-09 12:30:00,110,0.02,1,1.1112277580071168,0.20280440041109,100.0,199.82557320594788,767
13,2023-11-25 12:30:00 to 2023-12-09 12:30:00,2023-12-10 12:30:00 to 2023-12-12 12:30:00,110,0.02,2,3.808992692484499,4.617606877161782,100.0,201.50531721115112,769
14,2023-11-28 12:30:00 to 2023-12-12 12:30:00,2023-12-13 12:30:00 to 2023-12-15 12:30:00,120,0.02,1,1.6406825451211262,1.6575365660992507,100.0,199.6178078651428,770
15,2023-12-01 12:30:00 to 2023-12-15 12:30:00,2023-12-16 12:30:00 to 2023-12-18 12:30:00,120,0.02,2,-2.3698617264130006,4.243806872836833,50.0,204.42989706993103,771
16,2023-12-04 12:30:00 to 2023-12-18 12:30:00,2023-12-19 12:30:00 to 2023-12-21 12:30:00,150,0.022,0,0.0,0.0,0.0,206.2774288654327,773
17,2023-12-07 12:30:00 to 2023-12-21 12:30:00,2023-12-22 12:30:00 to 2023-12-24 12:30:00,150,0.022,0,0.0,0.0,0.0,205.46237897872925,775
18,2023-12-10 12:30:00 to 2023-12-24 12:30:00,2023-12-25 12:30:00 to 2023-12-27 12:30:00,265,0.02,2,2.710410086097363,0.286774625907542,100.0,204.63614892959595,776
19,2023-12-13 12:30:00 to 2023-12-27 12:30:00,2023-12-28 12:30:00 to 2023-12-30 12:30:00,155,0.022,2,3.943766729199997,0.3638217339101514,100.0,200.13822197914124,777
20,2023-12-16 12:30:00 to 2023-12-30 12:30:00,2023-12-31 12:30:00 to 2024-01-02 12:30:00,40,0.02,4,5.791868532954795,4.425085228530663,50.0,202.58973217010495,779
21,2023-12-19 12:30:00 to 2024-01-02 12:30:00,2024-01-03 12:30:00 to 2024-01-05 12:30:00,115,0.024,3,-5.694695980158213,11.527522351040282,33.33333333333333,203.42852783203125,781
22,2023-12-22 12:30:00 to 2024-01-05 12:30:00,2024-01-06 12:30:00 to 2024-01-08 12:30:00,45,0.028,3,-2.618752240671274,7.496163248065246,33.33333333333333,211.621187210083,782
