Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-30 11:45:00 to 2025-01-13 11:45:00,2025-01-14 11:45:00 to 2025-01-16 11:45:00,30,0.036,0,0.0,0.0,0.0,210.6963987350464,969
2,2025-01-02 11:45:00 to 2025-01-16 11:45:00,2025-01-17 11:45:00 to 2025-01-19 11:45:00,30,0.034,1,-3.9795053772088433,9.037181193997654,0.0,208.9915850162506,971
3,2025-01-05 11:45:00 to 2025-01-19 11:45:00,2025-01-20 11:45:00 to 2025-01-22 11:45:00,230,0.054,2,4.521858836741631,1.7731472961518608,50.0,208.94523286819455,972
4,2025-01-08 11:45:00 to 2025-01-22 11:45:00,2025-01-23 11:45:00 to 2025-01-25 11:45:00,135,0.022,3,6.431354717291579,4.281493643966259,66.66666666666666,210.1466178894043,973
5,2025-01-11 11:45:00 to 2025-01-25 11:45:00,2025-01-26 11:45:00 to 2025-01-28 11:45:00,190,0.032,1,1.7242204724409385,0.1790551181102273,100.0,209.3948810100555,975
6,2025-01-14 11:45:00 to 2025-01-28 11:45:00,2025-01-29 11:45:00 to 2025-01-31 11:45:00,230,0.022,1,1.1232765805153395,5.740620249945834,100.0,212.44404888153076,977
7,2025-01-17 11:45:00 to 2025-01-31 11:45:00,2025-02-01 11:45:00 to 2025-02-03 11:45:00,120,0.024,1,1.64434039503647,2.7724190529442296,100.0,213.05333709716797,978
8,2025-01-20 11:45:00 to 2025-02-03 11:45:00,2025-02-04 11:45:00 to 2025-02-06 11:45:00,185,0.02,2,-8.113068589286067,11.919440423649752,50.0,207.88524794578552,979
9,2025-01-23 11:45:00 to 2025-02-06 11:45:00,2025-02-07 11:45:00 to 2025-02-09 11:45:00,55,0.024,1,0.7397438498605152,0.3130818761071144,100.0,207.66456508636475,981
10,2025-01-26 11:45:00 to 2025-02-09 11:45:00,2025-02-10 11:45:00 to 2025-02-12 11:45:00,55,0.024,1,0.3511401639344331,0.6266065573770538,100.0,209.59446096420288,983
11,2025-01-29 11:45:00 to 2025-02-12 11:45:00,2025-02-13 11:45:00 to 2025-02-15 11:45:00,290,0.022,0,0.0,0.0,0.0,207.64053297042847,984
12,2025-02-01 11:45:00 to 2025-02-15 11:45:00,2025-02-16 11:45:00 to 2025-02-18 11:45:00,10,0.02,0,0.0,0.0,0.0,208.3442978858948,985
13,2025-02-04 11:45:00 to 2025-02-18 11:45:00,2025-02-19 11:45:00 to 2025-02-21 11:45:00,170,0.022,1,-9.318393166437728,11.380238694928478,0.0,202.11340403556824,987
14,2025-02-07 11:45:00 to 2025-02-21 11:45:00,2025-02-22 11:45:00 to 2025-02-24 11:45:00,10,0.022,1,-0.4829968619246938,0.999559232270353,0.0,199.0387930870056,989
15,2025-02-10 11:45:00 to 2025-02-24 11:45:00,2025-02-25 11:45:00 to 2025-02-27 11:45:00,185,0.02,1,1.718100763835864,0.5786866759017741,0.0,199.4210500717163,990
16,2025-02-13 11:45:00 to 2025-02-27 11:45:00,2025-02-28 11:45:00 to 2025-03-02 11:45:00,10,0.02,0,0.0,0.0,0.0,202.594407081604,991
17,2025-02-16 11:45:00 to 2025-03-02 11:45:00,2025-03-03 11:45:00 to 2025-03-05 11:45:00,10,0.02,0,0.0,0.0,0.0,201.26127004623413,993
18,2025-02-19 11:45:00 to 2025-03-05 11:45:00,2025-03-06 11:45:00 to 2025-03-08 11:45:00,185,0.02,8,7.7185816544844785,15.133167198798656,75.0,200.00836515426636,995
