Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-08-08 12:00:00 to 2023-08-22 12:00:00,2023-08-23 12:00:00 to 2023-08-25 12:00:00,50,0.038,1,-0.528327835051532,1.0642397530832226,0.0,208.75692224502563,714
2,2023-08-11 12:00:00 to 2023-08-25 12:00:00,2023-08-26 12:00:00 to 2023-08-28 12:00:00,70,0.022,0,0.0,0.0,0.0,204.4887261390686,715
3,2023-08-14 12:00:00 to 2023-08-28 12:00:00,2023-08-29 12:00:00 to 2023-08-31 12:00:00,90,0.04,1,1.734231061405353,0.2981242878244302,100.0,205.9182281494141,717
4,2023-08-17 12:00:00 to 2023-08-31 12:00:00,2023-09-01 12:00:00 to 2023-09-03 12:00:00,30,0.02,1,1.2262303730951318,0.1832824105173862,100.0,198.38427996635437,719
5,2023-08-20 12:00:00 to 2023-09-03 12:00:00,2023-09-04 12:00:00 to 2023-09-06 12:00:00,130,0.03,2,2.929606902669802,0.2101353419006948,50.0,201.39680409431455,720
6,2023-08-23 12:00:00 to 2023-09-06 12:00:00,2023-09-07 12:00:00 to 2023-09-09 12:00:00,30,0.02,2,-1.8683075515171732,3.2070549799080883,50.0,198.3567790985107,721
7,2023-08-26 12:00:00 to 2023-09-09 12:00:00,2023-09-10 12:00:00 to 2023-09-12 12:00:00,15,0.02,2,0.669212487633249,0.6129412699594311,50.0,198.43813300132751,723
8,2023-08-29 12:00:00 to 2023-09-12 12:00:00,2023-09-13 12:00:00 to 2023-09-15 12:00:00,20,0.02,1,0.9149999999999818,0.1102539052844074,100.0,202.01505780220032,725
9,2023-09-01 12:00:00 to 2023-09-15 12:00:00,2023-09-16 12:00:00 to 2023-09-18 12:00:00,20,0.02,0,0.0,0.0,0.0,198.85292410850525,726
10,2023-09-04 12:00:00 to 2023-09-18 12:00:00,2023-09-19 12:00:00 to 2023-09-21 12:00:00,20,0.02,1,-0.4544325825435225,1.5222155928461611,0.0,201.85589599609375,727
11,2023-09-07 12:00:00 to 2023-09-21 12:00:00,2023-09-22 12:00:00 to 2023-09-24 12:00:00,300,0.024,0,0.0,0.0,0.0,202.18124127388,729
12,2023-09-10 12:00:00 to 2023-09-24 12:00:00,2023-09-25 12:00:00 to 2023-09-27 12:00:00,125,0.02,0,0.0,0.0,0.0,194.35990571975708,731
13,2023-09-13 12:00:00 to 2023-09-27 12:00:00,2023-09-28 12:00:00 to 2023-09-30 12:00:00,300,0.02,0,0.0,0.0,0.0,194.3659348487854,732
14,2023-09-16 12:00:00 to 2023-09-30 12:00:00,2023-10-01 12:00:00 to 2023-10-03 12:00:00,130,0.02,1,1.0132687650677508,2.0164421715758194,100.0,193.79307293891907,733
15,2023-09-19 12:00:00 to 2023-10-03 12:00:00,2023-10-04 12:00:00 to 2023-10-06 12:00:00,135,0.02,2,0.2426576484894394,4.265912798529423,50.0,193.86119294166565,735
