Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-14 07:00:00 to 2020-09-28 07:00:00,2020-09-29 07:00:00 to 2020-10-01 07:00:00,70,0.072,0,0.0,0.0,0.0,206.3411831855774,185
2,2020-09-17 07:00:00 to 2020-10-01 07:00:00,2020-10-02 07:00:00 to 2020-10-04 07:00:00,50,0.064,0,0.0,0.0,0.0,206.9767999649048,187
3,2020-09-20 07:00:00 to 2020-10-04 07:00:00,2020-10-05 07:00:00 to 2020-10-07 07:00:00,130,0.02,1,-19.168415505110833,23.43566046063984,0.0,207.5262279510498,188
4,2020-09-23 07:00:00 to 2020-10-07 07:00:00,2020-10-08 07:00:00 to 2020-10-10 07:00:00,125,0.08,0,0.0,0.0,0.0,203.74720287323,189
5,2020-09-26 07:00:00 to 2020-10-10 07:00:00,2020-10-11 07:00:00 to 2020-10-13 07:00:00,125,0.08,0,0.0,0.0,0.0,203.64998483657837,191
6,2020-09-29 07:00:00 to 2020-10-13 07:00:00,2020-10-14 07:00:00 to 2020-10-16 07:00:00,125,0.08,0,0.0,0.0,0.0,204.8071961402893,193
7,2020-10-02 07:00:00 to 2020-10-16 07:00:00,2020-10-17 07:00:00 to 2020-10-19 07:00:00,125,0.08,0,0.0,0.0,0.0,205.4331331253052,194
8,2020-10-05 07:00:00 to 2020-10-19 07:00:00,2020-10-20 07:00:00 to 2020-10-22 07:00:00,205,0.032,1,-0.3522914507201858,6.413324921219828,0.0,205.22744607925415,195
9,2020-10-08 07:00:00 to 2020-10-22 07:00:00,2020-10-23 07:00:00 to 2020-10-25 07:00:00,20,0.024,2,2.239772389368918,1.8138903376248037,100.0,204.41764378547668,197
10,2020-10-11 07:00:00 to 2020-10-25 07:00:00,2020-10-26 07:00:00 to 2020-10-28 07:00:00,20,0.024,3,0.7424576452646943,2.3256282027951785,66.66666666666666,203.46734189987183,199
11,2020-10-14 07:00:00 to 2020-10-28 07:00:00,2020-10-29 07:00:00 to 2020-10-31 07:00:00,20,0.024,1,2.481457851515279,0.6267080745341809,100.0,207.82966709136963,200
12,2020-10-17 07:00:00 to 2020-10-31 07:00:00,2020-11-01 07:00:00 to 2020-11-03 07:00:00,20,0.024,1,0.7952698151950608,0.1835826926168166,100.0,203.93441796302795,201
