Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-03-17 07:00:00 to 2021-03-31 07:00:00,2021-04-01 07:00:00 to 2021-04-03 07:00:00,235,0.048,1,-0.7253051445939309,4.246367604781153,0.0,211.97492909431455,277
2,2021-03-20 07:00:00 to 2021-04-03 07:00:00,2021-04-04 07:00:00 to 2021-04-06 07:00:00,60,0.046,1,1.9199227122633964,0.4099988558168317,100.0,209.26489400863647,279
3,2021-03-23 07:00:00 to 2021-04-06 07:00:00,2021-04-07 07:00:00 to 2021-04-09 07:00:00,70,0.036,1,2.123742546622216,4.765701211569835,100.0,204.2547550201416,280
4,2021-03-26 07:00:00 to 2021-04-09 07:00:00,2021-04-10 07:00:00 to 2021-04-12 07:00:00,70,0.036,3,3.7647002769080062,1.485106879318699,66.66666666666666,209.50801920890808,281
5,2021-03-29 07:00:00 to 2021-04-12 07:00:00,2021-04-13 07:00:00 to 2021-04-15 07:00:00,70,0.036,1,2.37018791574279,1.397592688050008,100.0,210.7089340686798,283
6,2021-04-01 07:00:00 to 2021-04-15 07:00:00,2021-04-16 07:00:00 to 2021-04-18 07:00:00,250,0.02,2,-8.347070033812269,20.74143843594429,50.0,204.8411121368408,285
7,2021-04-04 07:00:00 to 2021-04-18 07:00:00,2021-04-19 07:00:00 to 2021-04-21 07:00:00,195,0.02,4,7.042689270525189,8.914563882089723,75.0,210.33456587791443,286
8,2021-04-07 07:00:00 to 2021-04-21 07:00:00,2021-04-22 07:00:00 to 2021-04-24 07:00:00,170,0.05,2,1.7231909080619698,21.936199453535103,50.0,211.23690176010132,287
9,2021-04-10 07:00:00 to 2021-04-24 07:00:00,2021-04-25 07:00:00 to 2021-04-27 07:00:00,180,0.048,1,3.0824788235294,1.567511146332444,100.0,214.97931003570557,289
10,2021-04-13 07:00:00 to 2021-04-27 07:00:00,2021-04-28 07:00:00 to 2021-04-30 07:00:00,150,0.08,0,0.0,0.0,0.0,216.31138706207275,291
