Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-22 13:00:00 to 2024-09-05 13:00:00,2024-09-06 13:00:00 to 2024-09-08 13:00:00,95,0.026,4,7.906579196735838,7.843268821248163,100.0,205.75334405899048,904
2,2024-08-25 13:00:00 to 2024-09-08 13:00:00,2024-09-09 13:00:00 to 2024-09-11 13:00:00,120,0.066,1,0.6546925082565577,1.0192167564748889,0.0,209.9468548297882,905
3,2024-08-28 13:00:00 to 2024-09-11 13:00:00,2024-09-12 13:00:00 to 2024-09-14 13:00:00,205,0.024,0,0.0,0.0,0.0,208.17502689361572,907
4,2024-08-31 13:00:00 to 2024-09-14 13:00:00,2024-09-15 13:00:00 to 2024-09-17 13:00:00,180,0.036,1,1.9362625189035496,4.450893256126059,100.0,202.56036114692688,909
5,2024-09-03 13:00:00 to 2024-09-17 13:00:00,2024-09-18 13:00:00 to 2024-09-20 13:00:00,295,0.024,1,4.138571662871673,2.9265144789032616,100.0,203.48988008499143,910
6,2024-09-06 13:00:00 to 2024-09-20 13:00:00,2024-09-21 13:00:00 to 2024-09-23 13:00:00,30,0.02,2,-1.8037491069754832,6.358770330031537,50.0,198.6070032119751,911
7,2024-09-09 13:00:00 to 2024-09-23 13:00:00,2024-09-24 13:00:00 to 2024-09-26 13:00:00,155,0.036,1,1.6881051810584906,1.2514241782729731,100.0,198.1249611377716,913
8,2024-09-12 13:00:00 to 2024-09-26 13:00:00,2024-09-27 13:00:00 to 2024-09-29 13:00:00,125,0.034,1,-4.276884566953123,7.84682617293415,0.0,198.27616596221924,915
9,2024-09-15 13:00:00 to 2024-09-29 13:00:00,2024-09-30 13:00:00 to 2024-10-02 13:00:00,65,0.02,7,12.626262955350612,2.107482406302988,85.71428571428571,200.30757880210876,916
10,2024-09-18 13:00:00 to 2024-10-02 13:00:00,2024-10-03 13:00:00 to 2024-10-05 13:00:00,115,0.02,4,9.082600520432006,5.787002955218555,100.0,202.73158192634585,917
11,2024-09-21 13:00:00 to 2024-10-05 13:00:00,2024-10-06 13:00:00 to 2024-10-08 13:00:00,115,0.02,1,-8.759383380833878,11.637275208823764,0.0,206.68154406547544,919
12,2024-09-24 13:00:00 to 2024-10-08 13:00:00,2024-10-09 13:00:00 to 2024-10-11 13:00:00,115,0.02,3,6.042933245346521,4.90564808291228,66.66666666666666,207.5756139755249,921
13,2024-09-27 13:00:00 to 2024-10-11 13:00:00,2024-10-12 13:00:00 to 2024-10-14 13:00:00,120,0.02,2,-1.4509412152979348,7.8382744427981645,0.0,209.24421095848083,922
14,2024-09-30 13:00:00 to 2024-10-14 13:00:00,2024-10-15 13:00:00 to 2024-10-17 13:00:00,215,0.032,1,-4.23050221130401,13.124310339422866,0.0,208.51018977165225,923
15,2024-10-03 13:00:00 to 2024-10-17 13:00:00,2024-10-18 13:00:00 to 2024-10-20 13:00:00,25,0.022,2,1.428653295375771,0.2688573692491819,100.0,201.54448008537292,925
16,2024-10-06 13:00:00 to 2024-10-20 13:00:00,2024-10-21 13:00:00 to 2024-10-23 13:00:00,275,0.074,0,0.0,0.0,0.0,204.46133708953855,927
17,2024-10-09 13:00:00 to 2024-10-23 13:00:00,2024-10-24 13:00:00 to 2024-10-26 13:00:00,25,0.022,4,4.148007957782356,6.282678844702085,75.0,201.4089479446411,928
18,2024-10-12 13:00:00 to 2024-10-26 13:00:00,2024-10-27 13:00:00 to 2024-10-29 13:00:00,20,0.02,4,0.260303798535042,4.722100904590182,75.0,209.09209084510803,929
19,2024-10-15 13:00:00 to 2024-10-29 13:00:00,2024-10-30 13:00:00 to 2024-11-01 13:00:00,40,0.032,2,0.5380623908455527,1.583915902613768,50.0,199.4746060371399,931
20,2024-10-18 13:00:00 to 2024-11-01 13:00:00,2024-11-02 13:00:00 to 2024-11-04 13:00:00,50,0.032,3,-1.756284297355669,10.165128739677016,0.0,201.86681294441223,933
21,2024-10-21 13:00:00 to 2024-11-04 13:00:00,2024-11-05 13:00:00 to 2024-11-07 13:00:00,50,0.028,3,4.44200329093339,1.509164724843404,66.66666666666666,204.7155659198761,934
22,2024-10-24 13:00:00 to 2024-11-07 13:00:00,2024-11-08 13:00:00 to 2024-11-10 13:00:00,95,0.04,2,2.6133375724043617,3.82435816874151,100.0,202.6587021350861,935
