Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-15 13:00:00 to 2024-08-29 13:00:00,2024-08-30 13:00:00 to 2024-09-01 13:00:00,40,0.02,5,5.36867116727517,4.597609665467025,80.0,212.0452389717102,901
2,2024-08-18 13:00:00 to 2024-09-01 13:00:00,2024-09-02 13:00:00 to 2024-09-04 13:00:00,160,0.034,2,-5.324809332049208,9.305035011732746,50.0,214.8129210472107,902
3,2024-08-21 13:00:00 to 2024-09-04 13:00:00,2024-09-05 13:00:00 to 2024-09-07 13:00:00,295,0.048,2,6.515873608663951,3.627103591522128,100.0,213.34603714942932,903
4,2024-08-24 13:00:00 to 2024-09-07 13:00:00,2024-09-08 13:00:00 to 2024-09-10 13:00:00,285,0.034,1,2.803609756097576,0.7098559875721476,100.0,210.7371587753296,905
5,2024-08-27 13:00:00 to 2024-09-10 13:00:00,2024-09-11 13:00:00 to 2024-09-13 13:00:00,125,0.028,1,-8.9338985814007,9.409398832572842,0.0,210.70238375663757,907
6,2024-08-30 13:00:00 to 2024-09-13 13:00:00,2024-09-14 13:00:00 to 2024-09-16 13:00:00,255,0.046,1,-2.4641523302378667,2.9544930909827363,0.0,205.92939400672913,908
7,2024-09-02 13:00:00 to 2024-09-16 13:00:00,2024-09-17 13:00:00 to 2024-09-19 13:00:00,300,0.036,1,2.472490285555614,7.697930627281942,100.0,204.60841608047485,909
8,2024-09-05 13:00:00 to 2024-09-19 13:00:00,2024-09-20 13:00:00 to 2024-09-22 13:00:00,45,0.046,0,0.0,0.0,0.0,202.28161787986755,911
9,2024-09-08 13:00:00 to 2024-09-22 13:00:00,2024-09-23 13:00:00 to 2024-09-25 13:00:00,295,0.076,0,0.0,0.0,0.0,202.4739890098572,913
10,2024-09-11 13:00:00 to 2024-09-25 13:00:00,2024-09-26 13:00:00 to 2024-09-28 13:00:00,295,0.076,0,0.0,0.0,0.0,198.2870666980743,914
11,2024-09-14 13:00:00 to 2024-09-28 13:00:00,2024-09-29 13:00:00 to 2024-10-01 13:00:00,240,0.02,2,4.537943851770433,2.29761572319599,100.0,200.30340719223025,915
12,2024-09-17 13:00:00 to 2024-10-01 13:00:00,2024-10-02 13:00:00 to 2024-10-04 13:00:00,10,0.05,0,0.0,0.0,0.0,194.65274381637573,917
13,2024-09-20 13:00:00 to 2024-10-04 13:00:00,2024-10-05 13:00:00 to 2024-10-07 13:00:00,80,0.08,0,0.0,0.0,0.0,194.501384973526,919
14,2024-09-23 13:00:00 to 2024-10-07 13:00:00,2024-10-08 13:00:00 to 2024-10-10 13:00:00,80,0.08,0,0.0,0.0,0.0,201.9954869747162,920
15,2024-09-26 13:00:00 to 2024-10-10 13:00:00,2024-10-11 13:00:00 to 2024-10-13 13:00:00,80,0.08,0,0.0,0.0,0.0,200.59153199195865,921
16,2024-09-29 13:00:00 to 2024-10-13 13:00:00,2024-10-14 13:00:00 to 2024-10-16 13:00:00,290,0.072,0,0.0,0.0,0.0,200.2776598930359,923
17,2024-10-02 13:00:00 to 2024-10-16 13:00:00,2024-10-17 13:00:00 to 2024-10-19 13:00:00,55,0.02,3,1.9277539918653568,0.5850729072907234,66.66666666666666,193.70022463798523,925
18,2024-10-05 13:00:00 to 2024-10-19 13:00:00,2024-10-20 13:00:00 to 2024-10-22 13:00:00,75,0.02,1,0.8917313762771119,1.519947064589095,100.0,194.3255290985107,926
19,2024-10-08 13:00:00 to 2024-10-22 13:00:00,2024-10-23 13:00:00 to 2024-10-25 13:00:00,75,0.02,2,0.4411363606369196,3.4886590453904724,50.0,194.06216597557068,927
20,2024-10-11 13:00:00 to 2024-10-25 13:00:00,2024-10-26 13:00:00 to 2024-10-28 13:00:00,50,0.02,2,3.37606121693585,1.5251342468055769,100.0,196.8608012199402,929
21,2024-10-14 13:00:00 to 2024-10-28 13:00:00,2024-10-29 13:00:00 to 2024-10-31 13:00:00,300,0.072,0,0.0,0.0,0.0,195.8836522102356,931
22,2024-10-17 13:00:00 to 2024-10-31 13:00:00,2024-11-01 13:00:00 to 2024-11-03 13:00:00,295,0.072,2,-0.4624536938630444,5.09132549304306,50.0,197.52378702163696,932
23,2024-10-20 13:00:00 to 2024-11-03 13:00:00,2024-11-04 13:00:00 to 2024-11-06 13:00:00,15,0.032,2,0.2963710504805931,3.0465235085487627,50.0,198.15974402427673,933
24,2024-10-23 13:00:00 to 2024-11-06 13:00:00,2024-11-07 13:00:00 to 2024-11-09 13:00:00,15,0.03,0,0.0,0.0,0.0,201.47895503044128,935
25,2024-10-26 13:00:00 to 2024-11-09 13:00:00,2024-11-10 13:00:00 to 2024-11-12 13:00:00,15,0.03,2,-2.2920353348532445,2.9938847592746742,50.0,198.97866225242615,937
26,2024-10-29 13:00:00 to 2024-11-12 13:00:00,2024-11-13 13:00:00 to 2024-11-15 13:00:00,130,0.044,2,2.442581973251472,3.794376028001841,50.0,204.59461522102356,938
27,2024-11-01 13:00:00 to 2024-11-15 13:00:00,2024-11-16 13:00:00 to 2024-11-18 13:00:00,300,0.03,2,3.3494611089129647,6.496921456731548,100.0,203.33803701400757,939
28,2024-11-04 13:00:00 to 2024-11-18 13:00:00,2024-11-19 13:00:00 to 2024-11-21 13:00:00,180,0.03,1,0.0884205996809396,7.160467353596868,100.0,204.86916303634644,941
