Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-08 16:00:00 to 2024-11-22 16:00:00,2024-11-23 16:00:00 to 2024-11-25 16:00:00,250,0.08,1,4.530350974930352,1.9038021812459955,100.0,212.75195169448853,943
2,2024-11-11 16:00:00 to 2024-11-25 16:00:00,2024-11-26 16:00:00 to 2024-11-28 16:00:00,225,0.042,3,5.910153504024383,1.2210958746858005,66.66666666666666,213.4133338928223,945
3,2024-11-14 16:00:00 to 2024-11-28 16:00:00,2024-11-29 16:00:00 to 2024-12-01 16:00:00,295,0.02,2,7.469908257897114,4.851232036810277,100.0,207.06787991523743,946
4,2024-11-17 16:00:00 to 2024-12-01 16:00:00,2024-12-02 16:00:00 to 2024-12-04 16:00:00,295,0.02,2,6.3629803968869965,6.397998471721158,100.0,205.64666318893433,947
5,2024-11-20 16:00:00 to 2024-12-04 16:00:00,2024-12-05 16:00:00 to 2024-12-07 16:00:00,300,0.02,2,5.867732131895009,2.015642534183105,100.0,209.66005110740664,949
6,2024-11-23 16:00:00 to 2024-12-07 16:00:00,2024-12-08 16:00:00 to 2024-12-10 16:00:00,165,0.022,1,-23.385900218631058,24.796024084227376,0.0,210.2798101902008,951
7,2024-11-26 16:00:00 to 2024-12-10 16:00:00,2024-12-11 16:00:00 to 2024-12-13 16:00:00,105,0.052,0,0.0,0.0,0.0,207.81980109214783,952
8,2024-11-29 16:00:00 to 2024-12-13 16:00:00,2024-12-14 16:00:00 to 2024-12-16 16:00:00,45,0.052,0,0.0,0.0,0.0,208.08041310310364,953
9,2024-12-02 16:00:00 to 2024-12-16 16:00:00,2024-12-17 16:00:00 to 2024-12-19 16:00:00,85,0.038,2,-1.9491920448610107,9.349201360059752,50.0,206.1941261291504,955
10,2024-12-05 16:00:00 to 2024-12-19 16:00:00,2024-12-20 16:00:00 to 2024-12-22 16:00:00,35,0.052,2,1.28894089769341,5.438034570511132,100.0,204.9459872245789,957
11,2024-12-08 16:00:00 to 2024-12-22 16:00:00,2024-12-23 16:00:00 to 2024-12-25 16:00:00,115,0.062,0,0.0,0.0,0.0,202.0372159481049,958
12,2024-12-11 16:00:00 to 2024-12-25 16:00:00,2024-12-26 16:00:00 to 2024-12-28 16:00:00,115,0.08,0,0.0,0.0,0.0,205.88542890548703,959
13,2024-12-14 16:00:00 to 2024-12-28 16:00:00,2024-12-29 16:00:00 to 2024-12-31 16:00:00,115,0.08,0,0.0,0.0,0.0,207.0714099407196,961
14,2024-12-17 16:00:00 to 2024-12-31 16:00:00,2025-01-01 16:00:00 to 2025-01-03 16:00:00,270,0.026,1,1.5924934590812154,0.4499511407600745,100.0,205.53779911994937,963
15,2024-12-20 16:00:00 to 2025-01-03 16:00:00,2025-01-04 16:00:00 to 2025-01-06 16:00:00,230,0.02,1,0.9363784424044934,1.5996628186936512,100.0,197.02663588523865,964
16,2024-12-23 16:00:00 to 2025-01-06 16:00:00,2025-01-07 16:00:00 to 2025-01-09 16:00:00,300,0.02,1,-15.124136574757213,19.86426902149692,0.0,197.56257367134097,965
17,2024-12-26 16:00:00 to 2025-01-09 16:00:00,2025-01-10 16:00:00 to 2025-01-12 16:00:00,20,0.024,1,1.3970982008995452,0.0349328591526122,100.0,195.25107598304749,967
18,2024-12-29 16:00:00 to 2025-01-12 16:00:00,2025-01-13 16:00:00 to 2025-01-15 16:00:00,20,0.022,2,-4.35368702668844,8.409119196562,50.0,195.70905232429504,969
19,2025-01-01 16:00:00 to 2025-01-15 16:00:00,2025-01-16 16:00:00 to 2025-01-18 16:00:00,95,0.08,0,0.0,0.0,0.0,196.75694012641907,970
20,2025-01-04 16:00:00 to 2025-01-18 16:00:00,2025-01-19 16:00:00 to 2025-01-21 16:00:00,95,0.08,2,3.5234483498994815,3.890998508959735,50.0,201.5590250492096,971
21,2025-01-07 16:00:00 to 2025-01-21 16:00:00,2025-01-22 16:00:00 to 2025-01-24 16:00:00,185,0.062,1,2.9783671543180756,0.394105730722313,100.0,203.37567400932312,973
22,2025-01-10 16:00:00 to 2025-01-24 16:00:00,2025-01-25 16:00:00 to 2025-01-27 16:00:00,270,0.062,3,8.647789955522766,2.439517675494399,100.0,205.65024709701535,975
23,2025-01-13 16:00:00 to 2025-01-27 16:00:00,2025-01-28 16:00:00 to 2025-01-30 16:00:00,265,0.062,1,1.4513807615230323,3.371471029919456,100.0,207.7027189731598,976
24,2025-01-16 16:00:00 to 2025-01-30 16:00:00,2025-01-31 16:00:00 to 2025-02-02 16:00:00,265,0.05,1,-10.867657198014331,12.074113175675668,0.0,214.16940712928772,977
25,2025-01-19 16:00:00 to 2025-02-02 16:00:00,2025-02-03 16:00:00 to 2025-02-05 16:00:00,40,0.06,2,-0.4984394202048861,8.654026443901758,0.0,211.21788597106936,979
26,2025-01-22 16:00:00 to 2025-02-05 16:00:00,2025-02-06 16:00:00 to 2025-02-08 16:00:00,25,0.068,0,0.0,0.0,0.0,214.69293904304504,981
27,2025-01-25 16:00:00 to 2025-02-08 16:00:00,2025-02-09 16:00:00 to 2025-02-11 16:00:00,25,0.068,1,0.5413753056234782,1.475449844316968,100.0,211.28136920928955,982
28,2025-01-28 16:00:00 to 2025-02-11 16:00:00,2025-02-12 16:00:00 to 2025-02-14 16:00:00,10,0.032,1,5.097415121255362,0.5636747503566403,100.0,207.11458468437195,983
29,2025-01-31 16:00:00 to 2025-02-14 16:00:00,2025-02-15 16:00:00 to 2025-02-17 16:00:00,245,0.052,1,0.9811727422998956,2.29294446640025,0.0,210.3160090446472,985
30,2025-02-03 16:00:00 to 2025-02-17 16:00:00,2025-02-18 16:00:00 to 2025-02-20 16:00:00,300,0.042,2,-1.0490731291134214,11.97642802435815,0.0,213.54601764678955,987
31,2025-02-06 16:00:00 to 2025-02-20 16:00:00,2025-02-21 16:00:00 to 2025-02-23 16:00:00,190,0.034,1,3.3502407441880497,5.789589516159395,100.0,213.889643907547,988
32,2025-02-09 16:00:00 to 2025-02-23 16:00:00,2025-02-24 16:00:00 to 2025-02-26 16:00:00,195,0.046,1,-3.7279997783509136,12.583806298863529,0.0,213.42547082901,989
33,2025-02-12 16:00:00 to 2025-02-26 16:00:00,2025-02-27 16:00:00 to 2025-03-01 16:00:00,180,0.024,3,5.231637124573244,3.530277555482068,66.66666666666666,207.9780380725861,991
34,2025-02-15 16:00:00 to 2025-03-01 16:00:00,2025-03-02 16:00:00 to 2025-03-04 16:00:00,150,0.034,5,15.67168292766877,2.3245556122125883,80.0,213.27286195755005,993
35,2025-02-18 16:00:00 to 2025-03-04 16:00:00,2025-03-05 16:00:00 to 2025-03-07 16:00:00,240,0.028,1,-1.6143104154246797,11.044413793286337,0.0,210.7546739578247,994
